matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,2.02239,1.9219,1.92252,2.07625,1.66733,1.94875,1.94017,1.97562
144,144649,144649,2148786,8,2.43781,2.43844,2.45903,2.42342,2.38078,2.47026,2.52426,2.33193
2cubes_sphere,101492,101492,1647264,8,2.99961,3.09012,3.01588,3.0302,3.00826,3.08314,3.11156,3.0439
333SP,3712815,3712815,22217266,8,1.00852,1.11685,0.913838,1.11857,1.11176,1.1084,1.12108,0.601794
3dtube,45330,45330,3213618,8,3.03597,3.10167,3.04007,3.09827,3.05715,3.06762,3.04925,3.01156
3elt,4720,4720,27444,8,3.27521,3.22378,3.27519,3.23563,3.22631,3.22994,3.23921,3.23323
3elt_dual,9000,9000,26556,8,3.11307,3.06762,3.12754,2.97253,3.07686,3.00922,3.01636,3.01979
494_bus,494,494,1666,8,1.80718,1.99865,2.03746,1.73249,1.88757,1.82437,1.80729,1.9839
598a,110971,110971,1483868,8,2.50944,2.94112,2.89428,2.91125,2.87467,2.88098,2.7001,2.44377
662_bus,662,662,2474,8,2.11919,2.17079,1.53867,2.12518,2.14767,2.04526,2.09516,2.24604
685_bus,685,685,3249,8,2.33687,2.24135,2.16231,2.19147,2.24534,2.30353,2.29338,2.17871
ACTIVSg70K,69999,69999,238627,8,2.21783,2.21445,2.15227,2.21793,2.21824,2.21475,2.1591,2.20743
AS365,3799275,3799275,22736152,8,0.993045,1.068,0.911982,1.06868,1.06517,1.06362,1.17299,0.43249
Alemdar,6245,6245,42581,8,3.16913,2.86273,2.85599,2.90158,2.85883,,2.86305,2.92059
Andrews,60000,60000,760154,8,2.68003,2.91053,3.08969,3.15588,3.19874,3.18786,3.14507,2.82078
BenElechi1,245874,245874,13150496,8,2.22475,2.23934,2.22617,2.24972,2.23505,2.23468,2.24645,2.26697
Binaryalphadigs_10NN,1404,1404,19392,8,3.16627,3.05612,3.16171,3.17502,2.99846,3.16815,3.1683,2.97253
Bump_2911,2911419,2911419,127729899,8,1.91198,2.06333,1.91286,2.06806,2.08244,2.07613,2.05972,2.05893
CO,221119,221119,7666057,8,2.17714,2.15727,2.16912,2.12784,2.16192,2.17549,2.15106,2.14083
Chem97ZtZ,2541,2541,7361,8,2.94844,2.84113,2.89789,2.92009,2.93302,2.98787,2.89789,2.96448
Cube_Coup_dt0,2164760,2164760,127206144,8,2.09575,2.19472,2.09018,2.16446,2.21636,2.21306,2.17785,2.17908
Cube_Coup_dt6,2164760,2164760,127206144,8,2.10114,2.17974,2.0861,2.17809,2.1425,2.22197,2.09726,2.17878
CurlCurl_0,11083,11083,113343,8,3.29988,3.3224,3.26505,3.23217,3.28577,3.28869,3.31564,3.38936
CurlCurl_1,226451,226451,2472071,8,2.14934,2.12435,2.12288,2.15349,2.14037,2.11991,2.11506,2.13343
CurlCurl_2,806529,806529,8921789,8,1.22855,1.57255,1.37231,1.58637,1.62308,1.5907,1.32634,1.28981
CurlCurl_3,1219574,1219574,13544618,8,1.09186,1.46304,1.32736,1.45554,1.51548,1.49365,1.24142,1.3529
CurlCurl_4,2380515,2380515,26515867,8,0.969071,1.36648,1.20416,1.36665,1.44938,1.42669,1.22453,1.40816
Dubcova1,16129,16129,253009,8,3.71562,3.83245,3.81133,3.52232,3.8266,,3.83056,3.80208
Dubcova2,65025,65025,1030225,8,3.66393,3.8028,3.76457,3.78344,3.75319,3.67736,3.73934,3.57826
Dubcova3,146689,146689,3636649,8,2.35886,2.42339,2.38138,2.43348,2.45633,2.42458,2.38074,2.41215
EX1,560,560,8736,8,3.27736,3.24067,3.39945,3.33158,3.20544,3.04741,3.40236,3.29902
EX2,560,560,8736,8,3.3246,3.29249,3.31883,3.08904,3.31489,3.24448,3.33994,3.32458
EX3,2600,2600,71760,8,3.72006,3.74682,3.7172,3.72134,3.70302,3.7407,3.72469,3.64755
EX4,2600,2600,71760,8,3.72054,3.71292,3.72054,3.72349,3.73078,3.72538,3.74605,3.70568
EX5,6545,6545,295680,8,3.90281,3.90762,3.89458,3.90377,3.89195,,3.90032,3.91066
EX6,6545,6545,295680,8,3.90489,3.90697,3.84264,3.9028,3.88928,,3.89918,3.90032
Ecoli_10NN,336,336,4560,8,3.03951,3.13819,3.13659,3.07796,2.65803,3.13536,3.04266,3.13483
Emilia_923,923136,923136,41005206,8,2.04472,2.10679,2.03532,2.11568,2.14084,2.12421,2.11009,2.10647
Erdos02,6927,6927,16944,8,2.4223,2.23641,2.4182,2.22038,1.98848,2.01401,2.56353,2.06711
Erdos971,472,472,2628,8,,1.70429,2.2963,2.45393,2.47123,2.41418,2.4692,2.23841
Erdos972,5488,5488,14170,8,2.37416,2.21406,2.31595,2.20008,2.04678,2.04876,2.45618,2.12146
Erdos981,485,485,2762,8,,2.27396,2.33981,2.46124,2.3061,2.42013,2.50751,2.23542
Erdos982,5822,5822,14750,8,2.41923,2.20788,2.31314,2.21455,2.04009,2.09047,2.53638,2.10865
Erdos991,492,492,2834,8,2.31076,2.49895,2.0288,2.28769,2.5148,2.35065,2.30783,2.28238
Erdos992,6100,6100,15030,8,2.38498,2.20165,2.38434,2.19972,2.01314,2.04584,2.49505,2.03496
F1,343791,343791,26837113,8,2.27875,2.25808,2.26426,2.24332,2.28693,2.26206,2.26227,2.22573
F2,71505,71505,5294285,8,2.46636,2.52709,2.52957,2.52528,2.5087,2.52559,2.52269,2.5079
Fashion_MNIST_norm_10NN,10000,10000,158304,8,3.24268,3.38921,3.41326,3.32363,3.30221,3.40316,3.31714,3.19481
Fault_639,638802,638802,28614564,8,2.07889,2.11877,2.05047,2.12896,2.12895,2.15858,2.09685,2.10781
Flan_1565,1564794,1564794,117406044,8,2.14328,2.23418,2.19903,2.30323,2.31919,2.34804,2.28246,2.29905
G1,800,800,38352,8,3.66867,3.73715,3.74111,3.74362,3.69275,3.77378,3.64483,3.77348
G10,800,800,38352,8,3.7479,3.74543,3.74152,3.69852,3.73553,3.73444,3.73583,3.76853
G11,800,800,3200,8,3.33615,3.27762,3.06792,3.1355,3.04996,3.27323,3.32878,3.05653
G12,800,800,3200,8,2.40986,3.30387,2.90067,2.61976,3.06458,3.33615,3.28056,3.05361
G13,800,800,3200,8,3.34946,3.45384,2.88711,3.33965,2.99958,3.236,3.33312,2.85587
G14,800,800,9388,8,2.95673,2.97436,2.79524,2.97206,2.95202,2.78013,3.0038,3.03365
G15,800,800,9322,8,2.97887,3.00297,2.99051,3.00685,2.98352,2.75605,3.0203,3.03747
G16,800,800,9344,8,2.98543,2.65078,2.98501,2.99715,2.95106,2.98536,3.02445,3.01741
G17,800,800,9334,8,2.96412,2.98431,2.97747,3.00014,2.97884,2.98725,3.01692,3.02739
G18,800,800,9388,8,2.77336,2.95854,2.9901,2.96602,2.97885,2.96725,2.93295,3.02925
G19,800,800,9322,8,2.97341,2.98281,2.99322,2.99129,2.98938,2.99852,3.01457,3.0379
G2,800,800,38352,8,3.75074,3.73959,3.74287,3.74312,3.6558,3.6886,3.65994,3.76487
G20,800,800,9344,8,2.98728,3.00964,2.98762,2.6422,2.79756,2.96753,3.04098,3.01359
G21,800,800,9334,8,2.99065,2.99065,2.98306,2.83256,3.07203,2.98009,3.05901,3.00842
G22,2000,2000,39980,8,3.37897,3.44728,3.42782,3.42887,3.41157,3.41529,3.43296,3.42869
G23,2000,2000,39980,8,3.44366,3.40744,3.43148,3.39814,3.40937,3.44607,3.44854,3.41075
G24,2000,2000,39980,8,3.44596,3.45736,3.42513,3.44518,3.42898,3.40843,3.4037,3.42601
G25,2000,2000,39980,8,3.43375,3.4469,3.40494,3.44188,3.41208,3.44473,3.43729,3.423
G26,2000,2000,39980,8,3.44166,3.43557,3.41055,3.42311,3.40542,3.44353,3.41766,3.43012
G27,2000,2000,39980,8,3.44262,3.41416,3.43554,3.43576,3.44016,3.45092,3.43185,3.40875
G28,2000,2000,39980,8,3.45234,3.44558,3.4097,3.40997,3.4351,3.44677,3.45301,3.42821
G29,2000,2000,39980,8,3.44394,3.45485,3.43059,3.44882,3.43316,3.40948,3.45564,3.43482
G2_circuit,150102,150102,726674,8,2.63671,2.8811,2.77594,2.88054,2.88959,2.98319,2.79271,2.82153
G3,800,800,38352,8,3.6704,3.74205,3.74051,3.60703,3.66099,3.74417,3.74502,3.7716
G30,2000,2000,39980,8,3.44529,3.4046,3.40436,3.44116,3.43181,3.40706,3.45536,3.40056
G31,2000,2000,39980,8,3.4465,3.41303,3.40839,3.40939,3.42115,3.40234,3.45068,3.42849
G32,2000,2000,8000,8,3.28685,3.26854,3.42218,3.22265,3.42226,3.36745,3.06888,3.42126
G33,2000,2000,8000,8,3.1933,3.31924,3.42969,3.34719,3.42593,3.30493,3.32988,3.21076
G34,2000,2000,8000,8,3.2378,3.25228,3.23053,3.41999,3.30092,3.42521,3.36895,3.41697
G35,2000,2000,23556,8,3.07377,3.08098,3.1066,3.06315,3.10525,3.12805,3.18397,3.13704
G36,2000,2000,23532,8,3.10523,3.13311,3.05881,3.07925,2.97727,3.13708,3.11046,3.16959
G37,2000,2000,23570,8,3.11348,3.13809,3.10333,3.14196,3.10699,3.12958,3.1052,3.06315
G38,2000,2000,23558,8,3.0665,3.12233,3.10707,3.04301,3.07383,3.06368,3.19242,3.18104
G39,2000,2000,23556,8,3.11009,3.13021,3.1042,3.13939,3.10223,3.04513,3.18534,3.17879
G3_circuit,1585478,1585478,7660826,8,0.866043,1.19564,0.948361,1.18881,1.18754,1.17459,1.04677,0.920803
G4,800,800,38352,8,3.75749,3.73704,3.7394,3.74458,3.68765,3.73924,3.74351,3.68455
G40,2000,2000,23532,8,3.11649,3.08419,3.09197,3.13376,3.10523,3.1277,3.1567,3.1312
G41,2000,2000,23570,8,3.10758,3.08455,3.02774,3.13561,3.10456,3.13059,3.1833,3.18256
G42,2000,2000,23558,8,3.11637,3.12505,3.09391,3.14201,3.06142,3.07649,3.14492,3.13358
G43,1000,1000,19980,8,3.42094,3.27182,3.41696,3.38386,3.25709,3.38622,3.38268,3.43001
G44,1000,1000,19980,8,3.24512,3.37105,3.29774,3.43812,3.42618,3.43595,3.38558,3.3411
G45,1000,1000,19980,8,3.37867,3.38311,3.42266,3.38874,3.2817,3.25576,3.38207,3.42618
G46,1000,1000,19980,8,3.43837,3.37457,3.42409,3.38171,3.4097,3.24621,3.38031,3.41057
G47,1000,1000,19980,8,3.37646,3.37208,3.42688,3.38565,3.42589,3.38605,3.38092,3.42493
G48,3000,3000,12000,8,,3.36488,3.31217,3.26859,3.35941,3.36211,3.30469,3.362
G49,3000,3000,12000,8,,3.34762,3.36554,3.36772,3.36464,3.43108,3.42674,3.17739
G5,800,800,38352,8,3.75588,3.69836,3.713,3.67275,3.74077,3.73881,3.74093,3.68942
G50,3000,3000,12000,8,3.33919,3.26004,3.25088,3.44412,3.25922,3.4331,3.4392,3.34098
G51,1000,1000,11818,8,3.02846,3.04931,3.09139,3.04813,3.08831,3.04254,3.04535,3.15931
G52,1000,1000,11832,8,3.08632,3.03268,3.02174,3.04522,2.91231,2.92699,3.06916,3.12144
G53,1000,1000,11828,8,3.10624,3.04032,3.02226,3.05013,2.88989,3.03696,3.06583,3.14136
G54,1000,1000,11832,8,3.03414,3.01189,3.00853,2.88458,3.02493,3.0305,3.0833,3.17568
G55,5000,5000,24996,8,2.35374,2.34809,2.37089,2.33295,2.3041,2.33651,2.40006,2.33871
G56,5000,5000,24996,8,2.3069,2.34225,2.40068,2.32483,2.30184,2.33729,2.36921,2.26367
G57,5000,5000,20000,8,3.35012,3.40429,3.22727,3.27677,3.41096,3.347,3.35075,3.0894
G58,5000,5000,59140,8,3.04583,3.06446,3.09122,3.10659,3.06504,3.09193,3.15689,3.12273
G59,5000,5000,59140,8,3.0439,3.04081,3.09155,3.08242,3.03122,3.09214,3.10039,3.13281
