matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,13.168,13.02,12.9505,13.0817,13.0073,12.6657,13.0666,12.9579
144,144649,144649,2148786,64,12.5928,11.5278,13.1194,11.9322,12.4191,12.4863,14.2931,8.57524
2cubes_sphere,101492,101492,1647264,64,13.6293,13.9719,14.3007,13.4653,14.4079,14.3102,14.6438,13.4174
333SP,3712815,3712815,22217266,64,10.3502,10.1857,9.02485,10.3094,9.71302,9.40732,12.9754,5.90417
3dtube,45330,45330,3213618,64,16.8886,16.8249,16.7203,16.855,16.9099,16.6892,17.1151,16.8512
3elt,4720,4720,27444,64,15.4055,15.587,15.2891,15.603,15.6003,15.4768,15.1717,15.3473
3elt_dual,9000,9000,26556,64,13.8829,14.7343,11.9832,14.7309,14.6538,14.4567,14.2694,14.3089
494_bus,494,494,1666,64,13.1659,12.7762,13.1944,12.8703,12.6339,12.9312,12.896,12.9163
598a,110971,110971,1483868,64,12.879,10.1362,13.6369,10.7768,11.7629,11.2578,14.1604,7.45338
662_bus,662,662,2474,64,13.7117,13.3549,13.3933,13.386,13.5087,13.4229,13.3454,13.2549
685_bus,685,685,3249,64,14.2642,13.8916,14.1391,14.182,14.1699,14.2715,14.2256,14.2013
ACTIVSg70K,69999,69999,238627,64,9.48194,10.4345,10.217,10.9399,10.6892,10.2065,11.3445,10.0597
AS365,3799275,3799275,22736152,64,10.1051,8.55183,8.66012,8.9131,8.14696,7.75273,12.7024,4.32607
Alemdar,6245,6245,42581,64,15.2896,13.7851,14.9961,14.0603,15.0978,,13.4293,11.7784
Andrews,60000,60000,760154,64,10.7147,10.8368,12.9487,11.2365,11.842,10.992,11.6054,6.51753
BenElechi1,245874,245874,13150496,64,16.7231,17.0936,16.9449,17.1309,17.0718,17.1223,17.1588,17.1544
Binaryalphadigs_10NN,1404,1404,19392,64,16.0236,14.5913,15.9841,15.7546,15.8086,15.4814,15.2059,15.531
Bump_2911,2911419,2911419,127729899,64,14.816,16.3092,13.8698,16.5141,16.4909,16.501,15.9736,16.2617
CO,221119,221119,7666057,64,11.943,14.1647,13.6071,14.4198,14.407,13.9845,12.8792,14.1081
Chem97ZtZ,2541,2541,7361,64,15.0107,14.9823,14.7841,15.0782,14.5169,14.9614,14.8302,13.3067
Cube_Coup_dt0,2164760,2164760,127206144,64,15.4378,16.5601,15.8437,16.5298,16.5781,16.6308,16.4309,16.4397
Cube_Coup_dt6,2164760,2164760,127206144,64,15.4042,16.5677,15.8306,16.551,16.5971,16.624,16.4041,16.4053
CurlCurl_0,11083,11083,113343,64,15.2517,15.9798,15.4117,16.0467,16.0151,15.8228,15.8291,15.9892
CurlCurl_1,226451,226451,2472071,64,10.8239,14.2815,12.6266,13.4201,14.0252,14.1888,14.2389,14.051
CurlCurl_2,806529,806529,8921789,64,9.70354,14.0002,11.9785,13.8318,14.2118,14.0632,13.9099,13.5795
CurlCurl_3,1219574,1219574,13544618,64,9.42386,13.9165,11.9414,13.8976,14.1872,13.9584,13.4957,13.5548
CurlCurl_4,2380515,2380515,26515867,64,9.24209,13.9575,11.1478,13.8858,14.0763,13.9643,13.3721,13.011
Dubcova1,16129,16129,253009,64,16.4492,15.1998,16.2651,15.0301,14.6584,,16.5023,14.6016
Dubcova2,65025,65025,1030225,64,14.8162,14.7542,15.674,14.7465,14.6049,13.5793,16.3165,11.8843
Dubcova3,146689,146689,3636649,64,15.7544,14.8684,15.5676,15.3973,15.4944,15.3718,16.2072,13.9184
EX1,560,560,8736,64,15.4144,15.3053,15.3987,15.5694,15.0198,14.9727,15.3786,15.5044
EX2,560,560,8736,64,15.4019,15.3659,15.2919,15.5596,15.0938,14.8025,15.3828,15.5229
EX3,2600,2600,71760,64,13.5321,14.7884,14.1339,14.9192,14.2017,13.428,14.5693,13.7063
EX4,2600,2600,71760,64,14.1703,14.8711,14.0979,14.9333,14.274,13.5381,14.5815,14.9453
EX5,6545,6545,295680,64,13.129,14.3546,13.5502,14.4548,13.6748,,13.962,14.3565
EX6,6545,6545,295680,64,13.7725,14.3613,13.3521,14.5569,13.8054,,13.9237,14.6308
