matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,15.4668,15.1654,14.6889,15.1177,14.9074,15.3679,14.7464,13.4545
144,144649,144649,2148786,8,39.4118,39.5661,39.4352,39.2624,39.0055,39.4814,41.6468,21.2614
2cubes_sphere,101492,101492,1647264,8,40.5483,41.8824,41.5745,42.2713,42.6345,42.3973,42.9356,41.517
333SP,3712815,3712815,22217266,8,11.1007,14.8788,9.77901,14.5062,13.1714,13.3215,14.4456,4.56188
3dtube,45330,45330,3213618,8,38.9583,40.2833,38.5099,40.0258,40.46,40.2671,40.7634,39.3484
3elt,4720,4720,27444,8,31.9889,38.0444,35.6726,37.1994,37.6239,38.4258,40.4361,37.4342
3elt_dual,9000,9000,26556,8,28.5473,33.3635,29.9559,32.9395,33.4933,33.2625,37.0481,34.1335
494_bus,494,494,1666,8,8.86806,7.42937,9.65155,9.01186,6.84565,7.34454,7.25517,6.89346
598a,110971,110971,1483868,8,38.7804,38.5735,39.1878,35.6194,40.7097,40.8411,41.3072,21.1207
662_bus,662,662,2474,8,11.5137,10.9685,11.5529,10.915,10.9586,11.3266,11.067,10.492
685_bus,685,685,3249,8,14.336,13.4306,13.408,13.3009,13.2788,13.5974,13.609,12.767
ACTIVSg70K,69999,69999,238627,8,24.0252,25.7606,24.7621,25.5747,25.7166,25.8068,25.4141,25.5333
AS365,3799275,3799275,22736152,8,10.8347,14.5022,9.84033,14.4766,10.4143,10.7046,16.7475,3.46817
Alemdar,6245,6245,42581,8,32.9528,31.9657,31.7025,31.7355,33.4906,,33.8964,32.3017
Andrews,60000,60000,760154,8,37.0444,37.0708,37.2155,37.7966,39.0164,38.7951,37.1857,24.4395
BenElechi1,245874,245874,13150496,8,40.1436,41.3559,40.7446,41.7117,41.5357,40.7851,41.3281,41.1235
Binaryalphadigs_10NN,1404,1404,19392,8,30.8688,30.8032,30.9563,31.5157,31.357,31.1984,31.0921,31.8562
Bump_2911,2911419,2911419,127729899,8,27.3323,35.0568,28.5963,38.3211,38.6005,37.7269,34.8419,34.7431
CO,221119,221119,7666057,8,38.2763,39.6448,37.7637,39.2779,37.6798,39.8993,39.1238,39.9358
Chem97ZtZ,2541,2541,7361,8,22.6714,21.0997,19.2409,19.7843,21.4759,21.9113,21.3508,11.0543
Cube_Coup_dt0,2164760,2164760,127206144,8,30.8945,38.2314,32.6945,39.3081,38.6939,39.1824,37.6661,38.301
Cube_Coup_dt6,2164760,2164760,127206144,8,32.1225,37.8189,33.4308,39.502,38.3712,39.2269,37.7891,37.6083
CurlCurl_0,11083,11083,113343,8,38.0142,41.4822,39.6687,41.097,40.794,40.6921,43.4627,42.4041
CurlCurl_1,226451,226451,2472071,8,33.9167,31.4138,33.6993,35.1737,33.2297,33.6405,26.654,32.3062
CurlCurl_2,806529,806529,8921789,8,14.3729,22.1092,17.0558,22.2314,23.6758,22.5773,20.6393,19.5355
CurlCurl_3,1219574,1219574,13544618,8,13.187,22.7286,17.5241,21.9986,22.7519,22.8246,20.8428,19.0066
CurlCurl_4,2380515,2380515,26515867,8,12.0881,20.2769,14.9018,21.6268,21.7557,21.681,19.6539,19.1205
Dubcova1,16129,16129,253009,8,42.3371,43.8917,42.6354,44.4705,45.5164,,45.5861,26.4465
Dubcova2,65025,65025,1030225,8,42.814,45.1778,44.1825,45.179,46.5295,45.9984,47.1166,25.9823
Dubcova3,146689,146689,3636649,8,40.1282,39.78,39.5165,40.9051,40.9125,41.5122,40.7713,22.502
EX1,560,560,8736,8,24.0962,24.17,24.8318,24.3721,24.622,24.4754,24.0133,24.9142
EX2,560,560,8736,8,23.8891,24.2168,25.0871,23.9482,24.0172,24.8236,24.8771,24.9142
EX3,2600,2600,71760,8,39.4328,40.6183,40.475,40.2727,40.5169,40.3201,40.2576,41.5114
EX4,2600,2600,71760,8,39.6159,40.5776,40.5455,40.5756,40.8539,40.4577,40.0126,41.5366
EX5,6545,6545,295680,8,41.0934,41.5912,40.4951,41.8363,41.5127,,41.828,42.1535
EX6,6545,6545,295680,8,40.8046,41.5931,40.7112,42.141,41.6113,,41.7723,42.4831
Ecoli_10NN,336,336,4560,8,18.9205,18.6925,18.7889,17.1912,18.3682,18.0778,18.0175,16.601
Emilia_923,923136,923136,41005206,8,28.9956,33.8998,30.6537,37.7145,37.1885,38.2504,37.8458,36.2555
Erdos02,6927,6927,16944,8,9.26909,17.3892,8.05467,18.0256,21.1245,10.98,9.00946,7.99922
Erdos971,472,472,2628,8,,9.30901,9.90972,10.1618,11.245,10.3921,10.0241,10.2008
Erdos972,5488,5488,14170,8,9.22448,17.5781,8.67194,17.686,19.6227,11.1738,16.1544,7.46355
Erdos981,485,485,2762,8,,10.6023,9.83436,11.0918,11.8984,8.99541,7.31419,12.2391
Erdos982,5822,5822,14750,8,9.83154,17.5633,11.6176,17.4094,21.676,11.1112,13.6591,7.81529
Erdos991,492,492,2834,8,10.908,10.0699,9.49171,9.40735,11.945,11.6144,6.7486,11.7931
Erdos992,6100,6100,15030,8,9.65699,17.1942,10.6828,16.8723,20.7759,12.0977,13.936,7.79771
F1,343791,343791,26837113,8,29.083,37.1863,35.1431,36.2649,37.5159,38.0527,38.4808,24.4011
F2,71505,71505,5294285,8,29.4718,39.0898,38.3365,39.6346,39.5262,38.9289,39.8683,28.937
Fashion_MNIST_norm_10NN,10000,10000,158304,8,33.2794,37.309,39.9959,38.8321,39.0888,38.9706,40.0808,36.2035
Fault_639,638802,638802,28614564,8,31.2467,35.112,30.136,37.1298,37.4368,38.6979,35.2845,36.2308
Flan_1565,1564794,1564794,117406044,8,34.8956,40.2223,35.1527,40.3231,40.2516,40.6028,39.8289,39.8672
G1,800,800,38352,8,32.4677,35.6635,36.5305,35.6393,35.7186,36.2881,36.1685,36.2861
G10,800,800,38352,8,31.3142,35.879,35.6287,35.4705,36.1685,36.1725,35.7069,36.117
G11,800,800,3200,8,14.3972,16.2026,10.7165,15.6092,14.1744,15.0063,16.0302,16.4008
G12,800,800,3200,8,14.6367,9.21481,14.8985,15.0721,13.6028,14.1799,14.7289,14.7903
G13,800,800,3200,8,14.7506,14.7546,14.0549,14.0172,13.7663,13.8373,14.6037,14.1434
G14,800,800,9388,8,17.3052,21.3184,18.3205,21.6069,21.9854,20.9026,19.0071,14.6469
G15,800,800,9322,8,17.1284,22.5073,17.4789,22.5485,23.5066,18.0574,18.8902,14.4599
G16,800,800,9344,8,17.4716,21.3086,17.3883,22.7136,23.782,18.1511,19.8367,14.1255
G17,800,800,9334,8,16.2034,21.3709,17.72,22.5966,23.1045,21.214,17.2994,14.4466
G18,800,800,9388,8,17.1982,21.5722,18.3853,21.3721,22.3231,21.5434,18.8902,14.4832
G19,800,800,9322,8,16.3728,22.2509,16.4951,21.432,23.2862,17.9079,19.3057,14.6826
G2,800,800,38352,8,32.2373,35.7341,36.1934,35.6287,35.8117,35.9809,35.4887,36.2192
G20,800,800,9344,8,17.6911,22.1618,17.7586,22.7733,23.3056,18.3064,19.4486,14.4653
G21,800,800,9334,8,15.8573,20.7945,18.2307,22.8852,23.015,20.7568,17.2334,14.1696
G22,2000,2000,39980,8,34.7219,36.6038,35.8127,36.5648,36.0325,36.0504,36.2101,36.7379
G23,2000,2000,39980,8,33.8809,35.4138,36.6155,35.3164,36.9454,35.6843,35.6232,36.7084
G24,2000,2000,39980,8,33.9446,35.5439,36.2483,35.5439,36.3702,36.7192,35.1393,37.046
G25,2000,2000,39980,8,33.3496,35.9326,36.2263,35.9128,36.7841,36.4261,35.0604,36.6996
G26,2000,2000,39980,8,33.9169,35.8501,36.0382,35.8828,37.4939,36.5172,34.8443,36.5298
G27,2000,2000,39980,8,34.0852,35.1142,36.9364,35.0372,36.9951,36.1244,35.1223,36.7634
G28,2000,2000,39980,8,34.3065,35.3928,36.7949,36.1092,37.029,36.2694,35.7363,36.3596
G29,2000,2000,39980,8,34.1819,35.188,36.3452,35.1609,36.1548,36.0259,35.2575,36.9971
G2_circuit,150102,150102,726674,8,35.0129,40.9008,36.7766,41.6584,41.9081,41.4811,40.8999,40.8745
G3,800,800,38352,8,31.1036,35.4619,35.7903,35.5816,36.4668,36.4557,35.0451,36.3501
G30,2000,2000,39980,8,33.7652,35.9251,36.0164,35.8183,36.9156,36.6077,35.1609,36.73
G31,2000,2000,39980,8,33.7212,35.8772,36.2235,35.6352,37.2126,36.5599,34.6658,36.6937
G32,2000,2000,8000,8,22.6107,24.4054,22.5902,23.4258,23.5765,23.678,25.2715,28.8041
G33,2000,2000,8000,8,23.0622,24.3664,23.7928,23.366,23.0564,22.4757,24.3751,27.1995
G34,2000,2000,8000,8,22.7191,23.5643,22.2447,23.0932,23.1925,23.1126,24.5164,25.5344
G35,2000,2000,23556,8,20.1568,28.9809,21.219,27.6748,29.7642,24.2983,21.9713,15.3466
G36,2000,2000,23532,8,19.9382,28.206,21.1226,29.6401,27.8485,24.0813,22.1025,16.124
G37,2000,2000,23570,8,20.0361,27.3906,20.593,28.2585,30.7184,23.6428,23.7628,15.5913
G38,2000,2000,23558,8,21.7424,29.9175,19.7262,28.3211,30.0407,24.0928,21.8356,15.5275
G39,2000,2000,23556,8,19.998,29.3593,21.3,27.5271,29.5836,24.1988,22.1432,15.3985
G3_circuit,1585478,1585478,7660826,8,8.73827,13.8338,9.54256,13.8968,13.546,13.1833,13.9015,11.4551
G4,800,800,38352,8,31.1028,35.7476,36.567,36.1755,35.3601,36.6851,35.927,36.3131
G40,2000,2000,23532,8,19.7579,27.9168,21.3926,29.4201,27.9534,23.8666,21.7131,16.1378
G41,2000,2000,23570,8,19.866,27.325,20.6813,28.1916,30.5112,23.7016,24.1497,15.6819
G42,2000,2000,23558,8,21.4156,29.8172,19.6111,28.6459,30.1346,24.1806,21.8805,15.4283
G43,1000,1000,19980,8,30.0428,31.6538,31.9083,31.9901,33.0863,31.9395,32.0095,31.9648
G44,1000,1000,19980,8,29.9798,31.9009,32.2486,31.5795,32.5036,32.5143,31.0244,32.2228
G45,1000,1000,19980,8,29.8871,31.8122,32.1188,31.4825,32.1971,32.6799,30.1272,31.9752
G46,1000,1000,19980,8,30.0362,31.0609,32.2835,31.7798,32.3763,31.9113,30.821,32.1836
G47,1000,1000,19980,8,29.6907,31.2859,32.0199,31.4119,32.173,32.5267,31.044,32.5884
G48,3000,3000,12000,8,,26.6303,25.2769,26.1043,26.8593,26.2438,28.3146,29.3068
G49,3000,3000,12000,8,,25.9107,25.8977,26.2388,26.2622,27.2859,28.9284,27.3383
G5,800,800,38352,8,31.3604,35.7903,35.9652,35.5835,36.1894,36.2252,35.6259,35.9524
G50,3000,3000,12000,8,24.942,26.7218,25.3765,25.1474,25.4265,26.7825,29.016,27.046
G51,1000,1000,11818,8,16.3399,23.1864,18.761,24.7569,25.4937,18.6713,18.5654,14.7622
G52,1000,1000,11832,8,16.3606,23.9581,18.8128,22.1647,26.1628,21.6385,17.6214,14.99
G53,1000,1000,11828,8,16.2589,24.4529,18.915,22.0084,25.4737,22.6537,21.5784,15.4322
G54,1000,1000,11832,8,16.1834,24.3571,18.8372,24.0203,25.0212,19.2347,19.8858,15.2464
G55,5000,5000,24996,8,23.095,24.7075,24.998,24.9472,25.2197,23.529,24.4912,24.793
G56,5000,5000,24996,8,23.69,25.1561,24.6996,25.079,25.1864,23.5587,24.4354,24.5233
G57,5000,5000,20000,8,31.9106,33.6778,31.3888,33.8453,33.5922,33.1706,38.8729,36.7307
G58,5000,5000,59140,8,19.8182,31.6132,21.9596,29.7251,34.6444,29.3033,25.6787,15.2587
G59,5000,5000,59140,8,19.7134,31.3281,21.9454,29.5118,34.9033,29.2914,25.6156,15.3689
G6,800,800,38352,8,32.9202,36.4003,35.8751,36.1299,35.6847,36.4537,36.3642,36.2043
G60,7000,7000,34296,8,23.9664,26.0322,25.928,25.3802,26.1055,24.5429,25.0841,25.6146
G61,7000,7000,34296,8,24.2629,25.7192,26.0616,25.4646,26.2176,24.6157,25.0724,25.3284
G62,7000,7000,28000,8,33.2024,36.5599,31.3788,35.3781,34.4779,34.4829,39.3808,39.9831
G63,7000,7000,82918,8,19.8919,33.8209,21.9813,30.0319,34.6358,28.7323,22.7068,15.286
G64,7000,7000,82918,8,19.8526,33.6341,22.0721,29.5115,33.9592,28.7573,22.559,15.2855
G65,8000,8000,32000,8,33.8238,37.3336,36.7717,35.817,34.4264,36.4209,41.0679,38.6948
G66,9000,9000,36000,8,37.5459,35.8786,37.1245,34.3512,34.3865,37.5859,41.2936,39.3445
G67,10000,10000,40000,8,36.4231,37.6896,37.9487,36.2311,36.2483,38.077,41.0965,39.2716
G7,800,800,38352,8,32.183,35.622,36.1894,35.9054,35.7515,36.3692,35.8078,36.2841
G8,800,800,38352,8,30.6208,35.5989,35.6837,35.7991,36.3612,36.5518,35.1554,35.9338
G9,800,800,38352,8,30.8603,35.5624,36.0301,36.0577,35.5193,36.7516,36.0301,36.119
GAP-road,23947347,23947347,57708624,8,6.21657,7.77023,5.61084,7.68029,5.38731,5.401,7.27844,5.12488
GD06_theory,101,101,380,8,4.03109,3.8211,3.67587,3.37994,3.66247,3.79997,3.82222,3.5432
GD96_c,65,65,250,8,2.60065,2.46766,2.68435,2.6953,2.23754,2.39341,2.39675,2.43755
GD97_a,84,84,332,8,3.34922,3.03389,3.21517,3.5504,3.58724,3.36403,3.46941,3.19178
GD97_b,47,47,264,8,,2.66715,3.11289,2.98093,3.11932,2.91296,2.74462,2.95183
GD98_c,112,112,336,8,3.13634,3.27979,2.91684,3.17167,3.2078,3.30799,3.37866,3.21763
GD99_b,64,64,252,8,2.61828,2.45984,2.44871,2.35417,2.50612,2.31082,2.35353,2.58082
G_n_pin_pout,100000,100000,1002396,8,23.5729,25.4336,25.8782,26.4669,28.756,22.0316,23.2903,28.2745
Ga10As10H30,113081,113081,6115633,8,23.5548,26.4713,28.2814,27.8028,30.409,33.5328,19.8647,29.6801
Ga19As19H42,133123,133123,8884839,8,21.5989,19.9841,24.8062,30.0176,30.1133,32.799,27.7597,29.2819
Ga3As3H12,61349,61349,5970947,8,9.31559,17.7199,20.1168,16.9618,20.7053,18.9667,15.6612,22.9401
Ga41As41H72,268096,268096,18488476,8,17.0973,21.8544,29.4525,27.006,28.6152,30.1331,23.678,27.4674
GaAsH6,61349,61349,3381809,8,12.6882,15.8311,12.1171,16.6693,17.0494,27.9192,11.4852,21.4165
Ge87H76,112985,112985,7892195,8,17.3701,25.0228,29.9071,29.6433,25.1186,36.195,26.3255,29.5846
Ge99H100,112985,112985,8451395,8,13.8995,18.4695,29.6232,30.5838,33.297,33.2196,27.2813,31.0618
