matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,16.8259,18.5763,18.9918,18.623,20.0042,20.2068,16.6318,16.2765
144,144649,144649,2148786,64,77.4909,133.929,102.705,123.31,160.333,155.392,110.292,41.5895
2cubes_sphere,101492,101492,1647264,64,78.3689,142.641,106.411,155.223,172.739,158.043,149.993,142.328
333SP,3712815,3712815,22217266,64,43.4633,38.0773,41.4166,42.0991,31.4679,31.8417,44.9767,23.208
3dtube,45330,45330,3213618,64,318.398,550.286,414.678,476.776,519.732,492.829,563.821,471.286
3elt,4720,4720,27444,64,41.2677,52.1346,43.1255,50.4327,49.4855,53.7492,47.0806,47.3663
3elt_dual,9000,9000,26556,64,28.4093,34.1893,26.5818,34.0557,33.9262,32.903,31.5123,33.6135
494_bus,494,494,1666,64,10.0874,9.93646,10.382,10.2228,10.6902,9.95969,9.40912,8.53407
598a,110971,110971,1483868,64,74.3064,120.38,92.5552,110.563,143.277,140.603,113.888,30.3832
662_bus,662,662,2474,64,13.911,13.1422,13.3139,13.899,14.1733,13.9173,12.3511,10.153
685_bus,685,685,3249,64,18.1731,17.2726,17.0671,16.5435,16.6162,18.101,16.1442,15.8
ACTIVSg70K,69999,69999,238627,64,36.2577,47.3884,37.0622,45.8946,47.6336,45.3883,41.0093,44.5258
AS365,3799275,3799275,22736152,64,43.0822,31.4589,41.6215,35.3997,23.4906,23.7787,47.1291,17.8852
Alemdar,6245,6245,42581,64,48.8144,49.0697,47.9752,53.3273,60.6116,,51.8086,18.6425
Andrews,60000,60000,760154,64,56.2619,90.3565,58.2789,95.5258,110.183,108.212,62.4763,26.7606
BenElechi1,245874,245874,13150496,64,418.784,442.747,433.521,452.976,401.972,433.706,442.986,434.507
Binaryalphadigs_10NN,1404,1404,19392,64,38.2137,41.1324,40.8139,43.3265,38.8125,36.7349,34.8586,36.7186
Bump_2911,2911419,2911419,127729899,64,155.35,204.832,175.48,241.51,277.931,274.074,199.052,208.208
CO,221119,221119,7666057,64,89.2081,189.838,166.986,142.449,206.542,206.39,121.603,116.38
Chem97ZtZ,2541,2541,7361,64,23.1968,25.5611,22.6541,25.7294,25.1578,24.7605,25.8919,15.2933
Cube_Coup_dt0,2164760,2164760,127206144,64,195.982,293.088,224.511,285.369,334.714,331.905,267.801,267.447
Cube_Coup_dt6,2164760,2164760,127206144,64,196.077,306.61,224.969,286.97,335.675,329.967,268.311,267.855
CurlCurl_0,11083,11083,113343,64,62.4192,87.9972,71.4639,88.998,95.0939,91.9129,97.6464,74.9518
CurlCurl_1,226451,226451,2472071,64,58.7844,109.364,79.2914,101.991,113.793,108.784,106.803,75.354
CurlCurl_2,806529,806529,8921789,64,52.1707,95.4454,71.8452,90.6758,97.9192,97.7189,85.5717,80.2434
CurlCurl_3,1219574,1219574,13544618,64,51.1227,86.9518,76.6029,87.4782,96.3031,94.2982,75.9886,68.5283
CurlCurl_4,2380515,2380515,26515867,64,50.2619,85.6491,68.0132,82.2163,93.4898,92.3377,66.4868,73.8495
Dubcova1,16129,16129,253009,64,122.504,125.093,122.472,118.225,155.279,,156.149,57.9729
Dubcova2,65025,65025,1030225,64,137.629,147.774,133.223,152.723,168.048,170.727,187.78,50.0795
Dubcova3,146689,146689,3636649,64,214.026,213.487,172.846,230.923,261.224,226.465,273.18,62.8129
EX1,560,560,8736,64,25.3245,27.4219,26.5853,26.3405,23.0877,25.3419,28.0484,27.3809
EX2,560,560,8736,64,23.1642,25.8162,25.556,24.8127,22.5377,26.0703,29.0263,28.212
EX3,2600,2600,71760,64,51.356,61.9895,46.965,57.8874,54.1183,48.6138,62.5091,62.6716
EX4,2600,2600,71760,64,51.2414,61.5602,51.0532,58.2623,55.4975,49.0769,66.4031,65.1757
EX5,6545,6545,295680,64,81.0136,95.0868,82.9219,96.7132,83.8699,,104.681,99.6683
EX6,6545,6545,295680,64,80.1406,89.5358,82.809,96.4981,84.2555,,108.186,100.901
Ecoli_10NN,336,336,4560,64,24.4988,24.0524,25.4282,24.8746,19.8221,22.9084,22.7291,19.1566
Emilia_923,923136,923136,41005206,64,158.286,230.827,189.777,231.035,275.684,273.812,242.344,254.099
Erdos02,6927,6927,16944,64,16.6563,22.6026,16.4189,23.9586,23.1686,13.6022,15.1661,14.2675
Erdos971,472,472,2628,64,,12.1821,12.844,13.3227,12.0206,12.6029,12.679,9.0863
Erdos972,5488,5488,14170,64,17.3365,22.432,15.9918,22.877,22.1034,14.4176,19.4068,13.3226
Erdos981,485,485,2762,64,,12.8404,13.4067,13.3103,10.9752,11.7112,12.8733,10.6506
Erdos982,5822,5822,14750,64,17.5731,22.3984,17.0483,21.868,22.5781,15.1598,18.7834,13.3321
Erdos991,492,492,2834,64,13.8719,12.7933,15.2762,13.3798,11.4322,13.1317,12.9444,10.3771
Erdos992,6100,6100,15030,64,16.9369,22.8863,17.8203,22.3427,22.6004,13.2515,20.2804,13.1525
F1,343791,343791,26837113,64,233.04,320.102,284.268,282.545,382.229,323.34,405.159,98.0726
F2,71505,71505,5294285,64,323.598,399.761,399.877,431.504,543.492,426.898,555.239,139.279
Fashion_MNIST_norm_10NN,10000,10000,158304,64,72.7819,91.8516,75.4626,96.3364,114.421,100.581,80.2568,31.1746
Fault_639,638802,638802,28614564,64,159.41,233.842,181.051,257.262,280.69,273.727,241.534,243.103
Flan_1565,1564794,1564794,117406044,64,271.794,395.636,261.095,343.143,407.849,409.226,309.945,320.7
G1,800,800,38352,64,55.7594,60.5264,65.1544,63.3018,64.5623,60.8648,62.5268,64.2403
G10,800,800,38352,64,61.8722,57.1385,60.8263,62.847,57.0456,62.6227,55.6204,61.4139
G11,800,800,3200,64,16.2683,18.202,18.018,18.4728,15.2774,15.8951,17.8677,18.5566
G12,800,800,3200,64,16.032,17.6742,14.0341,16.6661,13.783,15.1868,16.7957,17.6211
G13,800,800,3200,64,14.9534,16.4909,14.2148,15.9631,13.6089,15.019,16.3657,16.1974
G14,800,800,9388,64,19.7554,22.0549,22.758,20.5332,19.5015,20.6465,18.9561,19.1714
G15,800,800,9322,64,17.6407,20.1373,19.8123,22.3018,20.3752,18.5184,19.0333,18.3869
G16,800,800,9344,64,20.3916,22.6431,21.1691,21.4197,19.8327,20.4129,21.5941,19.3567
G17,800,800,9334,64,21.1955,23.8583,20.6773,23.7733,19.9641,22.9231,20.4364,18.5078
G18,800,800,9388,64,20.7785,21.5944,22.0716,21.1639,19.9129,21.9343,19.9692,20.2628
G19,800,800,9322,64,19.504,21.3121,21.1604,20.8641,20.354,19.1559,19.2675,19.5747
G2,800,800,38352,64,56.7212,56.6558,59.9776,58.1766,62.535,62.6467,58.1283,61.1987
