matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,256,107.159,120.606,127.255,122.747,127.89,127.262,115.314,118.744
144,144649,144649,2148786,256,29.8041,30.4745,34.621,30.0442,46.349,46.4334,32.7374,14.3512
2cubes_sphere,101492,101492,1647264,256,32.074,47.3006,39.2052,52.6296,51.1722,47.3104,36.9695,45.0153
333SP,3712815,3712815,22217266,256,18.5931,13.6935,17.8937,13.8892,12.3627,12.1525,15.0439,9.6963
3dtube,45330,45330,3213618,256,122.511,146.723,134.74,127.185,146.925,145.615,139.2,122.505
3elt,4720,4720,27444,256,146.321,145.835,146.794,145.128,153.348,152.798,148.283,139.702
3elt_dual,9000,9000,26556,256,115.973,130.261,127.333,118.623,130.271,128.174,137.41,121.877
494_bus,494,494,1666,256,95.3063,108.383,82.3349,101.667,100.944,107.025,100.471,103.144
598a,110971,110971,1483868,256,29.2959,28.0136,32.686,24.7793,42.7272,42.6828,31.3834,11.5548
662_bus,662,662,2474,256,118.604,111.602,113.099,112.395,120.408,119.951,107.711,97.9649
685_bus,685,685,3249,256,114.486,118.727,128.953,120.981,127.567,124.419,123.221,122.768
ACTIVSg70K,69999,69999,238627,256,11.9356,13.1272,12.0377,13.3443,13.5937,13.5697,12.1608,13.534
AS365,3799275,3799275,22736152,256,18.4778,10.3337,17.9519,10.8091,9.69387,9.64071,15.0559,8.89577
Alemdar,6245,6245,42581,256,131.953,118.184,45.7855,122.486,138.738,,136.831,110.123
Andrews,60000,60000,760154,256,22.9907,25.0324,25.3898,23.5811,38.8307,36.8973,24.1191,12.1404
BenElechi1,245874,245874,13150496,256,142.421,152.634,139.199,154.955,153.599,153.972,151.65,152.106
Binaryalphadigs_10NN,1404,1404,19392,256,140.91,139.881,139.272,141.899,145.516,145.327,140.631,139.018
Bump_2911,2911419,2911419,127729899,256,76.4532,93.1882,81.3127,98.835,103.688,98.2198,72.5171,92.754
CO,221119,221119,7666057,256,31.3384,48.3534,56.8415,31.4911,71.3315,50.8427,25.3317,32.26
Chem97ZtZ,2541,2541,7361,256,113.587,124.302,136.949,137.951,138.356,138.816,132.472,53.3746
Cube_Coup_dt0,2164760,2164760,127206144,256,100.681,117.191,102.509,115.761,125.5,122.747,109.427,109.747
Cube_Coup_dt6,2164760,2164760,127206144,256,100.414,117.251,104.342,116.923,126.202,123.417,109.899,109.27
CurlCurl_0,11083,11083,113343,256,112.798,148.478,134.144,144.99,146.142,147.838,155.918,131.525
CurlCurl_1,226451,226451,2472071,256,23.315,34.0479,29.719,34.134,37.4193,36.8894,28.0417,29.6996
CurlCurl_2,806529,806529,8921789,256,22.3034,35.1874,28.7702,31.4085,35.621,34.6227,26.9717,29.5225
CurlCurl_3,1219574,1219574,13544618,256,21.8633,33.3322,31.9318,31.3961,33.9308,33.2429,25.6835,29.7083
CurlCurl_4,2380515,2380515,26515867,256,21.7534,32.561,28.0002,30.2199,30.7002,30.1749,25.6125,29.7917
Dubcova1,16129,16129,253009,256,91.9492,88.0091,80.4125,85.6371,101.209,,132.074,33.9195
Dubcova2,65025,65025,1030225,256,47.1293,52.0615,45.302,52.9545,57.3989,56.9374,57.7413,23.4547
Dubcova3,146689,146689,3636649,256,72.973,56.7858,64.6715,67.1931,78.1095,73.4515,72.364,27.0267
EX1,560,560,8736,256,138.306,146.171,141.362,146.795,141.099,135.87,140.303,144.606
EX2,560,560,8736,256,141.411,148.5,141.412,144.374,139.298,135.045,141.63,147.613
EX3,2600,2600,71760,256,137.493,145.878,134.705,148.28,140.829,126.745,128.519,148.033
EX4,2600,2600,71760,256,137.427,146.77,136.249,148.929,140.308,127.75,139.582,147.105
EX5,6545,6545,295680,256,131.234,133.366,131.546,148.42,135.466,,134.962,146.514
EX6,6545,6545,295680,256,132.571,143.415,132.265,147.31,134.501,,124.926,146.571
Ecoli_10NN,336,336,4560,256,145.194,143.234,130.424,143.762,140.393,144.377,137.578,139.295
Emilia_923,923136,923136,41005206,256,76.0872,98.8764,87.5249,89.0649,117.054,115.113,89.8332,77.1954
Erdos02,6927,6927,16944,256,39.888,86.6745,31.966,83.658,98.8629,41.3306,34.2396,27.3271
Erdos971,472,472,2628,256,,86.6409,76.105,86.5241,99.0103,82.196,63.5883,101.321
Erdos972,5488,5488,14170,256,40.7035,79.7431,35.2305,87.6095,89.0626,44.0364,68.6445,26.2987
Erdos981,485,485,2762,256,,79.8499,66.267,87.2934,97.7281,88.2729,71.9624,106.728
Erdos982,5822,5822,14750,256,41.0254,87.0439,51.875,85.2274,100.493,43.0605,54.7004,28.6178
Erdos991,492,492,2834,256,54.2213,77.429,60.9669,84.3066,91.7785,75.5737,75.8099,101.115
Erdos992,6100,6100,15030,256,40.9522,77.5969,45.0021,81.9081,98.6321,48.4287,57.5952,28.4988
F1,343791,343791,26837113,256,93.1884,73.9284,116.081,74.9172,101.821,84.491,127.05,45.8534
F2,71505,71505,5294285,256,97.8795,114.439,123.229,109.106,141.825,129.53,135.018,57.4157
Fashion_MNIST_norm_10NN,10000,10000,158304,256,114.269,114.661,135.769,113.439,133.635,123.89,134.393,84.57
Fault_639,638802,638802,28614564,256,79.7349,88.1395,78.4411,101.277,121.343,115.587,89.948,86.9782
Flan_1565,1564794,1564794,117406044,256,119.816,144.852,113.644,139.965,149.493,149.467,138.596,138.274
G1,800,800,38352,256,108.004,130.777,134.938,134.724,132.23,132.928,130.811,133.497
G10,800,800,38352,256,112.903,133.907,137.133,133.697,133.036,133.752,132.496,132.838
G11,800,800,3200,256,126.811,130.549,130.238,130.552,121.724,126.224,128.099,129.724
G12,800,800,3200,256,120.472,128.099,125.836,129.414,120.118,127.702,120.56,124.973
G13,800,800,3200,256,118.552,124.973,127.205,125.645,115.952,120.118,129.416,129.212
G14,800,800,9388,256,75.2688,112.727,73.44,102.03,114.444,102.992,87.9373,54.0432
G15,800,800,9322,256,73.3947,122.853,70.1272,118.873,117.385,85.3518,92.6966,53.2859
G16,800,800,9344,256,75.9253,122.859,70.7073,122.951,121.641,87.2539,100.995,52.8108
G17,800,800,9334,256,76.9432,122.007,74.0128,115.491,120.409,102.598,84.8228,51.2159
G18,800,800,9388,256,74.7756,115.265,73.9146,102.682,114.882,102.817,87.2192,54.2512
G19,800,800,9322,256,73.8607,120.771,70.7299,119.08,115.203,84.222,92.4595,53.549
G2,800,800,38352,256,118.446,133.334,137.057,136.004,132.533,132.775,132.479,133.706
G20,800,800,9344,256,75.7331,123.204,70.6132,123.685,121.24,88.2681,100.444,53.1156
G21,800,800,9334,256,77.3917,121.569,73.8403,118.319,120.652,102.485,84.329,53.2243
G22,2000,2000,39980,256,115.362,122.081,127.689,121.713,124.74,120.176,120.33,121.481
G23,2000,2000,39980,256,112.805,122.024,128.465,122.764,125.096,118.465,121.101,118.892
G24,2000,2000,39980,256,114.985,122.976,126.278,122.536,123.676,119.867,120.359,110.737
G25,2000,2000,39980,256,114.413,122.948,122.815,120.537,124.921,120.268,119.622,122.076
G26,2000,2000,39980,256,113.796,122.294,124.883,122.778,125.059,85.9565,121.079,120.836
G27,2000,2000,39980,256,114.83,121.748,127.386,120.808,124.96,119.762,110.581,119.294
G28,2000,2000,39980,256,112.737,122.353,127.18,121.539,124.345,119.03,122.279,120.651
G29,2000,2000,39980,256,115.225,123.497,126.308,122.874,125.051,120.423,120.417,122.919
G2_circuit,150102,150102,726674,256,14.5449,17.3447,15.7558,18.0429,18.0168,18.3642,15.4224,15.9502
G3,800,800,38352,256,112.168,134.035,136.704,132.856,135.937,132.238,128.702,134.567
G30,2000,2000,39980,256,115.87,121.923,122.499,122.346,124.99,120.58,120.176,121.338
G31,2000,2000,39980,256,113.299,123.4,125.373,122.433,124.164,118.685,120.722,119.384
G32,2000,2000,8000,256,125.954,135.227,137.542,140.274,138.847,138.99,141.144,139.031
G33,2000,2000,8000,256,132.04,139.083,137.958,138.053,136.579,136.579,140.226,140.226
G34,2000,2000,8000,256,134.914,136.035,135.674,138.942,136.533,137.912,134.252,138.847
G35,2000,2000,23556,256,71.3602,121.395,78.0823,109.663,124.645,90.8108,81.4795,48.3545
G36,2000,2000,23532,256,71.6054,117.567,76.4584,108.407,128.132,88.0659,83.8259,50.1158
G37,2000,2000,23570,256,72.1709,114.603,76.2479,113.025,127.391,88.2921,93.949,49.4452
G38,2000,2000,23558,256,75.95,118.332,75.0568,116.65,117.766,72.8095,87.606,49.8248
G39,2000,2000,23556,256,71.3687,120.944,77.936,109.472,124.477,90.9683,81.3866,48.553
G3_circuit,1585478,1585478,7660826,256,13.7055,17.7432,14.303,17.5573,17.1951,17.1295,11.9131,15.2853
