matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,256,11.0316,10.4529,10.8779,6.34371,10.047,10.7923,10.0052,5.12296
144,144649,144649,2148786,256,4.94489,5.13206,5.53309,5.12174,5.37324,5.44963,5.18087,2.52095
2cubes_sphere,101492,101492,1647264,256,5.18916,5.92429,5.82459,6.08228,6.19864,6.09946,6.11917,5.81265
333SP,3712815,3712815,22217266,256,3.19837,2.82592,3.35501,2.91288,2.43937,2.43097,2.78518,1.86615
3dtube,45330,45330,3213618,256,9.93775,10.3061,10.114,10.2303,10.5316,10.3118,10.3335,10.171
3elt,4720,4720,27444,256,12.1397,11.7951,11.1061,7.85791,12.338,12.362,11.6509,11.0553
3elt_dual,9000,9000,26556,256,6.97933,6.72392,6.86844,6.60836,6.6153,6.36979,6.56212,6.49611
494_bus,494,494,1666,256,12.1854,11.8087,12.237,11.8335,11.9969,12.0481,11.6604,11.5462
598a,110971,110971,1483868,256,4.79723,4.49568,5.20529,4.42013,4.92635,4.92381,5.22675,1.96886
662_bus,662,662,2474,256,10.9675,11.4102,11.2366,11.2889,11.3151,11.462,10.982,11.0054
685_bus,685,685,3249,256,12.3654,12.1899,12.2169,11.9877,11.6969,12.0653,11.7042,7.45714
ACTIVSg70K,69999,69999,238627,256,2.52952,2.81178,2.63851,2.83274,2.80085,2.80249,2.35083,2.65834
AS365,3799275,3799275,22736152,256,3.41947,2.44267,3.37435,2.68058,2.02031,2.0529,2.92725,1.66738
Alemdar,6245,6245,42581,256,11.5515,10.3876,11.4994,10.2703,11.07,,11.1648,8.28505
Andrews,60000,60000,760154,256,4.01242,4.56635,4.27536,4.56062,5.13055,5.00985,3.89673,2.01589
BenElechi1,245874,245874,13150496,256,9.99562,10.1314,9.96163,10.1051,10.1474,10.1767,10.0348,10.0164
Binaryalphadigs_10NN,1404,1404,19392,256,12.8268,12.3571,12.9377,12.4486,12.4273,12.2557,12.1899,11.869
Bump_2911,2911419,2911419,127729899,256,7.68771,8.12434,7.91859,8.91365,8.7567,9.4481,7.72285,7.86618
CO,221119,221119,7666057,256,4.25141,6.44125,6.74086,4.2706,6.70475,6.71254,4.50608,4.09777
Chem97ZtZ,2541,2541,7361,256,10.2477,7.25991,10.2883,9.64424,9.58588,9.61186,9.80124,8.75304
Cube_Coup_dt0,2164760,2164760,127206144,256,9.24504,10.2338,9.50634,10.2177,10.4793,10.457,9.51808,9.59403
Cube_Coup_dt6,2164760,2164760,127206144,256,9.19299,10.1854,9.47772,10.1745,10.3831,10.4543,9.52832,9.60499
CurlCurl_0,11083,11083,113343,256,8.9691,9.10635,9.12736,7.96771,9.69037,9.18098,9.14182,9.20676
CurlCurl_1,226451,226451,2472071,256,4.12496,5.52778,4.97959,5.21336,5.67413,5.66,4.87536,5.25988
CurlCurl_2,806529,806529,8921789,256,3.97969,5.72494,4.90269,5.62978,5.79924,5.70464,4.34723,5.20666
CurlCurl_3,1219574,1219574,13544618,256,3.95286,5.44396,5.09331,5.56642,5.74156,5.66225,4.09131,5.04823
CurlCurl_4,2380515,2380515,26515867,256,3.90486,5.48222,4.72289,5.54654,5.77904,5.57591,3.91437,4.77061
Dubcova1,16129,16129,253009,256,8.96123,8.68404,9.16916,8.80905,8.97035,,9.1064,7.86489
Dubcova2,65025,65025,1030225,256,6.78449,6.35997,7.14847,6.34453,6.60356,6.45154,7.12273,4.15112
Dubcova3,146689,146689,3636649,256,8.41647,7.76152,8.10625,7.96967,8.14939,8.03739,8.66117,5.89982
EX1,560,560,8736,256,12.7527,12.6438,12.7682,12.6213,12.6964,12.2526,12.4673,12.6427
EX2,560,560,8736,256,12.4372,12.6266,12.7864,12.5886,12.3916,12.208,12.3357,12.6389
EX3,2600,2600,71760,256,10.8326,11.2185,10.9279,11.3322,11.036,9.40262,11.1371,9.2932
EX4,2600,2600,71760,256,10.9684,11.2937,10.8988,10.8327,10.967,10.4185,11.2157,11.1937
EX5,6545,6545,295680,256,10.1191,10.6231,9.57758,10.5967,10.192,,10.1079,10.5262
EX6,6545,6545,295680,256,9.07275,10.4981,10.0589,9.55337,10.0984,,10.2517,10.5853
Ecoli_10NN,336,336,4560,256,14.3172,13.6057,14.0695,13.4228,13.3367,13.4549,13.6994,13.1506
Emilia_923,923136,923136,41005206,256,8.30491,9.40778,8.72521,8.96922,9.78724,9.66457,8.64531,8.54826
Erdos02,6927,6927,16944,256,9.16419,5.4158,9.55028,8.75641,8.0459,8.58691,9.52068,8.39459
Erdos971,472,472,2628,256,,12.5304,12.223,12.5817,11.9131,12.3814,12.4723,11.7569
Erdos972,5488,5488,14170,256,9.56791,9.46908,9.70057,8.16385,9.04528,8.92915,9.64955,8.68361
Erdos981,485,485,2762,256,,12.2823,12.8733,12.1845,11.9468,12.0239,9.86333,11.4137
Erdos982,5822,5822,14750,256,8.00899,9.43338,9.72594,9.22292,9.38308,8.61904,9.45213,8.46833
Erdos991,492,492,2834,256,12.0434,12.5676,12.7912,12.6043,12.109,12.286,12.2592,11.522
Erdos992,6100,6100,15030,256,9.42195,9.57058,9.59209,9.42397,9.08686,8.72654,7.40328,8.60047
