matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,256,143.713,134.268,138.321,138.598,137.26,125.432,112.623,118.996
144,144649,144649,2148786,256,69.1512,62.4996,88.3582,58.1864,84.6934,85.2201,75.8761,37.6312
2cubes_sphere,101492,101492,1647264,256,76.9655,100.736,97.6152,106.377,104.672,83.442,93.5494,95.9307
333SP,3712815,3712815,22217266,256,36.9836,25.7031,38.4654,26.7707,24.6112,22.409,29.554,21.4987
3dtube,45330,45330,3213618,256,156.253,169.146,161.912,164.091,167.998,168.5,172.391,168.244
3elt,4720,4720,27444,256,73.1722,146.927,204.095,192.134,202.495,202.279,183.141,154.459
3elt_dual,9000,9000,26556,256,128.717,135.946,58.7083,142.353,150.371,150.158,141.645,137.34
494_bus,494,494,1666,256,106.704,102.376,100.994,101.366,105.451,100.199,91.9964,91.7097
598a,110971,110971,1483868,256,69.0249,33.6943,77.511,42.1711,66.0461,74.4149,69.527,32.3852
662_bus,662,662,2474,256,119.567,117.449,115.987,115.08,119.68,126.051,102.268,100.047
685_bus,685,685,3249,256,144.827,129.545,128.187,130.102,143.963,134.826,128.683,125.121
ACTIVSg70K,69999,69999,238627,256,31.2811,30.5714,30.6391,29.6528,32.8975,28.2031,26.298,30.8266
AS365,3799275,3799275,22736152,256,36.8373,21.0585,38.2194,21.9838,20.5286,20.4675,30.2735,19.8609
Alemdar,6245,6245,42581,256,190.514,141.204,186.88,147.278,152.097,,129.265,119.537
Andrews,60000,60000,760154,256,72.2662,44.0606,74.7603,56.8361,73.7423,77.5773,68.8597,48.0146
BenElechi1,245874,245874,13150496,256,172.922,176.628,173.742,177.077,176.245,177.643,173.803,174.085
Binaryalphadigs_10NN,1404,1404,19392,256,188.172,160.358,183.153,159.091,165.846,165.666,157.062,152.234
Bump_2911,2911419,2911419,127729899,256,127.963,145.882,137.465,143.114,149.875,144.332,116.05,142.539
CO,221119,221119,7666057,256,61.8635,64.0626,93.1645,62.2269,106.23,81.7379,56.1619,63.0686
Chem97ZtZ,2541,2541,7361,256,131.538,123.427,122.711,139.406,138.964,141.276,137.941,29.0046
Cube_Coup_dt0,2164760,2164760,127206144,256,155.235,160.417,157.62,161.077,164.0,160.93,155.52,156.29
Cube_Coup_dt6,2164760,2164760,127206144,256,155.739,161.099,157.741,160.737,164.099,161.545,155.338,156.538
CurlCurl_0,11083,11083,113343,256,186.802,192.239,190.046,193.04,196.775,188.986,184.014,182.398
CurlCurl_1,226451,226451,2472071,256,54.8193,69.0038,64.266,74.3124,72.2005,78.7907,55.4218,67.4218
CurlCurl_2,806529,806529,8921789,256,48.606,66.9525,63.2548,63.9088,69.9847,67.7141,52.4615,62.3413
CurlCurl_3,1219574,1219574,13544618,256,47.5282,63.9673,70.2015,67.5676,66.2549,65.8578,53.1507,64.645
CurlCurl_4,2380515,2380515,26515867,256,45.3743,67.1852,59.556,63.7211,62.4906,60.8787,50.8506,60.1855
Dubcova1,16129,16129,253009,256,209.073,166.782,214.066,141.972,178.28,,138.411,168.557
Dubcova2,65025,65025,1030225,256,111.239,89.7806,113.202,96.7242,65.9138,51.4258,105.323,61.5473
Dubcova3,146689,146689,3636649,256,132.915,90.4725,145.803,105.36,122.85,115.769,134.81,77.5028
EX1,560,560,8736,256,153.986,151.053,153.5,145.491,151.529,150.535,144.649,152.36
EX2,560,560,8736,256,154.449,153.452,151.508,149.808,150.15,145.567,148.397,152.636
EX3,2600,2600,71760,256,161.233,164.046,162.58,162.939,160.899,113.022,160.144,164.171
EX4,2600,2600,71760,256,164.521,163.874,161.145,162.936,162.714,150.706,160.597,163.63
EX5,6545,6545,295680,256,161.727,161.621,160.441,152.621,144.324,,161.968,162.601
EX6,6545,6545,295680,256,161.789,162.767,157.53,161.622,161.574,,161.641,162.407
Ecoli_10NN,336,336,4560,256,159.008,138.182,157.975,145.975,141.259,139.203,150.017,136.215
Emilia_923,923136,923136,41005206,256,134.916,149.423,142.857,127.339,156.355,154.348,133.763,118.243
Erdos02,6927,6927,16944,256,67.1449,96.8369,46.7282,106.313,101.705,32.0827,24.7696,36.7984
Erdos971,472,472,2628,256,,86.7417,57.9897,88.0529,93.9359,82.0249,62.9814,102.933
Erdos972,5488,5488,14170,256,76.7802,92.428,29.5943,94.6737,117.238,39.0629,71.6413,40.6461
Erdos981,485,485,2762,256,,80.0716,48.9492,76.7014,96.7466,79.4195,64.4139,95.3055
Erdos982,5822,5822,14750,256,61.6913,114.303,52.8437,113.451,97.4225,67.5722,61.7357,35.7935
Erdos991,492,492,2834,256,99.0383,78.9493,43.659,78.556,92.1099,74.3306,62.7517,103.055
Erdos992,6100,6100,15030,256,66.1705,98.4792,59.1073,102.709,108.09,28.9785,57.6561,41.3522
F1,343791,343791,26837113,256,125.187,122.831,153.996,114.623,140.403,128.801,160.793,110.46
F2,71505,71505,5294285,256,153.995,87.3876,164.953,155.737,162.011,156.167,163.179,82.8458
Fashion_MNIST_norm_10NN,10000,10000,158304,256,92.9838,145.82,6.3315,143.425,145.235,147.51,159.025,110.667
Fault_639,638802,638802,28614564,256,144.382,140.548,134.265,144.989,156.315,146.933,144.635,141.356
Flan_1565,1564794,1564794,117406044,256,157.141,172.658,160.667,172.575,173.79,173.296,172.159,172.031
G1,800,800,38352,256,153.492,156.353,154.539,154.089,154.292,155.936,154.734,156.65
G10,800,800,38352,256,154.497,155.378,155.734,154.311,154.052,150.805,155.074,155.504
G11,800,800,3200,256,140.358,136.613,142.173,137.808,123.84,136.83,135.91,134.405
G12,800,800,3200,256,132.257,125.069,136.17,124.945,123.952,133.106,134.77,123.392
G13,800,800,3200,256,124.225,120.781,132.097,127.106,121.121,134.295,133.649,124.196
G14,800,800,9388,256,117.903,140.042,96.5735,111.322,124.486,94.4463,75.3761,89.1062
G15,800,800,9322,256,97.1516,129.276,101.333,105.704,130.342,96.5405,70.4087,85.6842
G16,800,800,9344,256,125.792,122.4,85.8217,105.466,124.299,80.1133,111.815,82.7603
G17,800,800,9334,256,115.948,127.86,95.5228,114.971,118.539,100.227,78.5298,82.4806
G18,800,800,9388,256,109.876,140.574,96.2197,110.169,124.764,94.0324,76.0402,85.7719
G19,800,800,9322,256,97.4253,130.374,101.363,105.22,129.736,96.0934,70.3734,85.2327
G2,800,800,38352,256,152.817,153.337,153.566,154.683,156.033,154.082,154.696,155.28
G20,800,800,9344,256,124.099,122.125,93.3616,105.837,123.191,80.6087,111.787,87.6406
G21,800,800,9334,256,115.959,127.118,95.5209,116.057,120.81,97.493,79.1305,82.0614
G22,2000,2000,39980,256,151.649,155.456,115.297,154.752,152.435,152.121,151.353,152.742
G23,2000,2000,39980,256,154.923,154.133,157.723,154.864,155.764,147.545,151.491,153.763
G24,2000,2000,39980,256,147.997,150.39,159.342,151.323,146.246,122.427,148.755,153.641
G25,2000,2000,39980,256,149.059,149.354,151.364,139.364,118.675,154.672,150.812,153.436
G26,2000,2000,39980,256,149.11,154.433,136.387,151.179,146.962,153.638,152.991,150.843
G27,2000,2000,39980,256,152.288,155.001,157.796,154.192,152.301,151.651,151.794,153.814
G28,2000,2000,39980,256,108.601,152.412,155.567,150.542,142.151,150.793,152.084,154.528
