matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,3.57633,3.59739,3.75963,3.73303,3.64932,3.5801,3.75194,3.63077
144,144649,144649,2148786,8,6.0091,5.78622,5.98875,5.81494,5.99844,6.02266,6.13457,4.57412
2cubes_sphere,101492,101492,1647264,8,5.99956,6.11895,6.04615,6.17354,6.1842,6.09018,6.24777,6.03638
333SP,3712815,3712815,22217266,8,3.81309,4.36205,3.13843,4.43339,4.17817,4.16455,5.65052,2.08325
3dtube,45330,45330,3213618,8,5.94229,5.96148,5.93881,5.95708,5.96559,5.89637,5.9973,5.92888
3elt,4720,4720,27444,8,6.49427,6.40382,6.49687,6.37167,6.5785,6.5544,6.61797,6.4609
3elt_dual,9000,9000,26556,8,5.58905,5.76403,5.69741,5.74122,5.64961,5.79706,5.98031,5.55107
494_bus,494,494,1666,8,3.64097,3.54953,3.49045,3.62828,3.26415,3.61248,3.59976,3.56168
598a,110971,110971,1483868,8,5.92423,5.71239,5.95121,5.55752,5.95214,5.85602,6.07412,4.19406
662_bus,662,662,2474,8,3.89115,3.67816,4.05486,3.95322,4.0154,3.96095,3.7413,3.77603
685_bus,685,685,3249,8,4.31689,4.15154,4.05385,4.21996,4.27998,4.26771,4.14152,4.21518
ACTIVSg70K,69999,69999,238627,8,3.83535,3.7965,3.72107,3.77184,3.81021,3.82997,3.7229,3.79471
AS365,3799275,3799275,22736152,8,3.57556,3.71906,2.87681,3.78219,3.52382,3.52824,5.29958,1.4008
Alemdar,6245,6245,42581,8,5.86632,5.64973,5.64618,5.59608,5.59259,,5.63353,5.56193
Andrews,60000,60000,760154,8,5.51843,5.57313,5.49233,5.64477,5.82161,5.69355,5.5198,4.28078
BenElechi1,245874,245874,13150496,8,6.01588,6.13309,6.09874,6.13257,6.13198,6.13057,6.15309,6.17648
Binaryalphadigs_10NN,1404,1404,19392,8,6.50974,6.55547,6.27913,6.50167,6.21616,6.23145,6.52849,6.0512
Bump_2911,2911419,2911419,127729899,8,5.47497,6.10085,5.63461,6.11669,6.14586,6.16281,6.10833,6.15985
CO,221119,221119,7666057,8,5.81592,6.15207,6.06065,6.1427,6.14255,6.10364,6.04525,6.1415
Chem97ZtZ,2541,2541,7361,8,5.30814,5.56044,5.5829,5.68122,5.14059,5.29547,5.38384,5.8718
Cube_Coup_dt0,2164760,2164760,127206144,8,5.54496,5.98427,5.75426,6.00548,5.99642,5.97855,6.03084,6.02445
Cube_Coup_dt6,2164760,2164760,127206144,8,5.57829,6.01,5.77591,5.92875,5.99748,5.97919,5.99669,6.02459
CurlCurl_0,11083,11083,113343,8,6.4054,6.36535,6.28222,6.46822,6.42297,6.31967,6.3637,6.63384
CurlCurl_1,226451,226451,2472071,8,5.94611,6.34714,5.87084,6.29244,6.31647,6.34761,6.45499,6.54639
CurlCurl_2,806529,806529,8921789,8,4.44335,6.12498,5.20964,6.01473,6.06996,6.03369,6.45781,6.57989
CurlCurl_3,1219574,1219574,13544618,8,4.12735,6.07343,5.15421,5.94578,6.04071,6.04187,6.44236,6.511
CurlCurl_4,2380515,2380515,26515867,8,3.82031,6.09492,4.53771,5.98992,6.12352,6.06179,6.46144,6.51595
Dubcova1,16129,16129,253009,8,6.53556,6.74355,6.48855,6.6978,6.79252,,6.73847,6.69428
Dubcova2,65025,65025,1030225,8,6.49183,6.69988,6.4421,6.73654,6.70579,6.68379,6.67517,6.53444
Dubcova3,146689,146689,3636649,8,6.28542,6.43923,6.27744,6.41741,6.45965,6.39708,6.4269,6.41933
EX1,560,560,8736,8,6.81005,6.89309,6.68329,6.80311,6.60012,6.57986,6.83907,6.60578
EX2,560,560,8736,8,6.9329,6.92602,6.44909,6.88898,6.17157,6.58766,6.90007,6.64291
EX3,2600,2600,71760,8,6.76423,6.8275,6.59638,6.82028,6.61363,6.64352,6.91991,6.57545
EX4,2600,2600,71760,8,6.80838,6.77352,6.63304,6.83806,6.58892,6.56199,6.92139,6.56839
EX5,6545,6545,295680,8,6.01384,6.15452,6.03824,6.08929,6.07003,,6.15778,6.13935
EX6,6545,6545,295680,8,6.08005,6.09926,6.05716,6.11266,6.11532,,6.11822,6.10101
Ecoli_10NN,336,336,4560,8,6.05037,5.75565,5.72683,6.27676,6.10649,6.33872,6.10269,5.67292
Emilia_923,923136,923136,41005206,8,5.61583,6.04012,5.72801,6.16044,6.13453,6.14006,6.1679,6.18553
Erdos02,6927,6927,16944,8,4.26211,3.95779,3.8902,3.92762,3.69111,3.94006,4.22392,4.09288
Erdos971,472,472,2628,8,,4.62281,5.36877,4.52278,4.69224,4.44355,4.64947,4.57341
Erdos972,5488,5488,14170,8,3.84045,3.95588,3.6348,3.89461,3.78757,3.93354,4.2219,4.00452
Erdos981,485,485,2762,8,,4.61741,5.2615,4.50155,5.07957,4.17719,4.34491,4.88856
Erdos982,5822,5822,14750,8,4.13432,3.81143,3.69454,3.86828,3.87591,3.80597,4.42769,4.35303
Erdos991,492,492,2834,8,4.58432,4.53627,5.04327,4.44982,4.8898,4.59774,4.60448,4.75165
Erdos992,6100,6100,15030,8,4.15208,3.79882,4.12811,3.87947,3.94949,3.90886,4.38713,3.8875
F1,343791,343791,26837113,8,5.73034,5.77788,5.71959,5.74441,5.79389,5.74867,5.86015,5.53169
F2,71505,71505,5294285,8,5.90501,5.89711,5.88093,5.86939,5.90775,5.86948,5.91919,5.80495
Fashion_MNIST_norm_10NN,10000,10000,158304,8,6.15342,6.00338,6.18152,6.11428,6.19909,6.2041,6.25896,5.6369
Fault_639,638802,638802,28614564,8,5.66261,6.12198,5.82558,6.13652,6.15498,6.06138,6.11029,6.12596
Flan_1565,1564794,1564794,117406044,8,5.67668,5.90088,5.69106,5.92486,5.92959,5.91353,5.92443,5.91526
G1,800,800,38352,8,6.43232,6.44689,6.25523,6.47744,6.365,6.25301,6.28045,6.13993
G10,800,800,38352,8,6.44166,6.48133,6.20022,6.44573,6.26549,6.23413,6.46832,6.22694
G11,800,800,3200,8,6.22389,6.56817,6.65202,6.88529,6.4089,6.19932,5.74938,6.37361
G12,800,800,3200,8,6.86766,5.85064,6.16595,6.46315,6.35482,6.77665,6.44421,5.86876
G13,800,800,3200,8,6.21966,6.83308,6.68152,6.08642,6.71827,6.41976,5.98211,5.94652
G14,800,800,9388,8,5.85723,5.87536,5.8151,5.89028,5.77729,5.69036,6.02415,5.92283
G15,800,800,9322,8,5.88703,5.71753,5.39546,5.87957,5.25239,5.66795,5.87817,5.84588
G16,800,800,9344,8,5.9519,5.95753,5.60231,5.9095,5.73983,5.64427,6.17941,5.657
G17,800,800,9334,8,5.80246,5.81467,5.59612,5.91909,5.70188,5.66772,6.07528,5.92401
G18,800,800,9388,8,5.87922,5.69267,5.83741,5.8774,5.74079,5.62163,6.13775,5.89631
G19,800,800,9322,8,5.92011,5.91868,5.705,5.96198,5.78579,5.59567,5.93569,5.71926
G2,800,800,38352,8,6.44598,6.46407,6.14962,6.47948,6.48213,6.26445,6.21197,6.23516
G20,800,800,9344,8,5.83338,5.92302,5.60681,5.82069,5.79557,5.6917,6.08351,5.77566
G21,800,800,9334,8,5.79638,5.87786,5.75416,5.88801,5.76171,5.79953,5.94333,5.94752
G22,2000,2000,39980,8,6.47463,6.51065,6.7111,6.43897,6.69625,6.45049,6.54668,6.46567
G23,2000,2000,39980,8,6.40704,6.65763,6.55149,6.6308,6.49192,6.54989,6.63307,6.52528
G24,2000,2000,39980,8,6.7175,6.67689,6.54618,6.66813,6.50319,6.42779,6.70678,6.52748
G25,2000,2000,39980,8,6.69635,6.65828,6.54686,6.58752,6.49538,6.48441,6.6941,6.44117
G26,2000,2000,39980,8,6.70946,6.62942,6.4564,6.67371,6.44631,6.47176,6.73001,6.49646
G27,2000,2000,39980,8,6.71333,6.6855,6.45573,6.70014,6.51862,6.39023,6.74028,6.50967
G28,2000,2000,39980,8,6.69136,6.64581,6.55336,6.59521,6.54799,6.53028,6.70089,6.50779
G29,2000,2000,39980,8,6.58787,6.67562,6.54811,6.69873,6.56498,6.4688,6.73667,6.47777
G2_circuit,150102,150102,726674,8,5.53364,5.89342,5.66042,6.05371,6.01639,5.89193,5.89787,5.98613
G3,800,800,38352,8,6.46486,6.44084,6.25262,6.49939,6.47604,6.26109,6.29272,6.24412
G30,2000,2000,39980,8,6.68462,6.57998,6.47206,6.67328,6.48762,6.51844,6.7228,6.48998
G31,2000,2000,39980,8,6.67209,6.67523,6.52175,6.67627,6.45431,6.44401,6.7197,6.52268
G32,2000,2000,8000,8,6.98795,6.80408,6.637,6.98617,6.25704,6.98227,7.23744,6.58943
G33,2000,2000,8000,8,6.83589,5.83382,6.60098,7.18936,6.61607,6.26802,7.0242,6.75924
G34,2000,2000,8000,8,6.92335,6.60971,6.89955,6.28709,7.16444,6.51725,6.58501,7.02402
G35,2000,2000,23556,8,5.93921,5.99926,5.87634,6.02696,5.60907,5.75984,6.22115,5.92387
G36,2000,2000,23532,8,5.90461,6.01526,5.53213,6.05205,5.80053,5.82699,6.0583,5.81798
G37,2000,2000,23570,8,5.95844,5.98583,5.6459,6.06332,5.63659,5.80731,6.17219,5.95721
G38,2000,2000,23558,8,5.992,6.01801,5.88286,6.0289,5.80103,5.70604,6.1651,5.91632
G39,2000,2000,23556,8,5.91292,6.00995,5.85606,6.01406,5.61955,5.76813,6.18474,5.94934
G3_circuit,1585478,1585478,7660826,8,3.49954,5.41936,3.35536,5.22436,5.36448,5.43015,5.75296,5.32521
G4,800,800,38352,8,6.4849,6.35263,6.27155,6.5033,6.47537,6.22212,6.24968,6.19154
G40,2000,2000,23532,8,5.77184,6.01374,5.53993,6.02593,5.84709,5.73149,6.07172,5.8443
G41,2000,2000,23570,8,5.49545,5.94104,5.71975,6.00545,5.65149,5.81653,5.80998,5.93216
G42,2000,2000,23558,8,5.91433,5.9865,5.83743,5.99741,5.83877,5.76693,6.10337,5.99364
G43,1000,1000,19980,8,6.6163,6.65047,6.56537,6.77356,6.49905,6.54571,6.81458,6.48897
G44,1000,1000,19980,8,6.81769,6.80937,6.53487,6.78904,6.39522,6.54665,6.8004,6.41872
G45,1000,1000,19980,8,6.60389,6.65795,6.54103,6.80202,6.52338,6.5335,6.75145,6.51638
G46,1000,1000,19980,8,6.82,6.61854,6.40512,6.72658,6.5289,6.47008,6.81478,6.43086
G47,1000,1000,19980,8,6.69091,6.66305,6.52927,6.78917,6.52127,6.534,6.83473,6.50379
G48,3000,3000,12000,8,,6.91215,6.95799,6.96305,6.4896,6.45809,7.07051,7.01911
G49,3000,3000,12000,8,,7.06845,6.70576,6.77551,6.92655,6.36105,7.26614,6.87894
G5,800,800,38352,8,6.45874,6.39493,6.25767,6.35521,6.48082,6.16818,6.26582,6.25179
G50,3000,3000,12000,8,7.04177,7.13437,6.59718,7.21048,6.65403,6.83787,7.16363,6.02617
G51,1000,1000,11818,8,5.74177,5.94642,5.78891,5.83064,5.80464,5.71317,6.11357,5.91662
G52,1000,1000,11832,8,5.92414,5.8807,5.83772,5.91062,5.79751,5.73276,6.06611,5.98299
G53,1000,1000,11828,8,5.96578,5.8157,5.86564,5.88126,5.81886,5.64635,6.10973,5.91602
G54,1000,1000,11832,8,5.9219,5.82642,5.72517,5.9671,5.83612,5.76577,6.11685,6.02101
G55,5000,5000,24996,8,4.35603,4.32166,4.44345,4.25813,4.33291,4.36812,4.42648,4.28297
G56,5000,5000,24996,8,4.32743,4.3064,4.38449,4.27532,4.31816,4.33286,4.34415,4.2991
G57,5000,5000,20000,8,5.81354,6.05223,6.58125,6.21755,6.1977,6.47344,6.33184,6.07669
G58,5000,5000,59140,8,5.6823,5.68976,5.77247,5.87358,5.66592,5.71536,5.6993,5.7673
G59,5000,5000,59140,8,5.57948,5.63363,5.7745,5.81214,5.67484,5.76677,5.78835,5.8312
G6,800,800,38352,8,6.26144,6.20119,6.46664,6.20808,6.44708,6.21282,6.21294,6.2472
G60,7000,7000,34296,8,4.26534,4.22589,4.3661,4.29475,4.19771,4.26829,4.36913,4.18076
G61,7000,7000,34296,8,4.24883,4.25979,4.37316,4.30297,4.27478,4.26236,4.30314,4.22433
G62,7000,7000,28000,8,5.99691,5.95895,6.3293,6.25279,6.20172,6.13109,6.75959,6.30408
G63,7000,7000,82918,8,5.66716,5.6834,5.72918,5.81337,5.70753,5.66464,5.73347,5.7247
G64,7000,7000,82918,8,5.60247,5.66997,5.7796,5.75648,5.6775,5.59865,5.6892,5.67613
G65,8000,8000,32000,8,5.96416,5.87236,6.17911,6.38316,6.29782,6.28382,6.86585,6.29826
G66,9000,9000,36000,8,6.01674,6.35546,6.10156,5.70739,6.15083,6.48202,6.32899,6.08667
G67,10000,10000,40000,8,6.2942,6.27206,6.51095,6.03859,5.88798,6.40049,6.66371,6.05359
G7,800,800,38352,8,6.50125,6.46353,6.27301,6.45624,6.45561,6.27815,6.23959,6.18338
G8,800,800,38352,8,6.45444,6.44876,6.18718,6.42411,6.46207,6.27017,6.26609,6.25312
G9,800,800,38352,8,6.47818,6.44699,6.22042,6.39028,6.4693,6.22636,6.26034,6.16971
GAP-road,23947347,23947347,57708624,8,2.34634,2.72371,2.20908,2.71974,2.41328,2.39362,3.20894,2.06778
GD06_theory,101,101,380,8,3.89752,4.22274,3.92801,4.25993,4.07767,4.51945,4.09173,3.91271
