matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.30446,3.26622,4.33352,4.1025,4.12095,4.34196,4.20403,4.30732
144,144649,144649,2148786,8,206.303,196.915,216.086,196.15,211.818,216.003,216.167,162.328
2cubes_sphere,101492,101492,1647264,8,214.914,217.959,218.411,219.853,220.204,219.084,220.683,212.552
333SP,3712815,3712815,22217266,8,26.8706,46.0246,26.1463,42.5486,42.8228,43.3231,47.777,18.6939
3dtube,45330,45330,3213618,8,130.845,172.061,164.31,169.235,163.713,170.2,177.476,170.801
3elt,4720,4720,27444,8,27.4422,27.3229,26.417,26.7225,26.9373,26.2589,27.3912,27.0521
3elt_dual,9000,9000,26556,8,25.5469,26.2264,25.0486,26.0159,25.9368,25.5469,26.1124,25.7324
494_bus,494,494,1666,8,1.72085,1.78195,1.73428,1.68603,1.73205,1.70324,1.72654,1.74805
598a,110971,110971,1483868,8,200.73,174.623,191.981,160.87,201.737,201.534,203.226,151.734
662_bus,662,662,2474,8,2.62166,2.63736,2.56042,2.58232,2.6913,2.66397,2.56374,2.63912
685_bus,685,685,3249,8,3.40428,3.32593,3.38662,3.51053,3.47512,3.42024,3.31955,3.48673
ACTIVSg70K,69999,69999,238627,8,127.531,126.769,127.791,127.022,127.196,131.629,131.674,129.219
AS365,3799275,3799275,22736152,8,27.9086,41.8714,24.9727,41.7307,42.6975,44.1305,48.5623,13.0641
Alemdar,6245,6245,42581,8,37.4441,38.548,37.9467,37.9467,37.4029,,38.2668,38.4175
Andrews,60000,60000,760154,8,172.627,179.52,181.234,180.158,180.428,182.349,179.758,164.486
BenElechi1,245874,245874,13150496,8,203.417,206.771,207.198,206.926,206.173,206.663,208.111,207.31
Binaryalphadigs_10NN,1404,1404,19392,8,18.8937,19.0809,19.2346,18.7567,19.0443,18.9283,18.4554,18.8937
Bump_2911,2911419,2911419,127729899,8,69.0316,84.4551,76.9742,89.6787,90.7583,90.7377,87.1754,86.2136
