matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.04748,2.19127,2.22132,2.15639,2.23975,2.21524,2.20934,2.19721
144,144649,144649,2148786,1,2.25974,2.2529,2.29621,2.25156,2.23566,2.2459,2.18019,2.02557
2cubes_sphere,101492,101492,1647264,1,2.62655,2.65585,2.73433,2.67768,2.63297,2.63438,2.70128,2.63407
333SP,3712815,3712815,22217266,1,1.30778,1.49831,1.05175,1.51563,1.54222,1.5388,1.77154,1.23947
3dtube,45330,45330,3213618,1,2.5373,2.69124,2.68523,2.69721,2.63426,2.54067,2.61661,2.70021
3elt,4720,4720,27444,1,2.45365,2.30138,2.38126,2.32873,2.30138,2.30717,2.35267,2.28129
3elt_dual,9000,9000,26556,1,2.29921,2.13644,2.24575,2.13386,2.12448,2.15815,2.22507,2.11264
494_bus,494,494,1666,1,2.0956,2.08248,2.08248,2.04411,2.0956,2.0956,2.05704,2.03163
598a,110971,110971,1483868,1,2.13931,2.16178,2.1834,2.17223,2.19648,2.20036,2.20665,1.94845
662_bus,662,662,2474,1,2.22902,2.20887,2.21878,2.23889,2.19904,2.24907,2.25936,2.26973
685_bus,685,685,3249,1,2.38903,2.38027,2.43383,2.40654,2.4155,2.42452,2.38903,2.38903
ACTIVSg70K,69999,69999,238627,1,0.839552,0.805446,0.793065,0.803141,0.815465,0.81139,0.794674,0.826078
AS365,3799275,3799275,22736152,1,1.11187,1.26728,0.819042,1.25657,1.31599,1.26482,1.48958,0.436154
Alemdar,6245,6245,42581,1,2.69161,1.86268,1.94522,1.7997,1.70457,,1.90985,2.2494
Andrews,60000,60000,760154,1,2.14361,2.15364,2.1478,2.14486,2.1023,2.1516,2.15102,2.04338
BenElechi1,245874,245874,13150496,1,2.78557,2.99682,2.97627,2.99359,2.95595,2.98353,3.03872,3.05605
Binaryalphadigs_10NN,1404,1404,19392,1,2.62052,2.66194,2.66906,2.64553,2.65824,2.61525,2.67476,2.68403
Bump_2911,2911419,2911419,127729899,1,2.30839,2.7867,2.59148,2.87452,2.71984,2.87385,2.84399,2.9643
CO,221119,221119,7666057,1,2.6176,2.68987,2.75983,2.81314,2.8476,2.64454,2.8407,2.88539
Chem97ZtZ,2541,2541,7361,1,2.05614,2.05327,2.07934,2.05614,1.885,2.025,2.09421,2.20723
Cube_Coup_dt0,2164760,2164760,127206144,1,2.61513,2.91814,2.83505,2.95561,2.91619,2.76472,3.01723,3.00152
Cube_Coup_dt6,2164760,2164760,127206144,1,2.50948,2.91806,2.85745,2.94517,2.8942,2.92665,3.03407,2.99388
CurlCurl_0,11083,11083,113343,1,2.85318,2.8749,2.68108,2.91892,2.70509,2.68776,2.73046,3.0938
CurlCurl_1,226451,226451,2472071,1,2.75242,2.84468,2.6668,2.86657,2.83329,2.6223,2.6784,2.9207
CurlCurl_2,806529,806529,8921789,1,2.27102,2.70278,2.48895,2.70701,2.67879,2.67948,2.6415,2.89589
CurlCurl_3,1219574,1219574,13544618,1,2.25271,2.65282,2.36525,2.67112,2.63847,2.63008,2.67369,2.90642
CurlCurl_4,2380515,2380515,26515867,1,1.76145,2.49351,2.09185,2.61462,2.57681,2.59707,2.76166,2.94528
Dubcova1,16129,16129,253009,1,2.9459,3.03021,3.12471,3.10381,3.00537,,3.08393,3.19857
Dubcova2,65025,65025,1030225,1,3.37897,3.20019,3.35975,3.42966,3.43422,3.43155,3.50168,3.42044
Dubcova3,146689,146689,3636649,1,3.0758,3.14677,3.0187,3.08349,3.13681,3.12437,3.03466,3.13832
EX1,560,560,8736,1,2.85026,2.8643,2.97136,2.90229,2.77336,2.82271,3.02807,2.96128
EX2,560,560,8736,1,2.80897,2.80446,2.89267,2.8643,2.81361,2.791,2.79111,2.87373
EX3,2600,2600,71760,1,3.19432,3.20715,3.25812,3.21434,3.20995,3.21139,3.239,3.2
EX4,2600,2600,71760,1,3.20858,3.21211,3.25,3.21721,3.146,3.21074,3.22662,3.21786
EX5,6545,6545,295680,1,3.13248,3.15778,3.16452,3.16081,3.138,,3.19668,3.16435
EX6,6545,6545,295680,1,3.12589,3.10358,3.16504,3.16674,3.12608,,3.19618,3.15929
Ecoli_10NN,336,336,4560,1,2.96115,2.9418,2.96115,2.95133,2.99901,3.00984,3.00016,2.9418
Emilia_923,923136,923136,41005206,1,2.53262,2.8101,2.77602,2.95681,2.87093,2.76762,2.91464,3.05158
Erdos02,6927,6927,16944,1,1.64346,1.46637,1.77984,1.50008,1.38658,1.48306,1.76133,1.63157
Erdos971,472,472,2628,1,,2.4911,2.55135,2.50298,2.4911,2.46768,2.47934,2.51497
Erdos972,5488,5488,14170,1,1.7228,1.73972,1.9358,1.60932,1.71021,1.64766,1.91214,2.03885
Erdos981,485,485,2762,1,,2.49952,2.53395,2.52237,2.54537,2.54564,2.4885,2.51116
Erdos982,5822,5822,14750,1,1.9395,1.69055,1.8742,1.59719,1.61467,1.57409,1.72013,1.8175
Erdos991,492,492,2834,1,2.54165,2.51929,2.53029,2.51929,2.55311,2.46445,2.48584,2.54165
Erdos992,6100,6100,15030,1,1.64982,1.66815,1.81302,1.67558,1.63449,1.65987,1.83965,1.77138
F1,343791,343791,26837113,1,2.48272,2.51578,2.48242,2.58205,2.56602,2.57847,2.53811,2.49194
F2,71505,71505,5294285,1,2.54245,2.58,2.58546,2.62085,2.62196,2.57708,2.53478,2.57798
Fashion_MNIST_norm_10NN,10000,10000,158304,1,2.25169,2.22633,2.33728,2.35938,2.13807,2.32167,2.34158,2.21977
Fault_639,638802,638802,28614564,1,2.3959,2.81037,2.68214,2.7718,2.84102,2.75211,2.74854,2.88258
Flan_1565,1564794,1564794,117406044,1,2.44393,2.61116,2.50741,2.6147,2.60253,2.59803,2.60161,2.65427
G1,800,800,38352,1,3.20936,3.04261,3.05227,3.0414,3.04008,3.03537,3.06571,3.04987
G10,800,800,38352,1,3.2514,3.03297,3.04129,3.03658,3.04019,3.02093,3.06314,3.03658
G11,800,800,3200,1,2.40593,2.37907,2.37045,2.37928,2.23007,2.37928,2.24555,2.39712
G12,800,800,3200,1,2.37928,2.38796,2.37928,2.37928,2.41524,2.22988,2.38796,2.39712
G13,800,800,3200,1,2.22231,2.38796,2.37907,2.41502,2.38796,2.38796,2.38796,2.37928
G14,800,800,9388,1,2.55108,2.64444,2.61469,2.63709,2.7571,2.6297,2.76532,2.66331
G15,800,800,9322,1,2.61121,2.67489,2.61855,2.65203,2.58951,2.75391,2.79105,2.6445
G16,800,800,9344,1,2.61371,2.63214,2.63205,2.64663,2.67352,2.77271,2.76449,2.62843
G17,800,800,9334,1,2.61415,2.60726,2.61457,2.65553,2.71727,2.70161,2.8114,2.61457
G18,800,800,9388,1,2.60784,2.64453,2.58984,2.65953,2.75719,2.64826,2.82341,2.63701
G19,800,800,9322,1,2.63337,2.67497,2.62224,2.69414,2.59303,2.76618,2.79945,2.62956
G2,800,800,38352,1,3.23918,3.03899,3.02223,3.02817,3.0414,3.04624,3.06434,3.04019
G20,800,800,9344,1,2.61005,2.65074,2.58834,2.64332,2.69669,2.7686,2.76041,2.66208
G21,800,800,9334,1,2.61824,2.61091,2.59284,2.6479,2.69372,2.6977,2.80717,2.62932
G22,2000,2000,39980,1,2.86388,2.87419,2.84861,2.85266,2.86183,2.81254,2.91496,2.85467
G23,2000,2000,39980,1,2.83245,2.82743,2.88457,2.81848,2.84253,2.86276,2.91815,2.85876
G24,2000,2000,39980,1,2.84554,2.871,2.83546,2.84656,2.85064,2.83245,2.87006,2.82343
G25,2000,2000,39980,1,2.79678,2.82543,2.84453,2.84859,2.84759,2.87316,2.90755,2.85458
G26,2000,2000,39980,1,2.84453,2.85154,2.86081,2.83245,2.84039,2.81945,2.93958,2.82746
G27,2000,2000,39980,1,2.85776,2.83336,2.86381,2.84554,2.81549,2.81351,2.91293,2.80462
G28,2000,2000,39980,1,2.80758,2.83748,2.84152,2.86687,2.86903,2.85166,2.8971,2.86491
G29,2000,2000,39980,1,2.81353,2.86071,2.80659,2.85062,2.83333,2.81649,2.92038,2.84041
G2_circuit,150102,150102,726674,1,2.05374,2.52719,2.30498,2.60106,2.58454,2.59475,2.48268,2.64215
G3,800,800,38352,1,3.24742,3.01154,3.04261,3.02687,3.04852,3.033,3.07062,3.03658
G30,2000,2000,39980,1,2.85164,2.82543,2.84554,2.8395,2.8496,2.84554,2.92145,2.82944
G31,2000,2000,39980,1,2.88455,2.82135,2.84859,2.88455,2.84253,2.84759,2.90554,2.85368
G32,2000,2000,8000,1,2.54771,2.55188,2.54781,2.55178,2.55178,2.55188,2.55188,2.54771
