matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.23278,1.20243,1.27624,1.17184,1.16529,1.16393,1.23352,1.23352
144,144649,144649,2148786,1,1.20993,1.17504,1.19834,1.12785,1.26653,1.25297,1.28719,1.18427
2cubes_sphere,101492,101492,1647264,1,1.67113,1.70299,1.6097,1.75214,1.66285,1.72138,1.71185,1.65366
333SP,3712815,3712815,22217266,1,0.368764,0.407653,0.371824,0.356985,0.40518,0.471124,0.364868,0.386674
3dtube,45330,45330,3213618,1,0.940106,0.995465,0.95707,0.962443,0.998823,0.986073,0.979656,0.921381
3elt,4720,4720,27444,1,2.02336,1.86821,1.96732,1.9001,1.85733,1.85421,1.94762,1.85577
3elt_dual,9000,9000,26556,1,1.93896,1.79456,1.87901,1.78199,1.78559,1.82465,1.87801,1.76586
494_bus,494,494,1666,1,1.45628,1.44744,1.50292,1.49758,1.52714,1.48823,1.48885,1.47824
598a,110971,110971,1483868,1,1.25058,1.53609,1.52288,1.49396,1.54961,1.49523,1.48944,1.43994
662_bus,662,662,2474,1,1.656,1.59714,1.59822,1.6028,1.66365,1.62822,1.62872,1.5987
685_bus,685,685,3249,1,1.82481,1.76425,1.79952,1.80791,1.80499,1.7567,1.83513,1.76336
ACTIVSg70K,69999,69999,238627,1,0.668615,0.662747,0.652943,0.659095,0.668895,0.652647,0.648839,0.682104
AS365,3799275,3799275,22736152,1,0.360912,0.35486,0.351985,0.353018,0.354534,0.355446,0.365853,0.316838
Alemdar,6245,6245,42581,1,1.94595,1.34033,1.436,1.34342,1.2473,,1.40136,1.55498
Andrews,60000,60000,760154,1,1.50991,1.51094,1.51774,1.50325,1.49033,1.49228,1.53234,1.50935
BenElechi1,245874,245874,13150496,1,0.400999,0.403352,0.383703,0.385238,0.389674,0.389762,0.390081,0.401094
Binaryalphadigs_10NN,1404,1404,19392,1,1.71209,1.70337,1.7048,1.7018,1.70817,1.72727,1.70621,1.70726
Bump_2911,2911419,2911419,127729899,1,0.538818,0.352647,0.565396,0.552957,0.527854,0.533745,0.566181,0.598152
CO,221119,221119,7666057,1,0.423195,0.430747,0.430508,0.4261,0.440491,0.439575,0.438257,0.424337
Chem97ZtZ,2541,2541,7361,1,1.55921,1.53932,1.53595,1.52864,1.52513,1.53849,1.5584,1.68962
Cube_Coup_dt0,2164760,2164760,127206144,1,0.408872,0.478645,0.362729,0.442985,0.448085,0.472554,0.47233,0.50415
Cube_Coup_dt6,2164760,2164760,127206144,1,0.473621,0.458228,0.350289,0.460485,0.335078,0.468578,0.53746,0.468009
CurlCurl_0,11083,11083,113343,1,2.13001,2.18604,2.01763,2.18415,2.03654,2.02559,2.08531,2.35643
CurlCurl_1,226451,226451,2472071,1,1.04757,1.11722,0.989395,1.07758,1.10323,1.13022,1.08812,1.04692
CurlCurl_2,806529,806529,8921789,1,0.385919,0.390802,0.38247,0.398513,0.426484,0.375187,0.418097,0.379987
CurlCurl_3,1219574,1219574,13544618,1,0.413826,0.391604,0.353774,0.381086,0.397988,0.386664,0.376268,0.37113
CurlCurl_4,2380515,2380515,26515867,1,0.395791,0.366899,0.367728,0.369499,0.394829,0.379917,0.376869,0.370961
Dubcova1,16129,16129,253009,1,2.07912,2.1715,2.14555,2.21038,2.1612,,2.18332,2.1802
Dubcova2,65025,65025,1030225,1,2.05867,2.11258,2.0393,2.1463,2.13415,2.14571,2.1326,2.07016
Dubcova3,146689,146689,3636649,1,0.781663,0.761686,0.742174,0.765157,0.761241,0.763701,0.777022,0.768378
EX1,560,560,8736,1,1.95564,2.02269,2.02569,1.99314,1.96934,1.98345,2.05504,2.04468
EX2,560,560,8736,1,1.94782,1.96075,2.02596,1.99473,1.96691,1.95809,1.97426,2.00207
EX3,2600,2600,71760,1,1.9381,1.94817,1.96986,1.94627,1.9486,1.95526,1.96371,1.95486
EX4,2600,2600,71760,1,1.94981,1.94904,1.97401,1.95136,1.93768,1.94891,1.96261,1.95087
EX5,6545,6545,295680,1,1.90246,1.93443,1.91875,1.90118,1.93238,,1.92908,1.94138
EX6,6545,6545,295680,1,1.91842,1.91569,1.92809,1.91701,1.90523,,1.93848,1.9402
Ecoli_10NN,336,336,4560,1,1.7201,1.76331,1.72335,1.74882,1.77152,1.71588,1.79704,1.78192
