matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.29624,2.51645,2.50324,2.10324,2.46144,2.46894,2.51411,2.47724
144,144649,144649,2148786,1,1.77513,1.81741,1.78708,1.80179,1.81101,1.80344,1.78656,1.70673
2cubes_sphere,101492,101492,1647264,1,2.22192,2.13534,2.27438,2.14074,2.15043,2.17393,2.23265,2.14426
333SP,3712815,3712815,22217266,1,1.54535,1.54904,1.54059,1.54623,1.54992,1.55744,1.58821,1.27707
3dtube,45330,45330,3213618,1,2.45687,2.50554,2.49309,2.45014,2.49013,2.499,2.49392,2.50927
3elt,4720,4720,27444,1,2.58394,2.08138,2.11254,2.42781,2.35308,2.41255,2.45058,2.28986
3elt_dual,9000,9000,26556,1,2.62178,2.42576,2.42377,2.42288,2.40184,2.49188,2.50115,2.31586
494_bus,494,494,1666,1,1.87824,2.08641,2.22578,2.22728,2.05298,2.21248,2.23324,1.92713
598a,110971,110971,1483868,1,1.66183,1.72338,1.64298,1.73488,1.71631,1.71093,1.65938,1.71706
662_bus,662,662,2474,1,2.32738,2.41484,2.4243,2.40779,2.27809,2.26557,2.31974,2.4113
685_bus,685,685,3249,1,2.63503,2.59816,2.57857,2.18861,2.60859,2.50598,2.69626,2.60233
ACTIVSg70K,69999,69999,238627,1,0.73462,0.715457,0.69255,0.719489,0.724026,0.723475,0.701435,0.724748
AS365,3799275,3799275,22736152,1,1.24408,1.22345,1.31427,1.22644,1.23184,1.2274,1.24867,0.905631
Alemdar,6245,6245,42581,1,3.0364,1.66811,1.87739,1.71135,1.59602,,1.73016,2.01983
Andrews,60000,60000,760154,1,1.56217,1.48669,1.51132,1.4817,1.50421,1.54893,1.58866,1.54596
BenElechi1,245874,245874,13150496,1,2.75244,2.75555,2.74547,2.75647,2.75218,2.75198,2.75109,2.75717
Binaryalphadigs_10NN,1404,1404,19392,1,2.17314,2.10817,2.15491,2.12468,2.05783,2.14596,2.18514,2.1092
Bump_2911,2911419,2911419,127729899,1,2.68487,2.75374,2.63283,2.74772,2.75462,2.74429,2.74882,2.75982
CO,221119,221119,7666057,1,2.79458,2.91581,2.81458,2.9175,2.906,2.85102,2.84389,2.90876
Chem97ZtZ,2541,2541,7361,1,2.04842,1.97664,1.94145,1.92621,1.81395,1.83703,1.8375,2.37298
Cube_Coup_dt0,2164760,2164760,127206144,1,2.44578,2.47994,2.45491,2.48758,2.49015,2.48771,2.48208,2.48378
Cube_Coup_dt6,2164760,2164760,127206144,1,2.44898,2.48379,2.45288,2.48803,2.48351,2.48142,2.48672,2.48527
CurlCurl_0,11083,11083,113343,1,2.79683,2.84011,2.36249,2.9271,2.52978,2.45103,2.68321,3.48877
CurlCurl_1,226451,226451,2472071,1,2.66946,3.03647,2.4902,2.98652,2.78149,2.88394,2.9968,3.34296
CurlCurl_2,806529,806529,8921789,1,2.61545,2.89174,2.4414,2.9238,2.87008,2.80872,2.94619,3.18783
CurlCurl_3,1219574,1219574,13544618,1,2.60613,2.94269,2.51256,2.90332,2.8522,2.82671,2.95732,3.16382
CurlCurl_4,2380515,2380515,26515867,1,2.48278,2.93983,2.33766,2.92743,2.88419,2.82934,2.98268,3.14166
Dubcova1,16129,16129,253009,1,3.30109,3.39375,3.35576,3.37105,3.317,,3.52864,3.38902
Dubcova2,65025,65025,1030225,1,3.33917,3.43446,3.36306,3.42889,3.44065,3.27999,3.51245,3.24548
Dubcova3,146689,146689,3636649,1,3.12632,3.31097,3.04315,3.31101,3.31616,3.30593,3.09119,3.35167
EX1,560,560,8736,1,2.63133,3.05775,2.809,2.63808,2.65896,2.59459,2.83774,3.1464
EX2,560,560,8736,1,2.73299,2.83636,2.93056,2.74631,2.77466,2.77598,2.84653,2.63529
EX3,2600,2600,71760,1,3.04798,3.07001,3.19189,3.07673,2.97586,2.95327,3.20071,3.08201
EX4,2600,2600,71760,1,3.04055,3.03502,2.98378,2.96811,2.87707,3.02913,3.19004,3.04675
EX5,6545,6545,295680,1,2.85816,2.92425,2.87529,2.90895,2.92399,,2.88909,2.8248
EX6,6545,6545,295680,1,2.93798,2.88144,2.9285,2.92499,2.91382,,2.93306,2.92022
Ecoli_10NN,336,336,4560,1,2.98332,3.00593,3.08734,2.92588,3.05426,2.87063,3.07277,2.98527
Emilia_923,923136,923136,41005206,1,2.7378,2.77831,2.71791,2.78357,2.77539,2.77993,2.78596,2.77657
Erdos02,6927,6927,16944,1,2.11536,2.00118,1.64091,1.96509,1.26481,1.48521,2.23138,1.43971
Erdos971,472,472,2628,1,,2.50046,2.49454,2.54282,2.54775,2.44921,2.54775,2.57142
Erdos972,5488,5488,14170,1,2.23696,1.87471,1.87931,2.16039,1.82169,1.94951,2.20459,1.95772
Erdos981,485,485,2762,1,,2.56692,2.53743,2.57889,2.5801,2.4939,2.5386,2.59587
Erdos982,5822,5822,14750,1,2.19217,2.0725,1.76467,2.08717,1.7401,1.76267,2.23892,1.94156
Erdos991,492,492,2834,1,2.45368,2.5905,2.56703,2.55892,2.58341,2.59405,2.62286,2.60718
Erdos992,6100,6100,15030,1,2.14638,1.95958,1.79195,2.03287,1.63583,1.72392,2.25219,1.84655
F1,343791,343791,26837113,1,2.25622,2.28065,2.22498,2.28468,2.28526,2.26804,2.2954,2.21764
F2,71505,71505,5294285,1,2.32472,2.31693,2.29094,2.35934,2.34758,2.34989,2.36238,2.32278
Fashion_MNIST_norm_10NN,10000,10000,158304,1,1.83917,1.78162,1.82339,1.78158,1.81623,1.78014,1.87524,1.88803
Fault_639,638802,638802,28614564,1,2.70917,2.73059,2.68582,2.73777,2.72879,2.70887,2.73715,2.73137
Flan_1565,1564794,1564794,117406044,1,2.33447,2.37295,2.32715,2.37667,2.37985,2.37836,2.37549,2.38218
G1,800,800,38352,1,2.92953,2.79066,2.76451,2.7862,2.78165,2.76092,2.76202,2.79493
G10,800,800,38352,1,2.92406,2.78873,2.78326,2.7934,2.74286,2.7734,2.49736,2.74905
G11,800,800,3200,1,2.54777,2.64136,2.33748,2.16949,2.67001,2.30465,2.57753,2.6556
G12,800,800,3200,1,2.55693,2.66556,2.64463,2.66667,2.64353,2.54574,2.57442,2.53667
G13,800,800,3200,1,2.54879,2.59741,2.67782,2.65781,2.53164,2.69929,2.5869,2.5974
G14,800,800,9388,1,3.02741,2.80365,3.01139,2.92963,2.82686,2.99362,2.98743,3.12986
G15,800,800,9322,1,3.08624,2.83775,3.03747,2.90269,2.84467,2.88562,2.83861,2.82271
G16,800,800,9344,1,2.84965,2.77064,2.94114,2.90096,2.81065,2.93514,2.97627,3.02591
G17,800,800,9334,1,2.95473,2.8068,2.95427,2.88532,2.89023,2.99263,2.87465,2.94308
G18,800,800,9388,1,3.03819,2.81922,3.0056,2.92233,2.807,3.03279,2.98174,2.93604
G19,800,800,9322,1,3.02074,2.88517,2.87672,2.77482,2.83775,2.97116,2.89189,2.96265
G2,800,800,38352,1,2.92707,2.75914,2.73581,2.75765,2.75765,2.80351,2.79993,2.7932
G20,800,800,9344,1,2.96541,2.76736,2.91272,2.88039,2.81446,2.72698,2.79343,2.77806
G21,800,800,9334,1,2.97119,2.91824,2.96789,2.93384,2.75909,2.88398,2.91687,2.42002
G22,2000,2000,39980,1,2.29651,2.25176,2.24613,2.25716,2.22482,2.26439,2.5331,2.26118
G23,2000,2000,39980,1,2.26908,2.24197,2.24613,2.2571,2.22736,2.2585,2.51621,2.22025
G24,2000,2000,39980,1,2.27696,2.2484,2.24109,2.23165,2.22593,2.21576,2.52966,2.2384
G25,2000,2000,39980,1,2.26035,2.14848,2.25818,2.23808,2.21982,2.24544,2.48231,2.3526
G26,2000,2000,39980,1,2.25793,2.22222,2.24626,2.19779,2.23909,2.2394,2.51383,2.27108
G27,2000,2000,39980,1,2.28366,2.22711,2.21766,2.23596,2.25436,2.25831,2.51938,2.23209
G28,2000,2000,39980,1,2.27321,2.25037,2.26773,2.25462,2.25113,2.24821,2.52894,2.25767
G29,2000,2000,39980,1,2.28235,2.2778,2.24172,2.20518,2.23371,2.23277,2.5166,1.94668
G2_circuit,150102,150102,726674,1,1.92131,2.85159,2.2533,2.7814,2.79441,2.77221,2.60734,3.0071
G3,800,800,38352,1,2.92853,2.79564,2.73552,2.73211,2.73767,2.7722,2.80638,2.75488
G30,2000,2000,39980,1,2.41841,2.2529,2.25494,2.24992,2.27884,2.26029,2.48408,2.23664
G31,2000,2000,39980,1,2.28614,2.21742,2.23364,2.20549,2.25748,2.25075,2.49633,2.24664
G32,2000,2000,8000,1,2.93255,2.92291,2.92291,2.81096,2.93524,2.92238,2.93148,2.92772
G33,2000,2000,8000,1,2.82336,2.92451,2.50509,2.79134,2.91917,2.90065,2.90434,2.93363
G34,2000,2000,8000,1,2.9304,2.91758,2.91704,2.9128,2.90751,2.90804,2.90856,2.91864
G35,2000,2000,23556,1,2.01007,2.16697,1.97427,2.14819,1.99627,1.97692,2.38228,2.21038
G36,2000,2000,23532,1,1.99289,2.25144,2.08285,2.33059,2.0834,2.12892,2.14141,2.07111
G37,2000,2000,23570,1,1.85715,2.16606,1.9587,2.11979,1.98962,2.06845,2.35794,2.25983
G38,2000,2000,23558,1,1.97908,2.22918,1.96398,2.20436,2.00315,2.13397,2.3235,2.19471
G39,2000,2000,23556,1,2.02197,2.14477,2.01583,2.11056,1.98274,2.09937,2.40539,2.26784
G3_circuit,1585478,1585478,7660826,1,1.92478,2.78329,2.0479,2.74256,2.77376,2.7629,2.57749,2.79304
G4,800,800,38352,1,2.92707,2.74708,2.73826,2.68939,2.63226,2.7866,2.79952,2.7149
G40,2000,2000,23532,1,1.9485,2.2073,1.97956,2.17135,2.14258,1.99762,2.30086,2.22968
G41,2000,2000,23570,1,1.97619,2.30052,2.08344,2.17697,2.00972,2.06501,2.39253,2.29314
G42,2000,2000,23558,1,1.89579,2.18555,1.90823,2.20818,2.08552,1.98802,2.35651,2.18788
G43,1000,1000,19980,1,2.68874,2.58123,2.63554,2.64024,2.59717,2.62187,2.8121,2.65921
G44,1000,1000,19980,1,2.68639,2.63623,2.64496,2.65057,2.65075,2.564,2.75834,2.64478
G45,1000,1000,19980,1,2.65691,2.62964,2.61792,2.66027,2.56796,2.54636,2.87399,2.5824
G46,1000,1000,19980,1,2.56269,2.65921,2.50643,2.60801,2.59094,2.67828,2.79577,2.62739
G47,1000,1000,19980,1,2.66258,2.65939,2.60258,2.63502,2.67041,2.63536,2.8988,2.66613
G48,3000,3000,12000,1,,2.99551,2.99439,2.98396,2.96919,2.97508,2.99028,2.98026
G49,3000,3000,12000,1,,2.99065,2.98954,2.98026,2.99177,2.99215,2.78358,2.99738
G5,800,800,38352,1,2.92484,2.74188,2.73738,2.79839,2.7462,2.7715,2.75448,2.79513
G50,3000,3000,12000,1,2.96993,2.72603,2.98842,2.98731,2.98991,2.98954,3.00113,2.9914
G51,1000,1000,11818,1,2.96116,2.8018,2.91443,2.77028,2.71741,2.72807,2.7385,2.9336
G52,1000,1000,11832,1,2.87429,2.79386,2.83062,2.77779,2.8242,2.70075,2.81916,2.72156
G53,1000,1000,11828,1,2.98989,2.76162,2.9831,2.83068,2.70974,2.67028,2.83577,2.71627
G54,1000,1000,11832,1,2.81983,2.78007,2.81045,2.79518,2.5105,2.70662,2.7574,2.91788
G55,5000,5000,24996,1,1.05109,1.12879,1.20471,1.01707,1.14064,1.04595,1.22662,1.13068
G56,5000,5000,24996,1,1.07436,1.13348,1.37795,1.03059,1.13574,1.03918,1.23675,1.1455
G57,5000,5000,20000,1,3.03998,3.04646,3.0379,3.02938,3.04229,3.03398,3.01887,3.03698
G58,5000,5000,59140,1,1.54633,1.67388,1.57518,1.70216,1.7043,1.69344,2.00132,1.72277
G59,5000,5000,59140,1,1.44526,1.68827,1.58156,1.70969,1.65048,1.67187,2.01558,1.72204
G6,800,800,38352,1,2.91351,2.80156,2.71807,2.75765,2.7407,2.79911,2.81814,2.78175
G60,7000,7000,34296,1,0.99249,0.976371,1.22435,0.938087,0.983807,1.00175,1.07476,0.941978
G61,7000,7000,34296,1,0.972357,0.940751,1.18694,0.936026,0.992418,1.01237,1.06451,0.989569
G62,7000,7000,28000,1,3.07658,3.05144,3.03063,3.06128,3.06329,3.04265,3.07557,3.07338
G63,7000,7000,82918,1,1.48825,1.62937,1.51855,1.62334,1.61962,1.63711,1.96272,1.67264
G64,7000,7000,82918,1,1.49713,1.60978,1.5152,1.62981,1.60859,1.62203,1.96798,1.67253
G65,8000,8000,32000,1,3.06675,3.08285,3.0625,3.06837,3.07574,3.07175,3.05635,3.00766
G66,9000,9000,36000,1,3.05836,3.02737,3.03554,3.04504,3.04736,3.03516,2.87551,3.0303
G67,10000,10000,40000,1,3.07007,3.06419,3.05694,3.05764,3.00447,3.05799,3.04832,3.0567
G7,800,800,38352,1,2.92284,2.72871,2.80146,2.7723,2.78934,2.77451,2.78761,2.67289
G8,800,800,38352,1,2.9254,2.75161,2.78478,2.79819,2.73904,2.74816,2.62982,2.74846
G9,800,800,38352,1,2.85007,2.78387,2.73747,2.7652,2.78428,2.77822,2.80177,2.73221
GD06_theory,101,101,380,1,1.37432,1.28815,1.40221,1.31487,1.31035,1.35714,1.2459,1.38687
GD96_c,65,65,250,1,1.02669,0.976573,1.002,0.943392,0.967117,0.924214,1.03093,0.982324
GD97_a,84,84,332,1,1.17731,1.12542,1.12925,1.19856,1.17109,1.1836,1.0921,1.16492
GD97_b,47,47,264,1,,1.13304,1.10692,1.0497,1.1023,1.04762,1.1046,1.01735
GD98_c,112,112,336,1,1.11443,1.18309,1.16464,1.22629,1.06498,1.13131,1.26315,1.16869
GD99_b,64,64,252,1,1.03703,0.926468,0.965519,1.08856,0.988233,1.03279,1.00599,0.961832
G_n_pin_pout,100000,100000,1002396,1,1.31948,1.30113,1.38449,1.32045,1.31688,1.31358,1.42106,1.32056
Ga10As10H30,113081,113081,6115633,1,2.19678,2.22067,2.21089,2.23246,2.23766,2.20041,2.19157,2.20955
Ga19As19H42,133123,133123,8884839,1,2.05454,2.07222,2.06666,2.07947,2.0809,2.05453,2.03961,2.08514
Ga3As3H12,61349,61349,5970947,1,1.82049,1.82835,1.81356,1.82744,1.82411,1.81044,1.80049,1.82731
Ga41As41H72,268096,268096,18488476,1,2.05583,2.06546,2.04831,2.07446,2.07128,2.05104,2.03812,2.07162
GaAsH6,61349,61349,3381809,1,2.12244,2.1563,2.13061,2.14252,2.10869,2.0736,2.09346,2.15633
Ge87H76,112985,112985,7892195,1,2.09806,2.08797,2.07909,2.10225,2.09922,2.06326,2.06216,2.10133
Ge99H100,112985,112985,8451395,1,2.05753,2.05438,2.05122,2.06094,2.05873,2.02994,2.03175,2.06348
Geo_1438,1437960,1437960,63156690,1,2.73959,2.76718,2.69573,2.77463,2.78328,2.77275,2.78558,2.78342
Glass_10NN,214,214,2986,1,2.9875,2.97262,2.98152,2.98301,3.02532,2.99049,2.9741,2.90045
H2O,67024,67024,2216736,1,2.96966,2.8884,2.93763,2.87972,2.99061,2.9088,2.87308,2.96054
