matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.72357,2.70538,2.68121,2.68535,2.27427,2.7172,2.69992,2.62582
144,144649,144649,2148786,1,1.92113,1.93633,1.94349,1.94947,1.9365,1.93014,1.92477,1.90588
2cubes_sphere,101492,101492,1647264,1,2.3293,2.31636,2.44631,2.36379,2.32606,2.31766,2.49344,2.48287
333SP,3712815,3712815,22217266,1,1.4401,1.57222,1.3235,1.57129,1.56943,1.57898,1.6558,1.24038
3dtube,45330,45330,3213618,1,2.40987,2.4414,2.44098,2.4573,2.46352,2.44258,2.44694,2.463
3elt,4720,4720,27444,1,2.70409,2.45826,2.72478,2.63694,2.55193,2.61732,2.58835,2.77455
3elt_dual,9000,9000,26556,1,2.51915,2.3013,2.39395,2.3047,2.30223,2.3627,2.38449,2.28535
494_bus,494,494,1666,1,2.32093,2.35375,2.36074,2.35298,2.3717,2.37013,2.33151,2.32243
598a,110971,110971,1483868,1,1.89841,1.91228,1.82496,1.92602,1.90911,1.92821,1.91427,1.85289
662_bus,662,662,2474,1,2.62494,2.55059,2.62041,2.65777,2.28413,2.63144,2.08348,2.62494
685_bus,685,685,3249,1,2.8242,2.81281,2.77422,2.59086,2.44299,2.80885,2.75832,2.45114
ACTIVSg70K,69999,69999,238627,1,0.843988,0.777785,0.762339,0.777721,0.791449,0.775021,0.768299,0.793055
AS365,3799275,3799275,22736152,1,1.20979,1.27868,1.05173,1.27592,1.29061,1.28804,1.35336,0.704387
Alemdar,6245,6245,42581,1,2.83058,1.84569,2.09821,1.77993,1.7527,,1.97275,2.35009
Andrews,60000,60000,760154,1,1.8372,1.82071,1.81351,1.83316,1.83332,1.81741,1.87568,1.62682
BenElechi1,245874,245874,13150496,1,2.57423,2.59952,2.56729,2.5931,2.5929,2.58404,2.59672,2.58643
Binaryalphadigs_10NN,1404,1404,19392,1,2.90516,2.79518,2.66957,2.75907,2.48169,2.77886,2.65477,2.52105
Bump_2911,2911419,2911419,127729899,1,2.39919,2.53205,2.40973,2.52254,2.52693,2.52323,2.52146,2.53327
CO,221119,221119,7666057,1,2.57008,2.67721,2.6347,2.6569,2.70054,2.63937,2.61837,2.67896
Chem97ZtZ,2541,2541,7361,1,2.0287,2.00464,1.9762,2.00198,2.09428,1.95833,2.05014,2.39746
Cube_Coup_dt0,2164760,2164760,127206144,1,2.41542,2.50305,2.46775,2.51968,2.49476,2.51028,2.5059,2.52311
Cube_Coup_dt6,2164760,2164760,127206144,1,2.4101,2.49194,2.4463,2.50981,2.49485,2.50425,2.5084,2.50472
CurlCurl_0,11083,11083,113343,1,3.01977,3.08802,2.72918,3.10767,2.76916,2.71244,2.90751,3.38508
CurlCurl_1,226451,226451,2472071,1,2.64688,2.92748,2.57932,2.87851,2.82968,2.82624,2.84754,3.03207
CurlCurl_2,806529,806529,8921789,1,2.58413,2.79059,2.52904,2.82391,2.7918,2.77076,2.79613,2.87079
CurlCurl_3,1219574,1219574,13544618,1,2.55271,2.79705,2.54045,2.79057,2.75912,2.75841,2.7857,2.87908
CurlCurl_4,2380515,2380515,26515867,1,2.27212,2.75081,2.36617,2.7672,2.75084,2.73975,2.78262,2.89079
Dubcova1,16129,16129,253009,1,3.18437,3.29742,3.18994,3.29381,3.25625,,3.3009,3.32469
Dubcova2,65025,65025,1030225,1,3.22247,3.2907,3.1083,3.24522,3.28973,3.2762,3.26747,3.24882
Dubcova3,146689,146689,3636649,1,2.8274,2.92754,2.75152,2.92998,2.94398,2.92281,2.85705,2.88866
EX1,560,560,8736,1,3.31222,3.28123,3.19653,3.27179,3.31076,3.30231,3.18838,3.29101
EX2,560,560,8736,1,3.32809,3.27979,3.28669,3.30231,3.30784,3.28037,3.32927,3.27922
EX3,2600,2600,71760,1,3.0498,3.04474,3.11135,3.06262,3.00798,2.97173,3.12352,3.05746
EX4,2600,2600,71760,1,3.04908,3.05824,3.09557,3.04279,3.01894,3.01042,3.09069,3.06247
EX5,6545,6545,295680,1,2.60508,2.6583,2.65008,2.62971,2.62638,,2.65731,2.63067
EX6,6545,6545,295680,1,2.65311,2.63187,2.64691,2.60742,2.65476,,2.65959,2.66967
Ecoli_10NN,336,336,4560,1,3.06543,3.07506,3.14822,3.1599,3.15583,3.1286,3.09498,3.0989
Emilia_923,923136,923136,41005206,1,2.48157,2.54104,2.47893,2.54793,2.53233,2.53765,2.55025,2.54615
Erdos02,6927,6927,16944,1,1.78171,1.95199,1.79618,1.9151,1.4374,1.58978,2.08038,1.56577
Erdos971,472,472,2628,1,,2.60855,2.38629,2.53417,2.58052,2.59356,2.44894,2.50993
Erdos972,5488,5488,14170,1,2.02724,1.89111,1.91058,1.95451,1.85277,1.82877,2.08509,2.15646
Erdos981,485,485,2762,1,,2.59578,2.59294,2.46728,2.60432,2.55882,2.65563,2.60318
Erdos982,5822,5822,14750,1,1.86518,1.98058,1.71813,1.98598,1.46439,1.90408,1.88365,1.94812
Erdos991,492,492,2834,1,2.35799,2.64148,2.43341,2.57662,2.61425,2.58812,2.55337,2.57716
Erdos992,6100,6100,15030,1,1.81861,2.09562,1.77354,1.91258,1.36867,1.68802,1.97242,1.79519
F1,343791,343791,26837113,1,2.26071,2.27765,2.24997,2.27417,2.27857,2.26487,2.29479,2.22851
F2,71505,71505,5294285,1,2.30885,2.32923,2.28686,2.30593,2.32996,2.28922,2.33091,2.2977
Fashion_MNIST_norm_10NN,10000,10000,158304,1,2.12937,2.11526,2.12403,2.13353,2.12303,2.12288,2.17895,2.283
Fault_639,638802,638802,28614564,1,2.47075,2.49985,2.45089,2.47969,2.50728,2.50925,2.51598,2.51108
Flan_1565,1564794,1564794,117406044,1,2.34212,2.36746,2.32808,2.36323,2.36594,2.37248,2.38024,2.3826
G1,800,800,38352,1,2.74951,2.58005,2.5769,2.57187,2.56554,2.57577,2.59849,2.57674
G10,800,800,38352,1,2.74425,2.58272,2.58219,2.57738,2.61183,2.5847,2.63262,2.57396
G11,800,800,3200,1,2.6786,2.46527,2.71995,2.73076,2.72913,1.98267,2.7248,1.96622
G12,800,800,3200,1,2.68645,1.96819,2.72805,2.72426,2.7178,2.73619,2.71297,1.93413
G13,800,800,3200,1,2.63041,2.72102,2.72372,2.71726,2.71511,2.71618,2.67443,2.72805
G14,800,800,9388,1,2.94573,2.95393,2.94165,2.95545,2.89518,2.9333,2.94702,2.83892
G15,800,800,9322,1,2.93037,2.85902,2.96971,2.9095,2.92545,2.94114,2.9651,2.95612
G16,800,800,9344,1,2.9403,2.92317,2.91129,2.83539,2.7325,2.82681,2.92359,2.87562
G17,800,800,9334,1,2.85008,2.88391,2.9473,2.81961,2.71221,2.87378,2.90628,2.91283
G18,800,800,9388,1,2.93736,2.87577,2.90247,2.87495,2.89893,2.9509,2.98322,2.90687
G19,800,800,9322,1,2.97744,2.81104,2.90824,2.79515,2.76943,2.79573,2.94828,2.85943
G2,800,800,38352,1,2.74736,2.573,2.579,2.57111,2.56902,2.58333,2.61573,2.58629
G20,800,800,9344,1,2.9522,2.80802,2.93643,2.92701,2.9403,2.84484,2.86884,2.92466
G21,800,800,9334,1,2.8115,2.79017,2.89788,2.86925,2.68767,2.92686,2.99464,2.90291
G22,2000,2000,39980,1,2.72137,2.71852,2.78841,2.71951,2.7929,2.68104,2.95929,2.74653
G23,2000,2000,39980,1,2.80613,2.77821,2.75468,2.68423,2.69654,2.68864,2.88583,2.73441
G24,2000,2000,39980,1,2.69337,2.70006,2.75485,2.69425,2.60847,2.74525,2.86915,2.68637
G25,2000,2000,39980,1,2.71667,2.76083,2.68557,2.70337,2.73011,2.67191,2.84406,2.72158
G26,2000,2000,39980,1,2.7875,2.68675,2.62674,2.69535,2.60684,2.66498,2.95166,2.62686
G27,2000,2000,39980,1,2.7253,2.75671,2.6656,2.65411,2.65489,2.66684,2.91974,2.69037
G28,2000,2000,39980,1,2.64883,2.6926,2.72072,2.70729,2.70776,2.7174,2.91058,2.7038
G29,2000,2000,39980,1,2.74354,2.76564,2.66374,2.63877,2.71033,2.67128,2.86709,2.6948
G2_circuit,150102,150102,726674,1,2.14248,2.94503,2.40112,2.85631,2.87943,2.90554,2.86938,3.00964
G3,800,800,38352,1,2.7174,2.57436,2.57537,2.57464,2.5738,2.57577,2.61353,2.58009
G30,2000,2000,39980,1,2.77587,2.61682,2.67074,2.68301,2.69544,2.69942,2.82566,2.70576
G31,2000,2000,39980,1,2.69506,2.68645,2.75534,2.69134,2.68974,2.72327,2.90561,2.6854
G32,2000,2000,8000,1,2.84435,2.97435,2.09255,2.96026,2.95695,2.09243,2.95797,2.96844
G33,2000,2000,8000,1,2.94453,2.94125,2.09255,2.94933,2.93974,2.09562,2.63859,2.95797
G34,2000,2000,8000,1,2.95212,2.95212,2.94933,2.90274,2.41868,2.94832,2.94782,2.96307
G35,2000,2000,23556,1,2.28122,2.47553,2.3716,2.48495,2.38541,2.40995,2.74917,2.5161
G36,2000,2000,23532,1,2.44909,2.63985,2.40641,2.47609,2.32236,2.43124,2.62749,2.56925
G37,2000,2000,23570,1,2.36469,2.45734,2.46559,2.52557,2.49938,2.44872,2.58173,2.50012
G38,2000,2000,23558,1,2.51456,2.38696,2.35239,2.40781,2.44215,2.44658,2.64207,2.54915
G39,2000,2000,23556,1,2.22415,2.62744,2.40268,2.65837,2.42346,2.42823,2.74798,2.67588
G3_circuit,1585478,1585478,7660826,1,1.93544,2.59595,2.02765,2.58943,2.60626,2.5998,2.58048,2.61667
G4,800,800,38352,1,2.74805,2.56466,2.57476,2.57795,2.57404,2.57609,2.5973,2.57718
G40,2000,2000,23532,1,2.41972,2.65706,2.35873,2.57567,2.30646,2.52888,2.7419,2.47204
G41,2000,2000,23570,1,2.42589,2.56304,2.41449,2.64183,2.46032,2.36945,2.57118,2.52223
G42,2000,2000,23558,1,2.41967,2.44203,2.4264,2.43147,2.34649,2.35485,2.69909,2.61638
G43,1000,1000,19980,1,2.86331,2.93691,2.67882,2.88973,2.93731,2.90725,3.10907,2.9642
