matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.523466,0.508946,0.551635,0.528896,0.541656,0.551984,0.544229,0.494927
144,144649,144649,2148786,1,31.0527,44.6385,33.4762,39.782,57.0462,56.4461,67.8688,21.3802
2cubes_sphere,101492,101492,1647264,1,26.0307,49.7236,36.8136,57.6068,59.1934,51.3055,74.141,41.0872
333SP,3712815,3712815,22217266,1,16.5174,28.7728,13.8685,46.8405,31.3738,38.5095,30.748,12.6242
3dtube,45330,45330,3213618,1,68.0116,102.213,85.532,83.7338,88.164,94.0041,107.506,100.499
3elt,4720,4720,27444,1,3.40476,3.52296,3.30014,3.39632,3.35667,3.43477,3.5898,3.31611
3elt_dual,9000,9000,26556,1,3.1127,3.19721,2.40622,3.28439,3.20107,3.29869,3.40897,3.25222
494_bus,494,494,1666,1,0.208771,0.221263,0.219947,0.214276,0.220387,0.216785,0.221705,0.210472
598a,110971,110971,1483868,1,24.8533,37.6081,26.5988,37.7282,45.9019,51.8835,61.4399,18.4734
662_bus,662,662,2474,1,0.316775,0.318408,0.325978,0.32153,0.325549,0.32749,0.328356,0.334143
685_bus,685,685,3249,1,0.427497,0.418415,0.425262,0.409687,0.430073,0.421124,0.424732,0.42446
ACTIVSg70K,69999,69999,238627,1,11.4039,20.6836,14.8437,21.0762,20.7557,21.389,23.7214,18.6362
AS365,3799275,3799275,22736152,1,12.4079,32.2487,10.6589,35.815,33.394,33.0812,22.0527,6.77369
Alemdar,6245,6245,42581,1,4.81578,4.97062,4.64733,5.05051,5.24331,,5.40334,3.70852
Andrews,60000,60000,760154,1,19.0006,23.7089,20.2994,25.0392,27.7352,26.7664,26.7101,14.2356
BenElechi1,245874,245874,13150496,1,66.885,148.592,149.737,145.722,35.2937,148.073,146.389,153.565
Binaryalphadigs_10NN,1404,1404,19392,1,2.35596,2.269,2.28637,2.31655,2.26634,2.25057,2.45297,2.11762
Bump_2911,2911419,2911419,127729899,1,14.1966,14.4207,14.417,14.5689,14.5128,14.5393,14.7146,14.6972
CO,221119,221119,7666057,1,58.2403,94.0893,71.975,99.782,87.7393,84.8447,52.0159,104.713
Chem97ZtZ,2541,2541,7361,1,0.952267,1.00021,0.996808,0.98349,1.00498,0.986143,0.986851,0.975674
Cube_Coup_dt0,2164760,2164760,127206144,1,14.697,14.8879,14.8057,14.9227,14.8852,14.8551,15.0012,15.0442
Cube_Coup_dt6,2164760,2164760,127206144,1,14.6631,14.8684,14.8616,14.8711,14.9039,14.914,14.9841,15.0319
CurlCurl_0,11083,11083,113343,1,10.5283,11.9711,10.642,12.1966,11.6381,11.9705,13.2234,12.8842
CurlCurl_1,226451,226451,2472071,1,26.5961,71.5682,38.1937,66.4152,74.4062,59.8354,101.099,74.5533
CurlCurl_2,806529,806529,8921789,1,27.8417,99.6485,51.3397,93.1297,100.294,101.738,128.735,139.201
CurlCurl_3,1219574,1219574,13544618,1,20.1368,104.799,63.5091,97.0186,68.1482,111.131,94.7739,126.247
CurlCurl_4,2380515,2380515,26515867,1,15.3163,34.1147,21.1139,33.4545,35.887,37.1478,29.2084,14.2619
Dubcova1,16129,16129,253009,1,25.0392,21.5741,20.8443,20.4551,24.9777,,27.7497,16.9936
Dubcova2,65025,65025,1030225,1,59.3843,51.7234,41.3033,50.6889,64.6681,55.2666,76.3354,27.4014
Dubcova3,146689,146689,3636649,1,117.712,88.1621,72.0093,95.1667,103.704,96.0871,125.139,42.6141
