matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.23975,2.17961,2.15067,2.20319,2.23357,2.21538,2.17961,2.19071
144,144649,144649,2148786,1,2.26569,2.23779,2.28845,2.23933,2.2283,2.21994,2.19386,2.01989
2cubes_sphere,101492,101492,1647264,1,2.62111,2.64991,2.70661,2.67223,2.6437,2.6264,2.70619,2.63499
333SP,3712815,3712815,22217266,1,1.25257,1.49692,1.10956,1.51811,1.5451,1.5395,1.77401,1.19335
3dtube,45330,45330,3213618,1,2.5633,2.6582,2.63965,2.71341,2.63347,2.57955,2.63593,2.7203
3elt,4720,4720,27444,1,2.45695,2.30525,2.39476,2.3297,2.30033,2.32772,2.37507,2.2794
3elt_dual,9000,9000,26556,1,2.30822,2.1373,2.24861,2.14075,2.12875,2.15367,2.23433,2.11603
494_bus,494,494,1666,1,2.12232,2.04411,2.12232,2.0444,2.10888,2.10888,2.06953,2.01931
598a,110971,110971,1483868,1,2.19334,2.1846,2.19668,2.16771,2.18625,2.19465,2.21522,1.96927
662_bus,662,662,2474,1,2.24907,2.2091,2.18952,2.19927,2.23889,2.25936,2.19927,2.24931
685_bus,685,685,3249,1,2.24853,2.37158,2.45222,2.37158,2.37158,2.452,2.40654,2.32902
ACTIVSg70K,69999,69999,238627,1,0.83316,0.806616,0.795962,0.80248,0.807722,0.797881,0.792865,0.818133
AS365,3799275,3799275,22736152,1,1.13211,1.26299,0.825289,1.25672,1.31368,1.26708,1.49453,0.435849
Alemdar,6245,6245,42581,1,2.695,1.85498,1.94875,1.7997,1.68936,,1.96407,2.25714
Andrews,60000,60000,760154,1,2.12854,2.15468,2.14444,2.12992,2.10798,2.1534,2.14883,2.10593
BenElechi1,245874,245874,13150496,1,2.7848,2.99539,2.97403,2.99308,2.95034,2.97314,3.05659,3.07029
Binaryalphadigs_10NN,1404,1404,19392,1,2.63299,2.69519,2.71974,2.68571,2.64197,2.66007,2.72165,2.72361
Bump_2911,2911419,2911419,127729899,1,2.32241,2.76434,2.62693,2.91395,2.69439,2.84099,2.70868,2.96272
CO,221119,221119,7666057,1,2.55623,2.68288,2.68853,2.80558,2.80531,2.62555,2.88295,2.82064
Chem97ZtZ,2541,2541,7361,1,2.08792,2.06191,2.11523,2.06191,1.98676,2.0334,1.96289,2.23398
Cube_Coup_dt0,2164760,2164760,127206144,1,2.62603,2.93253,2.82184,2.96398,2.93101,2.8001,3.01886,2.99926
Cube_Coup_dt6,2164760,2164760,127206144,1,2.46707,2.94291,2.83062,2.96561,2.90481,2.94499,3.03733,3.02182
CurlCurl_0,11083,11083,113343,1,2.84564,2.88148,2.68105,2.90921,2.70605,2.67919,2.73773,3.09342
CurlCurl_1,226451,226451,2472071,1,2.69915,2.79271,2.60063,2.84845,2.78182,2.63619,2.57664,2.96637
CurlCurl_2,806529,806529,8921789,1,2.35584,2.68371,2.37569,2.71568,2.65127,2.65444,2.69281,2.91986
CurlCurl_3,1219574,1219574,13544618,1,2.21314,2.65804,2.32492,2.6623,2.62934,2.6278,2.61751,2.98939
CurlCurl_4,2380515,2380515,26515867,1,1.78876,2.5196,2.13031,2.63637,2.57502,2.60025,2.88136,2.9758
Dubcova1,16129,16129,253009,1,2.94659,3.02695,3.11202,3.09641,2.99968,,3.06731,3.19676
Dubcova2,65025,65025,1030225,1,3.37919,3.18707,3.36667,3.42943,3.43794,3.43527,3.50902,3.4222
Dubcova3,146689,146689,3636649,1,3.00334,3.04493,2.95845,2.993,3.09604,3.01433,3.02899,3.06976
EX1,560,560,8736,1,2.88322,2.9024,2.91198,2.93648,2.79558,2.83636,3.05457,2.97654
EX2,560,560,8736,1,2.85015,2.83187,2.89747,2.89759,2.83636,2.82717,2.83636,2.89747
EX3,2600,2600,71760,1,3.2043,3.2078,3.2448,3.2093,3.20215,3.20358,3.24404,3.22372
EX4,2600,2600,71760,1,3.19644,3.21578,3.24633,3.21506,3.1446,3.21211,3.22662,3.21571
EX5,6545,6545,295680,1,3.12091,3.15407,3.15355,3.16674,3.13899,,3.19808,3.16691
EX6,6545,6545,295680,1,3.12177,3.11617,3.16454,3.1625,3.12988,,3.19497,3.16299
Ecoli_10NN,336,336,4560,1,2.9803,2.8861,2.94202,2.9803,3.00984,3.02987,3.01007,2.9418
Emilia_923,923136,923136,41005206,1,2.49684,2.82246,2.76089,2.96854,2.87807,2.78549,2.8664,3.06093
