matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.20455,1.1165,1.22459,1.11528,1.13428,1.06696,1.19603,1.09419
144,144649,144649,2148786,1,1.26381,1.27291,1.27832,1.19134,1.32629,1.28948,1.35051,1.28186
2cubes_sphere,101492,101492,1647264,1,1.71529,1.72913,1.65905,1.79558,1.71223,1.77755,1.75228,1.67568
333SP,3712815,3712815,22217266,1,0.352508,0.403349,0.339501,0.355356,0.402524,0.464211,0.361933,0.369504
3dtube,45330,45330,3213618,1,0.958277,1.01111,0.959293,0.958006,1.00462,1.00375,0.990777,0.941754
3elt,4720,4720,27444,1,2.02248,1.87069,1.95952,1.89217,1.85207,1.84989,1.95109,1.85326
3elt_dual,9000,9000,26556,1,1.93488,1.79306,1.87928,1.77846,1.78773,1.81662,1.88173,1.7671
494_bus,494,494,1666,1,1.52633,1.49149,1.53632,1.46268,1.49679,1.46974,1.42453,1.43755
598a,110971,110971,1483868,1,1.28832,1.55544,1.52577,1.52851,1.53784,1.51318,1.51853,1.30862
662_bus,662,662,2474,1,1.61118,1.59247,1.5477,1.57875,1.65433,1.58392,1.66157,1.54872
685_bus,685,685,3249,1,1.57989,1.40315,1.62006,1.62818,1.55489,1.59305,1.65847,1.52607
ACTIVSg70K,69999,69999,238627,1,0.679463,0.655784,0.646807,0.664618,0.667351,0.65687,0.65084,0.683722
AS365,3799275,3799275,22736152,1,0.346593,0.35211,0.320143,0.349819,0.353662,0.353672,0.366105,0.298559
Alemdar,6245,6245,42581,1,1.93396,1.35094,1.43177,1.3503,1.24569,,1.40355,1.54595
Andrews,60000,60000,760154,1,1.5105,1.49313,1.51019,1.48767,1.50674,1.48895,1.54963,1.48377
BenElechi1,245874,245874,13150496,1,0.406241,0.407306,0.389348,0.38999,0.396063,0.395665,0.395904,0.408086
Binaryalphadigs_10NN,1404,1404,19392,1,1.70106,1.71648,1.7202,1.7282,1.72881,1.71923,1.73089,1.7111
Bump_2911,2911419,2911419,127729899,1,0.523377,0.352028,0.547115,0.551346,0.526835,0.532549,0.562994,0.595015
CO,221119,221119,7666057,1,0.430665,0.440838,0.441296,0.438117,0.451835,0.449289,0.45034,0.428718
Chem97ZtZ,2541,2541,7361,1,1.54658,1.53465,1.53193,1.5326,1.51352,1.53834,1.55821,1.69084
Cube_Coup_dt0,2164760,2164760,127206144,1,0.407012,0.476593,0.361333,0.442083,0.447264,0.471265,0.471942,0.503452
Cube_Coup_dt6,2164760,2164760,127206144,1,0.467134,0.456827,0.34873,0.45922,0.334767,0.46744,0.536742,0.466557
CurlCurl_0,11083,11083,113343,1,2.14626,2.19864,2.0133,2.19183,2.05469,2.01597,2.08796,2.35989
CurlCurl_1,226451,226451,2472071,1,1.21625,1.24589,1.12298,1.21205,1.26461,1.27631,1.24827,1.13011
CurlCurl_2,806529,806529,8921789,1,0.391219,0.407423,0.388157,0.413457,0.44499,0.392308,0.439565,0.391204
CurlCurl_3,1219574,1219574,13544618,1,0.405671,0.394759,0.351609,0.384505,0.403359,0.391876,0.378742,0.371529
CurlCurl_4,2380515,2380515,26515867,1,0.376828,0.364844,0.354934,0.367011,0.392165,0.376794,0.369617,0.364065
Dubcova1,16129,16129,253009,1,2.03277,2.15469,2.12783,2.18665,2.14537,,2.17845,2.16496
Dubcova2,65025,65025,1030225,1,2.05109,2.1198,2.03354,2.13623,2.14761,2.1347,2.16884,2.05257
Dubcova3,146689,146689,3636649,1,0.802248,0.80159,0.7951,0.819768,0.821519,0.813525,0.848057,0.835829
EX1,560,560,8736,1,1.84891,1.87726,1.90162,1.86689,1.84405,1.84573,1.91218,1.91707
EX2,560,560,8736,1,1.85279,1.85238,1.88155,1.84242,1.85774,1.84832,1.8532,1.85871
EX3,2600,2600,71760,1,1.93985,1.9464,1.97419,1.94472,1.9504,1.95306,1.96173,1.95292
EX4,2600,2600,71760,1,1.94785,1.94574,1.97593,1.95141,1.94622,1.94488,1.96428,1.94971
EX5,6545,6545,295680,1,1.89476,1.92933,1.91057,1.89714,1.9246,,1.92731,1.93423
EX6,6545,6545,295680,1,1.91368,1.91446,1.92153,1.90953,1.89912,,1.93541,1.93503
Ecoli_10NN,336,336,4560,1,1.71882,1.74547,1.72373,1.72335,1.75627,1.70179,1.79317,1.77634
Emilia_923,923136,923136,41005206,1,0.375827,0.3796,0.350769,0.379337,0.38128,0.375536,0.378526,0.372641
Erdos02,6927,6927,16944,1,1.05469,0.990068,1.05639,0.984143,0.753119,0.757005,1.28203,0.756954
Erdos971,472,472,2628,1,,1.59131,1.62429,1.60981,1.55782,1.5794,1.60832,1.5499
Erdos972,5488,5488,14170,1,1.08446,0.984506,1.02369,0.978892,0.83382,0.857511,1.25794,0.849954
Erdos981,485,485,2762,1,,1.55781,1.59007,1.63782,1.5756,1.60026,1.58879,1.5521
Erdos982,5822,5822,14750,1,1.08281,0.975107,1.02165,0.958633,0.788941,0.826311,1.22275,0.822892
Erdos991,492,492,2834,1,1.63667,1.58592,1.66408,1.63294,1.61015,1.60792,1.58861,1.53231
Erdos992,6100,6100,15030,1,1.07392,0.972028,1.01444,0.977467,0.784057,0.797561,1.20699,0.788419
F1,343791,343791,26837113,1,0.378964,0.380636,0.39537,0.382043,0.383715,0.378104,0.379806,0.381735
F2,71505,71505,5294285,1,0.56908,0.572312,0.572447,0.568539,0.546091,0.562488,0.565651,0.572692
Fashion_MNIST_norm_10NN,10000,10000,158304,1,1.6453,1.65896,1.64947,1.64766,1.65373,1.65566,1.67424,1.6273
Fault_639,638802,638802,28614564,1,0.374015,0.368763,0.379911,0.334034,0.320822,0.384352,0.318932,0.347782
Flan_1565,1564794,1564794,117406044,1,0.36219,0.489767,0.468646,0.467708,0.426234,0.454041,0.426053,0.461746
G1,800,800,38352,1,1.88927,1.88842,1.8867,1.886,1.88656,1.88485,1.90172,1.88927
G10,800,800,38352,1,2.04169,1.89145,1.7693,1.88717,1.88369,1.89448,1.90271,1.88203
G11,800,800,3200,1,1.84173,1.81978,1.81509,1.82328,1.83484,1.79331,1.81402,1.83374
G12,800,800,3200,1,1.83215,1.80579,1.81713,1.83865,1.83484,1.81665,1.80793,1.83693
G13,800,800,3200,1,1.8524,1.81569,1.83693,1.80331,1.82911,1.81354,1.79976,1.84272
G14,800,800,9388,1,1.61014,1.58436,1.50317,1.54855,1.48649,1.62943,1.67914,1.55213
G15,800,800,9322,1,1.58593,1.56789,1.63472,1.54618,1.63386,1.56422,1.68647,1.56897
G16,800,800,9344,1,1.57018,1.61009,1.63688,1.63,1.51909,1.50502,1.67559,1.55968
G17,800,800,9334,1,1.50887,1.55929,1.6125,1.55024,1.58741,1.58713,1.68011,1.55801
G18,800,800,9388,1,1.46906,1.59174,1.61958,1.65866,1.50871,1.60097,1.70506,1.58917
G19,800,800,9322,1,1.6053,1.54891,1.60807,1.57334,1.61199,1.64673,1.69017,1.67708
G2,800,800,38352,1,2.02792,1.89187,1.88828,1.89416,1.88922,1.88541,1.90413,1.88675
G20,800,800,9344,1,1.56831,1.58347,1.62874,1.53964,1.62801,1.60372,1.68725,1.58481
G21,800,800,9334,1,1.4876,1.55309,1.59245,1.52654,1.60431,1.5033,1.70563,1.55735
G22,2000,2000,39980,1,1.87894,1.8933,1.88718,1.89066,1.88354,1.87559,1.89866,1.88328
G23,2000,2000,39980,1,1.88474,1.88745,1.88309,1.88168,1.89263,1.87889,1.8862,1.88487
G24,2000,2000,39980,1,1.86709,1.89,1.89312,1.88203,1.88687,1.88154,1.89555,1.88884
G25,2000,2000,39980,1,1.87287,1.88982,1.89232,1.89201,1.89339,1.88491,1.88394,1.89049
G26,2000,2000,39980,1,1.88576,1.88354,1.88602,1.88874,1.85398,1.88648,1.89938,1.88758
G27,2000,2000,39980,1,1.87735,1.88745,1.88491,1.89125,1.88794,1.87572,1.88128,1.88611
G28,2000,2000,39980,1,1.87462,1.88549,1.88563,1.8866,1.87571,1.88839,1.89645,1.88425
G29,2000,2000,39980,1,1.87885,1.88398,1.85299,1.88239,1.88567,1.88328,1.89241,1.88594
G2_circuit,150102,150102,726674,1,1.49828,1.94236,1.6107,1.92018,1.91228,1.94087,1.8608,1.98056
G3,800,800,38352,1,2.02034,1.89552,1.89847,1.88796,1.88842,1.88587,1.90327,1.88508
G30,2000,2000,39980,1,1.88813,1.8796,1.87243,1.87405,1.89312,1.89103,1.90078,1.88964
G31,2000,2000,39980,1,1.8842,1.87379,1.88421,1.88813,1.89439,1.88887,1.8978,1.88563
G32,2000,2000,8000,1,2.16065,2.17034,2.14648,2.17007,2.14963,2.184,2.18282,2.18219
G33,2000,2000,8000,1,2.16767,2.18344,2.13993,2.16065,2.1616,2.17357,2.15435,2.17811
G34,2000,2000,8000,1,2.16187,2.17034,2.14594,2.1648,2.16072,2.14675,2.17687,2.18046
G35,2000,2000,23556,1,1.40314,1.50676,1.40987,1.50072,1.47373,1.47853,1.65433,1.52393
G36,2000,2000,23532,1,1.41904,1.50735,1.42605,1.50899,1.48955,1.50173,1.64169,1.53367
G37,2000,2000,23570,1,1.40767,1.51629,1.43653,1.51046,1.4809,1.49884,1.64337,1.53846
G38,2000,2000,23558,1,1.41307,1.51158,1.4325,1.50199,1.47528,1.48622,1.65719,1.53252
G39,2000,2000,23556,1,1.41925,1.50705,1.41384,1.5168,1.481,1.49766,1.64353,1.53095
G3_circuit,1585478,1585478,7660826,1,0.353699,0.375424,0.349955,0.386898,0.380349,0.370253,0.392836,0.372666
G4,800,800,38352,1,2.03378,1.88305,1.89081,1.88829,1.89192,1.88392,1.9038,1.89173
G40,2000,2000,23532,1,1.40544,1.51215,1.4326,1.51971,1.49263,1.50441,1.63331,1.53328
G41,2000,2000,23570,1,1.40444,1.51962,1.44739,1.50853,1.47608,1.50309,1.6376,1.52473
G42,2000,2000,23558,1,1.41996,1.50757,1.42927,1.49689,1.47935,1.48904,1.66641,1.53393
G43,1000,1000,19980,1,1.88543,1.89043,1.87104,1.88881,1.88392,1.88856,1.89545,1.87843
G44,1000,1000,19980,1,1.88031,1.88873,1.86982,1.87306,1.88413,1.89168,1.90132,1.88144
G45,1000,1000,19980,1,1.87368,1.8841,1.88981,1.88545,1.88989,1.8934,1.89501,1.89943
G46,1000,1000,19980,1,1.88402,1.88163,1.88927,1.89098,1.8802,1.88757,1.89141,1.89383
G47,1000,1000,19980,1,1.88163,1.8891,1.86992,1.8809,1.88775,1.88064,1.90251,1.88811
G48,3000,3000,12000,1,,2.22039,2.20283,2.21219,2.22614,2.21747,2.22513,2.22326
G49,3000,3000,12000,1,,2.20835,2.21281,2.21381,2.21058,2.21809,2.21485,2.22677
G5,800,800,38352,1,2.03686,1.81939,1.89434,1.89192,1.88563,1.89519,1.90164,1.88499
G50,3000,3000,12000,1,2.21276,2.21176,2.1211,2.20935,2.2067,2.21262,2.23483,2.21709
