matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.84105,1.89086,1.83273,1.8465,1.81184,1.81103,1.87729,1.7493
144,144649,144649,2148786,1,23.8353,23.534,22.9873,23.144,23.8827,23.9843,24.3305,13.4792
2cubes_sphere,101492,101492,1647264,1,26.6889,26.939,28.1122,27.1689,27.6949,27.4076,28.2245,26.4882
333SP,3712815,3712815,22217266,1,8.02168,8.25028,8.38479,8.06667,8.5969,8.58984,9.1388,6.88159
3dtube,45330,45330,3213618,1,24.1326,26.6942,24.1585,26.0171,24.7371,24.872,26.0545,26.8587
3elt,4720,4720,27444,1,9.41639,9.71469,10.0509,9.49618,10.0583,9.75961,9.83127,9.19088
3elt_dual,9000,9000,26556,1,8.51562,8.87717,8.4952,9.107,8.96405,8.98072,9.99285,8.25746
494_bus,494,494,1666,1,0.784923,0.792579,0.818472,0.801925,0.766506,0.782711,0.788825,0.754189
598a,110971,110971,1483868,1,23.3984,21.8584,22.7448,22.1658,23.291,22.6144,23.3007,11.8832
662_bus,662,662,2474,1,1.13071,1.12634,1.1753,1.1346,1.20214,1.20683,1.14457,1.11946
685_bus,685,685,3249,1,1.45728,1.57184,1.54237,1.50696,1.55083,1.51787,1.53291,1.53436
ACTIVSg70K,69999,69999,238627,1,13.7403,13.8018,13.1417,14.5487,14.373,14.8368,14.9825,14.0418
AS365,3799275,3799275,22736152,1,7.94259,8.12694,7.97914,8.34146,8.06371,8.17908,9.14517,6.78514
Alemdar,6245,6245,42581,1,13.4537,12.5534,12.7832,12.8585,13.6675,,13.8272,11.8281
Andrews,60000,60000,760154,1,21.7575,21.3185,21.7572,21.651,21.8065,21.9707,21.6673,13.3615
BenElechi1,245874,245874,13150496,1,14.386,13.3181,16.291,14.8493,14.0615,12.7581,14.7575,12.4191
Binaryalphadigs_10NN,1404,1404,19392,1,7.77858,7.75524,7.70594,7.66786,7.90059,7.65121,8.10533,7.51483
Bump_2911,2911419,2911419,127729899,1,11.0876,11.5064,11.0716,11.5275,11.5902,11.3254,11.6049,11.4023
CO,221119,221119,7666057,1,18.6005,16.474,19.5863,17.872,18.8536,22.4394,22.2048,18.2193
Chem97ZtZ,2541,2541,7361,1,3.25636,3.24845,3.49691,3.39922,3.24702,3.37971,3.37119,2.133
Cube_Coup_dt0,2164760,2164760,127206144,1,11.4765,11.6568,11.6344,11.7494,11.8391,11.9347,11.7619,11.8026
Cube_Coup_dt6,2164760,2164760,127206144,1,11.8485,11.7941,11.1409,11.6595,11.4789,11.2796,11.8914,12.0669
CurlCurl_0,11083,11083,113343,1,20.7664,21.8978,20.5611,22.4197,22.004,21.7278,21.9317,24.0235
