matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,5.26513,5.4158,5.38065,5.3296,5.00627,5.31658,5.41243,4.98905
144,144649,144649,2148786,1,12.9773,13.4224,13.2942,13.416,12.758,13.2371,13.3709,12.3221
2cubes_sphere,101492,101492,1647264,1,16.2592,16.2123,16.6682,16.2035,16.6374,16.1587,16.2143,16.3417
333SP,3712815,3712815,22217266,1,4.29988,5.10706,3.86201,4.84143,4.93936,5.02211,4.957,4.17002
3dtube,45330,45330,3213618,1,11.3875,11.4485,11.2618,11.5346,11.6715,12.0299,10.5876,11.2649
3elt,4720,4720,27444,1,12.8093,13.2573,12.7497,12.4599,13.1026,12.9871,13.3884,12.5689
3elt_dual,9000,9000,26556,1,11.2917,11.2527,11.295,11.2906,11.8047,11.3422,12.2801,10.9776
494_bus,494,494,1666,1,2.45048,2.53379,2.32319,2.40195,2.42721,2.57853,2.55095,2.38355
598a,110971,110971,1483868,1,12.6394,13.2656,12.351,13.3199,13.2849,13.2117,13.4994,11.8257
662_bus,662,662,2474,1,3.75468,3.47133,3.44768,3.51148,3.65774,3.48957,3.384,3.51032
685_bus,685,685,3249,1,4.43277,4.5767,4.74638,4.76095,4.6811,4.7016,4.77889,4.32291
ACTIVSg70K,69999,69999,238627,1,5.22399,5.6244,5.48008,5.59422,5.72343,5.54075,5.32228,5.70096
AS365,3799275,3799275,22736152,1,4.05212,4.99577,3.96114,4.92099,4.9182,4.91828,5.23515,2.80492
Alemdar,6245,6245,42581,1,14.4847,11.0819,14.0066,11.4067,13.4622,,15.1633,13.2573
Andrews,60000,60000,760154,1,12.3654,12.5527,12.9271,12.6695,12.936,12.8351,13.2446,12.3046
BenElechi1,245874,245874,13150496,1,7.00668,7.63578,7.2229,7.21416,7.34242,6.88866,6.91999,6.82012
Binaryalphadigs_10NN,1404,1404,19392,1,13.8375,13.7145,14.0003,13.6181,14.2251,14.2837,13.1245,14.2275
Bump_2911,2911419,2911419,127729899,1,6.2325,6.67476,6.36285,6.84183,6.83086,6.6874,6.45541,6.34402
CO,221119,221119,7666057,1,7.61985,8.03615,7.48621,7.72994,7.68128,7.47453,8.17783,7.94952
