matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.526155,0.515737,0.533066,0.522759,0.533769,0.540211,0.522085,0.522085
144,144649,144649,2148786,1,27.8779,42.9315,31.8527,37.497,54.9906,56.0616,67.0101,20.902
2cubes_sphere,101492,101492,1647264,1,24.4129,45.3168,32.8785,51.0195,57.496,45.6439,73.0558,40.5101
333SP,3712815,3712815,22217266,1,17.8115,28.9443,12.1641,55.3195,34.302,50.7577,33.3366,12.3068
3dtube,45330,45330,3213618,1,67.2841,103.332,85.6793,74.94,89.9832,94.7133,107.344,99.7491
3elt,4720,4720,27444,1,3.34847,3.39843,3.19231,3.40476,3.39007,3.38584,3.52301,3.32617
3elt_dual,9000,9000,26556,1,2.97795,3.15149,2.88888,3.24432,3.21659,3.13477,3.40028,3.19913
494_bus,494,494,1666,1,0.212484,0.220826,0.222595,0.212229,0.220241,0.209679,0.214842,0.209812
598a,110971,110971,1483868,1,24.2907,35.7,26.4939,36.8041,44.7974,48.8459,58.4236,17.5081
662_bus,662,662,2474,1,0.31902,0.326625,0.327057,0.319044,0.243878,0.320487,0.323187,0.326404
685_bus,685,685,3249,1,0.418961,0.425567,0.435842,0.423045,0.414414,0.430073,0.442405,0.424454
ACTIVSg70K,69999,69999,238627,1,10.0833,19.53,12.9089,20.4784,20.8919,20.9011,21.9205,17.2401
AS365,3799275,3799275,22736152,1,12.3751,45.6804,9.97196,48.3909,39.8091,44.2485,23.3191,6.4774
Alemdar,6245,6245,42581,1,4.81578,4.69861,4.41322,4.70375,4.79381,,5.1799,3.51082
Andrews,60000,60000,760154,1,18.4037,22.397,17.1245,23.7984,25.8587,26.7471,26.2249,14.7275
BenElechi1,245874,245874,13150496,1,58.9328,147.64,149.676,143.641,32.9163,147.465,146.495,153.566
Binaryalphadigs_10NN,1404,1404,19392,1,2.3152,2.3433,2.16128,2.24149,2.32074,2.18578,2.34317,2.09135
Bump_2911,2911419,2911419,127729899,1,14.4114,14.9788,14.6845,15.1397,15.0773,15.0803,15.2395,15.2333
CO,221119,221119,7666057,1,56.0188,89.0046,70.9998,100.319,87.9054,78.2821,46.1213,102.668
Chem97ZtZ,2541,2541,7361,1,0.984148,1.00505,0.944924,0.97827,0.95412,0.957907,0.967345,0.999597
Cube_Coup_dt0,2164760,2164760,127206144,1,14.8535,15.3714,15.1916,15.3898,15.3393,15.3536,15.4639,15.4685
Cube_Coup_dt6,2164760,2164760,127206144,1,14.8372,15.3792,15.1999,15.3834,15.4063,15.3902,15.4654,15.469
CurlCurl_0,11083,11083,113343,1,10.5972,12.0411,10.3594,12.1646,12.2758,12.099,12.9512,12.4245
CurlCurl_1,226451,226451,2472071,1,23.8538,64.3114,32.5397,54.274,64.6311,55.0921,102.08,62.2439
CurlCurl_2,806529,806529,8921789,1,25.1753,101.668,44.7457,77.4753,105.218,97.5688,127.318,122.006
CurlCurl_3,1219574,1219574,13544618,1,20.0321,101.126,52.1679,77.2554,56.2102,104.415,88.2268,136.145
CurlCurl_4,2380515,2380515,26515867,1,14.361,41.1645,18.4104,34.2747,39.7992,39.3509,30.2739,15.6064
Dubcova1,16129,16129,253009,1,23.711,21.1494,21.7036,20.5557,24.4098,,27.299,18.4254
