matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.01188,2.05789,2.0684,2.03207,2.11694,2.08975,1.94905,2.10593
144,144649,144649,2148786,1,2.2788,2.26312,2.29693,2.24206,2.26008,2.24892,2.20021,2.03055
2cubes_sphere,101492,101492,1647264,1,2.61813,2.64827,2.72314,2.6657,2.65516,2.64471,2.69786,2.63487
333SP,3712815,3712815,22217266,1,1.30486,1.50332,1.08905,1.51782,1.5365,1.53933,1.77385,1.15439
3dtube,45330,45330,3213618,1,2.5614,2.65365,2.64113,2.73552,2.64887,2.5902,2.6443,2.73915
3elt,4720,4720,27444,1,2.44708,2.28692,2.37919,2.28415,2.287,2.30622,2.37394,2.27281
3elt_dual,9000,9000,26556,1,2.30112,2.12278,2.24482,2.12619,2.12109,2.14067,2.22879,2.11517
494_bus,494,494,1666,1,2.01931,1.90405,1.94864,2.04411,1.94838,2.08248,1.81081,1.92609
598a,110971,110971,1483868,1,2.15713,2.19665,2.18628,2.18075,2.19176,2.18163,2.20976,1.97185
662_bus,662,662,2474,1,2.03636,2.15118,2.17964,2.09664,2.17029,2.1514,2.19927,2.15118
685_bus,685,685,3249,1,2.17324,2.3207,2.40675,2.37158,2.38007,2.36294,2.33741,2.3207
ACTIVSg70K,69999,69999,238627,1,0.813394,0.784668,0.789315,0.789967,0.784061,0.785483,0.77752,0.821357
AS365,3799275,3799275,22736152,1,1.13908,1.26074,0.802297,1.25213,1.30509,1.25371,1.49403,0.439485
Alemdar,6245,6245,42581,1,2.63904,1.84055,1.92235,1.7505,1.67936,,1.83811,2.1786
Andrews,60000,60000,760154,1,2.12995,2.14534,2.14577,2.1357,2.10393,2.12719,2.12344,2.10177
BenElechi1,245874,245874,13150496,1,2.86423,2.99579,2.96956,2.99149,2.95163,2.98636,3.05552,3.0567
Binaryalphadigs_10NN,1404,1404,19392,1,2.52667,2.58735,2.65642,2.64017,2.62056,2.55328,2.58735,2.68584
