matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.56982,2.36525,2.39584,2.15239,2.50403,2.60695,2.47802,2.1979
144,144649,144649,2148786,1,25.1827,25.8924,25.2615,25.4305,25.9393,26.0678,26.5286,21.5387
2cubes_sphere,101492,101492,1647264,1,27.7256,28.6021,28.7993,29.6446,30.1467,30.2484,30.3669,27.9003
333SP,3712815,3712815,22217266,1,4.93709,4.88394,4.87198,4.74953,5.00052,5.12602,4.7929,4.71149
3dtube,45330,45330,3213618,1,22.7772,26.4748,20.663,25.5926,26.8948,26.3535,26.5633,21.1632
3elt,4720,4720,27444,1,8.05405,11.3825,7.41421,7.86122,12.5202,11.9684,7.92944,11.8906
3elt_dual,9000,9000,26556,1,9.63605,11.2167,10.4015,6.96107,7.01243,6.75794,6.79276,6.89605
494_bus,494,494,1666,1,1.18497,1.18664,1.08251,1.16339,1.07382,1.12719,1.08292,1.05576
598a,110971,110971,1483868,1,23.6509,24.9337,24.1015,23.89,25.3538,25.4433,25.2885,19.1436
662_bus,662,662,2474,1,1.61966,1.53996,1.46078,1.63675,1.55154,1.5693,1.57886,1.59044
685_bus,685,685,3249,1,2.16682,2.14517,1.97808,2.10489,1.98046,2.07809,2.15661,1.61883
ACTIVSg70K,69999,69999,238627,1,10.1526,10.174,10.3369,10.6208,10.6845,10.5104,10.5746,10.7545
AS365,3799275,3799275,22736152,1,4.81161,4.94622,4.9321,4.83429,4.70723,4.82829,4.95703,4.56146
Alemdar,6245,6245,42581,1,14.4658,9.95341,14.3422,8.30046,11.2202,,10.7351,8.98715
Andrews,60000,60000,760154,1,22.7394,22.847,22.4825,23.4019,23.2225,23.4684,23.7344,22.9124
BenElechi1,245874,245874,13150496,1,5.60881,5.66816,5.17737,5.16736,5.35814,4.96446,5.17854,5.75056
Binaryalphadigs_10NN,1404,1404,19392,1,8.1703,9.78363,7.44407,7.25189,7.35922,7.81167,7.17135,9.30073
Bump_2911,2911419,2911419,127729899,1,5.43226,4.54193,5.53142,5.41445,5.35129,5.29703,5.67329,5.81632
CO,221119,221119,7666057,1,6.05425,5.69477,5.73798,6.18567,5.87879,5.73674,6.47637,5.67378
Chem97ZtZ,2541,2541,7361,1,5.05723,3.932,3.96181,4.64862,3.98428,4.31725,4.60763,1.67867
Cube_Coup_dt0,2164760,2164760,127206144,1,5.1774,5.54993,4.43806,5.42419,5.51377,5.43643,5.53759,5.49088
Cube_Coup_dt6,2164760,2164760,127206144,1,5.56999,5.4644,4.42296,5.34516,4.60798,5.31368,5.65811,5.44414
CurlCurl_0,11083,11083,113343,1,10.2923,10.4884,21.6569,10.6013,23.5666,22.6663,10.5562,10.3307
CurlCurl_1,226451,226451,2472071,1,25.0736,32.1685,21.695,28.5402,31.7559,32.5044,32.5697,30.0111
CurlCurl_2,806529,806529,8921789,1,5.36492,5.58929,5.65544,5.67555,5.54601,5.3521,5.90826,5.44554
CurlCurl_3,1219574,1219574,13544618,1,5.31349,5.34269,4.88831,5.29349,5.45798,5.37157,4.71909,5.21151
CurlCurl_4,2380515,2380515,26515867,1,5.30152,4.9572,4.91718,5.00207,5.08396,5.00304,4.85231,5.03233
Dubcova1,16129,16129,253009,1,27.5548,27.0931,29.105,28.5162,29.7851,,31.4356,18.388
Dubcova2,65025,65025,1030225,1,31.95,32.6165,32.691,33.2293,34.4091,35.2334,34.7023,19.193
Dubcova3,146689,146689,3636649,1,17.7439,22.5669,21.3453,22.5032,23.6552,24.3747,24.1189,10.0787
EX1,560,560,8736,1,5.11357,5.13105,4.72614,5.17386,4.84109,4.94118,5.29619,5.20472
EX2,560,560,8736,1,4.92982,5.08516,4.92303,4.88998,5.02792,4.96504,5.19355,4.77486
EX3,2600,2600,71760,1,11.2476,11.2073,11.4577,11.3797,10.915,11.1872,19.6173,11.3959
EX4,2600,2600,71760,1,11.3597,11.6379,11.3222,11.2212,18.7388,19.0752,11.5576,11.3879
EX5,6545,6545,295680,1,27.4275,27.926,27.4937,27.7115,27.3844,,28.33,28.1214
EX6,6545,6545,295680,1,26.8168,27.4976,27.4465,27.5229,27.2466,,26.6617,27.9368
Ecoli_10NN,336,336,4560,1,2.991,2.94778,2.91466,2.91271,2.69025,1.98954,2.84027,2.80608
Emilia_923,923136,923136,41005206,1,5.16032,5.16689,5.05232,5.16056,5.20703,5.0301,5.13491,5.00968
Erdos02,6927,6927,16944,1,4.13312,6.61341,3.08639,6.52974,5.97463,3.50296,2.66586,2.84751
Erdos971,472,472,2628,1,,1.76087,1.68252,1.77807,1.78722,1.73475,1.89271,1.79503
Erdos972,5488,5488,14170,1,3.90627,6.20669,3.61475,5.8564,5.93117,4.03351,6.09725,3.24144
Erdos981,485,485,2762,1,,1.90031,1.74375,1.86506,1.6734,1.78534,2.04371,1.74644
Erdos982,5822,5822,14750,1,3.76852,6.2433,3.78598,6.17665,6.81594,3.67325,5.93089,3.09542
Erdos991,492,492,2834,1,2.04244,1.94238,1.85718,2.00213,1.77343,1.99573,2.14616,1.88932
Erdos992,6100,6100,15030,1,4.08708,6.58338,3.58799,6.73097,5.88132,4.70506,5.4834,3.05643
F1,343791,343791,26837113,1,4.00134,5.16855,4.93125,5.08694,4.92133,5.19444,5.00163,2.84864
F2,71505,71505,5294285,1,6.7546,9.13787,8.97237,8.23458,8.79912,8.9862,9.58269,3.93828
Fashion_MNIST_norm_10NN,10000,10000,158304,1,17.5241,21.2078,22.4289,22.0603,10.8919,22.1048,22.7023,22.4068
Fault_639,638802,638802,28614564,1,5.15287,4.83618,5.0672,4.65644,4.54931,5.29868,4.61077,4.69379
Flan_1565,1564794,1564794,117406044,1,4.48792,5.33445,5.36346,5.38558,5.36276,5.37224,4.9741,5.33562
G1,800,800,38352,1,9.31098,9.58068,9.29181,9.57845,13.8806,10.8401,9.56149,9.7143
G10,800,800,38352,1,8.85404,9.6923,9.47214,14.541,9.31994,9.58793,9.4648,9.50028
G11,800,800,3200,1,2.13117,2.07111,1.98999,2.13117,2.03177,1.97342,2.12277,2.04675
G12,800,800,3200,1,2.10103,1.58413,1.8703,2.16218,2.01642,2.0813,2.20237,2.04858
G13,800,800,3200,1,2.09622,1.91673,2.10328,1.97045,1.92883,1.9359,2.11705,1.46087
G14,800,800,9388,1,4.92172,5.369,4.34729,5.11755,5.26111,5.72622,5.11885,4.22233
