matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.84398,1.8891,1.85708,2.01842,1.9291,1.84482,1.90597,1.8082
144,144649,144649,2148786,1,23.6982,23.3301,23.5206,22.9704,23.7443,23.9081,24.232,13.918
2cubes_sphere,101492,101492,1647264,1,26.5915,26.8223,28.2257,27.203,27.5979,27.4261,28.3576,26.4776
333SP,3712815,3712815,22217266,1,8.11402,8.14573,8.22482,7.95583,8.63944,8.53813,9.00778,7.56782
3dtube,45330,45330,3213618,1,24.1579,26.6219,24.1158,26.0213,24.658,24.8313,26.0049,26.8439
3elt,4720,4720,27444,1,9.81898,9.69581,9.84538,9.83658,9.93087,9.92907,10.1027,9.47488
3elt_dual,9000,9000,26556,1,9.15093,9.28693,8.65863,8.78611,9.11011,9.32116,9.821,8.40647
494_bus,494,494,1666,1,0.750789,0.809523,0.83446,0.7571,0.77094,0.778323,0.772907,0.773624
598a,110971,110971,1483868,1,23.3654,21.6503,22.6008,22.1741,22.9614,22.837,23.2567,12.2054
662_bus,662,662,2474,1,1.18317,1.16232,1.12634,1.17781,1.11467,1.21334,1.15338,1.11116
685_bus,685,685,3249,1,1.50243,1.48086,1.53146,1.46417,1.45402,1.48764,1.41909,1.47917
ACTIVSg70K,69999,69999,238627,1,13.0762,12.8036,12.7652,13.2947,13.8427,14.2078,13.8383,13.0812
AS365,3799275,3799275,22736152,1,8.09491,8.42114,8.1617,8.2534,7.93028,8.29481,8.93866,7.00893
Alemdar,6245,6245,42581,1,13.7447,12.5238,12.8198,13.2342,13.0058,,14.7774,12.0166
Andrews,60000,60000,760154,1,21.5842,20.7191,21.7364,21.3248,21.4506,21.5488,21.5222,15.5073
BenElechi1,245874,245874,13150496,1,14.5404,13.5888,16.2607,14.8315,14.2426,12.7495,14.7391,12.4681
Binaryalphadigs_10NN,1404,1404,19392,1,7.76301,7.7817,8.0182,7.71975,7.88133,7.61516,7.7475,7.96876
Bump_2911,2911419,2911419,127729899,1,11.1255,11.4115,11.1795,11.466,11.4835,11.2566,11.558,11.4638
CO,221119,221119,7666057,1,19.0941,16.4665,19.9817,17.9087,18.9449,23.1244,22.5395,19.4133
Chem97ZtZ,2541,2541,7361,1,3.24059,3.17216,3.32926,3.28763,3.39295,3.41657,3.33908,2.1125
Cube_Coup_dt0,2164760,2164760,127206144,1,11.5068,11.5729,11.6168,11.6996,11.7943,11.8718,11.6869,11.755
Cube_Coup_dt6,2164760,2164760,127206144,1,11.8284,11.7598,11.1406,11.5932,11.4253,11.1926,11.835,12.0005
CurlCurl_0,11083,11083,113343,1,19.89,21.583,20.6359,22.1654,21.1028,21.3673,21.7111,24.5198
CurlCurl_1,226451,226451,2472071,1,27.508,36.3283,30.4176,37.0173,14.4914,35.1384,34.753,37.1743
CurlCurl_2,806529,806529,8921789,1,15.1829,11.8991,15.709,16.0027,17.3974,16.3954,17.279,16.3561
CurlCurl_3,1219574,1219574,13544618,1,11.4295,12.4947,10.4674,11.4711,11.4083,12.3331,12.3654,12.6981
CurlCurl_4,2380515,2380515,26515867,1,9.75868,10.1859,10.4346,10.3038,10.9314,9.90151,10.9584,10.7855
Dubcova1,16129,16129,253009,1,24.7927,26.2662,26.1846,27.3745,28.2234,,26.8601,31.801
Dubcova2,65025,65025,1030225,1,30.1442,32.7118,29.8452,33.9756,35.0024,19.6813,31.8103,29.7461
Dubcova3,146689,146689,3636649,1,29.2407,30.86,31.2743,32.4841,33.3307,32.5483,30.1536,30.7778
EX1,560,560,8736,1,3.88699,4.08129,3.74053,3.73893,3.8527,3.87836,3.95473,3.74213
EX2,560,560,8736,1,3.84846,3.85866,3.72935,3.87492,3.82487,3.88267,3.94759,3.81068
