matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.54001,2.43829,2.64215,2.50026,2.57723,2.70202,1.99471,1.74223
144,144649,144649,2148786,1,1.90699,1.95625,1.93692,1.97535,1.92404,1.94358,1.93619,1.94363
2cubes_sphere,101492,101492,1647264,1,2.31454,2.34848,2.45138,2.32074,2.35478,2.31293,2.4654,2.30777
333SP,3712815,3712815,22217266,1,1.43063,1.57937,1.34254,1.5665,1.57283,1.57626,1.63638,1.35779
3dtube,45330,45330,3213618,1,2.38472,2.44019,2.41929,2.44723,2.43119,2.43558,2.42212,2.42819
3elt,4720,4720,27444,1,2.67033,2.3546,2.69586,2.45585,2.42289,2.38601,2.53013,2.4021
3elt_dual,9000,9000,26556,1,2.51632,2.25142,2.38618,2.27909,2.28663,2.31871,2.35767,2.27868
494_bus,494,494,1666,1,2.1598,2.26366,1.75378,1.99038,1.88004,2.30597,1.99538,1.97937
598a,110971,110971,1483868,1,1.87644,1.9114,1.88295,1.91038,1.89048,1.91113,1.91141,1.88963
662_bus,662,662,2474,1,2.19042,2.16454,1.80956,2.15053,2.38835,2.51557,2.27923,2.0513
685_bus,685,685,3249,1,2.72227,2.7892,2.62201,2.80433,2.40054,2.40426,2.58175,2.75669
ACTIVSg70K,69999,69999,238627,1,0.851474,0.773712,0.759357,0.833067,0.83327,0.795793,0.769274,0.795834
AS365,3799275,3799275,22736152,1,1.22587,1.28796,1.05761,1.27911,1.28866,1.29177,1.36084,0.715039
Alemdar,6245,6245,42581,1,2.73717,1.73493,1.87092,1.79566,1.69922,,1.87787,2.04481
Andrews,60000,60000,760154,1,1.81017,1.82687,1.92827,1.82477,1.80802,1.82641,2.0312,1.79581
BenElechi1,245874,245874,13150496,1,2.57889,2.58767,2.59052,2.59178,2.59662,2.58841,2.60134,2.59195
Binaryalphadigs_10NN,1404,1404,19392,1,2.5344,2.58402,2.51907,2.53286,2.44447,2.47439,2.55281,2.67979
Bump_2911,2911419,2911419,127729899,1,2.40548,2.53342,2.41384,2.53033,2.53218,2.53337,2.51034,2.53668
CO,221119,221119,7666057,1,2.58699,2.69063,2.63404,2.66956,2.70617,2.66739,2.65056,2.68339
Chem97ZtZ,2541,2541,7361,1,1.85579,1.91202,1.99679,1.9593,1.99945,1.99051,1.90649,1.96478
