matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.55929,1.57132,1.47689,1.60878,1.55026,1.54442,1.53563,1.57744
144,144649,144649,2148786,1,1.85756,1.81041,1.8364,1.82847,1.83006,1.81624,1.85799,1.63632
2cubes_sphere,101492,101492,1647264,1,2.10456,2.11846,2.16732,2.13737,2.11689,2.11654,2.17071,2.09323
333SP,3712815,3712815,22217266,1,1.06229,1.20262,0.857974,1.18706,1.21272,1.22837,1.39559,0.816717
3dtube,45330,45330,3213618,1,2.11131,2.1261,2.13312,2.26894,2.21194,2.25407,2.14716,2.25788
3elt,4720,4720,27444,1,1.83898,1.73917,1.72322,1.76036,1.74408,1.68508,1.76206,1.73855
3elt_dual,9000,9000,26556,1,1.72224,1.59232,1.67014,1.59716,1.62706,1.61371,1.64882,1.59716
494_bus,494,494,1666,1,1.47824,1.4717,1.47185,1.44627,1.51871,1.33596,1.47824,1.52567
598a,110971,110971,1483868,1,1.77393,1.75892,1.75548,1.75363,1.76367,1.77046,1.78737,1.62553
662_bus,662,662,2474,1,1.61387,1.67453,1.60862,1.71438,1.6515,1.70325,1.66261,0.765709
685_bus,685,685,3249,1,1.82172,1.8326,1.60561,1.79155,1.86406,1.86406,1.83767,1.81155
ACTIVSg70K,69999,69999,238627,1,0.678676,0.649552,0.635835,0.647125,0.654424,0.654011,0.640331,0.665571
AS365,3799275,3799275,22736152,1,0.956599,0.993484,0.633291,0.984502,1.03111,1.01931,1.18476,0.347841
Alemdar,6245,6245,42581,1,2.00659,1.38118,1.43552,1.35131,1.27224,,1.44529,1.65885
Andrews,60000,60000,760154,1,1.6724,1.72813,1.74761,1.73837,1.76026,1.7445,1.72901,1.65691
BenElechi1,245874,245874,13150496,1,2.3975,2.41814,2.39,2.41236,2.44405,2.4112,2.42163,2.42658
Binaryalphadigs_10NN,1404,1404,19392,1,1.91253,1.87362,1.91159,1.93253,1.96494,1.89569,2.02558,1.95898
Bump_2911,2911419,2911419,127729899,1,2.0461,2.35288,2.17157,2.36565,2.36129,2.34637,2.3828,2.40575
CO,221119,221119,7666057,1,2.13252,2.15581,2.22066,2.23876,2.30196,2.09289,2.31283,2.25461
Chem97ZtZ,2541,2541,7361,1,1.57321,1.58847,1.10144,1.61992,1.08442,1.29005,1.66787,1.75767
Cube_Coup_dt0,2164760,2164760,127206144,1,2.15145,2.39081,2.31914,2.40862,2.39241,2.39508,2.44268,2.44511
Cube_Coup_dt6,2164760,2164760,127206144,1,2.15099,2.39907,2.31718,2.42065,2.39544,2.39241,2.4381,2.44932
CurlCurl_0,11083,11083,113343,1,2.14271,2.17318,2.02243,2.17988,2.01164,2.02951,2.07797,2.32146
CurlCurl_1,226451,226451,2472071,1,2.23044,2.32734,2.11234,2.3543,2.29148,2.30061,2.30316,2.41316
CurlCurl_2,806529,806529,8921789,1,1.86439,2.20872,1.87322,2.22357,2.15779,2.15243,2.29295,2.36472
CurlCurl_3,1219574,1219574,13544618,1,1.69083,2.18379,1.88418,2.18761,2.14368,2.14167,2.30455,2.36807
CurlCurl_4,2380515,2380515,26515867,1,1.35406,2.14353,1.65652,2.13142,2.10323,2.10599,2.31812,2.3986
Dubcova1,16129,16129,253009,1,2.32943,2.2942,2.33374,2.33882,2.27764,,2.55021,2.3163
Dubcova2,65025,65025,1030225,1,2.69241,2.68523,2.68727,2.69498,2.72714,2.63821,2.81753,2.4984
Dubcova3,146689,146689,3636649,1,2.5041,2.5362,2.44965,2.56414,2.54992,2.52708,2.47747,2.55453
EX1,560,560,8736,1,1.38732,2.27089,1.24559,2.27062,2.23571,2.20193,2.41525,2.33462
EX2,560,560,8736,1,2.23538,2.17418,2.29142,2.27647,2.21303,2.18812,2.23285,2.29142
EX3,2600,2600,71760,1,2.36574,2.37789,2.43237,2.44152,2.36297,2.38263,2.43361,2.37746
EX4,2600,2600,71760,1,2.32387,2.40301,2.41762,2.38342,2.36922,2.35599,2.3974,2.40624
EX5,6545,6545,295680,1,2.39314,2.39957,2.40298,2.38821,2.39043,,2.4278,2.29008
EX6,6545,6545,295680,1,2.31115,2.40064,2.40789,2.3947,2.39296,,2.38734,2.39218
Ecoli_10NN,336,336,4560,1,1.18827,2.30426,2.29898,2.29831,2.32781,2.35228,2.28171,2.2309
Emilia_923,923136,923136,41005206,1,2.13,2.3225,2.19463,2.37582,2.33991,2.33483,2.43548,2.424
Erdos02,6927,6927,16944,1,1.10316,1.14925,1.25316,1.1901,0.961143,1.03529,1.50794,1.1093
Erdos971,472,472,2628,1,,1.93522,1.88041,1.87308,1.69223,1.89414,1.88654,1.96418
Erdos972,5488,5488,14170,1,1.33672,1.11976,1.32796,1.20416,1.24879,1.0951,1.49821,1.32052
Erdos981,485,485,2762,1,,1.79588,1.90749,1.97646,1.895,1.87508,1.90168,0.902312
Erdos982,5822,5822,14750,1,1.32328,1.22574,1.27623,1.17352,1.14212,1.161,1.50525,1.23663
Erdos991,492,492,2834,1,1.9444,1.91097,1.9511,1.90454,1.97757,1.88551,1.93052,1.95722
Erdos992,6100,6100,15030,1,1.37186,1.17749,1.28489,1.18166,1.11449,1.16601,1.52141,1.22654
F1,343791,343791,26837113,1,2.00926,2.03388,1.99536,2.05506,2.05781,2.07593,2.122,1.87658
F2,71505,71505,5294285,1,2.11141,2.08852,2.07979,2.11835,2.13284,2.12534,2.08567,2.00451
Fashion_MNIST_norm_10NN,10000,10000,158304,1,1.81838,1.84085,1.83358,1.827,1.84708,1.90498,1.83272,1.79493
Fault_639,638802,638802,28614564,1,2.05611,2.21091,2.16753,2.22523,2.22519,2.22032,2.3002,2.28245
Flan_1565,1564794,1564794,117406044,1,2.23507,2.32704,2.22797,2.33249,2.32345,2.3168,2.35289,2.33614
G1,800,800,38352,1,2.4037,2.27642,2.34118,2.257,2.28395,2.21964,2.23849,2.32274
G10,800,800,38352,1,2.41345,2.33476,2.24905,2.24569,2.27169,2.2935,2.24905,2.3354
G11,800,800,3200,1,1.89519,1.86219,1.88958,1.88402,1.85716,1.8675,1.89584,1.91793
G12,800,800,3200,1,1.88402,1.88958,1.84593,1.85178,0.91914,1.86763,1.8675,1.8675
G13,800,800,3200,1,1.88453,1.88402,1.87848,1.85728,1.8731,1.88453,1.86206,1.87899
G14,800,800,9388,1,2.02177,2.19423,1.87593,2.18679,2.10802,2.09156,1.58823,1.65982
G15,800,800,9322,1,1.57174,1.519,1.57294,1.46976,2.1791,1.77563,1.42374,1.56108
G16,800,800,9344,1,1.45954,2.11953,2.13407,1.77982,1.78663,2.14628,1.51883,2.17631
G17,800,800,9334,1,2.12935,1.58835,1.36702,1.91879,1.50015,2.23407,2.20507,2.17421
G18,800,800,9388,1,2.11039,1.46298,2.20998,1.42405,1.5989,1.56953,1.43492,2.12715
G19,800,800,9322,1,2.16385,2.17118,2.07918,2.13637,2.18929,2.18935,1.39174,2.11459
G2,800,800,38352,1,2.4242,2.261,2.24635,2.24046,2.32056,2.25296,2.3298,2.12771
