matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,3.70227,3.66912,3.21755,3.13049,3.36427,3.71928,2.89569,3.11844
144,144649,144649,2148786,1,15.7546,15.847,15.9003,16.0969,13.1415,15.9576,16.0668,14.3156
2cubes_sphere,101492,101492,1647264,1,18.3866,18.6078,18.7625,18.5983,18.4815,18.4763,19.2955,18.5053
333SP,3712815,3712815,22217266,1,3.61298,4.36163,3.25671,4.33607,4.53935,4.67058,4.96784,3.99169
3dtube,45330,45330,3213618,1,17.7879,18.5563,16.0172,19.4222,17.6397,17.8293,18.2311,18.7825
3elt,4720,4720,27444,1,10.3957,10.3368,11.3874,10.6579,11.2941,10.6579,10.6787,10.2595
3elt_dual,9000,9000,26556,1,9.87209,9.43401,9.9648,9.51825,9.63931,10.1746,9.14176,9.31801
494_bus,494,494,1666,1,1.73528,1.66599,1.38832,1.57176,1.58674,1.59417,1.16103,1.46133
598a,110971,110971,1483868,1,14.9431,15.0066,14.9628,15.2042,15.0348,15.0592,15.3999,12.835
662_bus,662,662,2474,1,2.33405,2.33405,2.22902,2.01972,2.07029,2.12366,2.24907,2.36733
685_bus,685,685,3249,1,2.69623,2.99417,2.71882,2.78892,3.16964,2.53831,2.90081,2.69623
ACTIVSg70K,69999,69999,238627,1,5.1202,5.35579,5.29575,5.25315,5.43942,5.38114,5.27754,5.39629
AS365,3799275,3799275,22736152,1,3.54788,4.18996,3.29238,4.34806,4.4133,4.61775,4.90055,2.40978
Alemdar,6245,6245,42581,1,12.8254,11.4927,12.1143,11.8115,13.4114,,13.0814,12.5979
Andrews,60000,60000,760154,1,14.0081,14.6578,14.4295,14.579,13.7708,14.4049,14.8063,14.3356
BenElechi1,245874,245874,13150496,1,6.32686,5.99647,5.96337,5.90248,6.02099,6.06709,6.60572,6.64308
Binaryalphadigs_10NN,1404,1404,19392,1,8.95714,10.5109,10.3702,11.3402,11.1444,11.1766,10.2062,10.398
Bump_2911,2911419,2911419,127729899,1,5.67404,5.33572,5.28455,5.87536,5.81423,5.89535,6.24432,6.51131
CO,221119,221119,7666057,1,6.05737,6.67155,6.69497,6.09465,5.88721,6.69892,6.39393,6.78239
Chem97ZtZ,2541,2541,7361,1,4.79564,4.73389,5.16547,4.90768,5.27668,4.97369,5.05885,3.72712
Cube_Coup_dt0,2164760,2164760,127206144,1,6.22974,5.86195,5.70325,6.0056,6.00785,6.1358,6.57776,6.57277
Cube_Coup_dt6,2164760,2164760,127206144,1,5.85608,6.03967,5.75601,6.02946,5.91997,5.96593,6.55174,6.6082
CurlCurl_0,11083,11083,113343,1,16.4742,16.4865,16.6435,17.2384,16.9167,16.6193,16.5102,16.2735
CurlCurl_1,226451,226451,2472071,1,18.9837,20.18,18.8966,20.9825,20.0231,20.8367,20.7275,21.8631
CurlCurl_2,806529,806529,8921789,1,5.20363,5.21494,5.26493,5.37797,5.64433,5.25305,5.48923,5.74425
CurlCurl_3,1219574,1219574,13544618,1,5.17963,5.15448,4.97167,5.06144,5.14001,5.05279,5.294,5.66305
CurlCurl_4,2380515,2380515,26515867,1,4.36564,4.66419,4.61678,4.96447,5.13541,5.0662,5.36416,5.56678
Dubcova1,16129,16129,253009,1,18.8742,19.2184,19.8042,19.969,19.56,,19.5827,14.1425
Dubcova2,65025,65025,1030225,1,22.3814,21.2003,22.6247,22.9114,23.572,23.3611,23.8392,15.6915
Dubcova3,146689,146689,3636649,1,18.2653,18.1328,16.2906,17.9577,15.1552,21.2195,17.9596,9.75974
EX1,560,560,8736,1,5.80503,6.32996,6.49543,6.08808,6.37621,5.98323,5.84346,5.90275
EX2,560,560,8736,1,5.60012,6.04541,5.72837,5.42601,6.30761,6.59301,5.67251,6.02502
EX3,2600,2600,71760,1,16.5534,17.145,17.9174,16.9647,17.481,17.1264,16.9643,17.1674
EX4,2600,2600,71760,1,16.8235,16.8848,17.5666,17.045,17.5666,17.6968,17.1674,16.5152
EX5,6545,6545,295680,1,20.2036,20.5618,20.4971,20.6616,20.4058,,20.6697,20.6192
EX6,6545,6545,295680,1,20.1349,20.128,20.6408,20.4553,20.5689,,20.9027,20.6041
Ecoli_10NN,336,336,4560,1,4.07131,3.69216,4.03524,3.5762,3.91388,4.03566,4.00021,3.753
Emilia_923,923136,923136,41005206,1,5.83955,5.58836,5.77551,5.84676,5.90444,5.49756,6.43425,6.56993
Erdos02,6927,6927,16944,1,4.02466,6.84577,3.4544,7.0747,7.14942,4.86197,3.72398,3.92672
Erdos971,472,472,2628,1,,2.1811,2.30539,2.22715,2.39999,2.41102,1.98334,2.27541
Erdos972,5488,5488,14170,1,4.38692,6.68384,4.0777,6.57552,7.1566,4.94593,5.53521,3.8297
Erdos981,485,485,2762,1,,2.14943,2.60576,2.6432,2.42269,2.42294,2.466,2.10836
Erdos982,5822,5822,14750,1,4.57357,6.99043,5.01709,5.92368,6.92509,4.93309,4.86808,3.68243
Erdos991,492,492,2834,1,2.38152,2.23154,2.89188,2.67339,2.80589,2.41196,2.4642,2.11502
Erdos992,6100,6100,15030,1,4.39467,6.65053,4.77908,6.99083,6.89452,4.6318,4.89578,3.87871
F1,343791,343791,26837113,1,6.07064,5.5331,5.96061,6.06611,6.10601,6.11157,6.55102,5.86461
F2,71505,71505,5294285,1,8.03851,8.18378,8.91211,8.51775,8.93951,9.17461,8.96928,8.46307
Fashion_MNIST_norm_10NN,10000,10000,158304,1,13.1154,15.565,15.4143,15.295,16.1206,14.9203,15.4443,15.6971
Fault_639,638802,638802,28614564,1,6.14062,5.97298,5.78985,5.91554,6.00867,6.18636,5.99981,6.57296
Flan_1565,1564794,1564794,117406044,1,6.16858,6.21402,5.72516,6.13543,6.1594,6.05167,6.63166,6.577
G1,800,800,38352,1,13.3631,13.5757,13.7216,13.1121,13.1792,13.5757,12.4722,13.6726
G10,800,800,38352,1,13.0451,13.7957,12.7202,12.6786,14.0224,14.2838,13.7462,13.0229
G11,800,800,3200,1,2.50984,2.83204,2.4998,2.39712,2.79461,2.49029,2.46152,2.70044
G12,800,800,3200,1,2.49029,2.67782,2.72345,2.50003,3.00479,2.63369,2.78245,2.72345
G13,800,800,3200,1,2.38796,2.53952,2.72345,2.74658,3.0333,2.81926,2.4244,2.59123
G14,800,800,9388,1,5.70677,6.13576,5.44219,6.2378,6.07612,6.30067,5.34941,4.43894
G15,800,800,9322,1,5.23711,6.11262,5.20782,7.17071,6.58785,5.66705,5.49968,4.38697
G16,800,800,9344,1,5.27916,6.72231,5.30919,6.20857,5.97072,5.44867,5.85828,4.43891
