matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.803962,0.765556,0.810794,0.797645,0.776636,0.77954,0.825321,0.775443
144,144649,144649,2148786,1,0.885763,0.944395,0.862384,0.883827,0.938071,0.921233,0.970906,0.848563
2cubes_sphere,101492,101492,1647264,1,1.4195,1.52845,1.33896,1.53016,1.47009,1.52039,1.44022,1.4061
333SP,3712815,3712815,22217266,1,0.361893,0.400202,0.368576,0.353368,0.40012,0.458714,0.360551,0.385686
3dtube,45330,45330,3213618,1,0.674648,0.691765,0.712406,0.699844,0.692224,0.699756,0.649843,0.67568
3elt,4720,4720,27444,1,1.98475,1.82111,1.95088,1.84851,1.81389,1.83548,1.92339,1.8182
3elt_dual,9000,9000,26556,1,1.9384,1.79263,1.8607,1.77572,1.77698,1.80875,1.87224,1.76147
494_bus,494,494,1666,1,1.0478,1.25314,1.18193,1.05374,1.10109,1.14587,1.06384,1.0478
598a,110971,110971,1483868,1,1.04087,1.38528,1.39648,1.37404,1.37973,1.31868,1.3416,1.28775
662_bus,662,662,2474,1,1.14483,1.16946,1.08271,1.11974,1.25009,1.08915,1.24227,1.13717
685_bus,685,685,3249,1,1.23654,1.12173,1.0737,1.03673,1.10661,1.0693,1.14685,1.16306
ACTIVSg70K,69999,69999,238627,1,0.682925,0.661646,0.634125,0.66505,0.667408,0.665209,0.648868,0.674545
AS365,3799275,3799275,22736152,1,0.35224,0.352784,0.356668,0.349105,0.351005,0.350817,0.363884,0.322609
Alemdar,6245,6245,42581,1,1.86681,1.31547,1.38203,1.31354,1.2166,,1.37624,1.51956
Andrews,60000,60000,760154,1,1.50006,1.47076,1.51592,1.48574,1.49599,1.48096,1.52427,1.46454
BenElechi1,245874,245874,13150496,1,0.378229,0.379358,0.362935,0.363645,0.370419,0.367776,0.366464,0.37676
Binaryalphadigs_10NN,1404,1404,19392,1,1.50689,1.51205,1.53898,1.54591,1.53929,1.56476,1.54648,1.51803
Bump_2911,2911419,2911419,127729899,1,0.536295,0.352404,0.562045,0.551795,0.527782,0.532689,0.565361,0.596746
CO,221119,221119,7666057,1,0.373567,0.375658,0.374271,0.381768,0.380718,0.382658,0.378085,0.375327
Chem97ZtZ,2541,2541,7361,1,1.53756,1.52055,1.50642,1.49935,1.48005,1.49977,1.54044,1.67502
Cube_Coup_dt0,2164760,2164760,127206144,1,0.40868,0.477433,0.362127,0.442585,0.447836,0.471713,0.472424,0.504078
Cube_Coup_dt6,2164760,2164760,127206144,1,0.472876,0.457225,0.350561,0.459797,0.335096,0.468248,0.537239,0.467564
CurlCurl_0,11083,11083,113343,1,2.11278,2.19544,1.93446,2.1613,2.02149,1.96867,2.07178,2.32177
CurlCurl_1,226451,226451,2472071,1,0.726762,0.751063,0.701921,0.718525,0.755848,0.740057,0.76084,0.771027
CurlCurl_2,806529,806529,8921789,1,0.381904,0.378877,0.383977,0.391098,0.415942,0.367146,0.405489,0.393721
CurlCurl_3,1219574,1219574,13544618,1,0.416784,0.391901,0.356808,0.386989,0.399352,0.388453,0.381105,0.377855
CurlCurl_4,2380515,2380515,26515867,1,0.398399,0.366132,0.36604,0.368241,0.39305,0.378345,0.373017,0.364957
Dubcova1,16129,16129,253009,1,2.03865,2.15553,2.13529,2.18704,2.13962,,2.17341,2.16777
Dubcova2,65025,65025,1030225,1,1.98512,2.03947,1.99356,2.0652,2.05425,2.06876,2.07529,2.01965
Dubcova3,146689,146689,3636649,1,0.540663,0.564431,0.519924,0.550789,0.528704,0.53115,0.542675,0.544873
EX1,560,560,8736,1,1.81094,1.86508,1.89275,1.84482,1.85632,1.86328,1.90975,1.88969
EX2,560,560,8736,1,1.80514,1.8297,1.86666,1.84341,1.84088,1.82056,1.85494,1.85816
EX3,2600,2600,71760,1,1.93878,1.94303,1.97436,1.9382,1.94939,1.95425,1.9628,1.95467
EX4,2600,2600,71760,1,1.94732,1.94448,1.97591,1.95111,1.95011,1.9435,1.96055,1.94701
EX5,6545,6545,295680,1,1.88781,1.91813,1.90782,1.87979,1.92123,,1.93121,1.91668
EX6,6545,6545,295680,1,1.91473,1.90531,1.90771,1.89427,1.87968,,1.92521,1.9358
Ecoli_10NN,336,336,4560,1,1.67065,1.69803,1.65094,1.64414,1.72207,1.6438,1.69201,1.6926
Emilia_923,923136,923136,41005206,1,0.378007,0.379608,0.351614,0.380356,0.381117,0.375416,0.378914,0.371995
Erdos02,6927,6927,16944,1,0.98053,0.905977,0.964973,0.906507,0.688277,0.703378,1.1158,0.696711
Erdos971,472,472,2628,1,,1.23465,1.19834,1.19378,1.10653,1.21023,1.2782,1.12956
Erdos972,5488,5488,14170,1,0.955209,0.883914,0.904244,0.878187,0.736488,0.763533,1.10621,0.745533
Erdos981,485,485,2762,1,,1.17482,1.23834,1.2098,1.1761,1.17528,1.2339,1.12967
Erdos982,5822,5822,14750,1,0.985605,0.86409,0.90024,0.860434,0.703991,0.746625,1.09935,0.742961
Erdos991,492,492,2834,1,1.29056,1.14992,1.24598,1.26095,1.20592,1.27542,1.26291,1.14108
Erdos992,6100,6100,15030,1,0.968521,0.871307,0.898227,0.87587,0.712509,0.70065,1.08274,0.718261
F1,343791,343791,26837113,1,0.376022,0.376002,0.391717,0.378377,0.379466,0.373767,0.375859,0.377927
F2,71505,71505,5294285,1,0.381737,0.38762,0.399581,0.389463,0.37325,0.376538,0.382432,0.391768
Fashion_MNIST_norm_10NN,10000,10000,158304,1,1.61358,1.67966,1.62535,1.62467,1.65675,1.6587,1.68683,1.63108
Fault_639,638802,638802,28614564,1,0.374344,0.365782,0.381312,0.331647,0.319719,0.382117,0.318433,0.347531
Flan_1565,1564794,1564794,117406044,1,0.363016,0.489987,0.473197,0.468,0.426315,0.454402,0.426323,0.462176
G1,800,800,38352,1,1.76652,1.75858,1.75967,1.75878,1.74916,1.7651,1.76908,1.76153
G10,800,800,38352,1,1.90064,1.76011,1.76121,1.76185,1.75685,1.75979,1.76795,1.75267
G11,800,800,3200,1,1.81918,1.81151,1.75675,1.8187,1.79424,1.80024,1.81761,1.83595
G12,800,800,3200,1,1.81103,1.80579,1.80532,1.83325,1.78864,1.81605,1.7862,1.79671
G13,800,800,3200,1,1.83754,1.82752,1.81306,1.83533,1.79319,1.80189,1.83008,1.84606
G14,800,800,9388,1,1.36009,1.45482,1.38363,1.39764,1.38938,1.41383,1.55031,1.42654
G15,800,800,9322,1,1.38237,1.43173,1.36039,1.44954,1.38472,1.42114,1.57694,1.45475
G16,800,800,9344,1,1.3621,1.45104,1.37715,1.41555,1.3726,1.37736,1.56005,1.47686
G17,800,800,9334,1,1.39189,1.41661,1.38477,1.40255,1.38621,1.36233,1.54089,1.35363
G18,800,800,9388,1,1.38181,1.32179,1.39019,1.42028,1.393,1.39382,1.57017,1.43842
G19,800,800,9322,1,1.38875,1.45077,1.36575,1.43504,1.35103,1.38575,1.56409,1.46503
G2,800,800,38352,1,1.88638,1.76937,1.76412,1.7591,1.75388,1.76474,1.76962,1.75963
G20,800,800,9344,1,1.37918,1.46516,1.37331,1.40968,1.34708,1.38439,1.59835,1.46527
