matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.75955,1.91543,1.87338,1.84692,1.82448,1.72621,1.76953,1.79818
144,144649,144649,2148786,1,24.2753,23.8046,23.9442,23.3066,24.3225,24.5249,24.4901,14.1901
2cubes_sphere,101492,101492,1647264,1,27.4911,27.9569,29.0674,28.0715,28.4327,28.3532,28.6987,27.6909
333SP,3712815,3712815,22217266,1,8.06812,8.24035,8.27864,8.06506,8.53529,8.59868,9.09801,7.65789
3dtube,45330,45330,3213618,1,24.3324,26.7699,24.2394,26.1453,24.7093,24.8922,26.0273,26.9849
3elt,4720,4720,27444,1,10.3115,10.0252,10.4748,10.0161,10.2633,9.96332,9.98873,9.77699
3elt_dual,9000,9000,26556,1,9.88315,9.79383,9.71679,9.82465,10.2276,9.82828,10.1108,9.75249
494_bus,494,494,1666,1,0.795607,0.75607,0.802891,0.788081,0.781242,0.789199,0.755042,0.797511
598a,110971,110971,1483868,1,23.33,21.9616,23.2261,22.8634,23.5574,23.7404,23.2926,12.5838
662_bus,662,662,2474,1,1.15743,1.17168,1.13408,1.18175,1.13957,1.16287,1.17418,1.15662
685_bus,685,685,3249,1,1.51469,1.5501,1.41476,1.56089,1.59109,1.51292,1.40497,1.52535
ACTIVSg70K,69999,69999,238627,1,12.1674,11.576,11.3454,11.7189,12.0974,12.2429,12.2972,12.033
AS365,3799275,3799275,22736152,1,8.00857,8.36246,8.16628,8.31965,8.00767,8.33299,9.14826,7.10616
Alemdar,6245,6245,42581,1,15.0118,13.8093,13.6412,13.9931,13.9862,,13.5998,12.7013
Andrews,60000,60000,760154,1,21.6436,21.8112,22.3161,22.0895,22.2857,22.129,21.5006,15.7676
BenElechi1,245874,245874,13150496,1,14.4948,13.2611,16.2873,14.8975,14.1405,12.641,14.7321,12.2559
Binaryalphadigs_10NN,1404,1404,19392,1,8.38029,7.93778,7.8162,8.02815,8.07327,7.69524,7.78482,7.58685
Bump_2911,2911419,2911419,127729899,1,11.1821,11.5079,11.2187,11.5446,11.6039,11.3304,11.6448,11.5271
CO,221119,221119,7666057,1,18.7633,16.3839,19.9605,17.8632,18.7694,23.2027,22.7869,18.8531
Chem97ZtZ,2541,2541,7361,1,3.28689,3.3046,3.4134,3.5019,3.31278,3.47053,3.4502,2.23637
Cube_Coup_dt0,2164760,2164760,127206144,1,11.5379,11.662,11.6571,11.7753,11.8618,11.9483,11.768,11.8123
Cube_Coup_dt6,2164760,2164760,127206144,1,11.8704,11.8359,11.1717,11.6584,11.4805,11.2861,11.9071,12.0713
CurlCurl_0,11083,11083,113343,1,22.4731,22.9184,22.3534,23.2522,23.0419,22.2809,21.9636,24.3173
CurlCurl_1,226451,226451,2472071,1,30.2008,37.2177,32.4738,38.109,14.6184,35.1921,34.7907,37.9393
CurlCurl_2,806529,806529,8921789,1,15.0593,11.6191,14.9485,15.3184,16.7387,16.345,16.674,15.8436
CurlCurl_3,1219574,1219574,13544618,1,11.1969,12.3989,10.3839,11.1762,11.1406,11.9787,11.9792,12.4192
CurlCurl_4,2380515,2380515,26515867,1,9.76081,10.1258,10.3672,10.2261,10.7063,9.83024,10.7276,10.6743
Dubcova1,16129,16129,253009,1,26.6775,29.2226,27.2889,29.0165,30.1866,,26.799,33.8632
Dubcova2,65025,65025,1030225,1,30.7415,34.4298,31.3835,36.4314,36.2092,19.3948,32.0229,37.348
Dubcova3,146689,146689,3636649,1,29.7164,31.2094,31.5651,32.9901,33.6543,32.9638,30.0635,31.6081
EX1,560,560,8736,1,3.94847,4.0407,3.84,3.7558,3.97542,4.00918,3.80074,3.62791
EX2,560,560,8736,1,3.84,3.89739,3.85525,3.65523,3.95742,3.79991,3.76389,3.71587
EX3,2600,2600,71760,1,17.0959,17.6077,18.0053,17.3292,17.4556,17.5238,17.4492,17.2334
EX4,2600,2600,71760,1,16.9967,17.4006,17.8264,16.853,17.4854,17.3753,16.9585,17.1757
EX5,6545,6545,295680,1,22.8087,23.2079,23.3067,23.2755,23.2143,,23.8808,23.1715
EX6,6545,6545,295680,1,23.1325,23.2124,23.4128,23.0487,23.349,,23.8432,22.9976
Ecoli_10NN,336,336,4560,1,2.1009,2.1474,2.10429,2.03073,2.17453,2.15756,2.11699,1.98304
Emilia_923,923136,923136,41005206,1,11.5579,11.6766,12.0912,11.7443,11.9297,11.6556,11.5488,11.7551
Erdos02,6927,6927,16944,1,6.16257,6.45364,5.06017,6.93289,5.89151,5.39275,2.7873,5.0279
Erdos971,472,472,2628,1,,1.19454,1.24373,1.2119,1.208,1.25143,1.2289,1.18245
Erdos972,5488,5488,14170,1,5.84933,5.93509,4.97717,5.21052,5.49757,4.814,4.80095,4.44619
Erdos981,485,485,2762,1,,1.32058,1.26901,1.32375,1.25346,1.31399,1.29307,1.25688
Erdos982,5822,5822,14750,1,6.19878,5.85899,5.32491,6.41444,5.46803,5.6137,4.83132,4.74276
Erdos991,492,492,2834,1,1.35275,1.37074,1.33396,1.31508,1.34186,1.23728,1.28177,1.28672
Erdos992,6100,6100,15030,1,6.17756,5.90453,5.5801,6.33242,5.79526,3.16621,4.73386,4.56492
F1,343791,343791,26837113,1,9.74506,11.7354,11.9359,11.6578,12.123,11.8841,12.3828,12.5431
F2,71505,71505,5294285,1,18.7482,14.7056,21.5614,22.7747,22.4592,22.2375,22.227,9.40752
Fashion_MNIST_norm_10NN,10000,10000,158304,1,21.3664,20.188,19.3278,19.5909,18.9167,20.6112,21.4156,18.902
