matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.79485,1.87385,1.83224,1.81657,1.6867,1.70087,1.90231,1.74624
144,144649,144649,2148786,1,1.91609,1.9265,1.88088,1.94124,1.92689,1.92692,1.91446,1.90072
2cubes_sphere,101492,101492,1647264,1,2.2951,2.3064,2.36939,2.28369,2.30346,2.25519,2.34972,2.29764
333SP,3712815,3712815,22217266,1,1.41163,1.56586,1.33123,1.55343,1.56099,1.56691,1.63268,1.34945
3dtube,45330,45330,3213618,1,2.39821,2.42976,2.40604,2.43503,2.41651,2.44424,2.43586,2.41478
3elt,4720,4720,27444,1,2.64778,2.36475,2.6218,2.37931,2.32919,2.43244,2.40853,2.31224
3elt_dual,9000,9000,26556,1,2.48118,2.25829,2.37022,2.26259,2.24841,2.25231,2.3082,2.254
494_bus,494,494,1666,1,1.98541,2.09406,2.25723,2.00769,2.16897,2.00376,1.94282,2.07223
598a,110971,110971,1483868,1,1.82385,1.91219,1.79905,1.87397,1.8716,1.91949,1.89981,1.85808
662_bus,662,662,2474,1,2.2802,1.89576,2.11458,2.12345,2.06526,2.19904,1.83678,1.94468
685_bus,685,685,3249,1,2.21709,1.81603,2.48386,2.32263,2.42095,2.2547,2.41049,2.52293
ACTIVSg70K,69999,69999,238627,1,0.848328,0.806848,0.803276,0.774696,0.822388,0.773812,0.752307,0.837269
AS365,3799275,3799275,22736152,1,1.20619,1.2777,1.04702,1.27987,1.28266,1.29121,1.34611,0.714442
Alemdar,6245,6245,42581,1,2.551,1.7012,1.85437,1.69536,1.59172,,1.81177,1.89777
Andrews,60000,60000,760154,1,1.77716,1.79327,1.79483,1.80542,1.81494,1.8119,1.84764,1.75271
BenElechi1,245874,245874,13150496,1,2.56408,2.59915,2.58319,2.58598,2.59565,2.583,2.58796,2.59139
Binaryalphadigs_10NN,1404,1404,19392,1,2.2798,2.37051,2.33058,2.31009,2.35917,2.26968,2.41499,2.30715
Bump_2911,2911419,2911419,127729899,1,2.39537,2.53639,2.41374,2.52069,2.52233,2.52534,2.50381,2.53516
CO,221119,221119,7666057,1,2.5763,2.67818,2.62198,2.6537,2.67796,2.65518,2.62112,2.65764
