matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.533074,0.546801,0.551259,0.536639,0.554242,0.554278,0.517415,0.553142
144,144649,144649,2148786,1,90.4539,87.1101,88.5132,86.0614,89.9601,89.1003,87.2691,78.1731
2cubes_sphere,101492,101492,1647264,1,85.8303,85.2537,87.1041,86.0322,86.9195,87.0805,87.8728,87.1266
333SP,3712815,3712815,22217266,1,31.2996,33.1045,16.9543,70.5599,48.2401,70.364,35.9308,19.7733
3dtube,45330,45330,3213618,1,75.4336,105.058,92.3666,89.8564,92.5527,100.864,109.995,104.955
3elt,4720,4720,27444,1,3.68924,3.44104,3.56187,3.73187,3.47154,3.55977,3.56208,3.62323
3elt_dual,9000,9000,26556,1,3.50594,3.45105,3.53633,3.52458,3.48985,3.49424,3.5768,3.48985
494_bus,494,494,1666,1,0.216644,0.224543,0.224709,0.218346,0.22053,0.214829,0.217222,0.217368
598a,110971,110971,1483868,1,79.5194,74.7427,79.1142,71.5118,77.6429,78.4843,77.6813,66.5768
662_bus,662,662,2474,1,0.329665,0.334143,0.339183,0.328138,0.254174,0.340585,0.332101,0.325978
685_bus,685,685,3249,1,0.42501,0.434383,0.436722,0.436428,0.421951,0.444222,0.446661,0.434127
ACTIVSg70K,69999,69999,238627,1,24.2653,24.253,24.7706,23.3034,24.2791,24.2286,23.8759,24.4395
AS365,3799275,3799275,22736152,1,14.5549,69.122,15.2602,67.8662,56.5776,62.511,23.7703,8.05526
Alemdar,6245,6245,42581,1,5.53397,5.58476,5.36931,5.44168,5.42095,,5.54076,5.66643
Andrews,60000,60000,760154,1,57.0023,56.0131,57.8042,56.8529,58.0049,58.0029,57.4982,56.1992
BenElechi1,245874,245874,13150496,1,105.767,151.648,152.088,153.412,38.2436,150.259,147.432,153.054
Binaryalphadigs_10NN,1404,1404,19392,1,2.54668,2.66411,2.5201,2.50234,2.57038,2.59113,2.5585,2.55677
Bump_2911,2911419,2911419,127729899,1,14.4585,15.001,14.826,15.1532,15.0907,15.0999,15.2777,15.288
CO,221119,221119,7666057,1,97.4439,114.919,96.7112,117.785,97.0983,114.954,80.7358,124.715
Chem97ZtZ,2541,2541,7361,1,0.975674,0.990189,0.97697,0.980212,0.987529,0.966074,0.95536,1.00232
Cube_Coup_dt0,2164760,2164760,127206144,1,14.8938,15.4051,15.2644,15.4278,15.3642,15.3747,15.4881,15.5038
Cube_Coup_dt6,2164760,2164760,127206144,1,14.8398,15.3979,15.2939,15.3682,15.418,15.4246,15.4842,15.513
CurlCurl_0,11083,11083,113343,1,13.975,13.4588,13.8122,14.0616,14.1669,14.3836,13.9063,14.1494
CurlCurl_1,226451,226451,2472071,1,100.851,105.872,99.829,106.834,103.603,105.464,105.667,107.814
CurlCurl_2,806529,806529,8921789,1,107.259,125.285,115.953,128.225,127.711,126.36,129.853,131.249
CurlCurl_3,1219574,1219574,13544618,1,54.9926,129.08,120.701,136.89,129.967,127.696,130.696,134.059
CurlCurl_4,2380515,2380515,26515867,1,25.3877,68.3537,31.13,60.5901,69.703,65.2438,34.5849,15.6125
Dubcova1,16129,16129,253009,1,27.8414,27.1236,27.109,26.5251,27.3289,,28.5499,27.1673
Dubcova2,65025,65025,1030225,1,74.9989,73.315,76.6189,73.6825,76.3354,76.9079,77.1385,52.3953
Dubcova3,146689,146689,3636649,1,123.71,104.889,124.156,110.999,131.011,130.329,126.028,54.4706
EX1,560,560,8736,1,1.13161,1.1361,1.17355,1.14055,1.17506,1.13462,1.15718,1.14121
EX2,560,560,8736,1,1.13749,1.10935,1.17831,1.10794,1.18793,1.14271,1.15871,1.21015
EX3,2600,2600,71760,1,9.15892,8.91931,9.27733,9.1705,9.01453,9.10091,8.95872,9.11181
EX4,2600,2600,71760,1,8.93599,9.28334,9.17583,9.20598,9.17583,9.11828,9.01453,9.05479
EX5,6545,6545,295680,1,30.5501,31.6641,31.6322,31.9726,30.9175,,30.6592,31.6302
EX6,6545,6545,295680,1,31.3619,30.7405,31.6811,31.9549,31.8005,,32.3233,32.2163
Ecoli_10NN,336,336,4560,1,0.581625,0.631226,0.596469,0.601627,0.606423,0.597643,0.596896,0.598072
Emilia_923,923136,923136,41005206,1,21.7289,23.2844,21.4725,25.4828,25.6551,24.0772,23.624,21.9174
Erdos02,6927,6927,16944,1,2.26541,2.23552,2.21504,2.2034,2.19341,2.19354,2.16537,2.3025
Erdos971,472,472,2628,1,,0.357116,0.35931,0.352537,0.351856,0.34718,0.353752,0.357846
Erdos972,5488,5488,14170,1,1.85361,1.74066,1.8368,1.83194,1.88947,1.92408,1.81549,1.82136
Erdos981,485,485,2762,1,,0.368779,0.370513,0.368315,0.37456,0.352521,0.371784,0.368538
Erdos982,5822,5822,14750,1,1.89469,1.91806,1.87539,1.90323,1.87409,1.93965,1.89101,1.92684
Erdos991,492,492,2834,1,0.374648,0.38721,0.381967,0.393392,0.380427,0.380968,0.381967,0.374394
Erdos992,6100,6100,15030,1,1.98026,1.98165,1.95578,1.98825,1.87628,1.96599,1.96342,1.96611
F1,343791,343791,26837113,1,53.7182,77.9203,55.7276,86.5933,111.413,40.9057,22.4952,29.2359
F2,71505,71505,5294285,1,79.4664,83.2925,105.482,84.7899,105.957,110.224,107.64,48.4179
Fashion_MNIST_norm_10NN,10000,10000,158304,1,19.2326,18.8088,18.8772,18.82,19.2212,18.0981,18.6648,19.059
Fault_639,638802,638802,28614564,1,53.2647,40.7606,66.9177,95.8114,74.3002,67.7665,59.7223,46.6731
Flan_1565,1564794,1564794,117406044,1,15.4792,15.6558,15.5803,15.6832,15.6355,15.6557,15.632,15.7648
G1,800,800,38352,1,5.0235,4.98074,4.92637,5.04999,4.95505,5.07004,4.94864,4.93271
G10,800,800,38352,1,5.16592,5.07668,4.98436,4.98074,5.09356,4.91696,4.95825,5.02971
G11,800,800,3200,1,0.438717,0.42556,0.422441,0.421637,0.430425,0.435436,0.420496,0.419943
G12,800,800,3200,1,0.429591,0.433363,0.435429,0.419699,0.428693,0.416122,0.431296,0.436626
G13,800,800,3200,1,0.425277,0.420528,0.428152,0.419155,0.421353,0.412637,0.428119,0.417481
G14,800,800,9388,1,1.22648,1.21842,1.27562,1.2577,1.22566,1.26201,1.21842,1.25685
G15,800,800,9322,1,1.21064,1.19666,1.20291,1.20439,1.22664,1.18676,1.23235,1.23314
G16,800,800,9344,1,1.25104,1.20257,1.22794,1.25523,1.25861,1.26458,1.24429,1.26714
G17,800,800,9334,1,1.27793,1.22013,1.23721,1.24379,1.24877,1.23966,1.25465,1.22905
G18,800,800,9388,1,1.26531,1.24435,1.24023,1.25517,1.26796,1.27132,1.22568,1.28093
G19,800,800,9322,1,1.18827,1.23971,1.22424,1.21943,1.22586,1.19282,1.24385,1.22909
