matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.20649,4.2309,4.21742,4.23948,4.32427,4.18747,4.28428,4.24502
144,144649,144649,2148786,8,4.15137,4.09294,4.37111,3.97699,4.08872,4.08053,4.35415,3.51375
2cubes_sphere,101492,101492,1647264,8,4.42599,4.4347,4.42269,4.44941,4.28874,4.39727,4.55253,4.32407
333SP,3712815,3712815,22217266,8,2.70302,3.13861,2.13153,3.2471,3.1895,3.11434,4.41364,1.09267
3dtube,45330,45330,3213618,8,4.04406,4.02851,4.03906,4.04602,4.04207,4.0346,4.06594,4.02222
3elt,4720,4720,27444,8,4.78426,4.72048,4.7723,4.74907,4.72409,4.75067,4.78223,4.71035
3elt_dual,9000,9000,26556,8,4.20186,4.22652,4.14205,4.22698,4.22446,4.22824,4.31454,4.16071
494_bus,494,494,1666,8,4.27181,4.19119,4.19779,4.28553,4.28553,4.28553,4.2244,4.23112
598a,110971,110971,1483868,8,4.4217,4.25128,4.25722,4.04403,4.23208,4.01531,4.47032,1.69598
662_bus,662,662,2474,8,4.41294,4.44265,4.34512,4.34989,4.47277,4.4228,4.39334,4.3214
685_bus,685,685,3249,8,4.55999,4.57203,4.67903,4.53217,4.52428,4.57203,4.61669,4.64974
ACTIVSg70K,69999,69999,238627,8,3.17755,3.05055,3.08882,2.71185,3.18167,2.99304,3.16724,3.11183
AS365,3799275,3799275,22736152,8,2.55701,2.6949,1.95934,2.74754,2.67282,2.6658,4.26112,0.712932
Alemdar,6245,6245,42581,8,4.69306,4.37261,4.46047,4.37707,4.31143,,4.47835,4.4025
Andrews,60000,60000,760154,8,4.11742,4.24697,4.24197,3.50912,4.23911,3.81784,4.03034,3.72983
BenElechi1,245874,245874,13150496,8,3.98458,4.11434,4.07488,4.11424,4.10672,4.10941,4.12426,4.12326
Binaryalphadigs_10NN,1404,1404,19392,8,4.59186,4.72471,4.57224,4.59519,4.73409,4.73048,4.57763,4.74349
Bump_2911,2911419,2911419,127729899,8,3.63781,4.06462,3.72237,4.10692,4.09271,4.08738,4.11032,4.14446
CO,221119,221119,7666057,8,3.86,4.03418,3.91506,4.12336,4.09448,4.01273,4.04826,4.13632
Chem97ZtZ,2541,2541,7361,8,3.78945,3.77729,3.85771,3.79311,3.86658,3.77839,3.76401,3.95753
Cube_Coup_dt0,2164760,2164760,127206144,8,3.73279,4.04138,3.86442,4.06659,4.04741,4.04544,4.07566,4.07508
Cube_Coup_dt6,2164760,2164760,127206144,8,3.73074,4.04101,3.87242,4.06751,4.04625,4.04708,4.07272,4.07033
CurlCurl_0,11083,11083,113343,8,4.74199,4.81961,4.74981,4.81514,4.78718,4.77822,4.80774,4.91259
CurlCurl_1,226451,226451,2472071,8,3.47392,4.66112,4.00591,4.55004,4.54465,4.5416,4.7868,4.81111
CurlCurl_2,806529,806529,8921789,8,3.13051,4.6164,3.81301,4.44349,4.58337,4.5318,4.79159,4.85322
CurlCurl_3,1219574,1219574,13544618,8,2.90256,4.57411,3.6723,4.43262,4.55336,4.51029,4.80104,4.85005
CurlCurl_4,2380515,2380515,26515867,8,2.58155,4.5755,3.16384,4.45554,4.5595,4.49509,4.80093,4.85397
Dubcova1,16129,16129,253009,8,4.60186,4.64857,4.55489,4.62821,4.64383,,4.51157,4.60916
Dubcova2,65025,65025,1030225,8,4.59332,4.59587,4.57081,4.50831,4.52399,4.41969,4.5506,4.60182
Dubcova3,146689,146689,3636649,8,4.14402,4.18378,4.22284,4.15838,4.16721,4.17004,4.41437,4.29344
EX1,560,560,8736,8,4.72057,4.96011,4.74944,4.75251,4.89069,4.73978,4.71261,4.76238
EX2,560,560,8736,8,4.72376,4.96011,4.73336,4.76888,4.94432,4.7332,4.77214,4.74928
EX3,2600,2600,71760,8,4.35236,4.59279,4.35252,4.39925,4.54551,4.32221,4.39047,4.39753
EX4,2600,2600,71760,8,4.34825,4.58633,4.35996,4.39837,4.52208,4.31831,4.39232,4.40392
EX5,6545,6545,295680,8,4.10379,4.14583,4.11421,4.16525,4.12821,,4.12897,4.15653
EX6,6545,6545,295680,8,4.11959,4.14755,4.11972,4.14148,4.08128,,4.08843,4.15301
Ecoli_10NN,336,336,4560,8,4.78112,4.79968,4.62064,4.79023,4.59157,4.76863,4.8,4.59157
Emilia_923,923136,923136,41005206,8,3.72967,3.99533,3.83934,4.09556,4.07313,4.06718,4.14883,4.13383
Erdos02,6927,6927,16944,8,3.27618,3.22935,3.26592,3.27025,2.82633,2.8558,3.35525,2.88344
Erdos971,472,472,2628,8,,4.17557,4.37499,4.20901,4.33038,4.21323,4.26018,4.22593
Erdos972,5488,5488,14170,8,3.31651,3.24814,3.30732,3.15108,3.05018,3.11386,3.39503,3.06834
Erdos981,485,485,2762,8,,4.20877,4.42806,4.20876,4.34106,4.16474,4.26976,4.31142
Erdos982,5822,5822,14750,8,3.3188,3.23288,3.28188,3.26594,2.97642,2.99641,3.40942,3.02603
Erdos991,492,492,2834,8,4.28987,4.18689,4.43246,4.22591,4.32259,4.24172,4.31437,4.33914
Erdos992,6100,6100,15030,8,3.24184,3.23308,3.24925,3.19745,2.90221,2.96158,3.35819,2.98248
F1,343791,343791,26837113,8,3.87879,3.96814,3.89158,3.96695,3.97626,3.96886,4.00496,3.66968
F2,71505,71505,5294285,8,3.96721,3.99795,4.00723,3.96633,4.00401,4.00524,4.02015,4.03295
Fashion_MNIST_norm_10NN,10000,10000,158304,8,4.41532,4.34011,4.41131,4.37385,4.4252,4.40887,4.45995,4.11905
Fault_639,638802,638802,28614564,8,3.72867,4.06756,3.9526,4.07031,4.08222,4.07908,4.1422,4.14104
Flan_1565,1564794,1564794,117406044,8,3.89936,4.04479,3.92845,4.05437,4.04417,4.04832,4.0528,4.05812
G1,800,800,38352,8,4.16725,4.34673,4.32315,4.1554,4.32531,4.14333,4.16132,4.15903
G10,800,800,38352,8,4.16867,4.34676,4.16898,4.15456,4.33016,4.15009,4.14138,4.16185
G11,800,800,3200,8,4.83018,4.91835,4.82564,4.83475,4.87619,4.80751,4.83932,4.83019
G12,800,800,3200,8,4.76722,4.92307,4.80301,4.80751,4.87619,4.79851,4.84389,4.84389
G13,800,800,3200,8,4.81656,4.92308,4.78058,4.76723,4.86692,4.82109,4.83476,4.80751
G14,800,800,9388,8,4.45457,4.63033,4.49981,4.46782,4.57937,4.47981,4.49725,4.50264
G15,800,800,9322,8,4.45363,4.61471,4.36487,4.48983,4.59636,4.4285,4.49389,4.51019
G16,800,800,9344,8,4.44014,4.62861,4.40755,4.46414,4.57199,4.48019,4.47603,4.48154
G17,800,800,9334,8,4.46323,4.62079,4.4848,4.45537,4.60498,4.43671,4.49547,4.48346
G18,800,800,9388,8,4.45457,4.60182,4.4959,4.49187,4.5851,4.47434,4.49039,4.49859
G19,800,800,9322,8,4.43509,4.57943,4.36487,4.49388,4.5992,4.42456,4.44964,4.48712
G2,800,800,38352,8,4.17037,4.33261,4.33475,4.15568,4.33567,4.14863,4.15427,4.16132
G20,800,800,9344,8,4.40352,4.61575,4.38171,4.46147,4.59574,4.47885,4.47349,4.48153
G21,800,800,9334,8,4.46723,4.62637,4.4875,4.46723,4.59379,4.44344,4.49425,4.49425
G22,2000,2000,39980,8,4.44933,4.43145,4.57368,4.42713,4.5535,4.42315,4.44902,4.40002
G23,2000,2000,39980,8,4.4388,4.56556,4.44961,4.44343,4.54318,4.40002,4.43483,4.41704
G24,2000,2000,39980,8,4.43852,4.55707,4.44466,4.39519,4.5584,4.41798,4.46607,4.38014
G25,2000,2000,39980,8,4.4256,4.55772,4.4493,4.46576,4.57991,4.43541,4.43603,4.42529
G26,2000,2000,39980,8,4.44682,4.55188,4.45894,4.41887,4.58812,4.42437,4.43788,4.41792
G27,2000,2000,39980,8,4.45023,4.56751,4.43419,4.40943,4.56259,4.43419,4.44559,4.42468
G28,2000,2000,39980,8,4.4256,4.55285,4.44003,4.43203,4.5714,4.40063,4.46299,4.43262
G29,2000,2000,39980,8,4.43849,4.5341,4.44559,4.40852,4.56585,4.40733,4.44312,4.41396
G2_circuit,150102,150102,726674,8,3.87487,4.24899,3.6564,4.17139,4.42851,4.48824,4.77632,4.47522
G3,800,800,38352,8,4.1653,4.3455,4.34796,4.16329,4.34765,4.16555,4.16047,4.15655
G30,2000,2000,39980,8,4.44281,4.5448,4.45057,4.46047,4.58417,4.42805,4.4348,4.42131
G31,2000,2000,39980,8,4.4642,4.56129,4.43603,4.42348,4.55642,4.42498,4.4348,4.41521
G32,2000,2000,8000,8,4.81203,5.00391,4.83731,4.81185,4.98831,4.86322,4.89858,4.87805
