matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,2.28571,2.1714,2.15145,2.23169,2.15581,2.17613,2.20408,2.23792
144,144649,144649,2148786,8,2.43694,2.35808,2.39263,2.44568,2.41462,2.41008,2.43957,2.29816
2cubes_sphere,101492,101492,1647264,8,2.7231,2.87356,2.9138,3.15307,2.79892,3.03531,3.03165,2.90925
333SP,3712815,3712815,22217266,8,1.02086,1.13246,0.912328,1.12555,1.12674,1.12362,1.13582,0.602725
3dtube,45330,45330,3213618,8,2.85322,2.74497,2.93231,2.85056,2.81308,2.84491,2.82112,2.91943
3elt,4720,4720,27444,8,3.54019,3.45746,3.47522,3.42854,3.31913,3.45262,3.48551,3.45934
3elt_dual,9000,9000,26556,8,3.24472,3.22108,3.20601,3.11628,3.16975,3.23945,3.15378,3.26494
494_bus,494,494,1666,8,2.14656,2.17334,2.06508,2.10619,2.13333,2.12196,2.07537,1.94641
598a,110971,110971,1483868,8,2.73979,2.80024,2.81602,2.85628,2.79763,2.70847,2.89225,2.23947
662_bus,662,662,2474,8,2.35661,2.34447,2.35059,2.25653,2.30327,2.3341,2.36027,2.34183
685_bus,685,685,3249,8,2.50888,2.41764,2.40333,2.45034,2.39414,2.37815,2.47578,2.42248
ACTIVSg70K,69999,69999,238627,8,2.24305,2.23134,2.18743,2.22853,2.23672,2.17657,2.1659,2.22771
AS365,3799275,3799275,22736152,8,1.00392,1.08473,0.912415,1.08381,1.07318,1.06542,1.18339,0.434124
Alemdar,6245,6245,42581,8,3.37464,3.09267,3.08096,3.04282,3.0475,,3.05619,3.13333
Andrews,60000,60000,760154,8,2.99056,2.8515,3.11541,3.22455,3.23255,2.72154,3.1749,2.89014
BenElechi1,245874,245874,13150496,8,2.31141,2.134,2.16976,2.34155,2.24122,2.30581,2.26701,2.22994
Binaryalphadigs_10NN,1404,1404,19392,8,3.3373,3.36138,3.39358,3.33604,3.39121,3.45819,3.3781,3.45276
Bump_2911,2911419,2911419,127729899,8,1.91153,2.05944,1.91543,2.06969,2.08173,2.11569,2.09358,2.11918
CO,221119,221119,7666057,8,2.18234,2.24863,2.23083,2.16315,2.21249,2.24942,2.20955,2.18341
Chem97ZtZ,2541,2541,7361,8,3.15474,3.00173,3.0474,3.13534,3.12602,2.97497,3.10321,3.26656
Cube_Coup_dt0,2164760,2164760,127206144,8,2.07813,2.12718,2.10811,2.16104,2.19506,2.12432,2.16606,2.15499
Cube_Coup_dt6,2164760,2164760,127206144,8,2.07004,2.17397,2.04362,2.09956,2.19817,2.18996,2.1095,2.17948
CurlCurl_0,11083,11083,113343,8,3.53446,3.51341,3.43734,3.17327,3.46349,3.46225,3.5215,3.58718
CurlCurl_1,226451,226451,2472071,8,2.1326,2.16671,2.11866,2.10545,2.13068,2.18001,2.16299,2.12895
CurlCurl_2,806529,806529,8921789,8,1.22154,1.58344,1.37653,1.58226,1.62561,1.60496,1.3319,1.26468
CurlCurl_3,1219574,1219574,13544618,8,1.09384,1.46605,1.33909,1.49824,1.48539,1.51487,1.26377,1.36729
CurlCurl_4,2380515,2380515,26515867,8,0.971537,1.36514,1.21706,1.36836,1.46729,1.43306,1.2391,1.42108
Dubcova1,16129,16129,253009,8,3.78088,3.89273,3.87635,3.61198,3.87841,,3.91647,3.84371
Dubcova2,65025,65025,1030225,8,3.73712,3.82502,3.79451,3.76361,3.73564,3.86299,3.56749,3.59379
Dubcova3,146689,146689,3636649,8,2.34371,2.45152,2.39989,2.42664,2.435,2.42625,2.36703,2.3783
EX1,560,560,8736,8,3.58161,3.57337,3.78848,3.58143,3.64475,3.66232,3.63631,3.5784
EX2,560,560,8736,8,3.55131,3.572,3.6188,3.59303,3.69367,3.63215,3.5752,3.61926
EX3,2600,2600,71760,8,3.89274,3.88351,4.00303,3.86574,3.98735,3.96735,3.88451,3.8957
EX4,2600,2600,71760,8,3.87532,3.8838,3.99539,3.82128,4.00271,4.00226,3.88827,3.90288
EX5,6545,6545,295680,8,3.92587,3.90463,3.92274,3.94169,3.91989,,3.92668,3.94005
EX6,6545,6545,295680,8,3.86434,3.91913,3.92259,3.93725,3.93402,,3.9249,3.93133
Ecoli_10NN,336,336,4560,8,3.22603,3.16722,3.3568,3.28043,3.36594,3.24151,3.21721,3.29658
Emilia_923,923136,923136,41005206,8,2.05639,2.10751,2.03433,2.12107,2.13171,2.14648,2.11176,2.11989
Erdos02,6927,6927,16944,8,2.56895,2.41076,2.59006,2.41908,2.21077,2.24329,2.73959,2.26044
Erdos971,472,472,2628,8,,2.55363,2.76123,2.55642,2.45078,2.67532,2.55766,2.55829
Erdos972,5488,5488,14170,8,2.54233,2.36554,2.52545,2.38344,2.22024,2.32892,2.67734,2.33028
Erdos981,485,485,2762,8,,2.5875,2.55874,2.69677,2.6261,2.69168,2.64892,2.58811
Erdos982,5822,5822,14750,8,2.57904,2.36324,2.50459,2.35289,2.29896,2.3307,2.71893,2.31429
Erdos991,492,492,2834,8,2.65325,2.53318,2.61695,2.65978,2.52683,2.56717,2.65108,2.68625
Erdos992,6100,6100,15030,8,2.59571,2.3649,2.53714,2.34981,2.26752,2.24303,2.60703,2.37244
F1,343791,343791,26837113,8,2.30158,2.31711,2.20648,2.27062,2.34683,2.42949,2.22317,2.23089
F2,71505,71505,5294285,8,2.42849,2.46479,2.45984,2.47467,2.38042,2.51425,2.42156,2.42006
Fashion_MNIST_norm_10NN,10000,10000,158304,8,3.43556,3.45446,3.4578,3.41845,3.45048,3.45652,3.37895,3.39853
Fault_639,638802,638802,28614564,8,2.06328,2.11966,2.02623,2.21966,2.1207,2.2743,2.09579,2.0994
Flan_1565,1564794,1564794,117406044,8,2.11861,2.23651,2.13307,2.2588,2.34828,2.37038,2.25855,2.31006
G1,800,800,38352,8,3.93475,3.93715,4.03204,3.90605,4.04778,3.87631,3.90001,3.94114
G10,800,800,38352,8,3.94804,3.9439,4.01418,3.93988,4.04365,4.04261,3.92559,3.91914
G11,800,800,3200,8,3.46672,3.24565,3.55333,3.3609,3.34378,3.56521,3.35738,3.29429
G12,800,800,3200,8,3.44433,3.44086,3.48797,3.42773,3.34269,3.58192,3.50469,3.52544
