matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,12.1036,9.36527,12.7758,13.1565,13.3111,13.2592,13.6156,12.9806
144,144649,144649,2148786,8,23.4603,22.7752,23.0747,22.7786,23.357,23.6944,24.2783,12.3835
2cubes_sphere,101492,101492,1647264,8,22.9408,24.6008,24.4578,24.7955,24.7115,24.4878,24.4753,24.2131
333SP,3712815,3712815,22217266,8,10.3367,12.4337,8.10637,12.3406,11.4178,11.9334,15.5916,3.79917
3dtube,45330,45330,3213618,8,23.0167,23.223,23.2743,22.9994,23.5846,23.7693,23.6289,23.2043
3elt,4720,4720,27444,8,25.2026,24.403,23.8914,23.9673,23.8473,24.5226,25.6068,23.7661
3elt_dual,9000,9000,26556,8,22.3877,22.8034,21.5344,18.6809,21.0324,21.7371,21.4116,21.4325
494_bus,494,494,1666,8,4.63584,10.7177,5.05237,10.4164,8.63203,10.7217,5.04569,10.3956
598a,110971,110971,1483868,8,23.2017,22.8162,23.6443,21.283,23.685,23.0937,24.0481,12.0675
662_bus,662,662,2474,8,9.89881,10.2975,12.9533,12.301,12.8602,11.9955,11.9769,11.7217
685_bus,685,685,3249,8,13.4988,14.2464,12.0693,12.6269,11.8176,6.16137,14.0917,11.7665
ACTIVSg70K,69999,69999,238627,8,14.3718,14.6746,14.3008,14.767,14.9004,14.8881,14.763,14.7814
AS365,3799275,3799275,22736152,8,10.2571,12.4623,8.27226,12.7167,11.2185,11.6037,17.3705,2.85417
Alemdar,6245,6245,42581,8,20.43,20.5364,20.5892,20.9109,21.2879,,21.1806,21.6793
Andrews,60000,60000,760154,8,21.7081,22.4116,21.9164,22.2785,23.2244,22.958,22.2945,14.9917
BenElechi1,245874,245874,13150496,8,24.191,24.3784,24.1503,24.3792,24.0208,23.8379,24.5852,24.6676
Binaryalphadigs_10NN,1404,1404,19392,8,21.8196,23.772,23.1826,23.3043,23.1786,16.8444,23.4593,24.4041
Bump_2911,2911419,2911419,127729899,8,19.8202,23.2557,20.3182,23.8272,24.3081,23.7704,23.266,23.5194
CO,221119,221119,7666057,8,22.503,24.1938,23.5265,23.8175,23.6362,24.0271,23.614,23.9714
Chem97ZtZ,2541,2541,7361,8,14.9349,17.6943,18.4858,18.4891,19.416,18.2853,17.7826,10.9568
Cube_Coup_dt0,2164760,2164760,127206144,8,21.1925,23.5862,22.035,23.8079,23.5291,23.4841,23.7376,23.6953
Cube_Coup_dt6,2164760,2164760,127206144,8,21.2286,23.5954,21.9141,23.7687,23.6236,23.6394,23.6786,23.6788
CurlCurl_0,11083,11083,113343,8,24.3059,25.1252,24.5046,24.4178,25.3443,24.0845,25.1068,24.8331
CurlCurl_1,226451,226451,2472071,8,22.4052,24.4336,23.5005,24.1192,24.0328,23.7047,24.9894,23.9233
CurlCurl_2,806529,806529,8921789,8,12.789,20.7068,15.3608,20.9798,21.5164,21.2226,21.5031,20.5698
CurlCurl_3,1219574,1219574,13544618,8,11.7754,20.8074,16.0598,20.2064,21.2207,20.961,20.7718,19.6108
CurlCurl_4,2380515,2380515,26515867,8,10.6503,19.8649,12.8009,20.2881,20.6328,20.1439,20.3395,19.6061
Dubcova1,16129,16129,253009,8,24.4012,26.2541,25.0558,26.6185,27.1691,,25.9313,16.2679
Dubcova2,65025,65025,1030225,8,24.7414,25.9794,25.4869,26.0686,26.4755,26.4039,26.2708,15.9748
