matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,58.4557,59.3925,57.1049,61.9523,60.6419,60.6418,58.1935,56.6004
144,144649,144649,2148786,64,154.333,278.585,299.01,300.852,360.768,355.493,330.936,52.7099
2cubes_sphere,101492,101492,1647264,64,203.129,407.703,421.723,415.667,421.765,415.479,411.312,375.405
333SP,3712815,3712815,22217266,64,40.4505,47.7249,39.6781,51.6362,36.513,36.8018,46.4561,20.2011
3dtube,45330,45330,3213618,64,355.943,450.922,414.117,449.142,437.213,439.742,465.473,449.048
3elt,4720,4720,27444,64,227.973,223.747,219.676,224.033,232.038,227.221,234.674,221.197
3elt_dual,9000,9000,26556,64,217.338,211.115,205.611,219.16,219.457,217.756,200.754,207.115
494_bus,494,494,1666,64,26.9423,27.821,28.7242,27.5692,28.0405,21.242,26.6028,26.2427
598a,110971,110971,1483868,64,207.902,288.319,338.27,199.749,349.353,347.694,409.323,52.3444
662_bus,662,662,2474,64,40.1105,40.6772,40.4124,40.5729,39.2163,38.7793,40.3661,38.595
685_bus,685,685,3249,64,48.0387,51.822,50.4333,52.0817,48.3179,50.8029,49.9486,51.822
ACTIVSg70K,69999,69999,238627,64,303.733,323.933,324.901,175.597,329.215,332.05,336.335,325.663
AS365,3799275,3799275,22736152,64,40.8195,42.543,39.1156,50.0603,28.307,27.8452,56.9934,16.7482
Alemdar,6245,6245,42581,64,248.966,243.396,241.766,235.285,257.445,,261.659,230.508
Andrews,60000,60000,760154,64,217.77,316.121,383.041,316.337,346.545,336.728,323.073,91.0853
BenElechi1,245874,245874,13150496,64,470.353,487.273,480.11,490.252,396.362,492.27,499.41,497.262
Binaryalphadigs_10NN,1404,1404,19392,64,176.066,179.647,179.27,172.757,175.704,184.329,177.21,174.224
Bump_2911,2911419,2911419,127729899,64,137.555,198.475,170.566,240.314,279.253,274.57,205.629,209.353
CO,221119,221119,7666057,64,98.9954,216.832,186.403,117.53,235.8,246.865,119.38,95.4398
Chem97ZtZ,2541,2541,7361,64,92.9289,94.7895,95.086,98.5781,97.8511,95.5682,97.3457,40.8147
Cube_Coup_dt0,2164760,2164760,127206144,64,179.259,319.734,213.139,289.545,326.259,325.411,259.846,259.833
Cube_Coup_dt6,2164760,2164760,127206144,64,171.915,329.555,206.251,294.58,320.263,315.925,256.173,261.698
CurlCurl_0,11083,11083,113343,64,342.394,345.995,350.941,349.849,345.007,354.379,355.952,333.791
CurlCurl_1,226451,226451,2472071,64,79.8478,419.327,252.374,381.771,389.82,371.505,389.863,213.228
CurlCurl_2,806529,806529,8921789,64,42.7968,86.5332,65.2646,77.419,90.7922,86.9556,71.7012,63.5741
CurlCurl_3,1219574,1219574,13544618,64,42.4297,84.885,59.7296,86.9923,89.1512,89.2756,67.4532,58.7313
CurlCurl_4,2380515,2380515,26515867,64,45.08,89.2295,61.6228,90.0635,96.4894,89.4826,64.7392,64.1755
Dubcova1,16129,16129,253009,64,390.988,325.146,417.609,338.849,403.629,,419.448,199.918
Dubcova2,65025,65025,1030225,64,422.995,369.82,445.971,370.872,432.389,386.262,464.495,50.633
Dubcova3,146689,146689,3636649,64,408.116,394.467,459.118,398.688,452.465,448.464,481.576,63.4321
EX1,560,560,8736,64,101.924,103.816,107.52,92.9284,106.903,102.767,109.093,110.179
EX2,560,560,8736,64,102.862,102.017,106.801,102.203,106.699,100.812,101.646,111.832
EX3,2600,2600,71760,64,304.875,315.797,293.553,330.715,300.674,292.711,311.82,325.673
EX4,2600,2600,71760,64,302.556,315.906,299.986,312.042,311.397,281.558,307.539,321.22
EX5,6545,6545,295680,64,357.101,390.111,353.46,398.042,363.949,,368.241,396.454
EX6,6545,6545,295680,64,310.412,373.89,351.291,389.87,367.668,,364.72,397.077
Ecoli_10NN,336,336,4560,64,58.7853,58.3155,67.579,65.9005,65.0194,71.0419,68.8546,66.5769
Emilia_923,923136,923136,41005206,64,130.112,207.057,171.751,230.989,258.559,259.699,215.463,207.874
Erdos02,6927,6927,16944,64,54.0492,118.677,37.1936,117.775,130.96,36.1015,37.0468,38.7167
Erdos971,472,472,2628,64,,40.0171,38.1517,40.1126,39.9222,40.3048,39.8276,40.5967
Erdos972,5488,5488,14170,64,63.8783,115.674,56.2371,108.336,140.438,53.606,94.4322,41.6535
Erdos981,485,485,2762,64,,42.4617,39.7365,41.0279,39.4659,41.2672,37.4152,41.0277
Erdos982,5822,5822,14750,64,53.533,96.9299,51.9967,96.1891,145.96,48.4662,88.676,40.7072
