matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,33.1108,35.7279,36.8877,23.5901,37.3184,37.8151,32.9092,33.6097
144,144649,144649,2148786,64,26.1456,31.6162,30.8377,31.2253,33.3583,33.6162,27.4025,17.1869
2cubes_sphere,101492,101492,1647264,64,29.0588,35.3235,33.1938,35.3493,39.1533,37.9851,31.8137,37.981
333SP,3712815,3712815,22217266,64,16.5867,13.7837,17.3325,14.9057,11.1347,11.1203,14.497,8.58929
3dtube,45330,45330,3213618,64,69.2921,71.236,72.276,72.0751,72.6349,77.4412,71.8466,72.5223
3elt,4720,4720,27444,64,47.6974,52.1628,51.8497,50.066,49.9206,52.7611,48.1476,49.9135
3elt_dual,9000,9000,26556,64,41.2459,43.0914,45.0852,42.4712,43.6234,44.12,42.0753,41.9659
494_bus,494,494,1666,64,25.2235,26.9241,28.1132,26.2491,27.0825,27.8476,25.6781,25.2404
598a,110971,110971,1483868,64,28.494,32.3938,31.7629,28.0636,35.3676,33.1885,29.5563,16.2211
662_bus,662,662,2474,64,34.1806,33.9486,34.3288,33.2953,34.22,34.3338,32.7445,29.7419
685_bus,685,685,3249,64,39.1029,40.3315,40.3838,38.8194,40.5557,40.9753,39.5053,27.2168
ACTIVSg70K,69999,69999,238627,64,14.2915,15.4842,15.1323,15.7423,15.2954,15.8868,14.3116,15.2105
AS365,3799275,3799275,22736152,64,16.0476,12.0963,17.8159,13.1994,10.6228,10.6723,15.3599,8.45132
Alemdar,6245,6245,42581,64,53.8156,50.913,53.4275,54.9961,56.3582,,56.5252,47.253
Andrews,60000,60000,760154,64,26.5437,28.4967,30.2303,29.3552,32.1624,29.9602,28.8791,25.7312
BenElechi1,245874,245874,13150496,64,63.2675,64.8605,63.4901,65.7833,65.5219,65.7665,63.7772,63.7056
Binaryalphadigs_10NN,1404,1404,19392,64,68.4978,68.6461,72.0056,67.0822,69.4419,67.7006,65.8402,66.5011
Bump_2911,2911419,2911419,127729899,64,45.879,49.4357,50.1554,50.9343,57.1596,58.133,47.4993,50.1574
CO,221119,221119,7666057,64,30.516,44.9418,43.4091,28.7773,47.2286,45.5697,26.9892,30.2469
Chem97ZtZ,2541,2541,7361,64,24.3458,26.7371,27.7673,29.1287,22.2287,26.113,27.8132,12.0389
Cube_Coup_dt0,2164760,2164760,127206144,64,56.2923,63.7328,59.9534,61.7673,64.546,65.6363,59.7948,59.8695
Cube_Coup_dt6,2164760,2164760,127206144,64,56.2466,64.0014,57.3864,59.9049,66.6302,65.7708,57.0975,59.9417
CurlCurl_0,11083,11083,113343,64,67.1168,70.6818,69.4852,68.9958,70.102,70.0036,71.4625,64.8088
CurlCurl_1,226451,226451,2472071,64,21.7296,28.6528,25.5238,27.9708,28.9865,28.5271,22.6073,26.7741
CurlCurl_2,806529,806529,8921789,64,20.2432,29.0525,25.3314,28.7944,29.7391,29.355,22.1159,26.3621
CurlCurl_3,1219574,1219574,13544618,64,20.0246,26.8819,27.1417,28.5266,29.5184,29.1533,21.4945,26.4329
CurlCurl_4,2380515,2380515,26515867,64,19.6851,27.8432,24.5163,27.4388,29.1775,28.9134,20.8272,25.4831
Dubcova1,16129,16129,253009,64,60.5493,50.3366,60.5688,60.2902,62.5845,,58.3377,37.2112
Dubcova2,65025,65025,1030225,64,38.0376,39.7525,39.6599,39.0551,42.5596,42.2712,38.7886,22.1615
Dubcova3,146689,146689,3636649,64,44.2852,45.6034,45.933,47.3548,48.4821,48.3034,45.9799,14.8879
EX1,560,560,8736,64,64.6538,63.8429,64.9655,63.8879,64.5518,63.6298,63.9976,64.3215
EX2,560,560,8736,64,64.9491,65.3859,65.0096,65.5686,65.5623,62.6904,65.4178,61.5369
EX3,2600,2600,71760,64,72.8368,69.2626,70.207,74.2923,67.3898,67.3748,66.5951,68.1825
EX4,2600,2600,71760,64,63.8232,66.8022,69.1441,73.2111,74.6344,66.7393,72.077,69.391
EX5,6545,6545,295680,64,88.3672,93.6523,85.1762,92.3484,88.2047,,85.931,92.9552
EX6,6545,6545,295680,64,83.6188,92.3707,86.9413,94.1239,86.0193,,91.1448,93.4963
Ecoli_10NN,336,336,4560,64,57.674,57.9604,56.7193,55.5744,56.8465,50.8727,57.7977,54.6943
Emilia_923,923136,923136,41005206,64,48.9796,57.4945,55.161,52.7385,62.2848,62.2638,51.5634,51.6559
Erdos02,6927,6927,16944,64,16.7363,20.8054,14.7408,32.2161,31.7224,14.6745,13.2904,13.5696
Erdos971,472,472,2628,64,,30.6416,28.0071,27.9753,33.3792,28.6479,25.7752,34.8789
Erdos972,5488,5488,14170,64,16.3261,30.3577,14.6721,27.6704,31.1259,17.8718,20.4816,13.4568
Erdos981,485,485,2762,64,,31.7833,24.6596,30.3577,33.4598,31.8367,25.8005,36.9099
Erdos982,5822,5822,14750,64,16.9211,30.0186,19.2341,31.6718,30.4626,18.3127,22.7408,12.8991
Erdos991,492,492,2834,64,26.6488,28.3533,24.6357,31.4998,33.2536,30.7887,30.474,35.1822
Erdos992,6100,6100,15030,64,17.5919,29.5912,19.6659,31.4545,32.6205,16.4377,25.9225,12.7781
F1,343791,343791,26837113,64,51.0273,57.5228,64.9886,59.0789,69.7957,64.1383,67.4678,28.4203
F2,71505,71505,5294285,64,53.8842,72.3754,70.2367,72.2665,78.7636,76.7229,72.1951,55.4148
Fashion_MNIST_norm_10NN,10000,10000,158304,64,66.0095,76.5118,75.8791,73.8577,77.7841,75.4248,72.7376,61.6641
Fault_639,638802,638802,28614564,64,49.8766,52.6612,52.2982,54.7386,61.6639,61.8624,51.4392,50.8251
Flan_1565,1564794,1564794,117406044,64,62.8424,71.7065,62.0655,68.285,73.2529,73.4127,66.6553,67.9174
G1,800,800,38352,64,80.6981,86.5606,85.317,84.6564,85.7457,73.8185,86.9526,86.758
G10,800,800,38352,64,80.2711,88.1798,85.051,90.292,86.4514,88.1444,85.7922,85.3591
G11,800,800,3200,64,34.7757,38.6123,38.928,39.9402,35.4376,39.2074,37.5,39.7979
G12,800,800,3200,64,36.6587,25.7621,36.6227,37.3133,35.0565,37.9423,36.5801,36.1454
G13,800,800,3200,64,36.516,35.953,37.6956,37.0444,34.4994,37.6183,38.2684,24.3153
G14,800,800,9388,64,44.5303,54.4577,41.1529,52.3418,54.9709,50.0054,41.1355,33.9041
G15,800,800,9322,64,42.1944,55.7361,39.0646,53.7929,54.1321,40.9946,39.9394,33.1201
G16,800,800,9344,64,44.5987,54.1379,39.1975,52.4921,58.4067,41.0425,46.4647,33.7405
G17,800,800,9334,64,44.9634,56.7695,42.5643,55.5767,56.6475,44.8307,42.0539,32.5993
G18,800,800,9388,64,44.4512,56.8826,41.5346,53.2377,55.1197,50.2725,42.0162,33.8259
G19,800,800,9322,64,42.3156,55.3756,37.1252,53.6414,53.5779,40.48,39.98,33.4878
G2,800,800,38352,64,77.0798,88.4042,86.8808,88.3766,88.5765,88.7649,88.8812,86.8624
G20,800,800,9344,64,44.2194,54.1232,39.4136,52.4276,59.0381,41.8227,46.7456,33.4679
G21,800,800,9334,64,42.6728,56.9282,42.6519,55.7384,52.3348,45.1776,40.6609,31.6854
G22,2000,2000,39980,64,63.1754,65.7026,64.2453,70.1317,66.0738,66.5949,68.0897,70.2897
G23,2000,2000,39980,64,67.8106,67.6645,69.0653,64.8941,71.1108,69.8306,69.2888,68.1317
G24,2000,2000,39980,64,65.4856,66.3543,66.2103,59.977,63.8682,63.1952,67.6737,71.4404
G25,2000,2000,39980,64,65.2147,68.3553,56.067,70.0047,67.7962,70.5659,64.7256,63.6076
G26,2000,2000,39980,64,66.4246,67.343,64.1131,62.714,71.4716,68.158,62.702,69.448
G27,2000,2000,39980,64,67.0779,68.732,70.8649,65.3716,66.4988,68.397,66.7176,71.2838
G28,2000,2000,39980,64,62.2994,66.0468,70.1638,69.1219,70.529,60.407,69.1468,67.9857
G29,2000,2000,39980,64,63.3768,69.8547,70.1199,70.8349,67.6061,68.7671,69.2238,69.8817
G2_circuit,150102,150102,726674,64,14.8183,15.936,15.4031,16.1153,16.2011,16.2145,14.8456,13.7799
G3,800,800,38352,64,80.3749,86.5474,87.4753,82.3732,84.7709,87.915,87.7966,86.4494
G30,2000,2000,39980,64,66.7547,63.0317,71.853,42.6495,68.868,69.301,63.215,65.8858
G31,2000,2000,39980,64,63.1113,70.9088,62.4604,70.6663,64.6242,70.1833,69.7218,47.3266
G32,2000,2000,8000,64,43.9479,34.6739,42.8464,44.112,44.9077,44.2919,41.7227,43.5084
G33,2000,2000,8000,64,41.1366,43.4346,42.7742,40.19,44.2397,46.7231,47.1788,42.7879
G34,2000,2000,8000,64,42.2361,41.0816,43.0717,42.4779,44.6174,43.8826,41.6814,41.4318
G35,2000,2000,23556,64,44.2092,58.12,48.7573,56.8871,59.6236,44.8537,47.6684,33.0719
G36,2000,2000,23532,64,42.0556,57.0754,46.6975,52.5295,60.4596,49.6243,45.4283,34.0266
G37,2000,2000,23570,64,46.4317,58.6698,47.9547,56.3258,63.7435,47.8862,39.557,33.9773
G38,2000,2000,23558,64,45.2361,60.061,45.0195,58.6833,58.8747,46.6137,43.377,31.2731
G39,2000,2000,23556,64,45.9569,56.9136,48.8423,56.8542,59.8382,45.081,47.6543,33.9695
G3_circuit,1585478,1585478,7660826,64,13.4671,17.1095,14.3269,17.0148,16.7779,16.4657,12.1819,11.9854
G4,800,800,38352,64,79.5169,86.457,86.2474,86.5525,86.5937,91.2594,85.7203,87.1105
G40,2000,2000,23532,64,45.1973,51.4906,47.6419,54.0716,59.8354,49.1386,44.9656,30.4092
G41,2000,2000,23570,64,45.4539,58.409,48.2317,56.397,62.3481,47.0212,30.1727,33.4968
G42,2000,2000,23558,64,48.8262,60.5633,46.9154,59.7208,57.602,49.748,42.6148,33.6757
G43,1000,1000,19980,64,54.07,67.5392,70.4684,69.2929,69.9174,69.3055,68.6494,69.735
G44,1000,1000,19980,64,63.2617,69.2573,69.4478,68.3381,69.9436,69.4648,66.6932,62.2122
G45,1000,1000,19980,64,63.7893,69.1661,69.8907,69.0031,70.3102,69.4271,68.1288,69.2023
G46,1000,1000,19980,64,63.952,69.3217,69.0957,69.5675,70.4587,70.4283,68.0713,68.9182
G47,1000,1000,19980,64,65.1223,68.987,69.9844,69.7186,70.8144,67.6071,69.1206,69.7376
G48,3000,3000,12000,64,,35.8145,35.621,36.2378,36.0205,36.5889,34.9488,34.3043
G49,3000,3000,12000,64,,36.221,37.8145,36.1505,36.099,35.5855,33.5156,32.0744
G5,800,800,38352,64,80.753,80.9804,84.5126,88.1581,85.9469,87.493,83.5745,86.26
G50,3000,3000,12000,64,34.5347,35.6687,36.2849,36.0962,36.8075,36.4444,35.5446,31.8494
G51,1000,1000,11818,64,43.8838,56.1835,42.8484,55.1599,60.0581,39.4152,30.2019,33.1239
G52,1000,1000,11832,64,43.4414,56.7305,43.6958,53.4283,58.2327,43.1128,38.9808,33.9865
G53,1000,1000,11828,64,44.6691,57.8563,44.591,56.8035,59.2573,49.7988,43.7492,33.368
G54,1000,1000,11832,64,42.5891,54.6348,41.2048,54.5208,60.1954,45.9974,46.4973,34.7981
G55,5000,5000,24996,64,39.3317,40.492,40.1635,39.3504,41.3422,37.4715,37.9683,40.4
G56,5000,5000,24996,64,36.194,41.2068,40.3923,41.5838,38.5502,39.3399,39.4434,41.3025
G57,5000,5000,20000,64,42.3904,39.8851,43.9963,43.6084,41.6508,43.2038,40.3556,40.977
G58,5000,5000,59140,64,37.1024,54.5425,39.6915,54.1161,60.3274,45.985,46.1157,26.2438
G59,5000,5000,59140,64,38.1354,53.7723,39.7775,54.117,61.6751,46.1769,46.7492,27.6787
G6,800,800,38352,64,78.3998,87.285,89.5051,84.6423,87.3757,85.1685,87.372,86.9449
G60,7000,7000,34296,64,42.6069,41.6216,43.6864,44.959,44.7058,42.2281,41.2107,42.5439
G61,7000,7000,34296,64,41.9828,44.5038,44.1457,41.9865,45.1587,43.221,42.6164,44.0123
G62,7000,7000,28000,64,46.4365,49.4659,47.951,48.6142,49.9647,49.0583,49.3603,41.6178
G63,7000,7000,82918,64,37.6264,59.6175,38.446,54.9812,61.8525,52.8557,45.8339,27.4464
G64,7000,7000,82918,64,38.6735,60.1798,39.0356,55.4112,61.8937,53.9217,45.9236,27.5023
G65,8000,8000,32000,64,49.1424,46.9725,42.3499,46.7409,46.5474,50.6778,50.0334,48.1412
G66,9000,9000,36000,64,45.8313,48.6209,48.6625,52.6348,49.1857,50.7491,48.3764,49.7486
G67,10000,10000,40000,64,48.6216,50.1961,49.6058,47.7266,50.0254,51.6994,51.0107,46.2985
G7,800,800,38352,64,78.2681,86.1843,86.7692,85.8637,88.5472,88.7842,88.7312,86.6931
G8,800,800,38352,64,77.8075,82.488,85.5266,85.5748,85.0544,88.8581,85.364,86.265
G9,800,800,38352,64,77.4495,85.9047,85.8727,89.3829,86.0488,87.7809,83.8023,86.0609
GAP-road,23947347,23947347,57708624,64,10.5544,10.6943,10.7888,9.68327,8.9437,9.05774,9.00163,8.82689
GD06_theory,101,101,380,64,13.0019,12.5307,13.9051,12.625,12.0049,12.8349,10.0461,12.1661
GD96_c,65,65,250,64,9.24856,9.79689,9.47587,9.52665,9.35858,9.94198,9.63275,9.50118
GD97_a,84,84,332,64,10.7151,11.4278,11.4885,11.017,11.3071,8.68269,11.058,10.3725
GD97_b,47,47,264,64,,11.117,10.8146,11.7076,10.4512,11.959,11.0757,10.9845
GD98_c,112,112,336,64,10.5146,10.4018,10.5,10.7074,10.6307,10.6027,10.6693,9.82812
GD99_b,64,64,252,64,9.71176,9.51876,9.50665,9.51972,9.50383,9.7993,9.35318,9.5413
G_n_pin_pout,100000,100000,1002396,64,17.3724,18.7405,18.6698,19.4536,19.9296,16.8679,17.2892,20.0253
Ga10As10H30,113081,113081,6115633,64,35.7683,54.8692,43.9576,38.5866,47.0639,50.7965,39.3154,41.6114
Ga19As19H42,133123,133123,8884839,64,34.7121,38.5185,44.8333,45.389,49.1316,49.0417,44.2896,41.8477
Ga3As3H12,61349,61349,5970947,64,19.602,32.9487,39.1037,30.0783,39.0255,48.6415,25.5272,51.5317
Ga41As41H72,268096,268096,18488476,64,29.0368,39.7727,37.8064,44.6417,45.4653,52.0307,41.5185,41.3791
