matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,3.89192,3.79989,3.86879,3.8384,3.85307,3.79249,3.85884,3.86201
144,144649,144649,2148786,8,5.98226,5.85606,6.04037,5.89604,5.97299,5.99929,6.36522,4.858
2cubes_sphere,101492,101492,1647264,8,6.17761,6.21931,6.25669,6.25863,6.30958,6.2843,6.54384,6.09044
333SP,3712815,3712815,22217266,8,3.8483,4.40289,3.18603,4.48535,4.26018,4.26677,5.72555,2.09641
3dtube,45330,45330,3213618,8,6.08957,6.12872,6.11734,6.134,6.13247,6.14125,6.16858,6.1268
3elt,4720,4720,27444,8,6.9767,6.90864,6.89551,6.93427,6.89158,6.82326,7.01078,6.91111
3elt_dual,9000,9000,26556,8,6.10012,6.2669,6.1611,6.25638,6.19879,6.23369,6.43375,6.12287
494_bus,494,494,1666,8,3.8011,3.74172,3.71445,3.66745,3.87819,3.74502,3.73525,3.68278
598a,110971,110971,1483868,8,5.9303,5.77491,5.93116,5.67409,5.94728,5.96284,6.27627,4.47182
662_bus,662,662,2474,8,4.16369,4.09224,4.08378,4.08968,4.12934,4.10495,4.20243,4.14465
685_bus,685,685,3249,8,4.40931,4.39351,4.40554,4.41018,4.38385,4.40218,4.32383,4.4291
ACTIVSg70K,69999,69999,238627,8,3.71378,3.56188,3.51437,3.53278,3.52752,3.58094,3.72313,3.58231
AS365,3799275,3799275,22736152,8,3.62281,3.7806,2.89844,3.80871,3.60169,3.60056,5.32037,1.40454
Alemdar,6245,6245,42581,8,6.35028,5.90238,5.94303,5.85954,5.76458,,5.84677,5.98666
Andrews,60000,60000,760154,8,5.80114,5.72511,5.73845,5.77758,5.82952,5.7935,5.85855,4.74966
BenElechi1,245874,245874,13150496,8,6.28516,6.32787,6.27679,6.34608,6.32547,6.33056,6.36482,6.35296
Binaryalphadigs_10NN,1404,1404,19392,8,6.38206,6.41269,6.38323,6.35678,6.3779,6.23617,6.34318,6.38258
Bump_2911,2911419,2911419,127729899,8,5.53279,6.13893,5.72883,6.19215,6.19035,6.18396,6.19239,6.1917
CO,221119,221119,7666057,8,5.96461,6.41593,6.2432,6.44905,6.42004,6.31477,6.38426,6.47081
Chem97ZtZ,2541,2541,7361,8,5.64216,5.58938,5.65117,5.60527,5.63228,5.56676,5.62338,5.76787
Cube_Coup_dt0,2164760,2164760,127206144,8,5.61682,6.01461,5.83474,6.04889,6.02237,6.02184,6.05555,6.05308
