matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,6.44174,6.35548,6.40991,6.374,6.68792,6.56828,6.04098,5.72245
144,144649,144649,2148786,8,46.0129,58.1131,55.856,51.4446,64.1083,69.9685,67.8566,25.6307
2cubes_sphere,101492,101492,1647264,8,49.5218,66.759,64.9919,71.9234,76.2207,69.0421,74.9068,63.717
333SP,3712815,3712815,22217266,8,21.556,34.874,23.2984,33.9202,36.0287,33.8007,38.739,14.3945
3dtube,45330,45330,3213618,8,78.6445,93.9689,87.47,93.1254,91.5832,94.4954,98.5866,92.7786
3elt,4720,4720,27444,8,19.063,23.3865,19.924,21.9819,24.5195,22.5556,22.2956,22.7041
3elt_dual,9000,9000,26556,8,14.3969,17.3043,13.4032,16.8889,17.7786,16.2131,15.7361,17.029
494_bus,494,494,1666,8,3.19514,3.06039,3.02668,3.16216,3.12021,3.11657,2.99046,2.8887
598a,110971,110971,1483868,8,48.2755,55.3434,52.2422,39.02,61.7539,62.9248,64.1062,22.8615
662_bus,662,662,2474,8,4.31308,4.26659,4.34146,4.16177,4.44265,4.30838,4.4375,3.96806
685_bus,685,685,3249,8,5.3636,5.62313,5.46318,5.87102,5.45573,5.81455,5.51164,5.54102
ACTIVSg70K,69999,69999,238627,8,25.862,31.7275,28.4754,30.5752,34.8422,31.8868,27.2659,29.7655
AS365,3799275,3799275,22736152,8,23.1259,35.8349,21.6714,33.0484,38.2283,35.2365,42.0696,11.4311
Alemdar,6245,6245,42581,8,25.1689,23.7617,24.352,25.1937,27.5628,,26.7889,15.3553
Andrews,60000,60000,760154,8,37.5598,43.9455,41.5888,41.6306,50.3139,49.0593,37.9318,25.8509
BenElechi1,245874,245874,13150496,8,99.7041,105.859,105.713,105.539,104.204,105.394,106.693,107.392
Binaryalphadigs_10NN,1404,1404,19392,8,18.944,17.549,18.6439,19.2544,18.8177,18.3712,16.7938,18.9595
Bump_2911,2911419,2911419,127729899,8,54.2116,71.8727,67.0321,89.1712,89.0177,87.1884,81.6751,84.882
CO,221119,221119,7666057,8,50.8539,83.665,64.1493,77.5606,79.0206,75.3747,62.2132,72.0747
Chem97ZtZ,2541,2541,7361,8,9.76854,9.7929,9.59062,9.9336,9.8811,9.81221,9.91686,7.09124
Cube_Coup_dt0,2164760,2164760,127206144,8,66.2669,93.7716,76.0764,95.3433,94.1097,93.0092,89.4604,89.7632
Cube_Coup_dt6,2164760,2164760,127206144,8,66.0775,92.8214,75.8774,93.4391,93.829,93.4608,87.5401,90.4187
CurlCurl_0,11083,11083,113343,8,36.3624,45.3104,37.8399,45.5494,44.7355,43.8503,48.6646,43.9286
CurlCurl_1,226451,226451,2472071,8,33.3092,67.1412,51.8151,65.4996,72.6286,73.6627,63.1484,60.7348
CurlCurl_2,806529,806529,8921789,8,25.3299,46.5455,35.1758,41.1516,46.7102,40.9854,48.9048,35.7182
CurlCurl_3,1219574,1219574,13544618,8,23.7599,45.6659,32.3646,44.2346,48.2143,46.9072,50.9891,38.136
CurlCurl_4,2380515,2380515,26515867,8,22.7213,47.4649,32.1106,50.6288,55.7352,44.8198,49.9575,43.6176
