matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,19.3552,17.9679,20.5185,21.5764,28.5273,25.4244,18.9315,16.0059
144,144649,144649,2148786,64,26.1722,35.6711,34.4322,34.5474,36.7289,36.248,34.1224,15.0701
2cubes_sphere,101492,101492,1647264,64,31.2216,30.8643,28.7777,35.3928,40.4536,31.1095,28.2278,32.2995
333SP,3712815,3712815,22217266,64,16.1151,14.9322,15.578,16.2649,11.5923,10.271,17.6356,8.80385
3dtube,45330,45330,3213618,64,93.8355,101.255,100.396,106.008,104.778,106.401,108.797,104.082
3elt,4720,4720,27444,64,29.6865,29.5962,31.1391,33.0744,30.5967,32.4182,31.9814,32.2308
3elt_dual,9000,9000,26556,64,20.5548,31.3284,20.1039,21.6134,20.8767,20.4164,21.42,22.41
494_bus,494,494,1666,64,16.3911,18.6569,18.5272,22.7829,18.2889,17.4507,20.0798,15.7845
598a,110971,110971,1483868,64,29.0688,32.9653,31.4627,29.0438,34.5707,34.2424,30.577,11.5701
662_bus,662,662,2474,64,19.9793,18.7048,19.2506,20.1445,20.7654,20.4305,21.8093,21.6011
685_bus,685,685,3249,64,23.4823,22.1917,27.8921,24.5787,30.2672,24.1646,22.9637,28.1947
ACTIVSg70K,69999,69999,238627,64,14.7539,18.6464,16.8999,18.2658,17.4662,18.2176,15.2596,17.4504
AS365,3799275,3799275,22736152,64,13.3425,12.0311,15.8499,13.0879,9.15274,9.15282,19.3864,7.14159
Alemdar,6245,6245,42581,64,31.677,31.5085,35.2248,30.2259,38.1142,,33.8005,26.2236
Andrews,60000,60000,760154,64,27.6126,33.5128,27.1181,24.5466,32.0071,33.3888,25.8388,22.6265
BenElechi1,245874,245874,13150496,64,115.526,115.921,116.359,120.74,118.412,118.836,124.24,90.5646
Binaryalphadigs_10NN,1404,1404,19392,64,47.8344,41.6123,42.974,43.1825,45.1551,41.4179,40.9262,42.0629
Bump_2911,2911419,2911419,127729899,64,60.1503,73.8061,62.7004,91.1862,104.139,101.497,75.0793,79.008
CO,221119,221119,7666057,64,30.7411,43.9453,51.7864,32.4771,54.1822,44.5946,35.3003,29.9505
Chem97ZtZ,2541,2541,7361,64,20.2538,21.5707,21.3025,21.7449,21.8003,21.5505,22.0554,14.3408
Cube_Coup_dt0,2164760,2164760,127206144,64,76.0059,110.389,82.9897,105.677,106.526,114.711,95.1771,97.3125
Cube_Coup_dt6,2164760,2164760,127206144,64,78.2766,109.924,76.1945,104.236,115.367,115.323,98.2452,95.8192
CurlCurl_0,11083,11083,113343,64,41.1757,44.9911,41.503,44.7413,44.9367,43.0537,46.5337,52.7616
CurlCurl_1,226451,226451,2472071,64,19.924,35.0962,27.2229,36.3503,34.7156,34.938,32.5473,27.1736
CurlCurl_2,806529,806529,8921789,64,15.0259,29.6216,26.4048,34.118,33.0967,33.3003,26.0646,25.7521
CurlCurl_3,1219574,1219574,13544618,64,18.4098,32.8488,29.3913,32.5052,33.7504,34.8705,25.443,26.2637
CurlCurl_4,2380515,2380515,26515867,64,18.2403,33.2715,23.2395,32.0435,35.3591,35.5996,24.673,25.9439
Dubcova1,16129,16129,253009,64,56.3471,61.5729,57.3307,55.5792,63.2729,,68.0388,50.2733
Dubcova2,65025,65025,1030225,64,44.9515,51.3527,47.5037,50.2841,56.4349,49.1705,53.062,24.9606
Dubcova3,146689,146689,3636649,64,44.8261,48.3487,44.3454,68.1354,44.7007,66.2764,56.0815,18.5543
EX1,560,560,8736,64,42.4207,43.5439,43.0411,43.1241,40.8105,40.975,41.7553,44.2155
EX2,560,560,8736,64,41.8006,49.0851,43.9012,42.5336,41.1408,50.2114,41.8491,45.4371
EX3,2600,2600,71760,64,55.8169,64.3312,58.6653,69.1194,60.8898,51.083,58.5158,70.1268
EX4,2600,2600,71760,64,56.9379,64.0437,58.9738,66.1187,58.9136,56.4897,62.2769,66.5108
EX5,6545,6545,295680,64,70.4088,78.6362,68.3858,84.5795,71.1191,,65.8102,66.6421
EX6,6545,6545,295680,64,69.6277,79.0535,69.4664,81.3053,69.7032,,37.7592,82.0095
Ecoli_10NN,336,336,4560,64,38.6032,40.0851,41.3079,45.8868,38.149,36.8717,41.6617,36.7325
Emilia_923,923136,923136,41005206,64,62.311,84.1331,65.2012,71.5719,89.155,85.9051,78.6856,72.3754
Erdos02,6927,6927,16944,64,20.3836,21.9404,13.1039,15.8598,18.0,16.1394,8.44715,10.9992
Erdos971,472,472,2628,64,,29.3529,19.7873,19.9044,20.2519,18.9726,17.6672,20.2032
Erdos972,5488,5488,14170,64,14.1335,20.4434,11.0702,15.9831,19.4923,10.3089,23.0609,10.2385
Erdos981,485,485,2762,64,,18.8151,21.1306,24.8096,22.7779,20.365,18.8352,19.7727
Erdos982,5822,5822,14750,64,26.3573,16.5078,18.3638,15.8401,17.635,22.7549,13.3042,11.6262
Erdos991,492,492,2834,64,25.1039,19.1729,28.1421,26.7122,21.6297,18.3208,19.2646,19.0521
Erdos992,6100,6100,15030,64,19.9032,15.8302,12.8951,16.635,24.5792,12.2288,13.8935,7.63486
F1,343791,343791,26837113,64,75.4055,83.0192,86.6695,80.5229,101.091,96.2225,102.888,40.0324
F2,71505,71505,5294285,64,76.1204,104.992,93.0351,88.583,106.722,104.907,109.219,63.939
Fashion_MNIST_norm_10NN,10000,10000,158304,64,50.7802,50.8527,49.2125,49.8766,57.3416,51.081,55.4704,39.0744
Fault_639,638802,638802,28614564,64,64.082,85.6121,64.2699,93.2494,102.161,97.5418,78.3634,79.1818
Flan_1565,1564794,1564794,117406044,64,97.5683,122.466,85.9893,117.698,124.26,125.109,109.426,111.4
G1,800,800,38352,64,70.5933,69.1124,71.5283,70.8776,69.8897,72.0648,72.0955,69.4252
G10,800,800,38352,64,69.5334,71.4148,71.1344,75.2911,69.9894,72.0331,71.571,69.9894
G11,800,800,3200,64,21.5568,25.6481,25.4252,27.0721,22.68,21.389,26.8943,36.0246
G12,800,800,3200,64,21.592,20.8873,22.8955,25.8913,19.185,24.1937,34.3048,27.8072
G13,800,800,3200,64,18.927,21.3991,21.9155,21.6262,18.5591,22.5179,33.6565,31.7766
G14,800,800,9388,64,27.4102,32.6628,27.9132,33.8202,34.9717,32.1206,29.0257,24.9671
G15,800,800,9322,64,26.5572,32.7807,27.5946,34.4462,32.8167,29.2025,30.9765,24.3608
G16,800,800,9344,64,41.6881,33.4554,28.7163,33.6531,33.71,27.4887,31.0005,24.4883
G17,800,800,9334,64,30.4388,33.0681,39.6664,37.301,32.6703,32.1343,28.4933,32.6515
G18,800,800,9388,64,38.7134,36.692,28.5838,33.7537,34.9626,38.3306,30.5378,34.7593
G19,800,800,9322,64,29.2018,34.6563,38.3905,34.3174,33.3487,29.3101,30.254,24.8587
G2,800,800,38352,64,69.5235,69.0541,71.5815,71.3007,70.9504,69.4635,64.8403,72.277
G20,800,800,9344,64,42.6089,36.2643,27.9964,33.7767,32.9758,28.5927,32.4921,24.9225
G21,800,800,9334,64,26.9331,35.7807,39.0314,35.4211,36.0625,40.0118,32.9405,34.1553
G22,2000,2000,39980,64,46.349,46.1942,42.8023,48.3964,41.9665,47.191,43.3237,45.7278
G23,2000,2000,39980,64,48.7975,46.0239,46.7684,46.9404,48.5199,48.5659,46.2652,44.7716
G24,2000,2000,39980,64,45.8836,45.375,48.8487,48.2141,47.8082,47.0868,45.8877,18.787
G25,2000,2000,39980,64,49.4725,45.5041,49.2388,45.9252,43.1921,47.3005,45.4112,44.3256
G26,2000,2000,39980,64,49.7994,47.0959,47.1867,48.1048,45.0832,47.0219,43.2797,48.0822
G27,2000,2000,39980,64,46.9141,47.831,47.8395,47.9876,46.1488,47.1914,32.8228,49.3575
G28,2000,2000,39980,64,46.4968,47.7057,49.253,43.8396,48.5065,47.8668,42.8952,44.1768
