matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,60.0801,54.2511,73.0244,39.8182,54.2625,54.1379,59.3789,53.5071
144,144649,144649,2148786,64,49.7581,58.5275,59.8258,56.235,63.5255,63.4458,54.129,32.4096
2cubes_sphere,101492,101492,1647264,64,61.6612,73.2733,68.9074,74.1834,75.4589,72.9085,67.9431,69.4307
333SP,3712815,3712815,22217266,64,26.4494,21.0323,29.5791,22.1072,18.5924,18.5864,24.9926,14.9503
3dtube,45330,45330,3213618,64,141.282,156.807,147.875,152.247,157.232,158.475,157.136,142.774
3elt,4720,4720,27444,64,104.254,132.815,116.686,125.333,138.88,126.794,115.683,138.935
3elt_dual,9000,9000,26556,64,87.1872,134.132,95.2735,130.642,133.207,122.789,96.1983,128.154
494_bus,494,494,1666,64,40.1899,40.7195,40.3192,39.483,40.3495,41.2871,37.366,38.8148
598a,110971,110971,1483868,64,54.1614,55.5579,58.2995,53.2218,62.4114,61.1066,56.1282,29.4495
662_bus,662,662,2474,64,48.6365,45.2129,43.3856,44.2342,46.5079,49.6741,43.8908,41.52
685_bus,685,685,3249,64,51.5778,51.134,46.6277,48.5492,49.082,52.5689,50.642,37.8755
ACTIVSg70K,69999,69999,238627,64,45.9666,39.5411,50.0652,56.7123,57.3096,59.7319,48.2613,54.0204
AS365,3799275,3799275,22736152,64,25.7876,19.2092,29.5539,20.1088,17.4315,17.4358,25.2238,14.2175
Alemdar,6245,6245,42581,64,117.752,112.632,122.527,114.283,136.638,,113.066,100.778
Andrews,60000,60000,760154,64,54.3586,65.8573,74.7407,65.7846,90.0929,67.7798,68.4742,58.9145
BenElechi1,245874,245874,13150496,64,114.815,120.448,115.596,122.055,121.142,121.788,116.683,115.054
Binaryalphadigs_10NN,1404,1404,19392,64,100.477,123.179,125.04,117.544,86.7863,88.627,112.601,117.322
Bump_2911,2911419,2911419,127729899,64,77.7603,87.3858,89.7343,87.317,97.6471,99.6944,82.8378,89.5466
CO,221119,221119,7666057,64,54.6381,74.7017,71.6341,52.5481,85.3737,79.4291,43.247,55.3907
Chem97ZtZ,2541,2541,7361,64,69.2342,88.0816,61.1664,104.806,99.034,67.1375,100.384,14.7117
Cube_Coup_dt0,2164760,2164760,127206144,64,98.0416,112.941,107.049,110.407,113.263,116.145,107.412,107.943
Cube_Coup_dt6,2164760,2164760,127206144,64,97.289,112.417,103.592,106.415,118.242,117.028,102.857,107.921
CurlCurl_0,11083,11083,113343,64,135.181,147.844,146.681,151.934,151.59,150.016,141.592,139.802
CurlCurl_1,226451,226451,2472071,64,39.2616,50.2358,47.3254,50.1561,52.7137,52.5188,40.3161,49.3757
CurlCurl_2,806529,806529,8921789,64,34.113,50.3627,44.6979,48.1263,50.4437,49.4322,38.2971,48.3167
CurlCurl_3,1219574,1219574,13544618,64,32.9263,45.5939,46.0805,48.3435,50.5523,49.4635,35.5593,47.7708
CurlCurl_4,2380515,2380515,26515867,64,32.418,47.7047,42.3177,47.1334,48.9235,48.1086,35.3988,45.5439
Dubcova1,16129,16129,253009,64,154.708,142.645,165.56,150.19,168.431,,167.647,83.4923
Dubcova2,65025,65025,1030225,64,99.2721,99.8691,105.201,95.5352,111.064,104.728,115.898,42.3557
Dubcova3,146689,146689,3636649,64,83.063,79.7048,88.1475,84.8933,91.7486,90.8335,82.6613,29.2374
EX1,560,560,8736,64,71.2961,71.1191,74.577,71.7398,74.572,70.3851,70.9298,72.8285
EX2,560,560,8736,64,70.7503,72.1192,71.5744,74.3539,74.7067,73.2674,83.8363,73.7264
EX3,2600,2600,71760,64,142.418,148.461,140.456,149.907,144.189,136.737,146.225,132.309
EX4,2600,2600,71760,64,142.591,149.856,142.275,126.47,143.133,136.205,146.1,150.261
EX5,6545,6545,295680,64,147.876,161.078,151.693,163.628,155.858,,156.811,163.528
EX6,6545,6545,295680,64,144.503,159.226,153.003,163.659,155.883,,156.348,163.703
Ecoli_10NN,336,336,4560,64,65.7224,63.4366,61.1953,62.6064,63.0733,59.8892,62.1796,64.8896
Emilia_923,923136,923136,41005206,64,83.0276,100.315,99.4151,93.7702,110.583,111.158,91.8634,91.0946
Erdos02,6927,6927,16944,64,24.5989,47.2183,16.6863,55.661,78.3057,18.1124,12.8295,12.7716
Erdos971,472,472,2628,64,,48.8079,38.074,49.0928,40.2181,36.0077,40.5233,42.0112
Erdos972,5488,5488,14170,64,24.7761,55.1194,20.1859,64.1267,79.1171,21.7785,41.5695,15.286
Erdos981,485,485,2762,64,,40.2844,38.3279,42.9361,44.3305,34.4611,37.2065,44.6384
Erdos982,5822,5822,14750,64,21.0728,63.475,22.6406,53.3877,81.4601,19.2952,43.0059,14.6097
Erdos991,492,492,2834,64,38.6277,34.6402,41.9609,35.4078,41.8544,35.718,40.855,45.2254
Erdos992,6100,6100,15030,64,24.5253,72.3057,21.1054,61.9037,87.8826,27.8583,36.1658,14.0673
F1,343791,343791,26837113,64,87.5185,97.6501,120.023,97.2135,119.216,111.58,119.43,44.0113
F2,71505,71505,5294285,64,102.723,132.246,135.312,129.113,144.314,142.154,140.913,64.334
Fashion_MNIST_norm_10NN,10000,10000,158304,64,109.42,139.41,148.037,141.471,144.87,143.185,139.275,111.942
Fault_639,638802,638802,28614564,64,85.6569,92.3253,94.6976,94.1377,110.661,108.488,92.1841,91.342
Flan_1565,1564794,1564794,117406044,64,112.204,127.798,111.863,124.899,134.374,134.628,123.104,124.232
G1,800,800,38352,64,124.963,143.927,140.215,145.23,131.712,114.81,113.46,141.26
G10,800,800,38352,64,123.016,142.498,140.693,143.64,145.86,142.668,107.196,139.601
G11,800,800,3200,64,56.9838,54.1798,55.2021,52.736,55.165,56.9126,51.8022,54.2517
G12,800,800,3200,64,56.4032,36.6172,52.7904,52.0127,52.9542,50.7937,52.9404,55.2169
G13,800,800,3200,64,55.0834,51.3477,50.8821,50.5679,55.9639,58.4224,55.9486,41.4448
G14,800,800,9388,64,49.0876,78.3916,42.8065,79.1766,62.7141,64.3461,57.9367,39.1358
G15,800,800,9322,64,43.7845,67.1553,46.9345,71.5915,81.8224,70.9868,48.8903,37.7242
G16,800,800,9344,64,52.5036,90.5467,43.1142,79.1812,88.0146,42.3989,48.0296,37.9572
G17,800,800,9334,64,48.4294,84.9691,45.1258,73.9463,77.2803,68.1936,55.3767,38.2358
G18,800,800,9388,64,49.4512,69.1207,43.3235,79.9829,90.9731,67.1246,41.88,38.7047
G19,800,800,9322,64,43.3897,82.4386,47.0251,69.6321,75.2581,46.2774,49.9128,37.9836
G2,800,800,38352,64,125.056,142.539,145.518,110.083,143.017,145.829,137.647,141.839
G20,800,800,9344,64,52.3267,86.8264,40.0896,79.6028,86.8579,64.1201,48.1863,37.6205
G21,800,800,9334,64,48.3646,65.6962,44.843,73.487,66.5712,68.2053,49.4967,38.27
G22,2000,2000,39980,64,114.746,121.687,124.527,123.422,122.336,119.288,119.956,122.301
G23,2000,2000,39980,64,95.3021,122.585,125.705,120.04,124.755,119.352,118.726,120.552
G24,2000,2000,39980,64,105.096,121.887,124.33,102.263,124.122,120.195,118.599,121.986
G25,2000,2000,39980,64,114.826,120.187,104.829,123.33,123.828,120.176,119.204,99.2984
G26,2000,2000,39980,64,115.04,122.85,123.568,122.333,125.268,122.251,118.991,105.846
G27,2000,2000,39980,64,115.847,121.192,116.092,123.027,123.321,120.47,118.797,120.365
G28,2000,2000,39980,64,109.525,122.626,104.617,122.219,124.077,108.614,97.8628,120.337
G29,2000,2000,39980,64,116.137,106.381,123.353,113.368,123.72,121.129,118.049,104.531
G2_circuit,150102,150102,726674,64,29.3053,30.8071,30.3011,30.5357,31.558,30.798,26.696,28.216
G3,800,800,38352,64,113.331,144.473,145.466,141.39,144.13,146.767,139.327,138.953
G30,2000,2000,39980,64,115.001,100.169,120.136,90.199,108.072,119.338,99.2329,98.6343
G31,2000,2000,39980,64,114.903,122.844,122.114,112.697,110.782,121.456,118.279,99.5262
G32,2000,2000,8000,64,78.4614,84.4536,69.1612,90.9333,89.9272,80.0813,88.9121,105.242
