matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,56.4531,71.9821,67.7708,70.8517,69.2533,71.7827,63.9442,63.5304
144,144649,144649,2148786,64,31.0491,34.7665,35.9265,35.072,43.3408,42.986,33.0389,14.9431
2cubes_sphere,101492,101492,1647264,64,35.2305,44.5183,38.2262,44.5338,46.1002,45.1776,37.9673,41.9963
333SP,3712815,3712815,22217266,64,18.4584,13.5876,17.5901,14.5939,10.9863,11.158,17.1858,9.16935
3dtube,45330,45330,3213618,64,112.234,117.986,111.235,117.525,117.639,117.866,120.794,113.515
3elt,4720,4720,27444,64,86.891,104.139,97.878,100.706,104.405,103.844,102.913,101.088
3elt_dual,9000,9000,26556,64,74.8073,91.4418,78.7828,90.7026,91.8994,88.0952,92.0216,89.8232
494_bus,494,494,1666,64,50.2934,56.8666,56.9585,54.4267,54.9195,62.044,54.8899,51.7103
598a,110971,110971,1483868,64,30.9354,36.993,33.4956,29.3386,38.3405,38.2653,33.7709,12.4619
662_bus,662,662,2474,64,60.5133,60.3763,59.0166,61.8732,63.2985,63.8723,59.3462,52.85
685_bus,685,685,3249,64,64.3058,64.8568,68.0544,68.367,69.2309,69.1157,66.583,66.8172
ACTIVSg70K,69999,69999,238627,64,15.4141,17.6059,15.602,17.0336,17.282,17.6245,13.2032,15.2154
AS365,3799275,3799275,22736152,64,19.0855,10.1056,18.6292,10.6136,8.46382,8.80478,17.4828,7.81757
Alemdar,6245,6245,42581,64,86.548,81.0667,88.4426,82.8021,97.5373,,93.8325,58.5986
Andrews,60000,60000,760154,64,35.7605,40.6664,41.0598,41.0847,46.8098,44.5342,41.6905,23.0516
BenElechi1,245874,245874,13150496,64,113.623,118.629,114.996,117.171,119.106,119.47,117.267,117.943
Binaryalphadigs_10NN,1404,1404,19392,64,95.7806,96.7744,100.591,97.9976,95.8185,97.0926,92.1097,92.9521
Bump_2911,2911419,2911419,127729899,64,67.4889,87.0356,70.154,92.2275,104.68,96.4507,76.1185,80.7087
CO,221119,221119,7666057,64,32.7589,66.4236,57.7773,34.5941,68.6972,53.3466,28.8237,34.629
Chem97ZtZ,2541,2541,7361,64,67.1181,89.3579,86.7843,91.0426,87.4369,86.1323,88.5291,29.5345
Cube_Coup_dt0,2164760,2164760,127206144,64,82.8657,101.968,96.4987,102.472,105.204,107.36,98.4152,103.016
Cube_Coup_dt6,2164760,2164760,127206144,64,85.3617,102.423,92.4526,103.96,106.028,104.582,96.1722,96.2936
CurlCurl_0,11083,11083,113343,64,95.8756,107.585,104.256,108.891,110.765,106.968,110.091,104.167
CurlCurl_1,226451,226451,2472071,64,24.1422,34.7958,29.3973,35.4609,35.0435,35.4431,30.4227,27.4389
CurlCurl_2,806529,806529,8921789,64,21.152,34.1607,28.5616,32.9542,35.5896,32.946,27.7004,29.867
CurlCurl_3,1219574,1219574,13544618,64,21.1869,37.3033,32.0241,32.7915,35.9267,34.0693,26.9879,28.2827
CurlCurl_4,2380515,2380515,26515867,64,21.0469,33.2999,27.3269,31.7855,31.1879,31.3618,26.2129,28.3195
Dubcova1,16129,16129,253009,64,116.331,106.199,117.286,108.476,114.404,,123.049,60.4396
Dubcova2,65025,65025,1030225,64,50.6731,55.0133,55.1699,56.1476,57.0951,56.1772,56.409,30.7842
Dubcova3,146689,146689,3636649,64,64.5492,61.2183,63.2461,67.6137,69.8067,67.0789,69.1391,27.983
EX1,560,560,8736,64,85.4187,91.9206,87.0143,91.6487,88.179,86.8302,86.8836,95.3213
EX2,560,560,8736,64,88.7821,88.5921,86.9591,91.6102,86.7299,85.6854,88.1806,92.9291
EX3,2600,2600,71760,64,93.0475,106.743,91.2432,108.568,98.8729,85.1553,99.739,108.343
EX4,2600,2600,71760,64,93.9027,106.11,93.4613,107.381,96.1084,86.0907,100.004,109.085
EX5,6545,6545,295680,64,81.62,107.257,82.0571,108.249,90.1064,,92.2736,110.436
EX6,6545,6545,295680,64,82.6051,103.411,84.4005,110.282,90.5822,,92.7425,108.29
Ecoli_10NN,336,336,4560,64,94.4285,93.1513,94.3716,91.186,94.1271,92.0026,90.3806,84.4553
Emilia_923,923136,923136,41005206,64,67.4872,84.3198,75.4606,83.3913,97.5562,99.4062,83.6315,77.0763
Erdos02,6927,6927,16944,64,24.8597,54.5947,19.5484,52.486,61.5636,24.6758,21.4759,16.5067
Erdos971,472,472,2628,64,,54.1148,50.1548,55.6661,56.9947,53.4799,44.583,59.3062
Erdos972,5488,5488,14170,64,25.4395,54.8444,22.5575,54.9756,57.2654,25.961,41.599,15.9266
Erdos981,485,485,2762,64,,52.9492,48.2837,55.7814,61.0177,55.2999,50.7665,62.3635
Erdos982,5822,5822,14750,64,25.3723,57.2921,31.6864,53.6363,62.6247,26.2968,34.7416,16.1963
Erdos991,492,492,2834,64,40.5985,52.4282,42.2637,53.0422,58.4618,48.6847,49.3337,58.8994
Erdos992,6100,6100,15030,64,24.5413,50.2544,26.4966,52.895,60.7905,27.1844,36.4742,16.1005
F1,343791,343791,26837113,64,76.7103,70.2815,94.1977,69.6082,97.2932,79.9893,102.168,39.796
F2,71505,71505,5294285,64,79.9464,103.07,104.915,102.381,107.325,103.583,108.673,69.6271
Fashion_MNIST_norm_10NN,10000,10000,158304,64,88.3205,88.6586,105.535,84.8765,100.713,97.6423,96.3891,43.0043
Fault_639,638802,638802,28614564,64,71.1672,84.8036,72.2208,89.2745,98.6234,96.6856,81.4409,79.4963
Flan_1565,1564794,1564794,117406044,64,96.7587,117.083,95.2678,112.589,119.959,120.384,113.801,116.35
G1,800,800,38352,64,84.0937,96.4795,98.1539,99.6057,99.2554,99.4826,90.6365,97.8173
G10,800,800,38352,64,83.4461,98.1402,98.1891,99.4868,99.2148,99.8808,98.3755,97.5102
G11,800,800,3200,64,69.8851,83.5376,79.7976,86.8535,69.7438,70.3041,84.4885,85.6901
G12,800,800,3200,64,64.1115,81.9537,71.3708,82.982,64.8297,70.0298,80.4876,85.5859
G13,800,800,3200,64,63.425,71.4462,65.3474,72.713,64.1489,68.5294,80.5024,83.8802
G14,800,800,9388,64,50.9482,71.5747,50.2851,67.4672,75.9299,69.2088,56.781,38.288
G15,800,800,9322,64,49.5789,78.0343,48.7063,77.4564,75.1308,57.3246,61.2124,37.0184
G16,800,800,9344,64,51.0445,76.5904,47.9409,78.1923,77.3935,59.7629,63.7509,37.915
G17,800,800,9334,64,51.7249,77.0657,50.7674,74.5456,76.0019,67.7603,55.5493,37.9251
G18,800,800,9388,64,48.8302,71.6641,49.5779,66.5597,74.7997,67.0082,57.6448,38.2211
G19,800,800,9322,64,50.7258,77.7797,47.9857,76.0788,75.3053,56.8875,61.084,37.5748
G2,800,800,38352,64,86.6423,97.4408,100.357,99.6744,98.8334,98.0028,96.1657,96.9671
G20,800,800,9344,64,51.4026,78.1673,47.5544,77.851,77.6392,59.9302,63.1187,37.9947
G21,800,800,9334,64,51.8897,77.4952,50.5972,73.3343,76.8522,67.3212,55.7618,37.5744
G22,2000,2000,39980,64,78.5015,81.8462,85.1585,82.1669,84.8776,81.0118,76.9285,79.9463
G23,2000,2000,39980,64,76.9053,76.0561,84.4783,80.9954,82.6433,79.3179,78.1323,81.1213
G24,2000,2000,39980,64,77.8401,81.9182,81.9879,82.5741,82.1669,79.5128,80.9927,80.5643
G25,2000,2000,39980,64,78.0025,82.249,82.4462,82.0972,73.5899,79.4251,78.3227,78.6619
G26,2000,2000,39980,64,76.9226,82.3692,82.8614,81.3142,83.9405,83.0201,79.6266,80.6696
G27,2000,2000,39980,64,75.3119,81.0839,85.5643,81.4438,83.4355,79.6326,80.2308,79.8003
G28,2000,2000,39980,64,75.1558,74.6048,84.2236,81.1147,83.3896,78.5292,80.6708,79.9213
G29,2000,2000,39980,64,74.065,82.9246,84.7526,83.5814,82.0709,80.203,80.2496,80.6264
G2_circuit,150102,150102,726674,64,15.6899,18.0569,15.729,19.1476,18.9497,18.19,16.1436,17.5764
G3,800,800,38352,64,83.1437,97.3072,98.9726,99.4038,100.185,100.302,95.4068,98.0557
G30,2000,2000,39980,64,77.4514,82.2502,81.0489,80.7066,83.8925,81.0812,79.1403,80.3529
G31,2000,2000,39980,64,77.5252,81.8554,82.662,82.2672,82.9152,79.199,76.1478,80.2106
G32,2000,2000,8000,64,73.0645,99.006,83.6735,101.821,92.394,85.4753,98.5844,101.932
G33,2000,2000,8000,64,78.1555,98.937,87.2005,96.5585,87.2819,86.7653,95.3796,101.668
G34,2000,2000,8000,64,80.2622,92.1192,82.1696,92.0536,86.4719,86.7208,98.151,100.108
G35,2000,2000,23556,64,47.8598,78.8646,52.0467,73.8416,82.2356,59.5084,55.7044,33.9565
G36,2000,2000,23532,64,47.3661,76.8528,52.1051,71.7729,85.227,59.6881,56.6172,34.916
G37,2000,2000,23570,64,48.4684,73.151,51.8262,72.147,82.9428,58.4069,62.2259,34.3508
G38,2000,2000,23558,64,50.994,76.7007,51.6048,76.9198,78.0533,61.5055,57.563,34.4124
G39,2000,2000,23556,64,48.0129,78.9334,53.7329,72.9609,80.9009,61.3386,56.3992,33.6038
G3_circuit,1585478,1585478,7660826,64,14.2183,18.6038,14.2007,18.6082,17.6123,18.3168,13.2065,15.8666
G4,800,800,38352,64,83.0889,97.2264,99.5042,99.2227,98.9568,99.4422,91.8867,98.1731
G40,2000,2000,23532,64,46.6955,75.412,49.7949,73.0912,84.7735,59.1221,56.8835,34.967
G41,2000,2000,23570,64,48.2651,74.6255,52.9794,71.5988,83.9004,60.2319,61.8181,34.2832
G42,2000,2000,23558,64,50.6811,77.0026,52.1799,75.4026,77.0617,60.3375,58.4815,34.0484
G43,1000,1000,19980,64,80.7223,87.0443,88.8374,88.1968,87.7011,87.9842,84.4874,84.2981
G44,1000,1000,19980,64,80.9161,86.4463,89.4334,88.0575,89.0722,86.4755,84.3006,86.0366
G45,1000,1000,19980,64,77.9021,88.3216,88.0201,87.9814,89.6246,87.3558,85.439,86.6666
G46,1000,1000,19980,64,80.448,86.2169,88.8683,80.2358,90.1624,86.1784,85.3586,87.3232
G47,1000,1000,19980,64,81.0218,87.1804,88.7262,87.8758,88.2032,84.9198,84.8634,86.2752
G48,3000,3000,12000,64,,93.6764,85.6195,96.9573,90.9364,89.7036,101.877,97.5234
G49,3000,3000,12000,64,,94.7977,84.7538,99.0135,89.4433,89.7719,102.832,95.4631
G5,800,800,38352,64,84.486,97.4174,100.224,99.7065,99.3977,99.7796,98.4922,96.1355
G50,3000,3000,12000,64,65.8127,93.9045,82.3019,99.346,90.7113,89.909,103.123,96.121
G51,1000,1000,11818,64,49.5728,74.5695,49.3477,81.0314,84.424,52.8694,53.3886,37.2349
G52,1000,1000,11832,64,49.0651,79.318,51.2658,76.4469,85.9377,62.2502,49.0082,37.6833
G53,1000,1000,11828,64,51.554,78.9763,50.8557,71.6609,83.163,68.1819,64.0087,38.4671
G54,1000,1000,11832,64,48.323,78.6876,50.9658,76.6559,77.7899,56.4038,62.8839,37.6262
G55,5000,5000,24996,64,50.1811,56.4065,54.3326,57.6733,60.2415,49.606,56.2518,45.3333
G56,5000,5000,24996,64,50.3739,56.5541,53.8036,56.035,59.6886,51.8472,56.1589,45.4441
G57,5000,5000,20000,64,81.4791,105.138,87.7706,101.137,97.3011,96.0776,105.415,101.262
G58,5000,5000,59140,64,42.1561,68.917,46.1339,58.8692,76.9967,55.1374,48.402,27.7447
G59,5000,5000,59140,64,42.2985,69.328,46.1893,59.8242,75.9636,56.071,50.9008,26.9441
G6,800,800,38352,64,86.2447,96.521,97.9091,100.134,98.6545,100.476,98.6743,96.4468
G60,7000,7000,34296,64,49.8324,55.0317,54.176,55.1154,55.9364,46.3279,52.4918,42.3126
G61,7000,7000,34296,64,49.2001,55.2417,53.6891,55.626,57.8424,46.6478,53.2244,41.4864
G62,7000,7000,28000,64,88.1958,104.432,86.5514,104.651,100.556,97.9047,105.529,100.048
G63,7000,7000,82918,64,40.5187,64.1446,45.1209,58.7856,70.2699,51.93,48.63,25.8189
G64,7000,7000,82918,64,40.8237,68.5671,47.0317,57.2168,71.7085,53.1267,48.039,26.0234
G65,8000,8000,32000,64,88.779,104.511,92.2022,98.0514,102.013,98.8825,103.184,98.1384
G66,9000,9000,36000,64,76.4015,104.587,93.0252,103.133,102.196,98.9758,104.606,100.305
G67,10000,10000,40000,64,92.3001,104.912,91.9951,103.533,102.424,99.9066,104.515,99.7059
G7,800,800,38352,64,87.0232,97.9714,100.332,99.5573,96.7074,99.4544,96.5532,96.923
G8,800,800,38352,64,83.6281,95.9923,98.8473,96.7548,99.0289,100.747,94.874,98.524
G9,800,800,38352,64,83.3425,97.8973,98.9331,99.2027,98.2696,99.0652,96.521,96.4111
GAP-road,23947347,23947347,57708624,64,8.99971,8.22281,8.44869,7.56677,6.80526,6.78862,7.54125,6.80783
GD06_theory,101,101,380,64,15.3147,24.9174,16.399,25.0458,27.0395,17.422,23.4859,26.0515
GD96_c,65,65,250,64,18.9676,19.8267,18.4111,19.2897,19.0914,19.0702,21.1217,18.8015
GD97_a,84,84,332,64,23.4149,24.4631,23.6209,22.2259,22.3648,24.4075,26.104,23.7284
GD97_b,47,47,264,64,,16.0158,15.2086,15.2357,15.4367,16.2617,15.6228,16.069
GD98_c,112,112,336,64,24.6159,23.528,24.5603,21.9667,23.9086,23.2116,24.1904,22.915
GD99_b,64,64,252,64,17.999,16.7824,19.2228,16.9321,17.8898,20.5333,19.2015,15.7969
G_n_pin_pout,100000,100000,1002396,64,12.311,13.3411,13.0988,14.1263,15.0442,11.5033,12.3193,15.0884
Ga10As10H30,113081,113081,6115633,64,42.7467,64.1417,57.8383,59.0522,70.7602,67.2505,41.6373,57.8227
Ga19As19H42,133123,133123,8884839,64,40.7723,49.35,53.7299,66.9061,72.7351,69.6442,54.2041,60.7609
Ga3As3H12,61349,61349,5970947,64,24.2944,48.1256,53.5008,45.1644,54.9604,50.2474,40.7342,60.4225
Ga41As41H72,268096,268096,18488476,64,37.2652,53.1041,52.8484,62.9108,70.1224,62.7591,47.0801,50.9449
GaAsH6,61349,61349,3381809,64,32.4444,41.1367,31.4039,42.2819,43.3059,67.0064,30.0256,53.3454
Ge87H76,112985,112985,7892195,64,40.674,61.2204,60.368,69.9067,62.7069,75.807,53.9224,65.4496
Ge99H100,112985,112985,8451395,64,34.3718,46.7138,63.7135,73.2228,82.1898,73.8559,58.1297,68.2406
Geo_1438,1437960,1437960,63156690,64,70.4496,88.9791,65.0765,90.1593,103.47,99.1576,81.8562,70.723
Glass_10NN,214,214,2986,64,81.6174,79.1004,83.2313,79.777,77.6524,86.5716,83.2144,75.6554
H2O,67024,67024,2216736,64,62.3264,78.4456,72.9889,69.9415,83.107,74.5207,70.8088,72.5995
HTC_336_4438,226340,226340,904522,64,12.6774,12.9251,15.8546,14.2376,13.2366,12.6925,12.1715,11.4415
