matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.62093,4.5753,4.8715,4.53658,4.90836,4.80617,4.46169,4.68096
144,144649,144649,2148786,8,46.9437,61.4172,58.2965,62.685,72.2334,77.059,65.2937,28.7605
2cubes_sphere,101492,101492,1647264,8,44.4545,68.7978,59.4542,77.7626,66.7093,62.7383,61.7514,52.8191
333SP,3712815,3712815,22217266,8,21.9419,35.7722,21.9658,35.0297,31.058,29.7686,32.1248,13.3235
3dtube,45330,45330,3213618,8,116.544,157.788,148.664,157.914,153.008,160.598,162.85,154.51
3elt,4720,4720,27444,8,15.4805,17.5796,14.1464,17.0268,15.6298,16.9146,14.4499,14.7113
3elt_dual,9000,9000,26556,8,11.4367,13.7819,10.2533,13.5447,12.7428,12.8317,10.5625,12.2778
494_bus,494,494,1666,8,2.14208,2.24132,2.0752,2.14743,2.01101,1.96491,2.20061,1.90441
598a,110971,110971,1483868,8,45.6328,56.327,49.3198,40.9183,65.5279,60.7985,56.7628,22.1327
662_bus,662,662,2474,8,3.07449,3.27601,2.96155,3.07688,2.88577,3.10341,2.80598,2.68767
685_bus,685,685,3249,8,3.89802,3.71925,4.0823,3.86039,3.97583,3.71394,3.69546,4.00031
ACTIVSg70K,69999,69999,238627,8,19.0659,26.9173,20.3638,28.6282,27.9027,27.8051,22.6073,21.9585
AS365,3799275,3799275,22736152,8,25.4651,32.4661,21.138,27.8887,31.2097,26.389,37.5882,11.0703
Alemdar,6245,6245,42581,8,19.8478,16.5689,17.6845,16.1132,17.9558,,19.2033,11.0405
Andrews,60000,60000,760154,8,30.1884,34.0918,29.4573,35.2254,39.181,37.8471,26.7016,20.9261
BenElechi1,245874,245874,13150496,8,188.947,201.567,201.064,203.776,198.853,202.682,204.546,204.219
Binaryalphadigs_10NN,1404,1404,19392,8,14.5252,13.3078,13.7143,14.5456,13.5703,13.9561,12.1537,12.7385
Bump_2911,2911419,2911419,127729899,8,60.0554,79.7022,67.619,84.9579,86.0537,84.713,78.3412,79.1985
CO,221119,221119,7666057,8,74.0652,128.43,104.639,90.1978,128.063,104.052,77.0766,82.3895
Chem97ZtZ,2541,2541,7361,8,7.37898,7.60827,7.40218,7.91612,7.1414,7.76425,7.56429,6.24575
Cube_Coup_dt0,2164760,2164760,127206144,8,69.3501,92.8723,75.4341,92.1343,93.4311,92.2088,87.3854,87.9227
Cube_Coup_dt6,2164760,2164760,127206144,8,70.6504,91.7277,75.6174,91.0013,92.4642,91.1162,84.3019,88.6391
CurlCurl_0,11083,11083,113343,8,28.0752,34.5354,26.0207,34.042,32.8554,28.3965,38.3312,30.4921
CurlCurl_1,226451,226451,2472071,8,37.8931,78.5753,54.8848,75.5077,82.7039,72.695,76.4748,68.3964
CurlCurl_2,806529,806529,8921789,8,31.0231,65.5031,47.8219,63.2102,67.6473,63.7761,63.254,54.5928
CurlCurl_3,1219574,1219574,13544618,8,25.5694,49.5017,35.6119,48.2274,54.3537,50.4704,54.6048,38.8713
CurlCurl_4,2380515,2380515,26515867,8,23.5745,42.9166,31.3143,48.0512,52.978,42.4069,40.781,42.1307
Dubcova1,16129,16129,253009,8,59.1125,45.6793,55.8449,42.9826,57.318,,66.6284,28.2227
Dubcova2,65025,65025,1030225,8,69.3325,61.3878,71.993,66.3089,86.3025,65.1765,94.9166,30.7225
Dubcova3,146689,146689,3636649,8,144.903,109.802,121.201,123.594,139.441,132.373,167.024,43.177
