matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.57132,1.74741,1.45305,1.58981,1.48498,1.64797,1.51835,1.56525
144,144649,144649,2148786,1,2.29432,2.26415,2.31075,2.26383,2.25151,2.25902,2.33277,2.03433
2cubes_sphere,101492,101492,1647264,1,2.46935,2.66216,2.71353,2.66552,2.62014,2.65091,2.72429,2.64101
333SP,3712815,3712815,22217266,1,1.31099,1.49052,1.09337,1.51367,1.52617,1.50455,1.7421,1.18068
3dtube,45330,45330,3213618,1,2.64424,2.69643,2.74288,2.71233,2.74152,2.75327,2.63056,2.78582
3elt,4720,4720,27444,1,2.43827,2.26998,2.35066,2.29273,2.23485,2.31,2.33665,2.25505
3elt_dual,9000,9000,26556,1,2.29326,2.10595,2.21855,2.12109,2.12024,2.1502,2.21485,2.08282
494_bus,494,494,1666,1,1.57169,1.76297,1.78182,1.69999,1.74451,1.81088,1.85113,1.78184
598a,110971,110971,1483868,1,2.21954,2.20474,2.17437,2.18292,2.17948,2.14232,2.21683,1.849
662_bus,662,662,2474,1,2.0196,1.9792,1.82583,1.88855,1.85318,1.97131,2.02786,1.86718
685_bus,685,685,3249,1,2.08938,2.01177,2.05633,2.03063,2.12353,1.96314,2.07604,1.91118
ACTIVSg70K,69999,69999,238627,1,0.842874,0.810314,0.795284,0.810039,0.814032,0.813879,0.794731,0.826978
AS365,3799275,3799275,22736152,1,1.15051,1.25659,0.777191,1.25835,1.28357,1.28368,1.51632,0.440316
Alemdar,6245,6245,42581,1,2.57825,1.77458,1.84015,1.69845,1.62179,,1.83298,2.09914
Andrews,60000,60000,760154,1,2.14262,2.15215,2.15862,2.10425,2.13005,2.13909,2.17186,1.99242
BenElechi1,245874,245874,13150496,1,2.96763,2.98782,2.98565,2.96821,2.95662,2.99386,3.00818,3.0184
Binaryalphadigs_10NN,1404,1404,19392,1,2.52664,2.49559,2.47505,2.55831,2.55158,2.53325,2.56,2.57188
Bump_2911,2911419,2911419,127729899,1,2.4547,2.85776,2.60408,2.8725,2.86375,2.85455,2.92058,2.90548
CO,221119,221119,7666057,1,2.72293,2.63074,2.74238,2.79068,2.78624,2.60524,2.8649,2.8029
Chem97ZtZ,2541,2541,7361,1,2.04757,2.00299,2.07061,2.01671,1.96032,2.0,2.0619,2.22051
Cube_Coup_dt0,2164760,2164760,127206144,1,2.60818,2.95106,2.82734,2.95942,2.89111,2.91949,2.99925,3.02757
Cube_Coup_dt6,2164760,2164760,127206144,1,2.58533,2.93542,2.7983,2.95765,2.92522,2.92438,2.98584,2.99433
CurlCurl_0,11083,11083,113343,1,2.84139,2.86144,2.64882,2.86908,2.66126,2.66689,2.71643,3.06039
CurlCurl_1,226451,226451,2472071,1,2.74359,2.8265,2.61113,2.84701,2.77866,2.79146,2.82442,2.93999
CurlCurl_2,806529,806529,8921789,1,2.37968,2.61706,2.35043,2.6826,2.62463,2.63456,2.79474,2.89799
CurlCurl_3,1219574,1219574,13544618,1,2.22686,2.64279,2.31172,2.66705,2.57189,2.64084,2.788,2.91752
CurlCurl_4,2380515,2380515,26515867,1,1.79701,2.61526,2.08354,2.64146,2.57325,2.57456,2.80943,2.91781
Dubcova1,16129,16129,253009,1,3.08602,3.17569,2.99772,3.07234,3.06101,,2.98888,3.10477
Dubcova2,65025,65025,1030225,1,3.37445,3.36739,3.28011,3.34524,3.37782,3.24524,3.51054,3.40855
Dubcova3,146689,146689,3636649,1,3.06378,3.06281,3.01746,3.08349,3.02888,2.98724,3.0179,3.08938
EX1,560,560,8736,1,2.85957,2.8,2.96638,2.8549,2.79552,2.83177,3.01763,2.91199
EX2,560,560,8736,1,2.8456,2.79552,2.86896,2.83176,2.82262,2.78216,2.83176,2.83636
EX3,2600,2600,71760,1,3.16263,3.19075,3.20708,3.20429,3.15838,3.14048,3.22727,3.1829
EX4,2600,2600,71760,1,3.18721,3.18714,3.25509,3.17241,3.18367,3.17452,3.23316,3.20851
EX5,6545,6545,295680,1,3.04619,3.0747,3.15725,3.15222,3.12887,,3.04541,3.03198
EX6,6545,6545,295680,1,3.12027,3.14937,3.1445,3.15306,3.12871,,3.13152,3.15555
Ecoli_10NN,336,336,4560,1,2.7143,2.85,2.85894,2.89524,2.97068,2.83229,2.54038,2.83231
Emilia_923,923136,923136,41005206,1,2.64126,2.85308,2.72647,2.91979,2.86961,2.85439,3.01329,2.98739
Erdos02,6927,6927,16944,1,1.50949,1.2318,1.40965,1.30539,0.956991,1.03693,1.76684,0.992299
Erdos971,472,472,2628,1,,2.32566,2.336,2.27532,2.2952,2.27532,2.21772,2.4
Erdos972,5488,5488,14170,1,1.47068,1.28643,1.36506,1.29762,1.14413,1.19326,1.82251,1.2252
Erdos981,485,485,2762,1,,2.35063,2.36069,2.32982,2.41223,2.29212,2.38102,2.35062
Erdos982,5822,5822,14750,1,1.55181,1.31228,1.40476,1.30013,1.07507,1.11573,1.7944,1.15914
Erdos991,492,492,2834,1,1.73865,2.3815,2.30314,2.36166,2.39156,2.24921,2.40169,2.55317
Erdos992,6100,6100,15030,1,1.49181,1.24886,1.39096,1.26622,1.04958,1.10352,1.81631,1.09389
F1,343791,343791,26837113,1,2.521,2.62616,2.52238,2.55922,2.63082,2.53595,2.64454,2.50241
