matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.8192,2.85594,3.15363,1.69164,2.74474,2.81724,2.79393,2.62906
144,144649,144649,2148786,1,26.4596,26.9459,27.189,27.1849,22.1744,28.3391,26.7187,22.9931
2cubes_sphere,101492,101492,1647264,1,29.3839,31.445,31.4592,31.4992,31.3606,32.1358,29.4965,31.1796
333SP,3712815,3712815,22217266,1,5.12513,4.96462,4.59066,4.64622,5.70363,5.73103,4.84952,4.429
3dtube,45330,45330,3213618,1,18.1741,26.1251,24.5771,26.3084,27.5372,26.8716,26.5411,22.0305
3elt,4720,4720,27444,1,12.9728,12.7203,13.2228,13.4102,12.9057,12.93,13.2165,13.4926
3elt_dual,9000,9000,26556,1,11.6961,12.2604,12.6397,12.3516,11.6168,13.0915,11.6193,12.235
494_bus,494,494,1666,1,1.11476,1.22725,1.11513,1.07692,1.21695,1.17572,1.09678,1.16178
598a,110971,110971,1483868,1,25.3572,27.3802,26.2631,25.9309,26.8766,27.0406,26.6387,9.31008
662_bus,662,662,2474,1,1.65153,1.79601,1.80123,1.71745,1.66993,1.84973,1.6632,1.89215
685_bus,685,685,3249,1,2.22839,2.52054,2.37674,2.22764,2.217,2.12979,2.21926,1.46088
ACTIVSg70K,69999,69999,238627,1,10.0133,10.774,10.4572,10.5194,10.7961,10.5791,10.5835,10.9364
AS365,3799275,3799275,22736152,1,5.13644,4.91612,4.80624,4.89184,4.73062,4.32517,5.1543,4.7501
Alemdar,6245,6245,42581,1,16.6105,15.4559,15.549,14.9775,15.927,,14.8573,16.4057
Andrews,60000,60000,760154,1,24.6244,25.3638,25.3719,25.4837,25.3018,23.94,25.4321,24.9509
BenElechi1,245874,245874,13150496,1,5.14378,4.47481,4.49616,5.66453,5.08433,5.11707,5.09009,5.07122
Binaryalphadigs_10NN,1404,1404,19392,1,10.5478,10.2387,9.42275,10.9839,10.3231,10.4652,10.4342,10.3951
Bump_2911,2911419,2911419,127729899,1,5.69404,5.84216,5.34205,4.62938,5.44747,4.5415,4.57909,4.82339
CO,221119,221119,7666057,1,5.19132,5.67656,6.01007,6.19316,5.01721,6.05478,6.39961,6.72459
Chem97ZtZ,2541,2541,7361,1,4.59486,4.25859,4.72769,4.47341,4.83007,4.81584,4.3173,2.79356
Cube_Coup_dt0,2164760,2164760,127206144,1,4.95318,4.45448,4.87991,5.12012,5.65294,4.46069,4.66855,5.12053
Cube_Coup_dt6,2164760,2164760,127206144,1,4.41713,5.40015,5.18206,5.72762,5.13092,4.8735,5.90743,5.19547
CurlCurl_0,11083,11083,113343,1,25.4218,26.7318,26.3099,26.8267,25.9277,25.7803,26.146,27.223
CurlCurl_1,226451,226451,2472071,1,26.9361,33.6923,15.7989,30.5596,32.9276,35.0872,33.2482,32.7238
CurlCurl_2,806529,806529,8921789,1,4.81558,5.88286,5.72991,4.8214,4.88003,4.84468,4.82072,4.81937
CurlCurl_3,1219574,1219574,13544618,1,5.39626,5.1834,5.64107,5.71884,4.74468,6.0974,5.82085,5.09298
CurlCurl_4,2380515,2380515,26515867,1,4.77921,4.90171,5.17525,5.0249,5.56743,4.86675,5.02995,5.14373
Dubcova1,16129,16129,253009,1,30.0539,29.3838,32.0184,30.4061,32.9697,,31.4962,21.1945
Dubcova2,65025,65025,1030225,1,33.2518,34.3271,34.9341,35.8389,36.3709,37.4355,35.2672,22.0009
Dubcova3,146689,146689,3636649,1,15.7211,19.7252,20.1201,19.3614,20.5284,20.5491,20.3902,11.0183
EX1,560,560,8736,1,5.00201,5.13281,5.07171,5.44298,5.55196,5.72291,5.36116,5.57325
EX2,560,560,8736,1,5.11625,5.10879,5.28174,5.40427,5.57144,5.51167,5.24526,5.58034
EX3,2600,2600,71760,1,20.1065,20.2769,21.1869,20.7249,20.704,20.5351,20.2027,20.2569
EX4,2600,2600,71760,1,20.459,20.0812,21.1121,19.1718,20.3806,20.8605,20.32,20.462
EX5,6545,6545,295680,1,29.1368,29.5385,29.4136,29.0538,29.4722,,28.4993,29.4737
EX6,6545,6545,295680,1,29.058,29.4326,29.6987,29.19,29.4619,,29.7255,29.481
Ecoli_10NN,336,336,4560,1,3.18993,3.18437,2.94574,2.87334,3.12433,2.75529,2.92965,3.15027
Emilia_923,923136,923136,41005206,1,5.47057,5.2424,4.41426,5.33518,4.40638,5.10772,5.25906,5.43859
Erdos02,6927,6927,16944,1,4.52624,7.33664,3.75282,7.57613,8.12855,3.97793,3.34597,3.39934
Erdos971,472,472,2628,1,,1.74676,1.77868,1.9009,1.63688,1.75962,1.87983,1.84356
Erdos972,5488,5488,14170,1,4.48205,7.5715,4.50987,6.99059,7.4815,4.44131,6.14484,3.82508
Erdos981,485,485,2762,1,,2.04973,1.88403,2.06893,1.92072,1.89763,1.80052,1.89049
Erdos982,5822,5822,14750,1,4.44814,6.99719,4.29153,6.90707,7.88135,4.0262,6.30881,3.69581
Erdos991,492,492,2834,1,2.09229,1.88681,2.06484,2.11651,2.03081,1.92527,1.92921,2.02646
Erdos992,6100,6100,15030,1,4.41021,7.55087,4.37681,6.94229,7.80779,5.1944,5.93602,3.62301
F1,343791,343791,26837113,1,3.95672,5.41502,4.3165,5.09884,5.3059,5.55709,5.42684,2.87555
F2,71505,71505,5294285,1,6.66063,8.47661,8.69608,9.08485,8.33725,8.91434,8.12227,3.64138
Fashion_MNIST_norm_10NN,10000,10000,158304,1,18.2157,23.3212,24.3376,23.2202,22.9127,22.9626,24.0675,23.3745
Fault_639,638802,638802,28614564,1,4.52815,4.87919,4.71295,5.08506,4.51155,5.9211,4.6615,4.59204
Flan_1565,1564794,1564794,117406044,1,4.48504,4.88069,5.40253,5.25351,4.43221,5.49824,4.89072,5.71642
G1,800,800,38352,1,15.0873,15.1859,15.5839,14.6577,15.6859,12.8032,15.812,15.5177
G10,800,800,38352,1,10.4916,14.9988,15.5302,15.3163,15.4801,10.9671,15.6923,15.5429
G11,800,800,3200,1,2.12202,2.00126,2.12343,2.10387,2.31298,2.23464,2.17761,2.33492
G12,800,800,3200,1,2.20234,1.3485,2.14909,2.0847,2.32642,2.11851,2.07455,2.27515
G13,800,800,3200,1,2.1305,2.21761,2.17022,2.07792,2.23933,2.17761,2.12272,1.62312
G14,800,800,9388,1,5.64692,5.88404,4.94886,5.70006,6.12993,6.10207,5.15824,4.82055
G15,800,800,9322,1,5.04164,5.42447,5.13326,5.93382,6.20637,5.65829,4.53515,4.69385
G16,800,800,9344,1,5.45318,5.87673,5.11299,5.65615,5.82724,5.53557,5.3996,4.62116
G17,800,800,9334,1,5.26898,5.58759,4.85388,5.83556,6.05709,5.77421,5.4793,4.46068
G18,800,800,9388,1,5.53864,6.18038,5.07871,6.15003,5.53705,5.77189,5.66737,4.88449
G19,800,800,9322,1,5.00913,5.67719,5.53563,5.91502,5.60217,5.77572,4.78666,4.44647
G2,800,800,38352,1,15.0547,14.8507,15.502,15.1859,15.5366,16.1109,14.6438,15.5871
G20,800,800,9344,1,5.4884,5.78039,4.84145,6.24601,5.94969,5.91767,6.09723,4.72755
G21,800,800,9334,1,5.44732,6.31103,5.21016,5.53948,5.07418,6.30461,5.40946,4.7659
G22,2000,2000,39980,1,15.8556,15.1439,15.6784,15.4452,15.5807,16.345,16.325,15.7961
G23,2000,2000,39980,1,15.5112,15.9665,16.5343,15.5504,16.108,15.9188,15.2566,15.7
G24,2000,2000,39980,1,15.0982,15.6263,16.2191,15.0104,15.9791,15.9537,16.3317,15.9251
G25,2000,2000,39980,1,15.4066,15.3473,15.3621,15.2829,16.3886,15.737,15.5564,15.8462
G26,2000,2000,39980,1,15.9601,15.5868,15.2305,15.4393,15.9219,16.5514,15.7092,16.4324
G27,2000,2000,39980,1,15.0839,15.8336,15.6447,15.5837,15.9856,16.0788,15.6477,16.5892
G28,2000,2000,39980,1,16.0208,15.8934,15.5685,15.2073,15.9506,16.0918,15.3888,15.6938
G29,2000,2000,39980,1,16.121,15.6142,15.8619,15.5262,15.9792,16.4358,15.8619,16.1274
G2_circuit,150102,150102,726674,1,25.1562,32.7198,28.3985,34.7824,34.9977,33.729,31.6551,33.9163
G3,800,800,38352,1,16.1892,15.3041,15.4614,14.8106,10.4359,15.2281,15.3285,15.3838
G30,2000,2000,39980,1,15.6263,15.3977,15.922,13.6334,15.762,16.0724,15.4572,16.0433
G31,2000,2000,39980,1,15.6938,14.8487,16.5275,15.8024,16.1047,15.8997,15.6447,14.7937
G32,2000,2000,8000,1,5.27531,4.65114,5.22194,5.10205,5.28403,5.48133,5.01253,5.1381
G33,2000,2000,8000,1,5.0633,5.05369,5.14965,5.21684,5.2701,5.27182,4.78039,5.25107
G34,2000,2000,8000,1,5.32801,5.08259,5.39629,5.178,5.11835,5.48132,5.54209,5.51915
G35,2000,2000,23556,1,7.78325,11.516,7.79485,10.4254,12.4175,9.78852,9.40923,6.06801
G36,2000,2000,23532,1,8.568,11.7075,7.53748,9.61276,11.8939,9.96694,8.16233,6.19588
G37,2000,2000,23570,1,7.88691,11.608,7.2646,11.0089,11.7644,11.0501,7.86716,5.89398
G38,2000,2000,23558,1,7.74042,12.2827,7.24083,10.8437,12.0501,10.4078,8.03479,6.03122
