matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.40179,4.82656,3.76797,4.68689,3.61616,5.2787,5.1061,5.13168
144,144649,144649,2148786,1,7.58645,7.82508,7.73223,7.77603,7.77674,7.65398,7.85145,7.44034
2cubes_sphere,101492,101492,1647264,1,9.36028,9.4973,9.71574,9.49035,9.36637,9.30297,9.71877,9.33072
333SP,3712815,3712815,22217266,1,4.41642,4.36789,3.62032,4.31281,4.36914,4.42,4.5806,3.46423
3dtube,45330,45330,3213618,1,8.70061,8.66373,8.96593,8.94974,9.00348,8.8487,8.88922,8.97879
3elt,4720,4720,27444,1,7.70475,7.97666,8.61662,8.18123,8.0836,6.91468,7.92837,8.56528
3elt_dual,9000,9000,26556,1,8.27941,7.93303,7.00877,7.98189,7.02907,7.96767,6.64166,7.87307
494_bus,494,494,1666,1,2.20234,1.78173,2.95373,2.53558,3.13422,1.95077,3.32269,3.05656
598a,110971,110971,1483868,1,7.5442,7.67974,7.53391,7.77448,7.73228,7.71747,7.60426,7.06589
662_bus,662,662,2474,1,3.98416,4.01958,3.41225,2.10912,3.68694,3.87165,3.58252,2.71863
685_bus,685,685,3249,1,2.75451,4.57295,4.5722,3.36168,4.48765,4.31756,3.25049,4.74315
ACTIVSg70K,69999,69999,238627,1,2.91389,3.04861,2.98032,3.19895,3.10109,3.18244,2.98758,3.07687
AS365,3799275,3799275,22736152,1,4.13236,4.33365,3.64159,4.44474,4.44955,4.4727,5.00355,2.25063
Alemdar,6245,6245,42581,1,8.79673,6.42059,8.02281,7.74686,7.97019,,7.5326,7.45203
Andrews,60000,60000,760154,1,7.08851,7.02227,7.2702,7.29896,7.36034,7.26578,7.50747,7.26291
BenElechi1,245874,245874,13150496,1,7.24996,7.35658,7.11848,7.13325,6.92853,6.63726,6.44524,6.71442
Binaryalphadigs_10NN,1404,1404,19392,1,8.85666,9.31008,8.46079,9.45005,9.85365,7.83334,9.03243,7.45273
Bump_2911,2911419,2911419,127729899,1,6.33079,6.88722,6.40138,6.70682,7.17645,6.67765,6.74762,6.31914
CO,221119,221119,7666057,1,7.06328,7.55758,7.1934,7.10599,7.08553,7.02497,7.14804,7.43342
Chem97ZtZ,2541,2541,7361,1,5.03307,5.38499,5.6295,4.86052,5.53682,5.43872,5.01074,4.27233
Cube_Coup_dt0,2164760,2164760,127206144,1,6.31043,6.43325,7.14299,6.78369,6.58099,6.66472,6.69025,7.09576
Cube_Coup_dt6,2164760,2164760,127206144,1,6.69667,6.40986,7.06524,6.63106,6.52637,6.68514,6.61206,6.49299
CurlCurl_0,11083,11083,113343,1,10.3306,11.501,10.7058,11.6184,10.387,10.9199,11.5028,11.9308
CurlCurl_1,226451,226451,2472071,1,9.18354,10.4918,9.29048,10.1663,9.94889,9.94173,10.3572,10.1445
CurlCurl_2,806529,806529,8921789,1,6.38465,6.57165,6.91031,6.5999,6.41459,6.34075,6.59528,6.40371
CurlCurl_3,1219574,1219574,13544618,1,6.57908,6.76151,6.41067,6.16946,6.26404,6.29641,6.33717,5.94865
CurlCurl_4,2380515,2380515,26515867,1,5.90496,5.82702,5.88566,5.82277,5.66169,5.6829,6.11493,5.77039
Dubcova1,16129,16129,253009,1,11.7439,12.4405,12.0166,12.628,12.3748,,12.8038,8.30463
Dubcova2,65025,65025,1030225,1,12.4772,12.7,12.3175,13.0652,13.1458,12.9614,13.0253,8.26077
Dubcova3,146689,146689,3636649,1,8.43038,8.49275,8.34417,8.32446,9.05431,8.63401,8.55529,6.4263
EX1,560,560,8736,1,8.2727,7.01127,8.74,8.31579,8.66232,8.69645,8.57717,8.34353
EX2,560,560,8736,1,7.4064,7.47948,6.42095,7.99592,8.56542,7.14003,8.35933,6.43306
EX3,2600,2600,71760,1,11.4068,10.6864,11.0409,10.8564,10.9715,10.7169,11.6182,10.8006
EX4,2600,2600,71760,1,10.6698,11.4104,11.69,10.7578,11.6351,11.4724,11.0011,11.6836
EX5,6545,6545,295680,1,9.87378,10.3555,10.2612,10.3802,10.3415,,10.3469,10.1344
EX6,6545,6545,295680,1,10.3428,10.3646,10.4206,10.3401,10.3372,,10.4158,10.3589
Ecoli_10NN,336,336,4560,1,6.07571,5.99206,5.88405,5.61901,5.45773,3.41054,6.04384,4.65314
Emilia_923,923136,923136,41005206,1,6.69483,6.58548,6.75969,6.65095,6.68957,6.85637,6.8967,6.66596
Erdos02,6927,6927,16944,1,2.43167,4.73634,3.17631,4.65738,5.88643,2.93579,4.17545,3.03332
Erdos971,472,472,2628,1,,3.16433,3.21664,3.488,1.47719,2.53189,2.81546,1.63027
Erdos972,5488,5488,14170,1,2.99006,4.47712,3.33926,4.66877,5.10825,3.49708,4.21539,2.67586
Erdos981,485,485,2762,1,,3.43946,3.10501,2.5887,2.75364,3.89005,2.02263,4.47649
Erdos982,5822,5822,14750,1,2.85827,5.00342,3.29643,4.5701,5.24905,3.18987,3.97146,3.02008
Erdos991,492,492,2834,1,3.33022,3.03577,3.18262,3.3166,4.42777,3.43307,3.59638,4.31706
Erdos992,6100,6100,15030,1,3.20882,4.04368,3.25468,4.59062,5.79422,2.84627,5.2645,2.83695
F1,343791,343791,26837113,1,6.4162,6.66865,6.78483,6.90367,6.86104,6.41815,6.80417,5.32828
F2,71505,71505,5294285,1,6.13275,7.40436,7.00923,7.02477,7.12414,7.33823,7.01962,6.37174
Fashion_MNIST_norm_10NN,10000,10000,158304,1,7.544,8.26719,8.47927,8.51879,8.05204,8.17623,8.83047,7.7785
Fault_639,638802,638802,28614564,1,7.04504,6.84809,7.23583,6.67939,6.52107,7.06596,6.88115,6.87444
Flan_1565,1564794,1564794,117406044,1,6.90413,6.54791,6.8563,6.70234,6.53495,6.60186,6.90973,6.83341
G1,800,800,38352,1,8.0546,9.26255,8.52723,9.41637,9.25709,9.51675,8.77925,9.45095
G10,800,800,38352,1,7.95598,9.46153,9.36099,9.47678,9.52472,9.30888,8.64652,9.42203
G11,800,800,3200,1,3.10386,4.58512,4.62057,4.57139,4.37147,3.16206,4.27826,1.97527
G12,800,800,3200,1,4.88238,4.51359,4.60432,4.23606,5.05941,3.38979,4.82242,3.2274
G13,800,800,3200,1,4.41358,4.67877,3.51057,5.09222,4.90066,5.02335,3.39901,4.40792
G14,800,800,9388,1,5.43302,7.27162,5.92479,7.26311,6.63013,5.48998,5.78081,4.28766
G15,800,800,9322,1,5.22242,6.32857,5.76165,6.66074,7.17328,5.17483,5.69121,4.29981
G16,800,800,9344,1,4.42936,4.68014,5.82385,7.29941,6.99898,6.38691,5.53051,3.69984
G17,800,800,9334,1,5.22744,7.35582,5.47929,7.28961,7.38156,5.39704,5.59749,4.14487
G18,800,800,9388,1,5.18667,7.23834,5.71729,7.2494,6.48354,5.81122,3.93704,3.2992
G19,800,800,9322,1,5.54193,6.31111,5.55038,6.99348,7.30615,3.93259,4.72839,4.73931
G2,800,800,38352,1,8.70639,8.75126,8.60092,9.35992,9.36205,8.69559,9.50741,9.3906
G20,800,800,9344,1,5.20285,6.88551,5.06176,5.99928,4.9257,3.60011,5.84336,4.77366
G21,800,800,9334,1,3.49971,6.88345,5.59593,5.81931,5.55945,5.01554,4.5811,4.08324
G22,2000,2000,39980,1,7.37297,8.62943,9.20021,10.0364,8.98032,9.41021,9.99871,8.61623
G23,2000,2000,39980,1,8.0605,9.41588,10.0089,8.65183,9.88987,9.6476,10.6146,9.89357
G24,2000,2000,39980,1,9.04442,9.33146,9.45711,9.12565,9.44593,9.19627,9.93536,9.19283
G25,2000,2000,39980,1,9.32259,8.87451,8.93012,9.99871,9.99231,8.99962,8.88254,10.0112
G26,2000,2000,39980,1,8.35707,9.21404,9.28579,9.19184,8.8658,9.5715,10.5416,9.33348
G27,2000,2000,39980,1,9.15094,9.7714,10.0112,9.20145,9.69581,8.31881,10.8405,9.68624
G28,2000,2000,39980,1,8.21455,9.68378,9.73815,9.41047,8.9541,9.63164,10.4141,9.81833
G29,2000,2000,39980,1,9.14777,9.12589,9.72519,9.2675,9.18766,9.37271,10.6061,9.79537
G2_circuit,150102,150102,726674,1,7.61047,11.5867,9.15957,11.1324,11.52,11.4928,11.2556,11.6509
G3,800,800,38352,1,7.87911,8.48856,9.33817,9.44418,8.14521,9.31888,8.66791,8.65629
G30,2000,2000,39980,1,9.33881,9.66035,9.79397,9.3676,8.66317,9.45503,10.2684,8.85209
G31,2000,2000,39980,1,8.96509,9.88873,8.35443,9.09664,9.91556,9.25027,9.95379,9.81945
G32,2000,2000,8000,1,7.46221,7.48334,6.954,7.62956,5.42379,7.13969,7.52595,7.69621
G33,2000,2000,8000,1,7.1271,7.34968,7.75177,7.74042,7.32617,7.38681,7.1553,2.83192
G34,2000,2000,8000,1,6.39251,7.65933,7.52595,6.89955,7.17472,7.3293,5.83902,5.41439
G35,2000,2000,23556,1,5.18686,8.31633,6.00144,8.70823,8.65534,6.21528,6.41854,4.96758
G36,2000,2000,23532,1,5.30408,7.59576,6.04933,7.05175,8.18076,4.64686,6.88764,5.01584
G37,2000,2000,23570,1,5.54789,8.34768,6.493,8.09827,7.47433,7.37013,5.91622,4.57889
G38,2000,2000,23558,1,5.90354,8.05965,5.99288,8.28468,8.126,6.80482,5.72015,4.69746
G39,2000,2000,23556,1,4.89986,8.84064,5.30072,8.53342,7.63795,6.4519,5.91115,4.99912
G3_circuit,1585478,1585478,7660826,1,5.49392,5.14437,5.24966,5.90543,5.4305,5.39859,5.44704,5.49668
G4,800,800,38352,1,7.04868,9.25709,8.66814,9.42661,8.32574,7.08186,9.48032,8.7601
G40,2000,2000,23532,1,4.47635,8.41157,5.20037,8.21934,6.64951,7.08263,6.81495,5.04539
G41,2000,2000,23570,1,5.30443,7.04936,5.86022,7.95633,8.46142,7.11651,6.0921,5.02993
G42,2000,2000,23558,1,5.87782,8.51404,6.08808,7.29468,6.98329,6.72209,6.5521,4.66917
G43,1000,1000,19980,1,8.07922,8.44621,8.88384,8.32292,9.19709,9.31692,9.11697,8.79191
G44,1000,1000,19980,1,8.30078,7.40537,8.66627,9.78433,8.09714,8.22204,8.54205,8.61019
G45,1000,1000,19980,1,7.52123,8.03534,8.36674,8.65317,8.40731,8.12704,8.98382,8.55482
G46,1000,1000,19980,1,7.46626,8.38268,8.60458,8.7382,9.3058,7.89597,9.37801,6.58331
G47,1000,1000,19980,1,8.49512,8.64184,7.42074,8.21889,9.63601,9.71345,9.96498,8.50564
G48,3000,3000,12000,1,,8.54649,8.78167,8.64541,6.73588,6.92644,8.72739,7.10891
G49,3000,3000,12000,1,,8.333,8.30146,8.19976,8.22528,7.17023,7.93405,8.89227
