matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,1.14294,1.09066,1.11619,1.07619,1.10704,1.09508,1.12082,1.02959
144,144649,144649,2148786,1,55.5177,55.3176,56.4979,54.3776,52.9871,56.6096,56.6245,49.4218
2cubes_sphere,101492,101492,1647264,1,60.7353,60.6347,63.5151,61.8551,62.0065,61.1071,62.5361,61.3129
333SP,3712815,3712815,22217266,1,12.8717,23.1614,12.727,28.2735,28.2122,31.3237,24.5519,10.594
3dtube,45330,45330,3213618,1,52.6546,70.2461,61.2923,67.1427,64.8495,65.5787,72.1173,69.6886
3elt,4720,4720,27444,1,7.1618,7.06864,7.07776,7.30379,7.54578,7.09697,7.13294,7.30379
3elt_dual,9000,9000,26556,1,6.94819,6.82235,6.65981,6.82235,6.52001,6.84874,5.60371,6.52803
494_bus,494,494,1666,1,0.465104,0.497908,0.476408,0.504619,0.444624,0.459333,0.46188,0.438132
598a,110971,110971,1483868,1,52.4344,51.3529,51.8473,47.9603,53.6894,53.816,53.4082,43.9404
662_bus,662,662,2474,1,0.655885,0.706454,0.68023,0.713687,0.673747,0.699462,0.737187,0.731628
685_bus,685,685,3249,1,0.79779,0.944065,0.938612,0.937121,0.880012,0.916115,0.914826,0.893319
ACTIVSg70K,69999,69999,238627,1,26.6117,26.1868,25.4725,27.0644,26.6995,26.9118,27.4868,27.5981
AS365,3799275,3799275,22736152,1,11.8869,27.2339,11.6519,24.2981,31.5727,29.9323,22.4485,7.05592
Alemdar,6245,6245,42581,1,10.3415,10.4416,8.6205,9.87155,10.354,,10.6121,10.4046
Andrews,60000,60000,760154,1,47.5825,48.2163,47.477,45.5523,48.5395,47.7469,48.8217,43.97
BenElechi1,245874,245874,13150496,1,72.2872,82.3334,82.5173,83.2579,62.9852,81.9583,80.8948,82.442
Binaryalphadigs_10NN,1404,1404,19392,1,4.9755,5.13355,5.27385,5.06054,5.25242,5.4213,5.18225,5.02058
Bump_2911,2911419,2911419,127729899,1,13.6286,14.889,13.8055,15.2607,15.238,15.1091,15.0041,15.1218
CO,221119,221119,7666057,1,59.1884,66.3426,61.0224,66.9876,58.6666,69.5542,64.8498,66.4263
Chem97ZtZ,2541,2541,7361,1,1.98839,1.98838,2.02114,1.9724,1.91071,1.96687,1.96189,2.08734
Cube_Coup_dt0,2164760,2164760,127206144,1,14.644,14.6454,14.7227,15.5604,15.5696,15.5131,15.4026,15.4415
Cube_Coup_dt6,2164760,2164760,127206144,1,13.8348,15.171,14.5405,15.4505,15.4419,15.4458,15.1793,15.2678
CurlCurl_0,11083,11083,113343,1,22.2241,23.4956,22.6256,22.6936,22.6709,22.7619,22.27,20.1463
CurlCurl_1,226451,226451,2472071,1,64.3542,70.2233,64.1105,71.4647,70.5248,69.2864,69.9748,72.5682
CurlCurl_2,806529,806529,8921789,1,55.6627,68.9346,52.8904,76.2152,75.1097,75.192,72.6344,78.8332
CurlCurl_3,1219574,1219574,13544618,1,23.0928,74.1312,59.7387,72.8115,70.3834,73.2694,69.9321,79.4438
CurlCurl_4,2380515,2380515,26515867,1,11.5802,21.6716,16.4767,25.0486,29.8599,22.6604,27.3153,19.7121
Dubcova1,16129,16129,253009,1,36.599,35.7433,38.7903,36.7826,38.6126,,36.9437,28.4535
Dubcova2,65025,65025,1030225,1,65.2867,66.6166,68.2087,67.3152,69.3824,69.1496,69.8316,37.6854
Dubcova3,146689,146689,3636649,1,75.6335,74.6377,78.863,75.6021,82.9736,82.5292,79.9923,39.8578
EX1,560,560,8736,1,2.19359,2.19884,2.35949,1.97491,2.22715,2.29442,2.19332,2.47339
EX2,560,560,8736,1,2.3038,2.28871,2.51649,2.2472,2.21557,2.2357,2.16077,2.34084
