matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.17372,2.01191,2.04232,2.15066,2.08969,2.06311,2.18546,2.16792
144,144649,144649,2148786,1,2.25356,2.26314,2.30659,2.22943,2.27174,2.26106,2.29781,1.88122
2cubes_sphere,101492,101492,1647264,1,2.59971,2.6506,2.71085,2.63512,2.63005,2.65469,2.72584,2.63337
333SP,3712815,3712815,22217266,1,1.31828,1.52045,1.10634,1.52375,1.53114,1.50757,1.74439,1.2299
3dtube,45330,45330,3213618,1,2.66673,2.71036,2.74934,2.75821,2.76458,2.81005,2.65618,2.74992
3elt,4720,4720,27444,1,2.44479,2.29647,2.37713,2.32379,2.28795,2.34264,2.36382,2.27374
3elt_dual,9000,9000,26556,1,2.30922,2.1227,2.23066,2.13559,2.11855,2.16254,2.21938,2.08856
494_bus,494,494,1666,1,1.9952,2.0194,2.0194,1.9372,1.99521,1.99522,1.9372,1.99524
598a,110971,110971,1483868,1,2.2216,2.20948,2.20041,2.18135,2.18171,2.17597,2.21216,1.84532
662_bus,662,662,2474,1,2.18938,2.21884,2.17974,2.21884,2.1513,2.20892,2.20895,2.13275
685_bus,685,685,3249,1,2.42463,2.41561,2.24068,2.38022,2.34585,2.38022,2.31248,2.32902
ACTIVSg70K,69999,69999,238627,1,0.84295,0.810493,0.795589,0.809833,0.811859,0.817294,0.796508,0.82738
AS365,3799275,3799275,22736152,1,1.15247,1.26429,0.854379,1.26991,1.29043,1.2907,1.51788,0.423149
Alemdar,6245,6245,42581,1,2.68726,1.89123,1.97683,1.84894,1.72564,,2.00099,2.18807
Andrews,60000,60000,760154,1,2.14938,2.15367,2.15838,2.11546,2.13253,2.14665,2.16836,1.99944
BenElechi1,245874,245874,13150496,1,2.97599,2.99571,2.9898,2.96917,2.95736,2.98766,3.00504,3.00516
Binaryalphadigs_10NN,1404,1404,19392,1,2.61701,2.59078,2.65281,2.67273,2.65281,2.65826,2.69147,2.6952
Bump_2911,2911419,2911419,127729899,1,2.47091,2.85311,2.63212,2.88198,2.86807,2.82621,2.92431,2.93899
CO,221119,221119,7666057,1,2.75423,2.68797,2.77041,2.7801,2.74785,2.62807,2.86629,2.79239
Chem97ZtZ,2541,2541,7361,1,2.05042,2.01671,2.08527,2.04472,1.97346,2.00545,2.0648,2.21384
Cube_Coup_dt0,2164760,2164760,127206144,1,2.60728,2.91729,2.82264,2.95454,2.89328,2.91351,2.99871,3.00792
Cube_Coup_dt6,2164760,2164760,127206144,1,2.58776,2.93297,2.7763,2.94808,2.92168,2.92058,3.00806,2.99178
CurlCurl_0,11083,11083,113343,1,2.85499,2.87782,2.68518,2.88584,2.68328,2.67189,2.73607,3.09845
CurlCurl_1,226451,226451,2472071,1,2.76489,2.87203,2.63198,2.87821,2.80357,2.77247,2.85774,2.96135
CurlCurl_2,806529,806529,8921789,1,2.31164,2.60721,2.42217,2.69362,2.6477,2.63172,2.77544,2.89369
CurlCurl_3,1219574,1219574,13544618,1,2.19599,2.62679,2.29951,2.66419,2.57675,2.62355,2.78892,2.85603
