matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.51416,2.64276,2.57077,2.30467,2.57324,2.71529,2.6013,2.37008
144,144649,144649,2148786,1,1.92908,1.9401,1.93706,1.94318,1.94078,1.94048,1.94208,1.92789
2cubes_sphere,101492,101492,1647264,1,2.3526,2.37325,2.51627,2.53734,2.38625,2.34439,2.40655,2.33888
333SP,3712815,3712815,22217266,1,1.43077,1.54832,1.34117,1.5463,1.57999,1.57759,1.62518,1.358
3dtube,45330,45330,3213618,1,2.41632,2.45925,2.44966,2.46486,2.44933,2.44421,2.45024,2.4554
3elt,4720,4720,27444,1,2.72194,2.46234,2.52034,2.5096,2.47511,2.49523,2.55389,2.41245
3elt_dual,9000,9000,26556,1,2.53435,2.30502,2.405,2.30432,2.28478,2.34232,2.39156,2.26192
494_bus,494,494,1666,1,2.00488,2.32659,2.36621,2.33,1.28741,2.37327,2.32848,2.32017
598a,110971,110971,1483868,1,1.92039,1.91894,1.88522,1.93953,1.93384,1.93547,1.90234,1.89102
662_bus,662,662,2474,1,2.62202,2.36627,2.64618,2.28855,2.10016,2.60307,2.44805,2.58912
685_bus,685,685,3249,1,2.55434,2.8351,2.82134,2.79618,2.45675,2.86508,2.78752,2.75805
ACTIVSg70K,69999,69999,238627,1,0.836731,0.778527,0.765101,0.780481,0.77992,0.837942,0.804166,0.790501
AS365,3799275,3799275,22736152,1,1.21672,1.27976,1.04959,1.27907,1.2918,1.29264,1.35566,0.732627
Alemdar,6245,6245,42581,1,2.85549,1.87544,1.92334,1.85344,1.64631,,1.98028,2.10526
Andrews,60000,60000,760154,1,1.81071,1.83095,1.82117,1.81752,1.82909,1.82951,1.88398,1.80206
BenElechi1,245874,245874,13150496,1,2.59084,2.603,2.59052,2.60355,2.59007,2.59409,2.59067,2.58859
Binaryalphadigs_10NN,1404,1404,19392,1,2.70367,2.53973,2.6579,2.59788,2.61595,2.53726,2.60629,2.59319
Bump_2911,2911419,2911419,127729899,1,2.41193,2.54412,2.43334,2.54221,2.54493,2.53555,2.5477,2.52934
CO,221119,221119,7666057,1,2.59747,2.69886,2.66359,2.66729,2.70734,2.66184,2.65043,2.68525
Chem97ZtZ,2541,2541,7361,1,2.00192,1.9023,2.01448,1.931,2.01557,1.72671,1.97029,2.40759
Cube_Coup_dt0,2164760,2164760,127206144,1,2.44146,2.51691,2.48411,2.52928,2.51851,2.52145,2.52883,2.53938
Cube_Coup_dt6,2164760,2164760,127206144,1,2.44567,2.51546,2.48237,2.52472,2.50955,2.51221,2.5267,2.5168
CurlCurl_0,11083,11083,113343,1,3.01986,3.11455,2.78888,3.11249,2.80938,2.76423,2.9248,3.38671
CurlCurl_1,226451,226451,2472071,1,2.691,2.92777,2.6032,2.90182,2.84658,2.86395,2.86168,3.00884
CurlCurl_2,806529,806529,8921789,1,2.62854,2.83108,2.55974,2.8335,2.81256,2.78442,2.80018,2.91963
CurlCurl_3,1219574,1219574,13544618,1,2.60933,2.82867,2.55973,2.80708,2.80138,2.77992,2.8011,2.88744
CurlCurl_4,2380515,2380515,26515867,1,2.24865,2.78152,2.34942,2.78021,2.75735,2.7316,2.79132,2.88489
Dubcova1,16129,16129,253009,1,3.20665,3.30534,3.18462,3.30219,3.28602,,3.30714,3.31031
Dubcova2,65025,65025,1030225,1,3.23292,3.31469,3.11955,3.31533,3.30845,3.27083,3.28832,3.28039
Dubcova3,146689,146689,3636649,1,2.84437,2.91327,2.77653,2.94872,2.94909,2.93591,2.85707,2.93584
EX1,560,560,8736,1,3.15952,3.2725,3.24224,3.25673,3.1953,3.27621,3.22718,3.29217
EX2,560,560,8736,1,3.24098,3.30653,3.28352,3.259,3.26694,3.30347,3.25914,3.22718
EX3,2600,2600,71760,1,3.02664,3.05226,3.11303,2.94915,3.05485,3.01481,3.09384,3.06522
EX4,2600,2600,71760,1,2.96971,3.05603,3.09704,3.06203,3.05849,2.9557,3.12496,3.05485
EX5,6545,6545,295680,1,2.62599,2.63288,2.66753,2.65629,2.62445,,2.68461,2.62043
EX6,6545,6545,295680,1,2.62781,2.65334,2.64605,2.62661,2.65265,,2.68045,2.65697
