matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.718731,0.68003,0.689281,0.698846,0.700597,0.692814,0.642777,0.712979
144,144649,144649,2148786,1,27.7105,35.7202,32.5315,35.7173,44.778,44.8809,48.3079,19.8919
2cubes_sphere,101492,101492,1647264,1,27.4771,40.3509,34.1451,44.4834,40.7663,38.7528,53.9317,32.0299
333SP,3712815,3712815,22217266,1,15.3056,29.7148,11.6685,37.5381,26.9009,36.2018,36.7429,8.7396
3dtube,45330,45330,3213618,1,68.5938,103.7,83.8659,100.611,92.7531,92.1283,111.119,98.2818
3elt,4720,4720,27444,1,4.23682,4.38613,4.07604,3.80955,4.50529,4.36173,4.09429,4.00146
3elt_dual,9000,9000,26556,1,3.90932,4.16728,3.5434,3.67608,3.83287,3.94738,4.27495,3.5505
494_bus,494,494,1666,1,0.297448,0.318243,0.287936,0.309925,0.294321,0.291973,0.299048,0.284228
598a,110971,110971,1483868,1,26.3034,30.3425,28.0467,27.3174,35.5286,31.394,41.479,16.3801
662_bus,662,662,2474,1,0.436254,0.424612,0.427178,0.429812,0.429439,0.44649,0.427584,0.415693
685_bus,685,685,3249,1,0.558152,0.558631,0.552927,0.544997,0.540913,0.555765,0.564405,0.544997
ACTIVSg70K,69999,69999,238627,1,10.506,18.3842,12.0744,20.0392,18.9469,19.4821,18.0771,14.5758
AS365,3799275,3799275,22736152,1,12.5701,29.8,11.0335,35.5761,25.7864,24.483,25.3004,5.99027
Alemdar,6245,6245,42581,1,6.18192,5.58806,5.51925,5.87,5.9272,,6.07129,4.95618
Andrews,60000,60000,760154,1,18.8776,20.3323,20.6952,21.2191,23.7463,22.0969,19.5767,15.6851
BenElechi1,245874,245874,13150496,1,132.564,148.249,147.724,142.232,140.481,149.099,150.751,155.807
Binaryalphadigs_10NN,1404,1404,19392,1,2.91719,2.81105,2.95025,3.08446,2.97995,2.9282,2.95948,2.92356
Bump_2911,2911419,2911419,127729899,1,13.5063,14.2872,13.77,14.4109,14.2922,14.3074,14.3574,14.3618
CO,221119,221119,7666057,1,54.0385,86.9863,69.668,78.5755,86.5239,65.8771,70.7012,77.8481
Chem97ZtZ,2541,2541,7361,1,1.29231,1.27884,1.25689,1.34804,1.25797,1.39005,1.32978,1.28218
Cube_Coup_dt0,2164760,2164760,127206144,1,14.317,14.7874,14.2766,14.7822,14.7525,14.6429,14.6736,14.702
Cube_Coup_dt6,2164760,2164760,127206144,1,14.3406,14.6838,14.2678,14.7092,14.6774,14.6802,14.6154,14.7633
CurlCurl_0,11083,11083,113343,1,12.0925,13.5319,11.4964,13.6541,13.4031,12.0283,14.9244,14.788
CurlCurl_1,226451,226451,2472071,1,23.3371,63.2729,31.8835,53.4629,62.1334,50.0217,75.4071,69.2476
CurlCurl_2,806529,806529,8921789,1,27.9839,91.1005,32.4749,69.0172,80.8701,73.6802,100.464,77.344
CurlCurl_3,1219574,1219574,13544618,1,18.13,75.0238,42.4657,73.5523,79.2064,67.6605,83.0454,85.1884
CurlCurl_4,2380515,2380515,26515867,1,13.416,35.8226,15.3028,31.0354,32.9067,29.6317,31.955,18.9661
Dubcova1,16129,16129,253009,1,24.0503,21.0964,22.4368,22.4269,22.7403,,31.3499,14.6176
Dubcova2,65025,65025,1030225,1,48.7323,45.1388,40.2518,39.231,49.8187,43.6351,70.8643,23.0909
Dubcova3,146689,146689,3636649,1,117.427,71.7394,78.7767,81.355,94.2528,75.0777,131.698,33.6797
EX1,560,560,8736,1,1.4496,1.40631,1.52301,1.34555,1.35927,1.32404,1.4484,1.34555
EX2,560,560,8736,1,1.36767,1.356,1.44588,1.33221,1.39955,1.36351,1.38392,1.3962
EX3,2600,2600,71760,1,10.0942,8.60845,8.39151,9.62704,9.75134,9.87207,9.30136,9.87885
EX4,2600,2600,71760,1,9.43651,10.0596,8.78766,10.1299,9.68553,9.69861,10.2317,10.0378
EX5,6545,6545,295680,1,25.9209,27.8667,27.5937,27.199,23.3011,,27.9194,26.104
EX6,6545,6545,295680,1,26.5983,27.1865,24.7472,25.1044,27.1241,,27.0868,28.0784
Ecoli_10NN,336,336,4560,1,0.78675,0.770076,0.767483,0.804161,0.733473,0.783371,0.792217,0.78196
Emilia_923,923136,923136,41005206,1,15.5825,18.758,18.5654,21.1017,20.1368,18.8736,19.774,21.3762
Erdos02,6927,6927,16944,1,2.43676,2.40562,1.98838,1.95061,2.33099,1.74339,1.96635,1.75795
Erdos971,472,472,2628,1,,0.443469,0.425449,0.462595,0.452635,0.429306,0.436436,0.470083
Erdos972,5488,5488,14170,1,1.90227,2.14129,1.73737,1.99619,2.0349,1.80165,2.11414,1.63315
Erdos981,485,485,2762,1,,0.457171,0.460986,0.45793,0.453382,0.465257,0.457512,0.461757
Erdos982,5822,5822,14750,1,2.12889,2.21555,1.6729,1.95377,2.13196,1.72686,2.12889,1.79539
Erdos991,492,492,2834,1,0.491928,0.499296,0.484735,0.475384,0.457687,0.476583,0.481073,0.497542
Erdos992,6100,6100,15030,1,2.0424,2.157,1.80302,2.16946,2.15221,1.57903,2.15222,1.61214
F1,343791,343791,26837113,1,48.7549,57.954,52.1803,59.8644,57.6695,36.7005,24.3936,28.0274
F2,71505,71505,5294285,1,71.1947,69.7525,91.5943,71.0228,93.9978,75.6656,103.055,40.5393
Fashion_MNIST_norm_10NN,10000,10000,158304,1,14.9266,14.0946,12.799,14.752,15.1415,15.04,13.2052,12.8504
Fault_639,638802,638802,28614564,1,34.8289,42.7371,35.607,55.3725,47.3624,51.1608,36.1914,36.6768
Flan_1565,1564794,1564794,117406044,1,14.8268,15.0214,14.8456,15.124,14.944,15.0187,14.9813,14.9777
G1,800,800,38352,1,5.72205,5.41427,5.87544,5.29066,5.58782,5.74304,6.46037,6.73315
G10,800,800,38352,1,5.62924,5.7951,5.74347,5.96687,5.67926,5.52344,5.70884,5.8215
G11,800,800,3200,1,0.577566,0.595294,0.565771,0.598131,0.541318,0.54547,0.613027,0.580709
G12,800,800,3200,1,0.545052,0.563778,0.544125,0.585491,0.507775,0.546915,0.503779,0.444506
G13,800,800,3200,1,0.542235,0.569344,0.519311,0.60606,0.523602,0.55068,0.550206,0.568283
G14,800,800,9388,1,1.42501,1.55908,1.48733,1.48969,1.20128,1.46756,1.54116,1.47564
G15,800,800,9322,1,1.49823,1.57161,1.54799,1.51037,1.51405,1.49703,1.43914,1.38145
G16,800,800,9344,1,1.43588,1.57399,1.49576,1.51886,1.43368,1.43588,1.56477,1.53382
G17,800,800,9334,1,1.50877,1.44545,1.4882,1.45118,1.50379,1.505,1.50877,1.53469
G18,800,800,9388,1,1.48486,1.50763,1.59484,1.56037,1.48733,1.5016,1.51615,1.4663
G19,800,800,9322,1,1.1982,1.57161,1.42484,1.56239,1.49703,1.50915,1.54812,1.42364
G2,800,800,38352,1,4.86083,5.64581,5.69613,5.64124,5.60865,5.55544,6.05638,4.6063
