matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.30997,1.81387,4.74153,1.85538,2.50247,2.62394,2.76724,2.01191
144,144649,144649,2148786,1,7.55321,8.07415,8.27884,8.36032,8.6554,8.90074,8.9768,6.36183
2cubes_sphere,101492,101492,1647264,1,8.8171,9.50686,9.55487,9.87089,9.95982,9.834,10.943,8.96368
333SP,3712815,3712815,22217266,1,3.3456,3.72943,2.85146,3.70227,3.58692,3.00357,4.34338,2.36573
3dtube,45330,45330,3213618,1,10.0193,10.4092,9.90772,11.4645,10.1838,10.6692,11.1351,9.85853
3elt,4720,4720,27444,1,5.14897,6.01842,4.93154,4.95827,5.41836,6.18108,6.41965,5.00803
3elt_dual,9000,9000,26556,1,3.9844,4.91323,3.76948,5.63224,5.24822,4.41093,5.8173,4.56681
494_bus,494,494,1666,1,1.41186,1.19,1.12188,2.80001,1.33227,1.16098,1.57915,1.30666
598a,110971,110971,1483868,1,7.62559,7.29204,7.69438,8.07543,8.08707,8.38765,8.62208,5.8028
662_bus,662,662,2474,1,1.13227,1.67163,1.88137,1.83941,1.86717,1.72404,1.91783,1.77986
685_bus,685,685,3249,1,2.04983,2.18054,4.5125,2.29611,4.39053,2.1588,2.26412,2.33741
ACTIVSg70K,69999,69999,238627,1,2.76892,3.06185,2.57541,3.08421,3.05343,3.11075,3.10569,2.96632
AS365,3799275,3799275,22736152,1,2.67946,3.73182,2.49431,3.50176,3.8651,3.82979,3.70036,1.50234
Alemdar,6245,6245,42581,1,6.06136,5.13643,4.60833,5.08399,6.63256,,7.87809,5.80518
Andrews,60000,60000,760154,1,7.01375,6.81016,6.87639,7.38368,6.68115,6.74727,7.9104,7.1587
BenElechi1,245874,245874,13150496,1,6.37917,5.30594,5.95032,6.13255,5.97412,6.06179,6.32365,4.09445
Binaryalphadigs_10NN,1404,1404,19392,1,8.95702,6.50738,5.6868,6.12702,9.52925,6.14643,6.01303,5.74578
Bump_2911,2911419,2911419,127729899,1,5.4863,5.73942,5.31363,5.92079,5.78276,5.7696,5.86588,6.05747
CO,221119,221119,7666057,1,6.61325,4.17145,6.65165,6.67505,6.64353,4.08198,6.46972,6.99509
Chem97ZtZ,2541,2541,7361,1,4.50211,4.23046,4.07812,4.51594,4.1943,4.15876,4.1824,3.51361
Cube_Coup_dt0,2164760,2164760,127206144,1,5.44801,6.10725,5.80691,5.98784,4.72793,5.93785,5.95497,6.23688
Cube_Coup_dt6,2164760,2164760,127206144,1,5.1549,5.66352,4.78523,5.99024,5.75689,5.99014,6.1935,5.94356
CurlCurl_0,11083,11083,113343,1,7.81137,8.08438,7.74968,8.5413,8.76589,7.65831,9.74574,10.4027
CurlCurl_1,226451,226451,2472071,1,8.22428,11.7638,9.4122,11.5979,11.0508,11.2921,11.1947,12.4637
CurlCurl_2,806529,806529,8921789,1,3.66793,4.0353,5.44176,5.50808,4.82799,4.81415,4.96799,5.34058
CurlCurl_3,1219574,1219574,13544618,1,4.167,4.52175,4.99206,5.03222,4.19116,5.16978,4.84452,5.00389
CurlCurl_4,2380515,2380515,26515867,1,3.72349,4.93041,4.08823,4.91683,4.60815,4.84393,4.97428,5.01862
Dubcova1,16129,16129,253009,1,10.4722,10.7366,10.2265,9.56918,10.9433,,11.646,7.44692
Dubcova2,65025,65025,1030225,1,12.6734,12.0254,11.1926,12.2711,13.3249,12.6206,13.8062,8.89156
Dubcova3,146689,146689,3636649,1,11.6772,11.3698,10.6955,11.9388,8.64128,12.0312,12.2654,7.85653
EX1,560,560,8736,1,4.96365,4.2305,8.20284,5.12374,5.15398,5.37435,4.57379,8.35979
EX2,560,560,8736,1,5.47709,4.96365,7.90588,5.44298,4.24077,5.54665,5.21553,5.03513
EX3,2600,2600,71760,1,10.8399,9.54891,11.6588,11.8416,8.73524,9.79659,8.14483,10.7104
EX4,2600,2600,71760,1,9.54254,9.47952,9.54255,11.7543,11.2653,8.79951,10.8399,10.0286
EX5,6545,6545,295680,1,11.2189,11.3177,11.4849,11.5703,12.1203,,11.2552,11.0041
EX6,6545,6545,295680,1,10.6628,11.0473,11.4691,11.414,10.7247,,11.3612,11.5385
Ecoli_10NN,336,336,4560,1,2.94191,3.32846,5.88388,3.60475,3.0604,3.54864,6.08007,6.37768
Emilia_923,923136,923136,41005206,1,5.4818,5.73056,4.83035,4.47561,4.91973,5.03932,5.9955,4.9954
Erdos02,6927,6927,16944,1,3.25846,4.12263,2.26676,2.62494,2.89394,2.72193,2.64522,2.88163
Erdos971,472,472,2628,1,,2.1541,2.14531,2.11084,2.18092,2.02154,2.07747,2.1719
Erdos972,5488,5488,14170,1,2.89184,2.68881,2.47944,4.81155,3.08044,3.30303,3.52926,3.35345
Erdos981,485,485,2762,1,,2.2008,2.37082,4.21677,2.44425,2.10037,2.1748,2.54561
Erdos982,5822,5822,14750,1,2.48946,2.94382,2.78828,3.00714,2.41605,3.35609,2.60832,2.5519
Erdos991,492,492,2834,1,2.16335,2.13082,3.75366,4.29397,2.22275,2.03153,1.78802,2.30406
Erdos992,6100,6100,15030,1,2.77051,3.07677,2.97624,2.97919,2.505,2.28229,3.13125,3.3363
F1,343791,343791,26837113,1,5.59018,5.73591,6.04863,5.9845,4.92474,5.93878,6.16957,4.94006
F2,71505,71505,5294285,1,7.23179,8.17927,7.76499,8.20026,8.24138,8.53848,8.34806,6.99901
Fashion_MNIST_norm_10NN,10000,10000,158304,1,7.17281,7.95098,7.6529,7.72969,7.83877,7.4707,8.48565,8.26006
Fault_639,638802,638802,28614564,1,5.73233,5.94264,5.84972,6.01805,6.04492,6.03525,6.00256,5.92682
Flan_1565,1564794,1564794,117406044,1,5.79085,5.23429,5.7364,6.05511,5.65482,6.16785,5.42107,5.59069
G1,800,800,38352,1,9.19713,8.79633,8.3738,9.63618,8.26551,9.4,8.91906,9.75876
G10,800,800,38352,1,8.89837,8.57028,9.69709,10.9577,9.4,9.3885,8.76616,9.36558
G11,800,800,3200,1,1.80791,2.74679,2.61226,2.90909,2.30216,2.41417,2.85714,2.57027
G12,800,800,3200,1,2.38806,2.45211,1.86047,2.90909,2.35294,3.01887,2.89593,1.87683
G13,800,800,3200,1,2.52965,2.08469,1.87135,2.05128,1.98142,2.49027,2.94933,4.50703
G14,800,800,9388,1,4.61327,4.37668,4.90234,4.94105,5.41095,4.3463,4.7776,4.04656
G15,800,800,9322,1,4.49253,4.90632,4.74401,7.48757,3.95838,4.2181,4.90632,3.77407
G16,800,800,9344,1,5.57851,4.94391,3.57323,5.66304,5.27909,5.10602,4.21853,3.9426
G17,800,800,9334,1,4.30139,4.86147,5.79751,4.87414,4.78667,4.55317,4.49721,4.95173
G18,800,800,9388,1,5.86748,7.05864,4.98038,7.66366,4.37669,6.75393,6.01797,4.98038
G19,800,800,9322,1,5.6497,4.98502,5.66687,5.45145,5.01183,6.34147,4.72,3.85207
G2,800,800,38352,1,8.75617,9.4,8.55975,8.48496,9.44514,8.77621,8.64757,9.70936
G20,800,800,9344,1,4.24727,7.75435,4.94391,5.62891,5.03719,4.672,6.25014,4.98347
G21,800,800,9334,1,4.71414,5.21453,4.91263,5.03181,8.04656,5.94523,6.02195,4.02328
G22,2000,2000,39980,1,8.10131,8.03618,8.20103,8.23481,8.11777,9.15922,8.93408,8.14257
G23,2000,2000,39980,1,7.47989,7.97209,8.91415,8.69131,8.63499,9.24394,8.56103,10.82
G24,2000,2000,39980,1,7.91684,7.2101,8.33785,10.6899,8.09312,8.47932,9.94525,8.71025
G25,2000,2000,39980,1,8.39915,8.55187,9.70387,8.56103,8.25181,9.55317,8.05235,8.46136
G26,2000,2000,39980,1,9.78703,8.48832,8.66305,8.58862,8.14257,8.76755,8.63499,10.4523
G27,2000,2000,39980,1,8.41683,8.91417,8.30321,8.20944,8.74741,8.52452,9.49644,9.82191
G28,2000,2000,39980,1,7.77067,8.47034,8.72925,10.8627,9.41814,8.93408,10.8054,10.7185
G29,2000,2000,39980,1,8.80617,8.62567,8.39034,7.86234,8.46944,8.55187,7.85462,9.41815
G2_circuit,150102,150102,726674,1,5.82572,7.51702,5.5887,8.97622,9.74813,9.55949,10.0092,9.59426
G3,800,800,38352,1,8.3738,9.41155,10.6979,8.58949,7.99,9.69709,9.05596,8.60876
G30,2000,2000,39980,1,10.0579,7.54339,8.63499,8.15918,8.79648,8.2946,9.34113,10.8937
G31,2000,2000,39980,1,7.91684,8.31184,10.9534,8.10132,10.8641,8.66305,10.8347,8.26886
G32,2000,2000,8000,1,3.84617,4.43214,3.71231,5.35118,3.47071,3.44087,7.40741,3.77357
G33,2000,2000,8000,1,3.92158,4.4818,3.27869,7.33942,4.79042,3.74707,4.4818,4.5977
G34,2000,2000,8000,1,3.50109,3.38267,3.00752,3.0888,2.90381,3.61991,4.81928,4.26667
G35,2000,2000,23556,1,5.67614,6.73992,5.8597,5.83069,6.07114,6.48925,5.14323,5.25217
G36,2000,2000,23532,1,5.44722,6.65686,5.09351,6.09638,5.98779,5.97258,5.89037,4.50374
G37,2000,2000,23570,1,5.20883,7.33012,6.02043,8.46318,5.33802,5.96709,5.29069,4.48483
G38,2000,2000,23558,1,5.80246,6.58964,5.46589,8.58215,5.9191,5.54306,5.31184,4.74961
G39,2000,2000,23556,1,5.61526,6.24,5.50953,6.8968,5.2757,6.10258,5.44647,4.6971
G3_circuit,1585478,1585478,7660826,1,2.75519,4.92093,2.54289,4.65967,4.59734,4.61058,4.77212,3.86096
G4,800,800,38352,1,8.83687,8.96074,9.72167,8.71637,8.99226,9.54029,9.6483,8.66711
G40,2000,2000,23532,1,5.61623,5.98018,6.2585,5.81755,6.33347,5.64316,5.89035,4.41502
G41,2000,2000,23570,1,5.74177,6.37027,5.31994,6.10543,5.45602,5.5853,5.31456,4.44298
G42,2000,2000,23558,1,5.79532,6.64542,5.47861,6.2571,5.83842,7.12798,4.86233,4.34249
G43,1000,1000,19980,1,8.02412,7.08512,7.30531,7.48315,7.69942,7.30529,7.85069,8.04024
G44,1000,1000,19980,1,9.53701,7.16128,6.94957,7.26546,7.97605,7.85069,9.99,10.4607
G45,1000,1000,19980,1,9.31464,7.51127,7.65517,10.3523,7.77431,10.3256,7.41373,10.3256
G46,1000,1000,19980,1,7.64051,9.72259,6.86597,7.42751,7.77432,7.38631,7.53965,7.60998
G47,1000,1000,19980,1,8.08907,6.57236,7.75923,8.4661,10.22,7.92858,10.4334,10.3792
G48,3000,3000,12000,1,,3.98671,3.92799,7.52352,7.18563,4.40366,5.67379,5.70069
G49,3000,3000,12000,1,,7.12165,3.66412,3.92799,3.99933,4.27808,5.34522,8.02673
G5,800,800,38352,1,8.34646,8.55117,9.63618,9.67263,9.27497,9.58801,9.78365,9.45797
G50,3000,3000,12000,1,5.1836,4.38757,5.32151,3.61446,3.86473,4.28572,5.85366,5.60746
G51,1000,1000,11818,1,4.81386,5.76487,4.56293,5.11602,6.06051,5.20617,4.04726,5.10495
G52,1000,1000,11832,1,5.03489,5.25866,5.09999,7.86182,8.02169,4.87918,4.60389,4.33405
G53,1000,1000,11828,1,4.9181,5.07639,5.03318,5.63238,5.60569,4.63844,5.08731,4.00271
G54,1000,1000,11832,1,5.82859,5.15556,4.46491,4.85914,8.10413,5.14436,4.81956,3.72662
G55,5000,5000,24996,1,4.2438,4.46357,4.2474,4.15561,3.93328,5.07018,4.23302,4.70735
G56,5000,5000,24996,1,4.38143,4.62034,6.70134,3.9457,4.37758,4.84888,4.3623,4.62034
G57,5000,5000,20000,1,8.28155,5.34759,4.95663,5.83091,4.90737,5.48697,6.31813,9.19539
G58,5000,5000,59140,1,2.75512,6.96584,6.15721,7.27429,6.68248,6.33869,6.04086,4.64937
