matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,2.67238,2.755,2.80749,1.66591,2.72904,2.84292,2.69548,2.51879
144,144649,144649,2148786,1,25.3721,25.2666,24.9567,25.595,21.1578,26.6247,25.7964,20.4618
2cubes_sphere,101492,101492,1647264,1,27.6058,29.1502,28.9942,29.4065,28.9769,29.5434,28.5147,27.9781
333SP,3712815,3712815,22217266,1,5.07974,4.9305,4.55525,4.65154,5.58064,5.66239,4.83378,4.42012
3dtube,45330,45330,3213618,1,18.1698,25.5343,24.0592,25.494,26.2115,26.4567,26.5873,21.8874
3elt,4720,4720,27444,1,11.6585,9.98508,7.522,7.7025,12.1487,12.4434,7.78995,7.82215
3elt_dual,9000,9000,26556,1,9.58701,7.5123,10.6309,7.65634,9.80832,11.4269,7.31873,7.22514
494_bus,494,494,1666,1,1.15855,1.20856,1.11364,1.00878,1.17036,1.12226,1.17035,1.16463
598a,110971,110971,1483868,1,23.4535,24.9942,24.244,24.0511,25.1196,25.4859,25.8298,9.2505
662_bus,662,662,2474,1,1.57379,1.74102,1.59048,1.56336,1.71449,1.64167,1.52763,1.61541
685_bus,685,685,3249,1,2.16528,2.16891,2.05959,2.15451,2.22611,2.33824,2.24533,1.43443
ACTIVSg70K,69999,69999,238627,1,10.0793,9.97459,10.085,10.4643,10.3087,10.5466,10.3571,10.3925
AS365,3799275,3799275,22736152,1,5.03918,4.91437,4.74414,4.86213,4.72677,4.35478,5.12509,4.72682
Alemdar,6245,6245,42581,1,8.76513,8.77415,8.29635,8.90442,9.51957,,8.75432,10.6413
Andrews,60000,60000,760154,1,22.5381,22.6021,22.3348,23.4286,23.1328,21.7853,23.9554,22.5927
BenElechi1,245874,245874,13150496,1,5.17131,4.46599,4.50621,5.36755,5.09437,5.13028,5.08056,5.09883
Binaryalphadigs_10NN,1404,1404,19392,1,9.53859,7.43419,9.46875,7.61364,9.77179,9.36136,10.0321,8.96534
Bump_2911,2911419,2911419,127729899,1,5.69227,5.84076,5.30552,4.63666,5.47171,4.54335,4.58893,4.83603
CO,221119,221119,7666057,1,5.8051,5.65609,6.31699,6.45558,4.98271,6.55192,6.64873,6.90563
Chem97ZtZ,2541,2541,7361,1,4.58628,4.00815,4.42235,4.25616,4.60206,4.80169,4.33765,2.70427
Cube_Coup_dt0,2164760,2164760,127206144,1,4.95146,4.45302,4.90149,5.11042,5.63191,4.46597,4.67518,5.12945
Cube_Coup_dt6,2164760,2164760,127206144,1,4.45585,5.41259,5.21068,5.75003,5.13128,4.88403,5.91523,5.19287
CurlCurl_0,11083,11083,113343,1,14.8627,22.5805,22.2285,22.9277,22.8606,22.3336,23.2881,24.8859
CurlCurl_1,226451,226451,2472071,1,24.3161,32.1338,13.9042,27.8151,31.1048,32.7251,32.5001,30.8577
CurlCurl_2,806529,806529,8921789,1,4.74292,5.83877,5.59873,4.77708,4.83889,4.80384,4.85208,4.74789
CurlCurl_3,1219574,1219574,13544618,1,5.24751,5.10763,5.57083,5.62556,4.71745,5.99925,5.809,5.03393
CurlCurl_4,2380515,2380515,26515867,1,4.74494,4.87376,5.11083,4.99357,5.47265,4.82905,5.03294,5.11005
Dubcova1,16129,16129,253009,1,23.1513,27.7666,27.6997,28.5773,30.2987,,31.255,18.5742
Dubcova2,65025,65025,1030225,1,31.4462,32.9963,32.5084,33.6147,34.9205,35.1919,35.4285,19.2692
Dubcova3,146689,146689,3636649,1,14.9566,19.572,19.379,19.7915,20.5261,20.3374,20.2965,10.5533
EX1,560,560,8736,1,4.86143,4.6779,4.75299,4.55948,4.75949,4.46625,4.64064,4.44467
EX2,560,560,8736,1,4.41994,4.49267,4.58702,4.72346,4.86415,4.5595,4.69551,4.77118
EX3,2600,2600,71760,1,14.1329,11.2795,11.2653,11.2327,11.4022,11.2143,10.9083,11.2476
EX4,2600,2600,71760,1,11.1135,13.555,11.2529,10.6706,11.5528,11.2169,11.2283,11.4404
EX5,6545,6545,295680,1,27.0361,27.4694,27.8589,27.577,27.219,,28.2461,27.7023
EX6,6545,6545,295680,1,27.0856,27.6492,27.4159,27.4872,27.6104,,28.454,27.7504
Ecoli_10NN,336,336,4560,1,2.68552,2.85,2.75779,2.64578,2.75361,2.35051,2.8323,2.93436
Emilia_923,923136,923136,41005206,1,5.45966,5.21001,4.40991,5.32503,4.4082,5.08662,5.25263,5.44703
Erdos02,6927,6927,16944,1,4.1433,4.80886,3.08129,5.07533,5.70217,3.47891,2.6128,2.85734
Erdos971,472,472,2628,1,,1.68894,1.62977,1.62876,1.63688,1.82373,1.79938,1.67655
