matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,5.12564,4.88478,4.82656,4.97125,4.82589,4.83527,5.4823,4.96204
144,144649,144649,2148786,1,13.0004,13.5011,13.2081,13.3532,13.4442,13.4562,13.1129,12.4932
2cubes_sphere,101492,101492,1647264,1,16.0902,16.3369,16.6674,16.305,16.4233,16.0482,16.6791,16.0281
333SP,3712815,3712815,22217266,1,4.41273,4.98036,4.22145,4.82366,4.81384,4.95793,4.7545,4.36031
3dtube,45330,45330,3213618,1,11.4212,11.7125,11.597,11.7467,11.9914,12.0436,11.8861,11.6733
3elt,4720,4720,27444,1,12.7587,12.4547,12.1755,13.0065,12.5548,12.5863,12.5435,12.5002
3elt_dual,9000,9000,26556,1,11.8078,11.6754,11.2788,10.924,11.3029,10.8989,11.8711,11.2933
494_bus,494,494,1666,1,2.57296,2.37327,2.56881,2.51641,2.67392,2.40923,2.79782,2.19795
598a,110971,110971,1483868,1,13.1926,13.2095,13.1949,13.3573,13.5501,13.3379,13.2598,11.3795
662_bus,662,662,2474,1,3.61174,3.27047,3.55733,3.42435,3.13768,3.7205,2.92278,3.47986
685_bus,685,685,3249,1,3.29345,4.27785,4.41803,4.19238,3.9643,4.22219,4.17607,3.8908
ACTIVSg70K,69999,69999,238627,1,5.26928,5.44562,5.3199,5.20628,5.51096,5.28872,5.18382,5.6407
AS365,3799275,3799275,22736152,1,4.41765,4.78227,4.30368,4.98234,4.81141,4.94649,5.27074,2.7657
Alemdar,6245,6245,42581,1,13.9314,9.76866,12.7909,12.1728,13.197,,12.3462,12.3838
Andrews,60000,60000,760154,1,12.4551,12.6378,12.5657,12.761,12.8201,12.6776,12.9416,12.2444
BenElechi1,245874,245874,13150496,1,7.52261,7.44352,7.38359,7.24183,7.11309,6.74762,6.55644,6.80171
Binaryalphadigs_10NN,1404,1404,19392,1,13.0586,13.1111,13.3925,13.9115,13.5703,12.8889,13.6605,13.4206
Bump_2911,2911419,2911419,127729899,1,6.34066,6.81947,6.43038,6.66362,7.24987,6.71478,6.68672,6.23455
CO,221119,221119,7666057,1,7.6798,8.2906,7.90978,7.53167,7.69736,7.45114,7.87859,8.20034
Chem97ZtZ,2541,2541,7361,1,6.88261,6.84091,6.8313,6.9507,7.17062,7.11174,6.87288,4.80001
Cube_Coup_dt0,2164760,2164760,127206144,1,6.32091,6.3042,7.21646,6.79736,6.48354,6.62524,6.68767,7.12001
Cube_Coup_dt6,2164760,2164760,127206144,1,6.71198,6.40352,7.11164,6.63835,6.44748,6.68629,6.52433,6.32875
CurlCurl_0,11083,11083,113343,1,17.2991,18.8184,17.6219,19.1069,18.271,17.9101,18.6662,20.4535
CurlCurl_1,226451,226451,2472071,1,13.8389,14.2564,13.1446,14.1214,13.593,11.7943,12.878,13.2629
CurlCurl_2,806529,806529,8921789,1,6.39862,6.50178,6.76207,6.66578,6.40082,6.47245,6.51164,6.36017
CurlCurl_3,1219574,1219574,13544618,1,6.48087,6.71205,6.45406,5.9897,6.16678,6.22632,6.30215,5.94074
CurlCurl_4,2380515,2380515,26515867,1,5.82126,5.70444,5.79122,5.72108,5.59419,5.60321,5.98763,5.58317
Dubcova1,16129,16129,253009,1,19.8961,20.6134,20.4875,20.9905,21.5237,,21.7906,13.7797
Dubcova2,65025,65025,1030225,1,21.2415,21.5887,20.8326,21.9704,22.5516,22.3634,22.6942,13.9081
Dubcova3,146689,146689,3636649,1,9.94938,9.97628,9.81231,9.73597,10.1179,9.64552,9.61355,7.23364
EX1,560,560,8736,1,8.99672,9.3943,9.43327,9.01943,9.23931,9.6529,9.19065,9.58509
EX2,560,560,8736,1,8.77988,9.65787,10.3821,9.66907,9.31269,9.5631,9.40843,7.90995
EX3,2600,2600,71760,1,18.379,18.4092,18.4092,17.9964,18.5376,18.1186,18.6877,18.1651
EX4,2600,2600,71760,1,18.1667,18.236,18.4522,18.3462,18.1351,17.9739,17.9671,18.2614
EX5,6545,6545,295680,1,17.4996,17.6811,17.5369,17.5932,17.5676,,18.0348,17.4432
EX6,6545,6545,295680,1,17.6409,17.6231,17.6483,17.5984,17.7847,,17.8481,17.7096
Ecoli_10NN,336,336,4560,1,6.10411,5.86116,6.04384,5.82368,6.54143,4.10072,5.58138,4.14542
Emilia_923,923136,923136,41005206,1,6.55192,6.52466,6.69779,6.53757,6.62071,6.78263,6.94394,6.65139
Erdos02,6927,6927,16944,1,4.26489,7.49744,3.57322,7.50905,8.37348,4.89286,3.89655,3.70115
Erdos971,472,472,2628,1,,3.44226,3.00671,3.57528,3.87609,3.27925,2.96446,3.44016
Erdos972,5488,5488,14170,1,3.86791,7.95864,3.90201,7.7647,8.04863,4.95378,5.8039,3.69878
Erdos981,485,485,2762,1,,3.99687,3.50294,3.30161,2.87406,2.61322,3.4565,2.92437
Erdos982,5822,5822,14750,1,4.30782,7.43641,5.52125,7.51002,8.44058,5.05916,5.29733,3.62678
Erdos991,492,492,2834,1,3.3166,3.67788,3.16648,4.26786,4.32012,3.29372,3.60543,2.93973
Erdos992,6100,6100,15030,1,4.46257,6.643,4.74797,7.48315,8.26072,5.47945,5.21981,3.61958
F1,343791,343791,26837113,1,6.69253,6.85702,7.03031,6.93639,6.9712,6.57489,6.96318,5.9471
F2,71505,71505,5294285,1,7.71367,8.99823,8.69781,8.50675,8.42339,8.85931,8.73063,8.04171
Fashion_MNIST_norm_10NN,10000,10000,158304,1,13.4503,14.016,14.5467,14.6442,14.2482,14.227,14.2048,13.9721
Fault_639,638802,638802,28614564,1,6.98686,6.835,7.35272,6.65583,6.45034,7.06212,6.86767,6.91947
Flan_1565,1564794,1564794,117406044,1,6.9517,6.55182,6.86649,6.60983,6.45107,6.61794,6.9202,6.97627
G1,800,800,38352,1,13.4192,14.3055,14.2043,14.5712,14.0253,14.2203,14.5487,14.2547
G10,800,800,38352,1,13.0363,14.3235,14.4752,14.1415,14.2074,14.3936,14.4943,14.2838
G11,800,800,3200,1,4.62757,4.42281,4.16924,4.7157,4.07952,3.75619,4.55473,4.68515
G12,800,800,3200,1,4.12358,4.3363,4.27493,4.77633,4.37147,3.2888,4.62135,4.0453
G13,800,800,3200,1,4.13724,4.05544,3.96535,3.64221,4.50103,4.36314,3.95565,4.44786
G14,800,800,9388,1,6.49503,8.51106,6.16202,7.90611,8.93247,8.70397,5.73681,5.70192
G15,800,800,9322,1,6.57649,8.36034,6.03932,9.12644,7.29151,7.50894,7.30282,5.36518
G16,800,800,9344,1,7.16007,9.32547,6.45264,9.23747,7.49854,7.26308,7.18764,5.57701
G17,800,800,9334,1,7.02334,8.36325,6.89351,8.46211,9.52917,8.17397,6.96296,5.35201
G18,800,800,9388,1,6.9796,8.73319,6.55362,4.65307,9.0885,8.58536,7.4655,5.54357
G19,800,800,9322,1,6.37594,9.04193,6.38712,8.37959,9.11709,7.37207,4.33684,5.42773
G2,800,800,38352,1,13.3054,14.0355,14.2123,14.4727,14.2999,14.4043,14.5796,14.4479
G20,800,800,9344,1,5.57507,9.35373,6.59418,9.03267,8.50258,7.98333,7.5175,5.26738
G21,800,800,9334,1,4.72611,8.26071,6.66709,5.50374,9.17374,8.34931,6.99149,5.47256
G22,2000,2000,39980,1,14.6801,15.6758,15.448,15.8341,15.7897,14.4151,15.7462,15.0526
G23,2000,2000,39980,1,14.6606,15.5989,15.8714,15.5228,14.6556,15.4961,17.1997,15.7397
