matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,1,0.990594,1.00272,0.953098,0.983384,1.03353,1.05367,1.00409,0.969161
144,144649,144649,2148786,1,24.9464,29.3186,27.6052,28.2358,31.7938,33.3383,42.2341,14.9214
2cubes_sphere,101492,101492,1647264,1,26.4814,35.4064,28.733,37.9742,39.2523,31.9953,48.5847,27.683
333SP,3712815,3712815,22217266,1,11.0744,21.0153,10.8578,26.4854,25.3511,30.3682,23.2286,8.03078
3dtube,45330,45330,3213618,1,49.2354,65.915,57.938,61.2631,60.9777,59.6562,70.1617,64.9078
3elt,4720,4720,27444,1,5.55603,5.68847,5.16301,5.74804,5.88422,5.71869,5.96738,5.47293
3elt_dual,9000,9000,26556,1,4.85884,5.39263,4.3956,5.20757,5.09712,5.17157,5.04339,5.19738
494_bus,494,494,1666,1,0.408034,0.421451,0.409034,0.433572,0.399664,0.400674,0.425271,0.370346
598a,110971,110971,1483868,1,25.7009,22.5199,26.118,23.717,29.5051,30.0682,38.0625,12.0668
662_bus,662,662,2474,1,0.611924,0.655885,0.571561,0.648067,0.600049,0.580957,0.618887,0.617343
685_bus,685,685,3249,1,0.800737,0.830415,0.81582,0.807606,0.733657,0.796714,0.820974,0.820869
ACTIVSg70K,69999,69999,238627,1,10.2437,15.5665,11.0009,17.5313,17.1403,18.0157,20.1841,13.5745
AS365,3799275,3799275,22736152,1,10.3409,23.6793,10.33,21.8478,30.9475,31.2163,20.7591,6.07483
Alemdar,6245,6245,42581,1,7.63647,6.6512,5.65523,7.17273,7.60239,,7.79087,5.84582
Andrews,60000,60000,760154,1,16.6454,16.8993,16.841,17.5541,20.1646,19.3419,17.2941,13.9903
BenElechi1,245874,245874,13150496,1,70.1414,79.8103,80.1073,79.6023,50.1372,79.2609,79.4983,83.2818
Binaryalphadigs_10NN,1404,1404,19392,1,3.78048,3.87879,4.062,3.74002,4.08338,3.69371,3.94186,3.87066
Bump_2911,2911419,2911419,127729899,1,14.1482,14.8608,14.0354,15.0902,14.7304,14.9482,14.9145,14.9824
CO,221119,221119,7666057,1,34.1804,56.2038,42.9414,58.9447,52.3398,49.8391,56.5339,60.7607
Chem97ZtZ,2541,2541,7361,1,1.9435,1.91071,1.81618,1.86473,1.88141,1.89595,1.89839,1.2452
Cube_Coup_dt0,2164760,2164760,127206144,1,14.5181,15.0045,14.8151,15.4136,15.3298,15.3428,15.2646,15.2053
Cube_Coup_dt6,2164760,2164760,127206144,1,14.3542,15.0324,14.6584,14.836,15.221,15.3239,15.3568,15.367
CurlCurl_0,11083,11083,113343,1,10.6973,16.1262,12.8696,16.4899,14.4386,14.3563,16.2896,16.5031
CurlCurl_1,226451,226451,2472071,1,23.6424,49.0228,27.9013,51.5686,45.6616,45.3966,66.1035,64.2697
CurlCurl_2,806529,806529,8921789,1,21.7534,58.4926,34.4352,60.7555,57.475,50.0471,72.3719,77.6442
CurlCurl_3,1219574,1219574,13544618,1,14.9126,55.8421,35.8987,54.2195,57.305,56.1495,55.3971,72.9313
CurlCurl_4,2380515,2380515,26515867,1,10.0636,18.4774,13.3805,20.537,23.8816,19.3752,22.4187,15.4538
Dubcova1,16129,16129,253009,1,23.1991,20.1858,20.6142,22.2289,26.4142,,33.4447,15.2765
Dubcova2,65025,65025,1030225,1,52.3541,43.4227,38.3818,41.0317,48.6288,42.5511,67.0959,19.1229
Dubcova3,146689,146689,3636649,1,73.1485,60.1233,56.1818,62.0292,66.3247,66.4829,77.7394,24.4314
EX1,560,560,8736,1,1.89132,1.82228,1.94198,1.74371,1.93317,1.98613,1.81282,2.01383
EX2,560,560,8736,1,1.88114,1.91621,1.93531,1.95283,1.94198,1.95283,1.99521,2.08596
EX3,2600,2600,71760,1,11.524,11.0783,11.9471,11.395,11.3598,10.9265,11.8778,13.058
EX4,2600,2600,71760,1,10.1442,10.778,10.5475,12.1186,11.2609,10.095,11.0442,12.0372
EX5,6545,6545,295680,1,24.7887,27.7621,26.5637,29.6882,24.5215,,25.9096,29.6006
EX6,6545,6545,295680,1,25.5955,26.2209,25.5172,27.5667,25.7404,,25.6945,31.8518
Ecoli_10NN,336,336,4560,1,0.964261,1.06579,1.15516,1.18211,1.13081,1.16252,1.13645,1.08236
Emilia_923,923136,923136,41005206,1,14.7931,16.7681,16.7789,20.2423,17.5396,16.5691,19.9844,19.7339
Erdos02,6927,6927,16944,1,2.61987,3.15531,1.76252,2.84462,3.04721,2.12185,2.17649,2.07762
Erdos971,472,472,2628,1,,0.645225,0.62157,0.648488,0.630518,0.565283,0.648488,0.632796
Erdos972,5488,5488,14170,1,2.00893,2.45538,2.07073,2.56447,2.70938,1.99887,2.60694,1.92933
