matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,14.1047,13.9493,14.0817,14.1009,14.0095,14.1162,14.2947,13.8042
144,144649,144649,2148786,64,9.042,10.9807,11.0086,10.6074,11.2672,11.5081,14.1304,4.93303
2cubes_sphere,101492,101492,1647264,64,9.56747,12.1555,11.993,12.5364,12.867,12.8148,13.9041,11.8922
333SP,3712815,3712815,22217266,64,7.71046,9.19233,6.14378,9.52372,6.84803,6.7007,12.5241,3.34952
3dtube,45330,45330,3213618,64,17.7462,17.9504,17.4007,18.0391,17.9984,17.9762,18.6594,18.1069
3elt,4720,4720,27444,64,16.8126,16.9325,16.6248,16.8229,17.094,17.0558,17.1834,16.2804
3elt_dual,9000,9000,26556,64,14.7609,14.9059,14.5114,14.7617,14.94,14.9256,15.6578,14.0467
494_bus,494,494,1666,64,15.1993,15.2429,14.6764,15.1025,15.0706,15.3635,14.5067,13.9105
598a,110971,110971,1483868,64,9.11243,10.0373,10.5208,9.81589,10.8933,11.0595,14.0145,3.98122
662_bus,662,662,2474,64,14.654,14.3681,14.5931,14.7564,14.1625,14.4401,14.784,14.1814
685_bus,685,685,3249,64,15.4308,15.3685,15.2278,15.2111,15.3119,15.2552,15.3458,15.2669
ACTIVSg70K,69999,69999,238627,64,7.07438,6.64067,6.71562,6.73152,6.58896,6.59954,8.37804,6.98136
AS365,3799275,3799275,22736152,64,7.55265,7.42834,5.8254,7.90502,4.79387,5.00639,14.0342,2.14901
Alemdar,6245,6245,42581,64,16.5132,14.6495,16.1899,15.1977,15.9572,,16.4072,13.1511
Andrews,60000,60000,760154,64,9.71109,9.93914,9.64152,9.49664,10.6539,10.891,11.102,5.20362
BenElechi1,245874,245874,13150496,64,17.8595,18.9348,18.403,18.9675,18.9309,18.8966,19.0648,19.0372
Binaryalphadigs_10NN,1404,1404,19392,64,17.1195,16.8408,17.0618,16.8124,16.8089,16.4829,16.5854,16.3785
Bump_2911,2911419,2911419,127729899,64,14.3294,17.1841,14.307,17.7535,17.8533,17.7938,15.8812,16.7044
CO,221119,221119,7666057,64,8.86519,13.6188,12.6326,11.6518,14.6847,14.1063,12.9531,11.4192
Chem97ZtZ,2541,2541,7361,64,15.4508,11.2153,15.4031,15.6383,15.5969,15.6666,15.6878,15.5812
Cube_Coup_dt0,2164760,2164760,127206144,64,15.7221,17.9514,15.949,18.0282,18.0146,18.0516,16.3164,17.2043
Cube_Coup_dt6,2164760,2164760,127206144,64,15.7262,17.974,15.9265,18.0052,18.0171,18.0538,17.1495,17.1811
CurlCurl_0,11083,11083,113343,64,16.8861,17.3017,17.0643,17.4462,17.2146,17.2538,17.5391,17.4987
CurlCurl_1,226451,226451,2472071,64,7.83799,13.4279,10.1939,13.0965,13.4095,13.5491,16.2889,12.7293
CurlCurl_2,806529,806529,8921789,64,6.97725,13.2282,9.36791,12.9912,13.4424,13.2355,14.7822,10.6366
CurlCurl_3,1219574,1219574,13544618,64,6.7319,12.9716,10.022,12.9064,13.355,12.9526,13.3801,10.3877
CurlCurl_4,2380515,2380515,26515867,64,6.22617,13.0131,8.6287,13.0638,13.4014,13.0168,12.3179,10.24
Dubcova1,16129,16129,253009,64,17.8256,16.2553,17.5757,17.0249,17.211,,17.8125,16.4607
Dubcova2,65025,65025,1030225,64,14.3317,13.9481,14.0184,13.8835,14.0821,14.0304,16.8106,10.222
Dubcova3,146689,146689,3636649,64,15.0025,15.5009,14.821,15.6672,15.8492,15.8088,16.5824,11.7051
EX1,560,560,8736,64,16.7698,17.3366,17.0121,17.2003,16.6301,16.403,17.085,17.6152
EX2,560,560,8736,64,16.8453,17.137,16.8225,17.401,16.5366,16.3147,16.8554,17.7125
EX3,2600,2600,71760,64,15.5397,17.0157,15.0528,17.2069,15.7311,14.759,16.2772,17.326
EX4,2600,2600,71760,64,15.6099,16.6816,15.363,17.1587,15.7719,14.9244,16.3258,17.2525
EX5,6545,6545,295680,64,14.6711,16.1559,14.7926,16.8394,15.2305,,13.0097,15.492
EX6,6545,6545,295680,64,14.8182,16.4285,14.7248,16.8946,15.1928,,11.2041,16.9266
Ecoli_10NN,336,336,4560,64,20.4155,20.5521,19.3336,20.5521,19.0677,20.3161,20.387,18.5295
Emilia_923,923136,923136,41005206,64,14.579,16.5335,14.8443,17.1904,17.4682,17.3648,16.533,16.8671
Erdos02,6927,6927,16944,64,13.3628,12.8591,13.029,12.837,12.196,11.3735,12.9598,9.8386
Erdos971,472,472,2628,64,,16.1568,17.3125,16.4813,16.5543,16.3293,16.5543,15.3741
Erdos972,5488,5488,14170,64,13.2866,12.808,13.0683,9.31652,11.9656,11.7471,13.5892,11.276
Erdos981,485,485,2762,64,,16.262,17.4156,16.1801,16.3902,16.2844,16.512,15.4174
Erdos982,5822,5822,14750,64,13.3304,12.7688,13.0116,12.2645,12.2224,11.5114,13.5399,11.234
Erdos991,492,492,2834,64,16.7166,16.2378,17.3316,16.5112,15.7437,16.4963,16.0147,15.0022
Erdos992,6100,6100,15030,64,13.2468,12.7466,12.7237,12.7914,11.476,10.8159,13.5024,7.41758
F1,343791,343791,26837113,64,16.4436,16.9958,16.3903,17.0235,17.2342,16.9428,17.6334,11.8414
F2,71505,71505,5294285,64,17.2827,17.2658,17.0935,17.2778,17.585,17.3301,17.7661,15.072
Fashion_MNIST_norm_10NN,10000,10000,158304,64,16.774,15.0995,16.7069,14.8763,15.9512,15.0252,15.9842,12.1081
Fault_639,638802,638802,28614564,64,14.7225,17.271,14.5959,17.451,17.5123,17.4925,16.5273,16.9451
Flan_1565,1564794,1564794,117406044,64,17.1919,18.3141,16.079,18.3996,18.3605,18.4225,18.0857,18.062
G1,800,800,38352,64,15.5324,16.1476,16.4798,16.2653,16.2653,16.0441,16.2572,16.2234
G10,800,800,38352,64,16.2249,16.3113,16.4627,16.0762,16.2798,16.1731,16.2842,16.1497
G11,800,800,3200,64,15.2893,17.0454,17.0446,17.1948,16.5228,16.0564,17.0164,17.081
G12,800,800,3200,64,16.4696,17.1596,16.384,17.2245,15.7411,16.6504,17.017,17.0951
G13,800,800,3200,64,16.5897,16.5495,16.5629,17.0952,16.2025,16.3769,17.1884,17.2029
G14,800,800,9388,64,16.3135,16.037,16.4815,16.0072,15.8028,15.8278,15.952,15.5777
G15,800,800,9322,64,16.4695,15.9903,16.6371,15.8778,15.6691,15.8333,15.9138,15.5872
G16,800,800,9344,64,16.4695,16.0047,16.42,15.9897,15.6016,15.669,15.932,15.5347
G17,800,800,9334,64,16.3685,16.0045,16.5846,15.8792,15.8055,15.7266,15.8959,15.3882
G18,800,800,9388,64,16.4702,16.0479,16.3891,15.7595,15.7512,15.5473,15.952,15.5636
G19,800,800,9322,64,16.5103,16.0744,16.6232,16.0746,15.466,15.7458,15.777,15.5689
G2,800,800,38352,64,16.2175,16.2089,16.5198,16.3134,16.2691,16.2734,16.2981,16.2405
G20,800,800,9344,64,16.4675,16.0219,16.465,16.0195,15.8038,15.7601,15.8855,15.561
G21,800,800,9334,64,16.5156,16.095,16.5892,15.9277,14.604,15.7929,15.8685,15.6052
G22,2000,2000,39980,64,14.3229,14.2084,14.4653,13.826,14.1945,14.0786,14.3832,14.0979
G23,2000,2000,39980,64,14.1127,14.1694,14.809,14.1548,14.091,14.1549,14.1408,13.8597
G24,2000,2000,39980,64,14.935,14.0879,14.294,13.8166,14.1361,13.9667,14.1169,13.506
G25,2000,2000,39980,64,14.3269,14.0561,14.5146,14.0449,14.4145,13.7495,14.0599,13.8619
G26,2000,2000,39980,64,14.1925,14.0812,14.4707,14.089,14.1772,14.2087,14.298,14.0692
