matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,2.18618,2.21394,2.23191,2.19543,2.19475,2.17357,2.18515,2.19841
144,144649,144649,2148786,8,2.35397,2.53061,2.49175,2.40778,2.35363,2.34217,2.41745,2.37829
2cubes_sphere,101492,101492,1647264,8,2.79252,2.86621,2.99938,3.09154,2.81192,2.90928,2.95843,3.07504
333SP,3712815,3712815,22217266,8,1.01851,1.12506,0.917948,1.12601,1.12207,1.11933,1.13411,0.60306
3dtube,45330,45330,3213618,8,2.81349,2.87511,2.95265,3.01634,2.85647,2.96435,2.90304,2.8603
3elt,4720,4720,27444,8,3.52855,3.4488,3.47049,3.44045,3.43455,3.45721,3.48009,3.46592
3elt_dual,9000,9000,26556,8,3.25988,3.2831,3.23866,3.1766,3.32777,3.23353,3.25853,3.08407
494_bus,494,494,1666,8,2.20827,2.11402,2.1284,2.0843,2.15314,2.0928,2.17937,2.08529
598a,110971,110971,1483868,8,2.69025,2.87164,2.64527,2.84323,2.86275,2.87992,2.83278,2.31085
662_bus,662,662,2474,8,2.41585,2.26985,2.29009,2.35565,2.30703,2.37497,2.36563,2.3096
685_bus,685,685,3249,8,2.43212,2.46674,2.43757,2.41932,2.43646,2.38403,2.40421,2.44676
ACTIVSg70K,69999,69999,238627,8,2.20346,2.23301,2.18904,2.23515,2.24716,2.23533,2.17616,2.24865
AS365,3799275,3799275,22736152,8,0.996062,1.06395,0.915032,1.07416,1.0692,1.07773,1.11275,0.433547
Alemdar,6245,6245,42581,8,3.36009,3.09082,3.09318,3.09093,3.0442,,3.08128,3.11605
Andrews,60000,60000,760154,8,2.48756,2.99078,3.161,3.19606,3.14274,2.59573,3.2409,2.90553
BenElechi1,245874,245874,13150496,8,2.23759,2.26969,2.30383,2.33737,2.25901,2.3087,2.27634,2.32346
Binaryalphadigs_10NN,1404,1404,19392,8,3.43662,3.39618,3.38746,3.44135,3.4045,3.38617,3.43001,3.3907
Bump_2911,2911419,2911419,127729899,8,2.01303,2.05469,1.96401,2.09578,2.12321,2.07331,2.09429,2.09358
CO,221119,221119,7666057,8,2.15569,2.22739,2.2045,2.17784,2.20873,2.21863,2.19309,2.16105
Chem97ZtZ,2541,2541,7361,8,3.11247,2.86477,3.12404,3.07848,3.11074,3.09953,3.09294,3.27583
Cube_Coup_dt0,2164760,2164760,127206144,8,2.06179,2.18644,2.08935,2.11289,2.17399,2.23056,2.16323,2.14848
Cube_Coup_dt6,2164760,2164760,127206144,8,2.09495,2.13637,2.09826,2.14147,2.16321,2.11412,2.11931,2.17794
CurlCurl_0,11083,11083,113343,8,3.52979,3.53693,3.46472,3.15227,3.467,3.45842,3.53323,3.58518
CurlCurl_1,226451,226451,2472071,8,2.13175,2.0363,2.09584,2.15862,2.17373,2.17221,2.16714,2.10226
CurlCurl_2,806529,806529,8921789,8,1.23781,1.58375,1.35356,1.57534,1.64007,1.60326,1.31124,1.27874
CurlCurl_3,1219574,1219574,13544618,8,1.09408,1.47225,1.33356,1.50016,1.52384,1.50804,1.24529,1.37381
CurlCurl_4,2380515,2380515,26515867,8,0.975965,1.38042,1.21339,1.36735,1.46574,1.43901,1.22339,1.4164
Dubcova1,16129,16129,253009,8,3.77199,3.86339,3.86737,3.60224,3.86948,,3.87764,3.78268
Dubcova2,65025,65025,1030225,8,3.76239,3.84045,3.77341,3.82155,3.82553,3.76534,3.72402,3.54561
Dubcova3,146689,146689,3636649,8,2.37283,2.41001,2.37533,2.39959,2.41321,2.40414,2.29947,2.40543
EX1,560,560,8736,8,3.64551,3.66164,3.55023,3.68637,3.53451,3.63971,3.72141,3.59867
EX2,560,560,8736,8,3.6539,3.65829,3.59055,3.51646,3.55791,3.59266,3.56617,3.44413
EX3,2600,2600,71760,8,4.00222,3.99878,3.89081,3.96822,3.88823,3.97014,3.98575,3.89009
EX4,2600,2600,71760,8,3.97114,3.97653,3.90115,3.96933,3.89787,3.98893,3.94044,3.90224
EX5,6545,6545,295680,8,3.92772,3.93048,3.90178,3.93836,3.92152,,3.93003,3.92353
EX6,6545,6545,295680,8,3.80322,3.93102,3.92193,3.91892,3.91707,,3.90799,3.89677
Ecoli_10NN,336,336,4560,8,3.32863,3.29465,3.29136,3.34573,3.23934,3.24309,3.28324,3.29347
Emilia_923,923136,923136,41005206,8,2.03525,2.11308,2.03561,2.13159,2.15709,2.13608,2.11829,2.10809
Erdos02,6927,6927,16944,8,2.60642,2.34126,2.57153,2.41247,2.13003,2.14874,2.77449,2.18198
Erdos971,472,472,2628,8,,2.61705,2.5442,2.64569,2.6298,2.59989,2.63592,2.53393
Erdos972,5488,5488,14170,8,2.55845,2.35492,2.4928,2.34411,2.21285,2.28828,2.69437,2.27704
Erdos981,485,485,2762,8,,2.59894,2.57965,2.63345,2.56525,2.61957,2.60581,2.62192
Erdos982,5822,5822,14750,8,2.55273,2.36227,2.54417,2.3402,2.17399,2.25255,2.71733,2.24175
Erdos991,492,492,2834,8,2.44035,2.67343,2.68289,2.53986,2.6268,2.51311,2.5809,2.65047
Erdos992,6100,6100,15030,8,2.56301,2.3639,2.51753,2.35082,2.19687,2.16873,2.66366,2.28576
F1,343791,343791,26837113,8,2.25759,2.26028,2.26969,2.24625,2.31902,2.26711,2.24814,2.19837
F2,71505,71505,5294285,8,2.47191,2.48011,2.45518,2.4422,2.43243,2.46318,2.34011,2.40932
Fashion_MNIST_norm_10NN,10000,10000,158304,8,3.42263,3.45744,3.45224,3.39445,3.44835,3.40755,3.37546,3.39408
Fault_639,638802,638802,28614564,8,2.0666,2.11189,2.03633,2.12749,2.19535,2.16731,2.07973,2.12067
Flan_1565,1564794,1564794,117406044,8,2.17559,2.17521,2.16258,2.20056,2.17702,2.25264,2.20648,2.31982
G1,800,800,38352,8,4.02036,4.00912,3.92496,4.00472,3.91622,4.04213,4.04146,3.92504
G10,800,800,38352,8,4.02,4.04198,3.93508,4.00399,3.9437,4.03461,4.01054,3.92253
