matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,7.82069,18.6123,9.67658,8.94806,8.7535,9.74223,15.3172,8.81052
144,144649,144649,2148786,8,40.2446,37.9641,40.8343,39.4821,39.6803,40.0472,40.8081,23.4997
2cubes_sphere,101492,101492,1647264,8,41.0657,41.638,42.2666,42.9682,42.8937,42.0296,42.7372,41.7184
333SP,3712815,3712815,22217266,8,11.2812,15.3387,10.1277,14.8082,13.2579,13.9219,15.0004,4.67411
3dtube,45330,45330,3213618,8,39.185,40.8799,38.7556,40.1915,40.7546,40.7862,40.6336,39.7696
3elt,4720,4720,27444,8,41.3238,40.2548,41.9545,42.157,39.3313,41.7705,42.048,41.5222
3elt_dual,9000,9000,26556,8,37.8048,37.0045,34.8652,37.6675,35.011,37.5853,38.3208,37.8534
494_bus,494,494,1666,8,13.7538,13.2969,7.53598,14.1586,7.56987,12.6505,14.4957,13.469
598a,110971,110971,1483868,8,40.117,38.8378,40.159,35.8032,40.4554,40.9769,41.0332,20.9503
662_bus,662,662,2474,8,16.4868,16.057,17.5451,8.12988,16.5898,8.40395,15.9726,7.85856
685_bus,685,685,3249,8,8.32723,19.7724,8.28028,8.51654,8.91723,19.7829,18.7527,19.2441
ACTIVSg70K,69999,69999,238627,8,24.6019,25.8011,24.1974,25.7943,26.1882,25.9221,25.5417,25.8106
AS365,3799275,3799275,22736152,8,11.2779,14.5163,9.91976,14.7188,10.2609,10.3249,17.0019,3.46954
Alemdar,6245,6245,42581,8,34.2857,33.1049,34.7053,34.8492,36.5814,,36.3316,36.451
Andrews,60000,60000,760154,8,36.9539,38.3871,37.6186,38.7171,40.1429,39.8175,37.4984,25.5652
BenElechi1,245874,245874,13150496,8,40.8429,41.4597,40.7436,41.7557,41.9066,41.2393,41.6932,41.9263
Binaryalphadigs_10NN,1404,1404,19392,8,34.9106,37.328,38.4236,37.4644,39.0863,38.8606,37.8195,38.2977
Bump_2911,2911419,2911419,127729899,8,28.5134,33.9605,28.8191,38.2122,39.6402,38.0109,35.0368,35.3326
CO,221119,221119,7666057,8,38.5911,39.9684,38.3166,39.1034,38.8385,38.8693,39.6697,39.8662
Chem97ZtZ,2541,2541,7361,8,24.8255,20.7824,27.4796,30.8066,26.5034,11.4325,28.3386,13.9582
Cube_Coup_dt0,2164760,2164760,127206144,8,31.9309,38.3081,32.8795,39.3587,39.0133,39.3756,37.8826,39.0812
Cube_Coup_dt6,2164760,2164760,127206144,8,32.2096,38.1697,33.3179,39.8792,39.0992,39.3672,38.5641,37.2609
CurlCurl_0,11083,11083,113343,8,41.2673,42.7763,42.8059,42.8903,43.6141,42.7195,41.1539,42.2922
CurlCurl_1,226451,226451,2472071,8,33.5199,31.8112,33.7488,33.9738,33.271,36.1402,26.2742,32.4382
CurlCurl_2,806529,806529,8921789,8,14.8165,22.6667,17.7174,23.3766,24.8329,24.0028,22.743,20.5679
CurlCurl_3,1219574,1219574,13544618,8,13.7202,23.0801,18.1205,22.6085,23.433,24.2693,20.7003,19.2833
CurlCurl_4,2380515,2380515,26515867,8,12.2789,21.1439,14.7312,21.735,22.9184,22.4278,19.6485,19.11
Dubcova1,16129,16129,253009,8,41.9262,44.2275,44.1386,46.0928,46.3743,,46.9073,27.7679
Dubcova2,65025,65025,1030225,8,43.0078,45.2617,44.7338,44.7349,46.8037,46.6153,46.3558,27.1452
Dubcova3,146689,146689,3636649,8,40.3678,40.913,41.9972,41.9064,42.4609,41.3354,41.355,22.7255
EX1,560,560,8736,8,19.0849,12.151,12.5503,32.0725,34.8626,35.2805,33.1529,27.025
EX2,560,560,8736,8,13.01,33.5757,35.6323,34.2187,36.4989,35.8922,33.6171,33.6963
