matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,11.1861,10.8873,10.7094,11.2321,11.2711,11.323,11.2297,10.9658
144,144649,144649,2148786,64,5.99261,6.02935,9.6545,8.84813,6.71788,5.74838,10.4226,3.66263
2cubes_sphere,101492,101492,1647264,64,7.42466,7.28677,8.19935,6.38619,8.70689,7.78477,8.46127,6.20984
333SP,3712815,3712815,22217266,64,6.75687,7.73353,5.48004,7.91321,5.93484,5.93882,11.1096,3.32221
3dtube,45330,45330,3213618,64,14.0675,14.4512,14.1944,14.4993,14.6492,14.6492,15.1908,14.5087
3elt,4720,4720,27444,64,13.5684,13.9246,13.7342,14.0688,13.7483,13.9241,13.6662,13.5653
3elt_dual,9000,9000,26556,64,12.4646,12.9504,12.424,12.543,12.62,13.1508,13.9122,12.5042
494_bus,494,494,1666,64,11.5426,11.7266,11.7266,12.1974,12.0384,11.7915,12.0248,11.4859
598a,110971,110971,1483868,64,7.33999,5.51954,8.79206,5.64046,5.46301,5.50429,8.41842,3.25833
662_bus,662,662,2474,64,11.8956,10.9704,11.3981,11.8818,11.5561,11.3369,11.8334,11.1175
685_bus,685,685,3249,64,11.9962,11.8967,11.6103,12.2365,11.4755,12.0908,11.5748,12.126
ACTIVSg70K,69999,69999,238627,64,5.73706,4.76782,5.63789,5.14307,4.41677,4.51051,7.29147,4.15502
AS365,3799275,3799275,22736152,64,6.68086,6.16229,5.15153,6.36008,4.30653,4.13311,12.0393,2.17383
Alemdar,6245,6245,42581,64,13.5871,12.7532,13.3537,12.0996,13.3102,,13.3809,10.6304
Andrews,60000,60000,760154,64,5.02717,5.28821,5.33237,5.59585,5.31028,5.50144,5.68107,3.0242
BenElechi1,245874,245874,13150496,64,14.8178,15.4278,14.6997,15.4512,15.4986,14.8831,14.9583,15.0042
Binaryalphadigs_10NN,1404,1404,19392,64,13.2022,12.8509,12.9307,13.0301,12.877,12.7118,12.8343,12.3815
Bump_2911,2911419,2911419,127729899,64,11.8347,14.185,12.1231,14.2668,13.9507,14.2688,12.9812,13.5153
CO,221119,221119,7666057,64,6.5309,9.03123,7.70752,9.02462,10.3156,8.94155,8.89614,6.95581
Chem97ZtZ,2541,2541,7361,64,12.8522,12.9034,12.4489,12.819,12.6362,12.8909,12.7946,12.8295
Cube_Coup_dt0,2164760,2164760,127206144,64,12.6856,14.75,12.5543,14.4104,14.4705,14.8083,14.227,13.9744
Cube_Coup_dt6,2164760,2164760,127206144,64,12.7193,14.7162,13.0766,14.45,14.5255,14.482,14.1498,14.1739
CurlCurl_0,11083,11083,113343,64,13.8268,13.8743,13.5407,13.8105,13.2073,13.7193,13.9347,13.8929
CurlCurl_1,226451,226451,2472071,64,4.90284,9.76578,8.19471,10.7635,10.3269,10.774,12.6419,9.77331
CurlCurl_2,806529,806529,8921789,64,5.81872,10.6877,8.39306,10.1506,10.6816,10.1679,12.1724,9.04599
CurlCurl_3,1219574,1219574,13544618,64,4.86702,10.1985,7.40038,10.6514,10.7072,10.6347,10.637,8.42346
CurlCurl_4,2380515,2380515,26515867,64,5.5809,10.1546,7.5143,10.8148,11.1258,10.5694,9.46449,8.82237
Dubcova1,16129,16129,253009,64,13.9569,13.538,14.0295,13.494,12.7673,,14.8557,8.64095
Dubcova2,65025,65025,1030225,64,10.7633,10.9551,11.5813,9.02528,9.24132,10.5429,13.664,7.95318
Dubcova3,146689,146689,3636649,64,11.8669,12.8094,12.0887,12.1122,12.4813,12.1112,13.1386,9.96476
EX1,560,560,8736,64,13.0365,13.5379,13.1656,13.3948,12.8534,12.9009,13.299,13.546
EX2,560,560,8736,64,13.0488,11.3006,11.3627,13.3071,12.9396,12.7565,13.1922,13.7751
EX3,2600,2600,71760,64,12.7739,13.961,12.5027,14.0491,12.9912,12.1772,12.5391,14.1758
EX4,2600,2600,71760,64,12.61,13.9453,12.7014,14.0265,12.9036,12.1138,13.3184,14.1286
EX5,6545,6545,295680,64,12.1853,13.2758,12.0527,13.6,12.4035,,12.551,12.7427
EX6,6545,6545,295680,64,9.32547,13.4459,12.128,13.7723,12.5099,,12.4989,13.8008
Ecoli_10NN,336,336,4560,64,13.4355,13.6591,13.2492,16.1104,14.6668,15.6098,11.3031,13.6141
Emilia_923,923136,923136,41005206,64,12.1815,13.4908,12.5431,13.8881,14.0267,14.342,13.6293,13.9453
Erdos02,6927,6927,16944,64,10.392,10.7278,10.8968,10.7241,9.96207,9.68917,11.1655,9.44938
Erdos971,472,472,2628,64,,12.8932,11.9438,13.1559,12.3209,13.3655,13.5214,11.735
Erdos972,5488,5488,14170,64,10.6,10.2938,10.4834,10.4122,9.97777,6.09211,10.643,9.12937
Erdos981,485,485,2762,64,,12.7341,12.535,13.2207,12.105,13.1172,13.3556,11.6606
Erdos982,5822,5822,14750,64,10.7771,10.4874,10.5284,10.0704,9.84107,9.52905,10.9562,9.54639
Erdos991,492,492,2834,64,13.5092,12.3146,12.4675,13.4194,11.8087,13.4692,13.4642,11.9177
Erdos992,6100,6100,15030,64,10.7565,10.1924,10.4566,10.1934,10.1172,9.60359,10.9167,9.44907
F1,343791,343791,26837113,64,13.5765,13.81,13.663,13.864,14.1326,13.5991,14.1659,10.7199
F2,71505,71505,5294285,64,14.2441,13.9918,13.4444,14.0942,13.9821,13.8498,14.3411,12.2249
Fashion_MNIST_norm_10NN,10000,10000,158304,64,13.5819,11.9248,13.8225,12.2638,13.0796,12.815,8.78408,9.89817
Fault_639,638802,638802,28614564,64,12.454,13.7693,11.5004,14.0221,14.4517,14.3112,13.649,14.0427
Flan_1565,1564794,1564794,117406044,64,13.9278,14.9784,13.1845,14.8634,15.0173,15.1019,14.791,14.7761
G1,800,800,38352,64,12.7391,13.2713,13.1374,13.0444,13.1699,13.3001,13.0212,13.1855
G10,800,800,38352,64,13.1206,13.2648,13.1076,13.2921,13.0108,13.3044,13.307,12.8356
G11,800,800,3200,64,13.4967,13.8533,13.6502,13.8067,13.0862,13.4652,13.905,13.7973
G12,800,800,3200,64,12.8719,13.7927,12.9826,13.872,12.9125,13.2906,13.7417,13.732
G13,800,800,3200,64,12.6057,13.3774,12.8272,13.6547,12.3993,13.4702,13.7464,13.802
G14,800,800,9388,64,12.453,12.1503,12.8672,12.2833,12.0007,12.2283,12.5154,12.1159
