matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.37877,4.32129,4.37383,4.34745,4.40253,4.29656,4.38072,4.35915
144,144649,144649,2148786,8,4.13227,4.15327,4.3593,4.17568,4.13697,4.28564,4.62839,3.65815
2cubes_sphere,101492,101492,1647264,8,4.4281,4.39302,4.50858,4.50195,4.44356,4.42337,4.69697,4.38612
333SP,3712815,3712815,22217266,8,2.70929,3.18717,2.12068,3.18146,3.18195,3.19171,4.43784,1.08972
3dtube,45330,45330,3213618,8,4.08387,4.10433,4.16417,4.11848,4.10885,4.09475,4.19702,4.16055
3elt,4720,4720,27444,8,4.83982,4.78901,4.84678,4.87402,4.77162,4.78047,4.81736,4.76455
3elt_dual,9000,9000,26556,8,4.22639,4.2613,4.20606,4.25307,4.2627,4.25052,4.23498,4.17477
494_bus,494,494,1666,8,4.30628,4.30401,4.23337,4.29239,4.23784,4.26494,4.26272,4.24465
598a,110971,110971,1483868,8,4.35521,4.21752,4.39111,4.15396,4.12679,4.32291,4.61413,3.68738
662_bus,662,662,2474,8,4.46605,4.44265,4.3691,4.38198,4.43602,4.37555,4.41949,4.3999
685_bus,685,685,3249,8,4.53874,4.61943,4.63728,4.61655,4.6085,4.61807,4.70015,4.68041
ACTIVSg70K,69999,69999,238627,8,2.99052,2.69119,2.92805,2.91868,2.98196,2.87027,3.16476,2.91555
AS365,3799275,3799275,22736152,8,2.57016,2.68096,1.94867,2.71398,2.66596,2.69269,4.24722,0.702124
Alemdar,6245,6245,42581,8,4.77206,4.41415,4.56242,4.35283,4.42839,,4.60964,4.53982
Andrews,60000,60000,760154,8,4.18899,4.13779,4.19698,3.94403,4.14252,4.23531,4.27333,3.63165
BenElechi1,245874,245874,13150496,8,4.04446,4.1781,4.19847,4.17914,4.23062,4.17459,4.1927,4.24941
Binaryalphadigs_10NN,1404,1404,19392,8,4.63321,4.70059,4.63482,4.63136,4.68333,4.689,4.64989,4.68283
Bump_2911,2911419,2911419,127729899,8,3.63177,4.06314,3.72533,4.10524,4.08859,4.08735,4.10813,4.14331
CO,221119,221119,7666057,8,3.97066,4.12707,3.94447,4.26902,4.17565,4.12544,4.18202,4.26256
Chem97ZtZ,2541,2541,7361,8,3.77201,3.77085,3.80901,3.77887,3.81559,3.79596,3.77479,3.91447
Cube_Coup_dt0,2164760,2164760,127206144,8,3.72869,4.03864,3.86861,4.06492,4.04194,4.04481,4.07347,4.07984
Cube_Coup_dt6,2164760,2164760,127206144,8,3.73029,4.03683,3.86268,4.0639,4.0447,4.04637,4.07639,4.07283
CurlCurl_0,11083,11083,113343,8,4.87783,4.97261,4.85174,4.97309,4.94745,4.92936,4.89185,5.07608
CurlCurl_1,226451,226451,2472071,8,4.23865,4.80747,4.44088,4.69118,4.75224,4.68431,4.92644,5.02479
CurlCurl_2,806529,806529,8921789,8,3.11129,4.67236,3.86865,4.50535,4.63814,4.60746,4.90196,5.00786
CurlCurl_3,1219574,1219574,13544618,8,2.85775,4.56828,3.67354,4.43183,4.5472,4.52142,4.80484,4.8471
CurlCurl_4,2380515,2380515,26515867,8,2.57165,4.56909,3.15377,4.46636,4.55346,4.49632,4.80819,4.84942
Dubcova1,16129,16129,253009,8,4.70367,4.81214,4.64366,4.79679,4.74426,,4.69021,4.73862
Dubcova2,65025,65025,1030225,8,4.60934,4.54956,4.59187,4.55995,4.64843,4.55498,4.76329,4.59908
Dubcova3,146689,146689,3636649,8,4.27848,4.32368,4.27667,4.33484,4.27023,4.32885,4.54445,4.38676
EX1,560,560,8736,8,4.76834,4.88949,4.80655,4.79995,4.87245,4.86172,4.78574,4.78196
EX2,560,560,8736,8,4.78408,4.85165,4.79007,4.80274,4.8725,4.85948,4.81318,4.80269
EX3,2600,2600,71760,8,4.38953,4.52665,4.32085,4.45723,4.49042,4.36755,4.43752,4.46265
EX4,2600,2600,71760,8,4.40208,4.50321,4.39248,4.44692,4.48514,4.36338,4.44734,4.45821
EX5,6545,6545,295680,8,4.24727,4.2094,4.191,4.2994,4.26145,,4.21735,4.19938
EX6,6545,6545,295680,8,4.1693,4.19761,4.18309,4.23214,4.25087,,4.27179,4.31181
Ecoli_10NN,336,336,4560,8,4.72223,4.7397,4.66595,4.71613,4.64221,4.71917,4.74691,4.65505
Emilia_923,923136,923136,41005206,8,3.75748,4.04742,3.9277,4.15488,4.18482,4.12801,4.21088,4.25575
Erdos02,6927,6927,16944,8,3.40123,3.35427,3.37737,3.33747,2.97936,2.98407,3.15479,3.03179
Erdos971,472,472,2628,8,,4.19364,4.31558,4.20761,4.28332,4.24159,4.28186,4.19362
Erdos972,5488,5488,14170,8,3.45767,3.33868,3.47691,3.27313,3.23375,3.26873,3.51393,3.2842
Erdos981,485,485,2762,8,,4.19942,4.35373,4.22487,4.27252,4.22082,4.31705,4.27392
Erdos982,5822,5822,14750,8,3.41976,3.34988,3.40629,3.38738,3.16749,3.19838,3.47434,3.18991
Erdos991,492,492,2834,8,4.3295,4.23117,4.38656,4.22316,4.24569,4.2523,4.29396,4.21414
Erdos992,6100,6100,15030,8,3.36805,3.3712,3.40892,3.38163,3.12866,3.14377,3.43309,3.10495
F1,343791,343791,26837113,8,3.98333,4.02343,3.9276,4.08148,4.03746,4.08573,4.12412,3.752
F2,71505,71505,5294285,8,4.11938,4.0629,4.12786,4.12391,4.07506,4.13411,4.15068,4.12866
Fashion_MNIST_norm_10NN,10000,10000,158304,8,4.52321,4.46183,4.48877,4.46779,4.50798,4.45694,4.57343,4.29693
Fault_639,638802,638802,28614564,8,3.80455,4.12641,4.05062,4.13275,4.19578,4.14001,4.21196,4.26912
Flan_1565,1564794,1564794,117406044,8,3.89983,4.04166,3.92436,4.05116,4.0456,4.04823,4.04956,4.05093
G1,800,800,38352,8,4.21042,4.2917,4.29531,4.21844,4.2895,4.21488,4.21885,4.20793
G10,800,800,38352,8,4.22028,4.28781,4.22114,4.27774,4.2874,4.21795,4.21767,4.20928
G11,800,800,3200,8,4.74497,4.80437,4.75984,4.77008,4.81053,4.75232,4.73927,4.76134
G12,800,800,3200,8,4.72035,4.82411,4.73344,4.74956,4.81188,4.75687,4.68722,4.70715
G13,800,800,3200,8,4.80903,4.81656,4.65157,4.75526,4.76855,4.72908,4.77022,4.76134
G14,800,800,9388,8,4.48383,4.57668,4.49272,4.51885,4.55545,4.52247,4.53665,4.53801
G15,800,800,9322,8,4.50971,4.5677,4.47457,4.56118,4.5602,4.52754,4.51515,4.54825
G16,800,800,9344,8,4.49502,4.59443,4.48153,4.54788,4.55065,4.51032,4.52261,4.53685
G17,800,800,9334,8,4.51276,4.59373,4.4875,4.53241,4.56798,4.51868,4.54163,4.52878
