matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,2.14386,2.07749,2.08082,2.10481,2.04824,2.05645,2.07222,2.10416
144,144649,144649,2148786,8,1.89345,1.93798,1.95098,1.92961,1.95731,1.94016,1.95918,1.84742
2cubes_sphere,101492,101492,1647264,8,2.12413,2.18326,2.21108,2.20114,2.19447,2.17313,2.25495,2.17081
333SP,3712815,3712815,22217266,8,1.00266,1.12879,0.914557,1.1235,1.1207,1.11719,1.13446,0.608532
3dtube,45330,45330,3213618,8,2.75876,2.85227,2.78646,2.86082,2.88984,2.87043,2.85587,2.84582
3elt,4720,4720,27444,8,3.2897,3.23946,3.28055,2.82275,3.20718,3.25314,3.2674,3.21594
3elt_dual,9000,9000,26556,8,3.05804,3.02367,3.05428,3.03397,2.99932,3.06471,3.00755,2.96169
494_bus,494,494,1666,8,2.0744,2.04873,2.05982,2.05871,2.08021,2.05574,2.05578,2.04573
598a,110971,110971,1483868,8,2.01289,2.04666,2.06031,2.03708,2.06438,2.04624,2.09591,1.91468
662_bus,662,662,2474,8,2.28827,2.21267,2.21321,2.24674,2.2259,2.2009,2.26302,2.2604
685_bus,685,685,3249,8,2.36141,2.26549,2.33782,2.32872,2.28507,2.29554,2.35006,2.18747
ACTIVSg70K,69999,69999,238627,8,1.99134,1.81171,1.93647,1.94733,1.996,1.99516,1.91761,1.98274
AS365,3799275,3799275,22736152,8,0.991885,1.05358,0.906014,1.07566,1.07316,1.08084,1.08935,0.432422
Alemdar,6245,6245,42581,8,3.14823,2.91785,2.89687,2.90497,2.85684,,2.85409,2.95196
Andrews,60000,60000,760154,8,2.47482,2.77271,2.95372,2.92979,2.91077,2.34564,2.97277,2.78084
BenElechi1,245874,245874,13150496,8,2.1774,2.21845,2.25319,2.27604,2.20872,2.24505,2.22887,2.25256
Binaryalphadigs_10NN,1404,1404,19392,8,3.188,3.18118,3.13838,3.18957,3.19138,3.18496,3.17881,3.18857
Bump_2911,2911419,2911419,127729899,8,2.00631,2.05295,1.96324,2.09697,2.11453,2.06694,2.0932,2.08967
CO,221119,221119,7666057,8,2.00962,2.08434,2.04068,2.01875,2.08294,2.0672,2.07302,2.0135
Chem97ZtZ,2541,2541,7361,8,2.85382,2.70662,2.87229,2.91612,2.94632,2.90037,2.90619,3.06384
Cube_Coup_dt0,2164760,2164760,127206144,8,2.06169,2.19651,2.08776,2.11397,2.16556,2.21351,2.161,2.15543
Cube_Coup_dt6,2164760,2164760,127206144,8,2.09433,2.13812,2.0999,2.13133,2.15219,2.11056,2.12037,2.17626
CurlCurl_0,11083,11083,113343,8,3.53944,3.55435,3.48352,3.46038,3.48345,3.45916,3.49688,3.61386
CurlCurl_1,226451,226451,2472071,8,1.6781,1.84571,1.73192,1.82237,1.8362,1.84132,1.82449,1.71876
CurlCurl_2,806529,806529,8921789,8,1.19831,1.55536,1.44271,1.55897,1.57967,1.5526,1.35713,1.43767
CurlCurl_3,1219574,1219574,13544618,8,1.07156,1.37371,1.30353,1.40639,1.40704,1.39116,1.23284,1.3487
CurlCurl_4,2380515,2380515,26515867,8,0.97043,1.376,1.2107,1.36224,1.42163,1.39259,1.22804,1.41953
Dubcova1,16129,16129,253009,8,3.83528,3.82795,3.9511,3.87398,3.9506,,3.98473,3.94439
Dubcova2,65025,65025,1030225,8,3.12867,3.22238,3.2669,3.23246,3.3677,3.32051,3.25861,3.08126
Dubcova3,146689,146689,3636649,8,2.13613,2.15535,2.12744,2.15694,2.18234,2.18348,2.13725,2.13425
EX1,560,560,8736,8,3.39958,3.38159,3.48897,3.40124,3.36764,3.37928,3.47342,3.40908
EX2,560,560,8736,8,3.39947,3.37879,3.40773,3.38863,3.40469,3.3665,3.42295,3.40472
EX3,2600,2600,71760,8,3.64569,3.65733,3.63826,3.65626,3.6463,3.65373,3.66353,3.54839
EX4,2600,2600,71760,8,3.6579,3.65516,3.64818,3.58202,3.63355,3.64856,3.6546,3.65331
EX5,6545,6545,295680,8,3.97047,3.99529,3.98773,3.99157,3.98942,,3.99211,3.98804
EX6,6545,6545,295680,8,3.84135,3.99197,3.98852,3.98889,3.98781,,3.98212,3.99649
Ecoli_10NN,336,336,4560,8,3.11245,3.12187,3.12334,3.10595,3.12248,3.1086,3.0998,3.10512
Emilia_923,923136,923136,41005206,8,2.05335,2.18036,2.08137,2.22081,2.18905,2.15392,2.203,2.18784
Erdos02,6927,6927,16944,8,2.39575,1.87151,2.41296,2.18412,1.99661,2.0604,2.49587,2.06614
Erdos971,472,472,2628,8,,2.51258,2.61769,2.55145,2.55958,2.56844,2.53032,2.55615
Erdos972,5488,5488,14170,8,2.37815,2.20145,2.37019,2.19913,2.08845,2.16039,2.48599,2.17982
Erdos981,485,485,2762,8,,2.53794,2.53563,2.52536,2.56756,2.59836,2.48629,2.55667
Erdos982,5822,5822,14750,8,2.38405,2.20189,2.34128,2.20652,2.06118,2.07753,2.44103,2.173
Erdos991,492,492,2834,8,2.5069,2.55532,2.60312,2.52453,2.56076,2.58517,2.52599,2.53143
Erdos992,6100,6100,15030,8,2.39259,2.17965,2.33348,2.17848,2.02727,2.07521,2.4526,2.07875
F1,343791,343791,26837113,8,2.27805,2.27502,2.27413,2.25689,2.30826,2.24966,2.24132,2.18712
F2,71505,71505,5294285,8,2.38734,2.44628,2.39405,2.41724,2.40495,2.43437,2.3053,2.34571
Fashion_MNIST_norm_10NN,10000,10000,158304,8,3.48097,3.47551,3.45052,3.45301,3.46546,3.44943,3.45082,3.43841
Fault_639,638802,638802,28614564,8,2.06887,2.13803,2.06785,2.13367,2.19316,2.17751,2.10899,2.21368
