matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,14.5552,14.2929,14.5279,14.5149,14.5537,14.2066,14.1266,14.389
144,144649,144649,2148786,64,11.2657,11.2802,12.5309,11.2256,12.2639,12.2654,14.31,6.76863
2cubes_sphere,101492,101492,1647264,64,12.9411,15.7349,14.6559,14.757,16.4985,16.2206,17.0053,13.8277
333SP,3712815,3712815,22217266,64,10.0811,9.96752,8.63072,10.1463,8.71358,9.07526,12.4518,4.68383
3dtube,45330,45330,3213618,64,20.9222,21.4517,21.1604,21.3897,21.4219,21.3143,22.0299,19.1827
3elt,4720,4720,27444,64,15.5048,15.7887,16.323,16.0737,16.1998,16.9436,15.0641,15.5799
3elt_dual,9000,9000,26556,64,13.3773,13.1203,12.8213,13.3517,13.5082,13.2422,14.5211,12.7382
494_bus,494,494,1666,64,14.0897,13.7745,13.7697,13.6164,13.809,14.2303,13.6935,13.3481
598a,110971,110971,1483868,64,12.0459,10.7801,12.7579,10.6583,12.7846,13.5609,15.3659,5.62826
662_bus,662,662,2474,64,15.872,15.9151,15.6175,15.6245,15.7374,15.485,15.4905,14.9845
685_bus,685,685,3249,64,16.6455,16.3981,15.0008,16.1163,14.8607,14.888,16.2562,16.2484
ACTIVSg70K,69999,69999,238627,64,8.58284,9.25875,8.65854,9.21966,9.18309,9.37608,9.94867,9.03576
AS365,3799275,3799275,22736152,64,9.81832,8.35886,8.10232,8.49333,6.92749,7.23854,12.8516,3.16188
Alemdar,6245,6245,42581,64,16.9049,15.7797,15.0516,15.9295,15.7427,,16.6736,11.9918
Andrews,60000,60000,760154,64,12.084,10.8615,12.1948,10.7464,12.7566,12.5736,12.9614,6.73521
BenElechi1,245874,245874,13150496,64,17.211,17.7102,17.727,17.7052,17.6433,17.8264,17.7263,17.7503
Binaryalphadigs_10NN,1404,1404,19392,64,19.4137,19.5855,19.7066,19.4682,19.4312,19.1042,19.1198,19.2356
Bump_2911,2911419,2911419,127729899,64,15.1131,16.7895,15.1798,17.0815,17.0982,17.0754,16.1101,16.6983
CO,221119,221119,7666057,64,11.3166,14.8156,13.6972,14.8434,15.0783,14.2685,13.1769,15.0242
Chem97ZtZ,2541,2541,7361,64,17.4781,15.2538,16.1522,16.8471,15.3607,15.849,16.7491,16.4089
Cube_Coup_dt0,2164760,2164760,127206144,64,15.8048,17.3131,16.1555,17.1658,17.2175,17.2707,16.7301,16.7634
Cube_Coup_dt6,2164760,2164760,127206144,64,15.7981,17.206,16.1836,17.1521,17.2295,17.2708,16.7288,16.8179
CurlCurl_0,11083,11083,113343,64,16.9162,16.6781,15.6295,17.8604,16.5369,17.6159,18.3393,17.8286
CurlCurl_1,226451,226451,2472071,64,10.0777,14.1577,11.7027,13.9238,14.2265,14.0608,14.4893,14.04
CurlCurl_2,806529,806529,8921789,64,9.41989,14.0743,11.1709,13.7908,14.1978,13.9577,14.001,13.4017
CurlCurl_3,1219574,1219574,13544618,64,9.23325,13.8784,11.5601,13.7806,14.0712,13.9013,13.6047,13.1774
CurlCurl_4,2380515,2380515,26515867,64,8.98402,13.653,10.6601,13.7509,14.0384,13.7911,13.2969,12.9292
Dubcova1,16129,16129,253009,64,16.9062,16.2609,18.6158,16.2078,18.2648,,17.4756,16.9684
Dubcova2,65025,65025,1030225,64,15.8315,15.2046,15.2872,15.2834,15.4142,16.7096,17.7502,13.9293
Dubcova3,146689,146689,3636649,64,15.6597,15.2615,15.3459,15.2899,15.4691,15.4224,16.3245,13.2592
EX1,560,560,8736,64,20.2702,21.175,17.958,21.0336,19.5939,20.399,21.2096,18.2557
EX2,560,560,8736,64,20.801,20.926,20.5754,20.7004,17.6444,20.2333,21.0444,21.2816
EX3,2600,2600,71760,64,17.7588,19.541,17.4946,19.8323,18.1544,16.5601,18.8705,20.0136
EX4,2600,2600,71760,64,17.4898,19.5858,17.4833,19.6712,18.0736,16.4216,18.7781,20.0121
EX5,6545,6545,295680,64,14.4206,16.6269,15.4532,16.8652,16.426,,15.3913,19.2683
EX6,6545,6545,295680,64,14.5262,16.4928,15.6579,19.1435,16.4267,,15.3985,19.2289
Ecoli_10NN,336,336,4560,64,18.8553,18.9388,19.1358,18.8398,18.6979,20.617,18.7969,18.5753
Emilia_923,923136,923136,41005206,64,15.1656,16.3852,15.4691,16.6784,16.8067,16.7621,16.5307,16.6571
Erdos02,6927,6927,16944,64,12.4895,12.3029,11.4093,11.9183,10.874,9.94913,11.756,10.293
Erdos971,472,472,2628,64,,15.7466,15.6078,15.4735,15.4206,15.8342,15.5787,14.7896
Erdos972,5488,5488,14170,64,12.9469,12.2411,12.5386,12.3301,11.4583,11.1948,12.9773,10.157
Erdos981,485,485,2762,64,,17.1987,15.6379,17.0744,15.4081,15.6306,17.1958,15.7873
Erdos982,5822,5822,14750,64,12.9129,12.5045,12.5969,12.3507,11.7429,11.5605,13.0886,9.84757
Erdos991,492,492,2834,64,15.885,15.9071,16.0456,15.9249,15.3796,15.9947,15.6864,14.9251
Erdos992,6100,6100,15030,64,13.056,12.3114,12.6554,12.4834,11.4376,10.7078,12.8236,10.5744
F1,343791,343791,26837113,64,16.3222,16.1215,16.4023,16.1288,16.4056,16.0784,16.9005,13.1539
F2,71505,71505,5294285,64,18.5872,18.1431,17.5865,18.0905,18.5703,17.497,21.0336,18.156
Fashion_MNIST_norm_10NN,10000,10000,158304,64,17.887,16.5443,17.8398,15.0053,17.715,17.2391,17.2724,10.8512
Fault_639,638802,638802,28614564,64,15.2995,16.6404,15.2551,16.8274,16.8663,16.8032,16.6247,16.6659
Flan_1565,1564794,1564794,117406044,64,16.8541,17.6174,16.4946,17.69,17.6226,17.6641,17.6193,17.5527
G1,800,800,38352,64,20.3137,20.3013,18.7311,20.0506,19.8598,20.3454,17.9923,20.2471
G10,800,800,38352,64,20.1297,20.2703,20.7124,18.1434,20.2462,20.2938,20.2978,20.1472
G11,800,800,3200,64,19.0745,20.3359,18.5469,20.5726,19.0436,19.5951,19.3764,20.4575
G12,800,800,3200,64,19.0375,19.2,19.1533,18.9299,18.8279,19.5131,18.8589,18.5376
G13,800,800,3200,64,19.2529,19.0712,18.3919,19.3956,18.2961,19.4914,19.583,18.4972
G14,800,800,9388,64,19.8899,19.7316,19.8126,19.5575,17.3616,18.0694,18.9948,18.6866
G15,800,800,9322,64,19.7643,19.5202,19.5815,18.7333,18.8774,18.2768,19.0,17.0461
G16,800,800,9344,64,19.4702,19.4519,18.2563,19.4321,19.0028,18.7703,19.0833,18.6802
G17,800,800,9334,64,19.8373,19.581,19.5426,19.5407,17.3142,18.9244,18.983,18.6841
G18,800,800,9388,64,19.6076,19.571,19.6025,19.4321,19.0357,18.3187,18.9855,18.6222
G19,800,800,9322,64,19.4701,19.6469,19.2152,19.3422,18.8175,19.105,18.5887,18.5988
G2,800,800,38352,64,19.2854,20.3224,20.7163,20.344,20.284,19.9979,18.3874,20.2381
G20,800,800,9344,64,19.5577,19.4899,19.7307,19.5374,18.8723,19.1752,19.1619,18.6755
G21,800,800,9334,64,19.5096,19.5093,19.5582,19.4802,18.9431,18.9246,18.9968,18.7515
G22,2000,2000,39980,64,16.5023,16.1698,16.4325,15.9906,16.4923,15.9287,16.0352,15.7675
G23,2000,2000,39980,64,16.0784,16.1153,16.7289,16.0102,16.3533,15.5282,16.0788,16.1254
G24,2000,2000,39980,64,16.4606,15.9618,16.4979,15.9892,16.3261,15.8871,16.0871,15.9605
G25,2000,2000,39980,64,16.471,15.8557,16.3981,15.8747,16.1985,15.3421,16.0482,15.6361
G26,2000,2000,39980,64,16.4923,16.2246,16.5309,15.8301,15.9144,15.9232,15.9995,15.7484
G27,2000,2000,39980,64,16.3066,15.9013,16.5392,15.7307,16.256,15.9463,16.0908,15.5091
G28,2000,2000,39980,64,16.5506,15.456,16.5617,15.7809,16.2694,15.5159,16.2509,15.6456
G29,2000,2000,39980,64,16.0357,15.7008,16.0502,15.7405,16.1015,15.7903,16.3441,16.0084
G2_circuit,150102,150102,726674,64,8.89954,12.3428,9.8741,11.7705,12.2345,12.282,12.4127,12.1595
G3,800,800,38352,64,19.2235,20.1727,20.786,20.3201,20.1414,19.5691,20.3827,20.1657
G30,2000,2000,39980,64,16.414,15.813,16.4871,15.7547,16.0291,16.05,16.1281,14.7392
G31,2000,2000,39980,64,15.9547,15.9371,16.0501,15.5453,16.2194,15.7371,14.3066,15.7923
G32,2000,2000,8000,64,17.8301,19.3423,17.1388,19.6508,18.1938,18.6802,19.4573,19.8849
G33,2000,2000,8000,64,18.372,19.109,18.029,18.5285,18.2653,18.4097,17.9252,19.7904
G34,2000,2000,8000,64,18.353,18.1397,17.9737,18.7162,18.7055,18.5905,19.1748,19.7251
G35,2000,2000,23556,64,17.087,16.7761,16.8908,16.7094,17.4202,16.402,16.3138,15.6802
G36,2000,2000,23532,64,17.1768,16.8873,17.1291,16.9333,17.3516,16.4821,16.5851,15.752
G37,2000,2000,23570,64,17.57,16.7285,16.5082,16.7699,17.1985,16.4695,16.5076,15.9858
G38,2000,2000,23558,64,17.4688,16.5645,17.2094,16.7466,17.3995,16.3206,16.4777,15.6038
G39,2000,2000,23556,64,17.1,16.8587,17.1311,16.7575,17.2332,16.1522,16.2582,15.7361
G3_circuit,1585478,1585478,7660826,64,7.94348,12.3825,8.26506,12.4294,12.4818,12.589,11.9905,11.6161
G4,800,800,38352,64,20.1927,20.125,20.189,20.3528,20.2841,20.2743,20.3403,20.172
G40,2000,2000,23532,64,17.5312,16.845,17.2523,16.7702,17.368,16.3067,16.5775,15.6329
G41,2000,2000,23570,64,17.3423,16.6748,17.4608,16.817,17.2306,16.1561,16.4141,15.8519
