matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.01519,4.01193,4.02025,3.98793,3.97997,4.0984,3.94189,4.09667
144,144649,144649,2148786,8,3.4247,3.18814,3.65143,3.39158,3.30496,3.0684,3.76552,2.79565
2cubes_sphere,101492,101492,1647264,8,3.73557,3.68574,3.67167,3.64315,3.81288,3.68085,3.87477,3.31086
333SP,3712815,3712815,22217266,8,2.65185,2.86177,1.99215,2.65595,2.87115,2.70968,4.18665,1.14313
3dtube,45330,45330,3213618,8,3.31662,3.32812,3.32874,3.34108,3.33667,3.32604,3.36252,3.3083
3elt,4720,4720,27444,8,4.70101,4.55222,4.64683,4.70638,4.68226,4.64436,4.68376,4.67096
3elt_dual,9000,9000,26556,8,4.57277,4.63253,4.48872,4.61691,4.56832,4.63896,4.74926,4.57441
494_bus,494,494,1666,8,3.93353,3.8578,4.0992,3.9809,3.78614,3.77902,3.73298,3.75241
598a,110971,110971,1483868,8,3.62791,3.34921,3.40664,3.37842,3.13923,3.1389,3.74675,2.78999
662_bus,662,662,2474,8,3.89106,4.00553,3.8669,3.97484,4.0027,3.98925,3.73189,3.89888
685_bus,685,685,3249,8,4.06711,4.09389,4.04608,3.9798,4.07166,4.04921,4.09495,4.03966
ACTIVSg70K,69999,69999,238627,8,2.78857,2.73309,2.78002,2.29746,2.71113,2.67533,3.01388,2.58064
AS365,3799275,3799275,22736152,8,2.51869,2.02615,1.8082,2.04213,2.51304,1.99885,3.89046,0.802031
Alemdar,6245,6245,42581,8,4.39352,4.06252,4.07827,3.70693,4.02621,,4.13499,4.05485
Andrews,60000,60000,760154,8,3.38985,3.41365,3.13797,3.35335,3.18088,3.31463,3.1643,2.93452
BenElechi1,245874,245874,13150496,8,3.32011,3.40826,3.38729,3.41109,3.4025,3.40251,3.41746,3.41867
Binaryalphadigs_10NN,1404,1404,19392,8,4.05194,3.99564,4.05778,4.03171,4.03974,3.99665,4.07646,3.92738
Bump_2911,2911419,2911419,127729899,8,3.01743,3.34222,3.10124,3.36946,3.35863,3.34663,3.36632,3.38848
CO,221119,221119,7666057,8,2.86664,3.40503,2.91166,3.52661,3.49575,3.16754,3.03941,3.52712
Chem97ZtZ,2541,2541,7361,8,3.98062,3.93754,3.96414,3.98696,3.93226,3.94414,3.91568,4.09908
Cube_Coup_dt0,2164760,2164760,127206144,8,3.06611,3.30388,3.18,3.31547,3.30638,3.30427,3.32613,3.32669
Cube_Coup_dt6,2164760,2164760,127206144,8,3.08225,3.29898,3.12834,3.32026,3.30526,3.30616,3.32755,3.32877
CurlCurl_0,11083,11083,113343,8,4.25625,4.27566,4.23719,4.32986,4.25415,4.24497,4.27435,4.41654
CurlCurl_1,226451,226451,2472071,8,3.28153,4.17344,3.51543,4.09119,4.03608,4.0291,4.31868,4.29594
CurlCurl_2,806529,806529,8921789,8,2.52592,4.03694,3.20119,3.91424,3.88814,3.9259,4.27338,4.28585
CurlCurl_3,1219574,1219574,13544618,8,2.11082,3.94679,2.90258,3.86644,3.98403,3.90333,4.23406,4.22984
CurlCurl_4,2380515,2380515,26515867,8,2.33074,3.91514,2.73498,3.89152,3.96984,3.90579,4.20414,4.22811
Dubcova1,16129,16129,253009,8,4.07898,4.12958,4.02751,4.12231,4.12761,,4.06631,3.88953
Dubcova2,65025,65025,1030225,8,4.01614,3.97841,3.90505,3.90954,4.00059,3.98449,4.08514,3.6811
