matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,14.2009,14.055,14.1278,14.0474,14.0209,14.1973,14.197,13.9455
144,144649,144649,2148786,64,8.97945,10.9716,10.9636,10.931,11.439,11.543,14.2085,4.54102
2cubes_sphere,101492,101492,1647264,64,9.37513,12.1358,11.9244,12.4517,12.9041,12.8004,13.9077,11.818
333SP,3712815,3712815,22217266,64,7.72196,9.39043,6.15338,9.55588,6.82647,6.59766,12.4647,3.34849
3dtube,45330,45330,3213618,64,16.6679,17.9429,17.6924,18.031,17.9708,17.038,18.7088,18.0603
3elt,4720,4720,27444,64,16.758,16.9121,16.5996,16.9382,17.0327,17.0508,17.3284,16.1315
3elt_dual,9000,9000,26556,64,14.7673,14.8085,14.2773,14.7169,14.8694,14.7919,15.6499,13.1521
494_bus,494,494,1666,64,15.007,15.0069,14.7475,15.0279,14.8089,15.124,14.8814,14.5961
598a,110971,110971,1483868,64,8.98082,10.0124,10.3908,9.83844,10.9184,11.0447,14.0307,3.93908
662_bus,662,662,2474,64,13.2278,14.112,14.5798,14.7702,14.2902,14.4731,14.7495,14.0931
685_bus,685,685,3249,64,15.4541,15.2726,15.2777,15.2888,15.2111,15.2167,15.3175,15.1172
ACTIVSg70K,69999,69999,238627,64,6.8028,6.55159,6.62292,6.63678,6.57791,6.5244,8.33049,6.70171
AS365,3799275,3799275,22736152,64,7.53841,7.61967,5.77057,7.89498,5.22507,5.15697,13.8871,2.13384
Alemdar,6245,6245,42581,64,16.4514,15.023,16.1425,15.168,15.9162,,16.3994,13.0435
Andrews,60000,60000,760154,64,8.94746,9.65022,8.92734,9.34608,10.3955,10.4594,10.2739,4.91298
BenElechi1,245874,245874,13150496,64,17.8737,18.954,18.3987,18.9752,18.8938,18.9167,18.9994,19.0215
Binaryalphadigs_10NN,1404,1404,19392,64,17.0583,16.8088,16.9431,16.7239,16.6823,16.4741,16.5104,16.3644
Bump_2911,2911419,2911419,127729899,64,14.3071,17.1831,14.255,17.7762,17.8335,17.7874,15.8726,16.7277
CO,221119,221119,7666057,64,8.88883,13.7556,12.5146,11.7495,14.6711,14.1087,12.995,11.4918
Chem97ZtZ,2541,2541,7361,64,15.4864,12.4912,14.9034,15.7035,15.5506,15.7426,15.7297,15.6202
Cube_Coup_dt0,2164760,2164760,127206144,64,15.7022,17.934,15.8316,18.0251,18.0067,18.0465,16.0347,17.2086
Cube_Coup_dt6,2164760,2164760,127206144,64,15.7221,17.9723,15.8291,18.0068,18.0053,18.0356,17.109,17.2
CurlCurl_0,11083,11083,113343,64,16.6334,17.3869,16.9832,17.3374,17.1716,17.2091,17.5633,17.4964
CurlCurl_1,226451,226451,2472071,64,7.82704,13.4215,10.23,12.5202,13.4166,13.5685,16.2752,13.0026
CurlCurl_2,806529,806529,8921789,64,6.95205,13.1887,9.40952,13.0573,13.498,13.224,14.8712,10.5716
CurlCurl_3,1219574,1219574,13544618,64,6.71103,12.9411,9.95551,12.8866,13.3641,12.9646,13.3397,10.3866
CurlCurl_4,2380515,2380515,26515867,64,6.47402,13.01,8.58597,13.0416,13.3415,13.0175,12.2831,10.1873
Dubcova1,16129,16129,253009,64,17.7363,16.465,17.5166,16.9768,17.1304,,17.4867,16.3429
Dubcova2,65025,65025,1030225,64,14.0741,13.8417,13.7133,13.7621,14.0738,14.0057,16.7841,9.90205
Dubcova3,146689,146689,3636649,64,15.0667,15.4943,14.7846,15.6599,15.8493,15.8023,16.6068,11.7224
EX1,560,560,8736,64,16.6298,17.28,16.7547,17.2138,16.6847,16.3886,17.0455,17.4227
EX2,560,560,8736,64,16.8532,17.1291,16.8076,17.423,16.6153,16.253,16.8303,17.6705
EX3,2600,2600,71760,64,15.4704,16.9257,14.9845,17.194,15.7203,14.7637,16.1615,17.3071
