matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,8.62582,8.48657,8.56956,8.57424,8.57635,8.59298,8.41229,7.90085
144,144649,144649,2148786,64,3.54933,4.16248,4.02575,4.13221,4.46953,4.45118,4.31442,2.84318
2cubes_sphere,101492,101492,1647264,64,3.99926,4.77192,4.43954,4.967,5.06418,5.01344,4.73071,4.65588
333SP,3712815,3712815,22217266,64,2.25043,2.39246,2.23358,2.40547,2.20656,2.1797,2.2254,1.33442
3dtube,45330,45330,3213618,64,9.21863,9.64969,9.51374,9.31117,9.7504,9.60049,9.53135,8.47004
3elt,4720,4720,27444,64,10.3692,10.7006,9.7005,8.86754,10.8215,10.9277,10.5522,10.4907
3elt_dual,9000,9000,26556,64,8.8269,9.0532,8.8622,9.09041,8.93481,9.05795,8.72237,8.77732
494_bus,494,494,1666,64,8.89126,8.7901,8.74361,8.76268,8.76268,8.76017,8.67319,8.66691
598a,110971,110971,1483868,64,3.56751,3.93459,3.94669,3.85505,4.42254,4.37676,4.16971,2.37095
662_bus,662,662,2474,64,8.98337,8.88005,8.83943,8.89777,8.84408,8.86218,8.83423,8.64799
685_bus,685,685,3249,64,9.2951,9.18427,9.27565,9.22216,9.17351,9.16989,9.03343,9.12119
ACTIVSg70K,69999,69999,238627,64,2.52512,2.68737,2.6659,2.73249,2.69348,2.64986,2.61427,2.67754
AS365,3799275,3799275,22736152,64,2.24607,2.37643,2.2529,2.4317,2.08656,2.1136,2.3992,1.14346
Alemdar,6245,6245,42581,64,10.2086,9.6621,10.1493,9.76058,9.98942,,10.1095,8.3156
Andrews,60000,60000,760154,64,3.79806,4.58258,4.35931,4.63251,5.14085,4.91129,4.30186,3.30369
BenElechi1,245874,245874,13150496,64,7.54967,7.91384,7.7148,8.13571,7.91501,7.93371,7.7008,7.67708
Binaryalphadigs_10NN,1404,1404,19392,64,11.2811,11.286,11.2633,11.415,10.7816,11.2464,10.7101,11.1589
