matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,16.1034,18.2921,17.8103,17.9642,19.1338,18.1846,18.4423,18.0902
144,144649,144649,2148786,8,38.2294,35.1589,38.5448,36.074,36.9699,36.8789,38.6206,22.5544
2cubes_sphere,101492,101492,1647264,8,38.5928,39.7739,40.2471,40.4948,39.9666,40.9315,42.263,39.2015
333SP,3712815,3712815,22217266,8,11.1972,15.17,9.94884,14.6627,13.0592,13.877,14.7479,4.56911
3dtube,45330,45330,3213618,8,38.9718,40.6179,38.0808,39.2362,39.9147,40.5151,40.5837,39.3061
3elt,4720,4720,27444,8,33.9356,38.0967,35.7809,37.4625,37.6224,37.546,40.1965,37.1525
3elt_dual,9000,9000,26556,8,28.5089,33.8562,29.5849,32.6064,33.8273,31.9992,36.6729,34.0456
494_bus,494,494,1666,8,13.3062,13.767,15.1718,14.1098,14.1342,13.9686,12.9921,12.7406
598a,110971,110971,1483868,8,37.6662,37.4678,37.3896,35.2179,38.3602,39.1331,39.954,20.7657
662_bus,662,662,2474,8,15.7594,16.2225,16.0783,15.9756,16.5285,16.2691,16.2225,15.436
685_bus,685,685,3249,8,17.8188,19.0471,19.7759,18.612,18.9372,19.1123,19.1483,19.381
ACTIVSg70K,69999,69999,238627,8,23.8951,25.5818,24.7317,25.5177,25.8585,25.8443,24.7141,25.3996
AS365,3799275,3799275,22736152,8,10.9773,14.6109,9.88766,14.7457,10.8429,11.2564,17.0927,3.5327
Alemdar,6245,6245,42581,8,31.878,31.9483,31.8717,31.8481,33.4837,,34.6453,33.0145
Andrews,60000,60000,760154,8,35.9073,36.8458,36.4278,37.1018,38.4098,38.3856,36.5373,25.7
BenElechi1,245874,245874,13150496,8,40.8064,41.4985,40.4695,41.7113,41.7039,40.9449,41.6801,42.0153
Binaryalphadigs_10NN,1404,1404,19392,8,33.0295,34.0333,33.9501,35.2654,34.1624,34.5164,36.2891,33.9431
Bump_2911,2911419,2911419,127729899,8,28.2183,34.1915,28.823,37.8541,39.6808,37.7799,35.3002,35.0906
CO,221119,221119,7666057,8,34.3597,37.0412,34.7572,35.5619,35.9238,36.3407,35.9866,36.28
Chem97ZtZ,2541,2541,7361,8,22.7182,29.2328,30.0919,27.0794,29.6892,27.3844,28.5723,11.6748
Cube_Coup_dt0,2164760,2164760,127206144,8,31.851,38.2313,33.5986,39.132,38.8195,39.6423,37.9459,38.7344
Cube_Coup_dt6,2164760,2164760,127206144,8,32.3887,38.288,33.4012,39.9167,38.8456,39.523,38.4778,37.8325
CurlCurl_0,11083,11083,113343,8,37.8762,40.589,39.2612,40.6968,40.966,39.8926,43.0581,41.9004
CurlCurl_1,226451,226451,2472071,8,27.0235,30.7714,26.4869,31.0859,31.0755,32.2868,26.1717,29.7354
CurlCurl_2,806529,806529,8921789,8,14.4448,22.582,17.3392,22.7152,23.9738,22.5071,21.9505,19.6574
CurlCurl_3,1219574,1219574,13544618,8,13.4559,22.6344,18.0568,22.4424,22.6963,24.0023,20.8463,19.172
CurlCurl_4,2380515,2380515,26515867,8,12.415,20.6778,15.0708,21.6924,22.7763,22.2415,19.8919,18.7646
Dubcova1,16129,16129,253009,8,41.6728,43.5291,42.6402,44.3924,44.9949,,45.5768,26.658
Dubcova2,65025,65025,1030225,8,42.2611,44.3417,43.3216,44.1887,45.5309,45.1206,46.7158,26.6184
