matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,8,4.23143,4.31305,4.38005,4.29589,4.22322,4.1929,4.41913,4.38329
144,144649,144649,2148786,8,3.34459,3.05286,3.43926,3.09953,3.18338,2.9838,3.7406,2.68916
2cubes_sphere,101492,101492,1647264,8,3.74915,3.55666,3.75298,3.60712,3.65541,3.57325,3.91888,3.40411
333SP,3712815,3712815,22217266,8,2.62522,2.90157,1.88847,2.74271,2.82041,2.42151,4.21785,1.18668
3dtube,45330,45330,3213618,8,3.25786,3.26104,3.26202,3.28212,3.27163,3.26573,3.3116,3.25806
3elt,4720,4720,27444,8,4.60407,4.54248,4.59391,4.63567,4.6186,4.61084,4.60451,4.60504
3elt_dual,9000,9000,26556,8,4.51244,4.58465,4.39778,4.58064,4.54337,4.5733,4.68908,4.52643
494_bus,494,494,1666,8,4.33284,4.44194,4.27716,4.30498,4.22991,4.36123,4.33999,4.00723
598a,110971,110971,1483868,8,3.59183,3.29271,3.37369,3.28415,3.25261,3.22936,3.82291,2.90278
662_bus,662,662,2474,8,4.38458,4.52027,4.29888,4.54626,4.3604,4.41934,4.59958,4.42428
685_bus,685,685,3249,8,4.41209,4.3491,4.53533,4.35997,4.5752,4.44229,4.42302,4.37831
ACTIVSg70K,69999,69999,238627,8,3.01698,3.00658,2.99206,2.81737,3.03718,2.94568,3.01238,2.98195
AS365,3799275,3799275,22736152,8,2.54304,1.74139,1.82844,1.71066,2.49042,1.96308,3.84687,0.777629
Alemdar,6245,6245,42581,8,4.29065,3.99098,4.06666,3.31715,3.97048,,4.08522,3.72207
Andrews,60000,60000,760154,8,3.28795,3.61857,3.63526,3.55982,3.73145,3.63653,3.72248,3.13004
BenElechi1,245874,245874,13150496,8,3.26391,3.35764,3.33128,3.3579,3.34963,3.35082,3.36904,3.36851
Binaryalphadigs_10NN,1404,1404,19392,8,4.04279,3.94944,3.90363,4.03118,3.91748,3.94839,4.05336,3.86416
Bump_2911,2911419,2911419,127729899,8,3.01411,3.34708,3.11031,3.37238,3.35538,3.34952,3.37305,3.38162
CO,221119,221119,7666057,8,2.70058,3.31913,2.9805,3.45725,3.41036,3.11503,2.8961,3.45981
Chem97ZtZ,2541,2541,7361,8,3.87305,4.05356,4.08008,3.89099,4.10871,4.00926,3.83648,4.09156
Cube_Coup_dt0,2164760,2164760,127206144,8,3.07524,3.30593,3.13642,3.31801,3.30747,3.30532,3.32743,3.32665
Cube_Coup_dt6,2164760,2164760,127206144,8,3.08991,3.29953,3.15794,3.31968,3.30654,3.3061,3.32892,3.328
CurlCurl_0,11083,11083,113343,8,4.15585,4.19399,4.16226,4.23173,4.19175,4.16723,4.18071,4.32187
CurlCurl_1,226451,226451,2472071,8,3.11515,4.05502,3.29179,3.96055,3.92924,3.94567,4.21413,4.22179
CurlCurl_2,806529,806529,8921789,8,2.61702,3.98482,3.14408,3.87156,3.97946,3.8511,4.19463,4.21397
CurlCurl_3,1219574,1219574,13544618,8,2.0094,3.95147,2.75248,3.82334,3.94703,3.95432,4.19907,4.25034
CurlCurl_4,2380515,2380515,26515867,8,2.33888,3.92705,2.61532,3.90419,3.98919,3.92158,4.19486,4.2134
Dubcova1,16129,16129,253009,8,4.01107,4.05821,3.91151,4.05089,4.05952,,3.91416,3.9799
Dubcova2,65025,65025,1030225,8,4.01716,4.01432,3.9256,3.98643,3.93432,3.90477,3.92219,3.15696
Dubcova3,146689,146689,3636649,8,3.4691,3.48684,3.44279,3.36468,3.4484,3.41212,3.79061,3.54796
EX1,560,560,8736,8,4.1957,4.23011,4.09588,4.21852,4.08151,4.08868,4.23513,4.15197
EX2,560,560,8736,8,4.22999,4.20328,4.08999,4.23384,4.09108,4.07796,4.26497,4.16186
EX3,2600,2600,71760,8,3.7929,3.81908,3.63402,3.87173,3.6557,3.62104,3.84973,3.73579
EX4,2600,2600,71760,8,3.70067,3.85946,3.6391,3.87421,3.64431,3.61728,3.84005,3.73956
EX5,6545,6545,295680,8,3.38607,3.41445,3.37258,3.417,3.38741,,3.4061,3.42446
EX6,6545,6545,295680,8,3.35924,3.40883,3.37943,3.41445,3.3904,,3.40193,3.42242
Ecoli_10NN,336,336,4560,8,3.97706,3.92973,3.94467,4.14214,3.93615,4.14214,3.96632,3.96822
Emilia_923,923136,923136,41005206,8,3.07955,3.25552,3.17016,3.36526,3.34364,3.34201,3.39473,3.39304
Erdos02,6927,6927,16944,8,3.16769,3.14886,3.22312,3.03309,2.7735,2.74564,3.36003,2.77662
Erdos971,472,472,2628,8,,3.76369,3.86787,3.78776,3.77419,3.76372,3.91109,3.88217
Erdos972,5488,5488,14170,8,3.18758,3.18708,3.26908,3.16038,2.96069,2.96145,3.40119,3.04965
Erdos981,485,485,2762,8,,3.80573,3.95563,3.86226,3.86565,3.75368,3.85215,3.95951
Erdos982,5822,5822,14750,8,3.26552,3.13433,3.22005,3.09236,2.88023,2.99865,3.33019,3.03658
Erdos991,492,492,2834,8,3.93882,3.74932,3.96642,3.84496,3.84823,3.79987,3.96294,3.99436
Erdos992,6100,6100,15030,8,3.21133,3.16271,3.20624,2.99682,2.89316,2.86078,3.29605,2.96461
F1,343791,343791,26837113,8,3.16006,3.11202,3.17488,3.06385,3.11304,3.07281,3.24794,2.85631
F2,71505,71505,5294285,8,3.24377,3.19492,3.24396,3.13005,3.19983,3.18454,3.25995,3.12451
Fashion_MNIST_norm_10NN,10000,10000,158304,8,3.76823,3.49315,3.77966,3.73753,3.77701,3.78113,3.81647,3.50356
Fault_639,638802,638802,28614564,8,3.07108,3.33162,3.19748,3.32377,3.33024,3.31481,3.39019,3.39174
Flan_1565,1564794,1564794,117406044,8,3.18401,3.28634,3.20679,3.29576,3.29011,3.29139,3.296,3.29722
G1,800,800,38352,8,3.55974,3.55333,3.4198,3.55477,3.55146,3.41559,3.39477,3.39667
G10,800,800,38352,8,3.55891,3.55374,3.41961,3.55892,3.42381,3.41712,3.55395,3.39684
G11,800,800,3200,8,4.79351,4.76681,4.72715,4.78954,4.6626,4.70545,4.75835,4.78907
G12,800,800,3200,8,4.76278,4.76237,4.70974,4.73152,4.70984,4.71418,4.76237,4.69681
G13,800,800,3200,8,4.79351,4.78465,4.68815,4.7403,4.64105,4.70979,4.96651,4.67534
G14,800,800,9388,8,3.99679,4.04417,3.91429,4.07169,3.84606,3.88496,3.98398,3.85693
G15,800,800,9322,8,3.86464,3.87369,3.76398,3.90931,3.83967,3.86154,3.93614,3.89909
G16,800,800,9344,8,3.88283,4.05041,3.75477,3.91238,3.81145,3.82509,3.88282,3.91638
G17,800,800,9334,8,3.99402,4.05264,3.90505,4.05277,3.85861,3.81709,4.03392,3.86151
G18,800,800,9388,8,4.01283,4.03557,3.92774,4.05944,3.84803,3.89806,4.04971,3.85693
G19,800,800,9322,8,3.84758,3.87772,3.75736,3.90726,3.84064,3.85953,3.93613,3.88689
G2,800,800,38352,8,3.55683,3.55601,3.41752,3.55995,3.56347,3.41542,3.3974,3.39874
G20,800,800,9344,8,4.0329,3.86276,3.75772,3.90512,3.83197,3.84676,3.91034,3.88888
G21,800,800,9334,8,3.96423,4.02522,3.89587,4.06476,3.87251,3.87565,4.08144,3.84362
G22,2000,2000,39980,8,3.68704,3.676,3.90059,3.69238,3.90656,3.73865,3.72794,3.67537
G23,2000,2000,39980,8,3.91158,3.88398,3.7569,3.90465,3.73734,3.73712,3.95201,3.58597
G24,2000,2000,39980,8,3.90204,3.89299,3.75027,3.87927,3.73035,3.74854,3.53085,3.67645
