matrix_name,m,k,nnz,n,Gorder,Grappolo,IOU,Louvain,METIS,PaToH,RCM,baseline
1138_bus,1138,1138,4054,64,17.6621,22.0532,19.6856,27.8686,22.3092,20.2542,16.7716,24.5929
144,144649,144649,2148786,64,27.062,34.7176,35.732,33.7708,35.8467,36.0564,33.3284,15.1015
2cubes_sphere,101492,101492,1647264,64,30.4707,36.5011,37.4596,38.5662,40.882,38.6446,39.0824,37.3048
333SP,3712815,3712815,22217266,64,15.5806,14.6844,15.4142,16.0357,11.5134,11.3596,17.6058,8.80175
3dtube,45330,45330,3213618,64,102.746,107.424,94.4219,104.253,105.06,106.228,109.085,106.094
3elt,4720,4720,27444,64,31.0513,31.6354,29.502,29.772,30.626,33.2368,28.1972,33.4171
3elt_dual,9000,9000,26556,64,21.0018,19.9317,21.0148,23.9395,22.6442,20.244,24.0477,19.6847
494_bus,494,494,1666,64,15.3306,17.1008,18.6225,15.6673,16.5824,16.467,16.2042,13.8023
598a,110971,110971,1483868,64,26.6286,32.7179,29.9492,29.6624,34.5086,33.5804,32.0937,13.2265
662_bus,662,662,2474,64,18.738,19.274,18.4219,19.9416,20.2735,20.8748,18.1059,17.6912
685_bus,685,685,3249,64,20.9823,22.3709,23.71,26.0899,20.6696,24.5641,21.9678,22.5405
ACTIVSg70K,69999,69999,238627,64,16.6384,18.4733,16.982,18.7876,20.4804,19.6071,17.5687,18.2183
AS365,3799275,3799275,22736152,64,15.1911,11.8815,15.7097,13.4177,9.12236,9.18074,19.3853,7.38588
Alemdar,6245,6245,42581,64,29.179,30.1908,31.1537,32.1704,36.0495,,34.9964,24.7923
Andrews,60000,60000,760154,64,27.9885,33.6675,29.2094,28.1556,33.7879,34.7136,29.4208,20.6557
BenElechi1,245874,245874,13150496,64,111.341,114.702,113.822,121.276,112.876,115.22,122.116,122.07
Binaryalphadigs_10NN,1404,1404,19392,64,41.6893,43.909,43.4935,42.4731,44.0883,44.3237,41.9074,41.7244
Bump_2911,2911419,2911419,127729899,64,59.6112,75.1615,63.9289,89.6881,105.856,101.981,74.5738,79.5474
CO,221119,221119,7666057,64,33.0507,52.2875,50.8538,31.8032,54.6408,50.683,33.5199,31.8042
Chem97ZtZ,2541,2541,7361,64,35.4347,20.2364,28.286,19.0076,18.5726,25.072,20.2844,12.17
Cube_Coup_dt0,2164760,2164760,127206144,64,76.3073,104.296,81.3239,105.035,114.257,116.567,96.4475,95.7145
Cube_Coup_dt6,2164760,2164760,127206144,64,77.1138,109.939,76.8942,104.623,115.75,116.559,95.7992,98.4376
CurlCurl_0,11083,11083,113343,64,39.8391,45.0777,40.9049,44.931,44.7427,44.1383,47.5105,39.2655
CurlCurl_1,226451,226451,2472071,64,21.6015,34.278,27.3085,32.7522,34.4196,34.1617,32.7415,26.2299
CurlCurl_2,806529,806529,8921789,64,18.7479,32.1498,25.3204,33.7619,34.7539,32.7556,26.0409,25.9685
CurlCurl_3,1219574,1219574,13544618,64,18.6133,30.2659,27.97,34.0662,34.175,35.1706,25.3155,25.7324
CurlCurl_4,2380515,2380515,26515867,64,18.1782,32.4482,24.0115,31.8627,36.2997,34.7687,25.0624,25.8046
Dubcova1,16129,16129,253009,64,53.3408,53.8761,56.2912,56.2298,58.0823,,62.3302,37.7385
Dubcova2,65025,65025,1030225,64,45.9823,50.0112,49.405,48.8709,52.1409,53.1839,61.7397,24.3154
Dubcova3,146689,146689,3636649,64,56.5357,63.6135,55.5327,63.4668,64.735,65.404,68.8889,22.04
EX1,560,560,8736,64,42.6472,41.7709,41.7709,43.6289,41.0486,42.5497,41.818,43.4088
EX2,560,560,8736,64,40.8255,43.2225,41.1712,42.0538,40.6162,44.6212,41.6154,42.0534
EX3,2600,2600,71760,64,58.5866,61.9869,57.3145,66.2763,59.4705,56.514,57.6635,68.7877
EX4,2600,2600,71760,64,60.0027,65.5338,59.0044,63.9105,59.9596,55.8882,60.0812,67.8277
